date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/02/2010,"1 Gaelic Street, North Strand",Dublin,130000.0,No,North Strand,Dublin 3,q2,30%
10/03/2010,"46 Charleville Avenue, North Strand",Dublin,285000.0,No,North Strand,Dublin 3,q3,80%
25/05/2010,"15 Hyacinth Street, North Strand, Dublin 3",Dublin,127500.0,No,North Strand,Dublin 3,q2,30%
04/06/2010,"5 Clonmore Terrace, North Strand Road",Dublin,130000.0,No,North Strand,Dublin 3,q2,30%
01/07/2010,"Apartment No. 17, Block 2  The Strand, 149 North Strand Road",Dublin,170000.0,Yes,North Strand,Dublin 3,q2,40%
18/08/2010,"12  Ossory Road, North Strand",Dublin,210000.0,No,North Strand,Dublin 3,q3,60%
18/01/2011,"16 Annesley Place, North Strand",Dublin,179000.0,No,North Strand,Dublin 3,q2,50%
27/01/2011,"13 Northbrook Avenue, North Strand",Dublin,187000.0,No,North Strand,Dublin 3,q2,50%
21/04/2011,"14  North James Street, North Strand",Dublin,70000.0,No,North Strand,Dublin 3,q1,10%
19/05/2011,"41 Bessborough Avenue, North Strand",Dublin,226500.0,No,North Strand,Dublin 3,q3,60%
01/07/2011,"20 Spencer Street North, North Strand, Dublin 3",Dublin,80000.0,No,North Strand,Dublin 3,q1,10%
04/07/2011,"137 North Strand Road, Dublin 3",Dublin,108000.0,No,North Strand,Dublin 3,q1,20%
07/07/2011,"29A Bayview Avenue, North Strand",Dublin,150000.0,No,North Strand,Dublin 3,q2,40%
07/07/2011,"6 Charlemont Parade, North Strand",Dublin,85000.0,No,North Strand,Dublin 3,q1,10%
15/09/2011,"133 B The Courtyard, North Strand Road, Dublin",Dublin,51000.0,No,North Strand,Dublin 3,q1,10%
26/09/2011,"3 Spencer Street North, North Strand",Dublin,90000.0,No,North Strand,Dublin 3,q1,10%
05/12/2011,"17 Faith Avenue, North Strand, Dublin 3",Dublin,196000.0,No,North Strand,Dublin 3,q2,50%
02/02/2012,"26 Leinster Avenue, North Strand",Dublin,110000.0,No,North Strand,Dublin 3,q1,20%
18/04/2012,"16 Hope Avenue, North Strand",Dublin,140000.0,No,North Strand,Dublin 3,q2,40%
06/07/2012,"23A Newcomen Court, North Strand",Dublin,150000.0,No,North Strand,Dublin 3,q2,40%
14/08/2012,"111 Seville Place, North Strand Road, Dublin 1",Dublin,180000.0,No,North Strand,Dublin 3,q2,50%
14/08/2012,"111 Seville Place, North Strand Road, Dublin 1",Dublin,240000.0,No,North Strand,Dublin 3,q3,70%
14/08/2012,"3 Bayview Avenue, North Strand",Dublin,165000.0,No,North Strand,Dublin 3,q2,40%
19/09/2012,"3 Shamrock Place, North Strand",Dublin,85000.0,No,North Strand,Dublin 3,q1,10%
19/09/2012,"5 Foster Place North, North Strand",Dublin,203000.0,No,North Strand,Dublin 3,q3,60%
20/09/2012,"10 Northbrook Avenue Upper, North Strand",Dublin,135000.0,No,North Strand,Dublin 3,q2,40%
26/10/2012,"23 Strandville Avenue, North Strand Road, Dublin 3",Dublin,103000.0,No,North Strand,Dublin 3,q1,20%
07/11/2012,"44 Bessborough Avenue, North Strand, Dublin 3",Dublin,90000.0,No,North Strand,Dublin 3,q1,10%
15/11/2012,"5 Upper Northbrook Avenue, North Strand",Dublin,96000.0,No,North Strand,Dublin 3,q1,10%
05/12/2012,"7 Newcomen Avenue, North Strand, Dublin 3",Dublin,110000.0,No,North Strand,Dublin 3,q1,20%
20/12/2012,"50 North Strand Road, North Strand, Dublin 3",Dublin,180000.0,No,North Strand,Dublin 3,q2,50%
21/12/2012,"62 Charleville Ave, North Strand",Dublin,224000.0,No,North Strand,Dublin 3,q3,60%
21/12/2012,"Apt. 58  Block 1  The Strand, 149 North Strand Road, Dublin",Dublin,110132.0,Yes,North Strand,Dublin 3,q1,20%
28/12/2012,"Apartment 45 Block 1, The Strand, 149 North Strand Road",Dublin,139000.0,No,North Strand,Dublin 3,q2,40%
31/01/2013,"50 Bessborough Avenue, North Strand, Dublin 3",Dublin,85000.0,No,North Strand,Dublin 3,q1,10%
05/02/2013,"26 Portland Row, North Strand",Dublin,102000.0,No,North Strand,Dublin 3,q1,20%
28/02/2013,"123A North Strand Road, North Strand, Dublin 3",Dublin,232500.0,No,North Strand,Dublin 3,q3,70%
19/03/2013,"24 Strandville Avenue, North Strand, Dublin 3",Dublin,122000.0,No,North Strand,Dublin 3,q1,30%
01/05/2013,"13 Charleville Avenue, North Strand",Dublin,90000.0,No,North Strand,Dublin 3,q1,10%
10/05/2013,"Apartment No. 52, Block 1 The Strand, 149 North Strand Road",Dublin,127753.3,No,North Strand,Dublin 3,q2,30%
16/05/2013,"Apartment  Number 38, Block 1 The Strand, 149 North Strand Road",Dublin,127753.3,Yes,North Strand,Dublin 3,q2,30%
31/05/2013,"142 North Strand Road, North Strand",Dublin,55000.0,No,North Strand,Dublin 3,q1,10%
19/06/2013,"30 Leinster Avenue, North Strand Road, Dublin 3",Dublin,155000.0,No,North Strand,Dublin 3,q2,40%
25/06/2013,"6 Spencer Place, North Strand",Dublin,53000.0,No,North Strand,Dublin 3,q1,10%
01/07/2013,"10 Emerald Street, North Strand",Dublin,106000.0,No,North Strand,Dublin 3,q1,20%
02/07/2013,"5 Northbrook Avenue, North Strand",Dublin,285000.0,No,North Strand,Dublin 3,q3,80%
04/07/2013,"43 North Strand Road, North Strand",Dublin,100000.0,No,North Strand,Dublin 3,q1,10%
26/07/2013,"Apartment No 27, Block 2, The Strand  149 North Strand Road",Dublin,145000.0,No,North Strand,Dublin 3,q2,40%
29/07/2013,"Apartment 33 Block2, The Strand, 149 North Strand Road",Dublin,105000.0,Yes,North Strand,Dublin 3,q1,20%
02/08/2013,"Apt 67 Block Harris, The Strand, 149 North Strand Road",Dublin,95000.0,Yes,North Strand,Dublin 3,q1,10%
07/08/2013,"No. 19 Aldborough Court, 1-4 North Strand Road",Dublin,130000.0,No,North Strand,Dublin 3,q2,30%
09/08/2013,"23 Upper Northbrook Avenue, North Strand",Dublin,125000.0,No,North Strand,Dublin 3,q1,30%
09/08/2013,"3 Nottingham Street, North Strand",Dublin,200000.0,No,North Strand,Dublin 3,q2,50%
09/08/2013,"Apartment 9 Block2, The Strand, 149 North Strand Road",Dublin,95000.0,Yes,North Strand,Dublin 3,q1,10%
13/08/2013,"No 9 Nottingham Street, North Strand, Dublin 3",Dublin,152000.0,No,North Strand,Dublin 3,q2,40%
21/08/2013,"27 Bayview Avenue, North Strand",Dublin,100000.0,No,North Strand,Dublin 3,q1,10%
23/08/2013,"Apartment25 Block2, The Strand, North Strand Road",Dublin,110000.0,Yes,North Strand,Dublin 3,q1,20%
03/09/2013,"Apt 56  Block 1, The Strand, 149 North Strand Road",Dublin,125000.0,Yes,North Strand,Dublin 3,q1,30%
10/09/2013,"13 Upper Northbrook Avenue, North Strand",Dublin,155000.0,No,North Strand,Dublin 3,q2,40%
11/09/2013,"Apartment 15  Block 2, The Strand  149 North Strand Road, Dublin 3",Dublin,125000.0,No,North Strand,Dublin 3,q1,30%
13/09/2013,"11 Hibernian Avenue, North Strand",Dublin,120000.0,No,North Strand,Dublin 3,q1,30%
24/09/2013,"Apartment 68  Block Harris, The Strand, 149 North Strand Road",Dublin,135500.0,Yes,North Strand,Dublin 3,q2,40%
25/09/2013,"Apt 21 The Strand, 149 North Strand Road",Dublin,125000.0,Yes,North Strand,Dublin 3,q2,30%
27/09/2013,"3 Bella Avenue, North Strand",Dublin,80000.0,No,North Strand,Dublin 3,q1,10%
27/09/2013,"53 Stranville Avenue, North Strand, Dublin 3",Dublin,95000.0,No,North Strand,Dublin 3,q1,10%
30/09/2013,"9 Clonmore Terrace, North Strand, Dublin 3",Dublin,175000.0,No,North Strand,Dublin 3,q2,50%
10/10/2013,"Apartment 66 The Strand, North Strand Road",Dublin,110000.0,Yes,North Strand,Dublin 3,q1,20%
11/10/2013,"Apartment 35  Block 2, The Strand, 149 North Strand Road",Dublin,105000.0,No,North Strand,Dublin 3,q1,20%
11/10/2013,"Apartment 8 Block 2, The Strand, 149 North Strand Road",Dublin,105000.0,Yes,North Strand,Dublin 3,q1,20%
24/10/2013,"13  Ennaville Road, North Strand, Dublin 3",Dublin,99950.0,No,North Strand,Dublin 3,q1,10%
24/10/2013,"9 Northbrook Terrace, North Strand",Dublin,125000.0,No,North Strand,Dublin 3,q2,30%
07/11/2013,"14A Seville Terrace, North Strand",Dublin,125000.0,No,North Strand,Dublin 3,q2,30%
14/11/2013,"6 Shamrock Terrace, North Strand, Dublin 1",Dublin,175100.0,No,North Strand,Dublin 3,q2,50%
03/12/2013,"Apt 53  Block 1  The Strand, 149 North Strand Road",Dublin,105000.0,Yes,North Strand,Dublin 3,q1,20%
19/12/2013,"19 Shamrock Cottages, North Strand, Dublin 1",Dublin,80000.0,No,North Strand,Dublin 3,q1,10%
20/12/2013,"Apt 14, The Strand, 149 North Strand Rd",Dublin,105000.0,No,North Strand,Dublin 3,q1,20%
20/12/2013,"Apt 16, The Strand, 149 North Strand Rd",Dublin,105000.0,No,North Strand,Dublin 3,q1,20%
23/01/2014,"Apt 39 The Strand, 149 North Strand Road, Dublin",Dublin,105000.0,Yes,North Strand,Dublin 3,q1,20%
31/01/2014,"10 The Strand, North Strand Rd, Dublin 3",Dublin,100000.0,No,North Strand,Dublin 3,q1,20%
10/02/2014,"45 Leinster Avenue, North Strand, Dublin 3",Dublin,290000.0,No,North Strand,Dublin 3,q4,80%
12/02/2014,"11 Gaelic Street, North Strand",Dublin,60000.0,No,North Strand,Dublin 3,q1,10%
12/02/2014,"Apt 28, The Strand, 149 North Strand Rd",Dublin,105000.0,No,North Strand,Dublin 3,q1,20%
12/02/2014,"Apt 61, The Strand, 149 North Strand Rd",Dublin,105000.0,No,North Strand,Dublin 3,q1,20%
25/03/2014,"Apt 44 Block 1, The Strand, 149 North Strand Road",Dublin,105000.0,Yes,North Strand,Dublin 3,q1,20%
03/04/2014,"28 Nottingham St, North Strand, Dublin",Dublin,150000.0,No,North Strand,Dublin 3,q2,40%
