date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/03/2010,"51 Kirkpatrick House, Spencer Dock, North Wall Quay",Dublin,285000.0,Yes,North Wall,Dublin 1,q3,60%
29/04/2010,"48 Cloncurry House, Spencer Dock, North Wall Quay",Dublin,165000.0,Yes,North Wall,Dublin 1,q1,20%
22/06/2010,"Apartment 8 Longford House, Spencer Dock, North Wall Quay",Dublin,205000.0,No,North Wall,Dublin 1,q2,30%
14/07/2010,"Apt 50 Cloncurry House, Spencer Dock, North Wall Quay  Dublin 2",Dublin,193000.0,Yes,North Wall,Dublin 1,q1,30%
21/07/2010,"Apartment 30, Cloncurry House  Spencer Dock, North Wall Quay  Dublin 1",Dublin,200000.0,Yes,North Wall,Dublin 1,q1,30%
06/08/2010,"92 Kirkpatrick House, Spencer Dock, North Wall Quay",Dublin,246696.04,Yes,North Wall,Dublin 1,q2,40%
17/09/2010,"Apartment 67 Baltrasna House, Spencer Dock, North Wall Quay  Dublin 1",Dublin,165000.0,Yes,North Wall,Dublin 1,q1,20%
23/09/2010,"65 Cloncurry House, Spencer Dock, North Wall Quay",Dublin,172000.0,No,North Wall,Dublin 1,q1,20%
20/10/2010,"31  Baltrasna House, Spencer Dock, North Wall Quay",Dublin,172000.0,Yes,North Wall,Dublin 1,q1,20%
22/10/2010,"Apartment No. 68, Hill Of Down House Spencer Dock, North Wall Quay",Dublin,170000.0,No,North Wall,Dublin 1,q1,20%
27/10/2010,"Unit 8 Saunders House, Spencer Dock, North Wall Quay",Dublin,308370.0,Yes,North Wall,Dublin 1,q3,80%
21/12/2010,"Apt 2  Longford House, Spencer Dock, North Wall Quay",Dublin,195000.0,No,North Wall,Dublin 1,q1,30%
04/01/2011,"Apartment 24 Baltrasna House, Spencer Dock, North Wall Quay",Dublin,290500.0,No,North Wall,Dublin 1,q3,70%
21/01/2011,"Apt 9  Longford House, Spencer Dock, North Wall Quay",Dublin,202950.0,No,North Wall,Dublin 1,q2,30%
26/01/2011,"33 Saunders House, Spencer Dock, North Wall Quay",Dublin,340000.0,Yes,North Wall,Dublin 1,q4,80%
09/02/2011,"Unit 1. Riverstown House, Spencer Dock, North Wall Quay",Dublin,220264.0,Yes,North Wall,Dublin 1,q2,40%
21/02/2011,"62 Kirkpatrick House, North Wall Quay, Dublin 1",Dublin,300000.0,No,North Wall,Dublin 1,q3,70%
