date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
18/02/2010,"Wyanstown, Oldtown",Dublin,6350.0,No,Oldtown,Co. Dublin,q1,10%
18/02/2010,"Wyanstown, Oldtown",Dublin,6350.0,No,Oldtown,Co. Dublin,q1,10%
18/02/2010,"Wyanstown, Oldtown",Dublin,6350.0,No,Oldtown,Co. Dublin,q1,10%
01/03/2010,"13 Weston Park, Oldtown, Fingal",Dublin,280000.0,Yes,Oldtown,Co. Dublin,q3,60%
14/04/2010,"8 Weston Park, Oldtown, Fingal",Dublin,280000.0,Yes,Oldtown,Co. Dublin,q3,60%
22/07/2010,"9 Clonmethan Green, Oldtown",Dublin,156000.0,Yes,Oldtown,Co. Dublin,q1,20%
02/09/2010,"8 Clonmethan Green, Oldtown",Dublin,148000.0,No,Oldtown,Co. Dublin,q1,20%
16/11/2010,"House And Site, Oldtown",Dublin,180000.0,No,Oldtown,Co. Dublin,q2,30%
04/03/2011,"30 Clonemethan Green, Oldtown",Dublin,128000.0,Yes,Oldtown,Co. Dublin,q1,10%
29/07/2011,"Cabragh House, Mooretown, Oldtown",Dublin,270000.0,No,Oldtown,Co. Dublin,q3,60%
09/08/2011,"Tuskar Lodge, Kileen, Oldtown",Dublin,380000.0,No,Oldtown,Co. Dublin,q4,80%
06/09/2011,"29 Weston Park, Fieldstown Road, Oldtown  Fingal",Dublin,210000.0,Yes,Oldtown,Co. Dublin,q2,40%
16/09/2011,"Oldtown Cottage, Oldtown",Dublin,111000.0,No,Oldtown,Co. Dublin,q1,10%
07/10/2011,"Wren Villa, Kileen, Oldtown",Dublin,350000.0,No,Oldtown,Co. Dublin,q3,80%
02/12/2011,"7 Oldtown Road, Santry",Dublin,160000.0,No,Oldtown,Co. Dublin,q1,20%
08/12/2011,"11 Oldtown Avenue, Santry, Dublin 9",Dublin,87500.0,No,Oldtown,Co. Dublin,q1,10%
16/12/2011,"Farmhouse, Moortown, Oldtown",Dublin,137000.0,No,Oldtown,Co. Dublin,q1,20%
17/01/2012,"Oldtown, County Dublin",Dublin,110000.0,No,Oldtown,Co. Dublin,q1,10%
25/01/2012,"'Avalon', Palmerstown, Oldtown",Dublin,380000.0,No,Oldtown,Co. Dublin,q4,80%
12/03/2012,"23 Oldtown Park, Santry",Dublin,187500.0,No,Oldtown,Co. Dublin,q2,30%
31/05/2012,"Palmerstown, Oldtown",Dublin,130000.0,No,Oldtown,Co. Dublin,q1,20%
08/06/2012,"Wyanstown, Oldtown",Dublin,150000.0,No,Oldtown,Co. Dublin,q1,20%
04/09/2012,"Keoghs Cross, Oldtown",Dublin,270000.0,No,Oldtown,Co. Dublin,q3,60%
13/09/2012,"Ashlaw, Oldtown, Co Dublin",Dublin,210000.0,No,Oldtown,Co. Dublin,q2,40%
11/10/2012,"Chestnut House, Oldtown",Dublin,450000.0,No,Oldtown,Co. Dublin,q4,90%
22/10/2012,"29 Oldtown Avenue, Santry",Dublin,170000.0,No,Oldtown,Co. Dublin,q1,30%
04/01/2013,"Brook Cottage, Oldtown, Co. Dublin",Dublin,190000.0,No,Oldtown,Co. Dublin,q2,40%
26/04/2013,"Highgrove House, Oldtown, County Dublin",Dublin,469650.0,No,Oldtown,Co. Dublin,q4,90%
04/11/2013,"Clonmethan, Oldtown",Dublin,165000.0,No,Oldtown,Co. Dublin,q1,30%
05/12/2013,"Clonmethan, Oldtown",Dublin,285000.0,No,Oldtown,Co. Dublin,q3,60%
30/06/2014,"Clonmethan Glebe, Oldtown",Dublin,1200000.0,No,Oldtown,Co. Dublin,q4,100%
17/07/2014,"Tall Trees, Whitestown, Oldtown",Dublin,735000.0,No,Oldtown,Co. Dublin,q4,100%
07/10/2014,"Glebe House, Oldtown",Dublin,310000.0,No,Oldtown,Co. Dublin,q3,70%
29/10/2014,"4 Weston Park, Oldtown, Co Dublin",Dublin,185000.0,No,Oldtown,Co. Dublin,q2,30%
30/10/2014,"2 The Old Schoolyard, Oldtown, Co. Dublin",Dublin,178500.0,No,Oldtown,Co. Dublin,q2,30%
27/11/2014,"4 Oldtown Court, Oldtown",Dublin,182000.0,No,Oldtown,Co. Dublin,q2,30%
10/12/2014,"Windgate House, Whitestown, Oldtown",Dublin,452000.0,No,Oldtown,Co. Dublin,q4,90%
12/12/2014,"21 Oldtown Park, Santry, Dublin 9",Dublin,250000.0,No,Oldtown,Co. Dublin,q2,50%
22/12/2014,"Cathys Cottage, The Bridge, Oldtown",Dublin,260000.0,No,Oldtown,Co. Dublin,q3,60%
13/03/2015,"Jordanstown, Oldtown, Co. Dublin",Dublin,162460.0,No,Oldtown,Co. Dublin,q1,30%
02/04/2015,"2 Oldtown Ave, Santry, Dublin 9",Dublin,295000.0,No,Oldtown,Co. Dublin,q3,70%
02/04/2015,"Jordanstown, Oldtown, Co Dublin",Dublin,120000.0,No,Oldtown,Co. Dublin,q1,10%
30/04/2015,"Greenlane, Palmerstown, Oldtown",Dublin,485000.0,No,Oldtown,Co. Dublin,q4,90%
08/05/2015,"31A Oldtown Rd, Santry, Dublin 9",Dublin,280000.0,No,Oldtown,Co. Dublin,q3,60%
30/06/2015,"Tuskar Lodge, Kileen, Oldtown",Dublin,470000.0,No,Oldtown,Co. Dublin,q4,90%
17/07/2015,"6 Oldtown Park, Santry, Dublin 9",Dublin,270000.0,No,Oldtown,Co. Dublin,q3,60%
21/08/2015,"Pondfield House, O'Brien'S Lane, Oldtown",Dublin,685000.0,No,Oldtown,Co. Dublin,q4,100%
17/09/2015,"27 Oldtown Ave, Santry, Dublin 9",Dublin,270000.0,No,Oldtown,Co. Dublin,q3,60%
01/10/2015,"43 Oldtown Ave, Santry, Dublin 9",Dublin,220000.0,No,Oldtown,Co. Dublin,q2,40%
01/12/2015,"Drishouge, Oldtown, Dublin",Dublin,295000.0,No,Oldtown,Co. Dublin,q3,70%
02/12/2015,"16 Oldtown Park, Santry, Dublin 9",Dublin,200000.0,No,Oldtown,Co. Dublin,q2,40%
12/02/2016,"Woodlands, Cabragh, Oldtown",Dublin,520000.0,No,Oldtown,Co. Dublin,q4,100%
10/03/2016,"Wyestown, Oldtown, Co Dublin",Dublin,170000.0,No,Oldtown,Co. Dublin,q1,30%
