date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/02/2010,"12 Delhurst Mews, Ongar, Dublin 15",Dublin,227000.0,No,Ongar,Dublin 15,q3,70%
08/03/2010,"19 Stralem Terrace, Ongar Park",Dublin,218000.0,No,Ongar,Dublin 15,q3,60%
19/03/2010,"49 Lily'S Way, Ongar Green",Dublin,180000.0,No,Ongar,Dublin 15,q2,40%
16/04/2010,"7 Barnwell Green, Hansfield, Ongar",Dublin,224669.59,Yes,Ongar,Dublin 15,q3,70%
22/04/2010,"14 Blackwood Lawn, Ongar",Dublin,515000.0,No,Ongar,Dublin 15,q4,100%
18/06/2010,"26 Lilds Court, Ongar Green, Dublin",Dublin,160000.0,No,Ongar,Dublin 15,q2,30%
28/06/2010,"6 Blackwood Lawn, Ongar, Dublin 15",Dublin,500000.0,No,Ongar,Dublin 15,q4,100%
29/06/2010,"28 Hayworth Mews, Ongar, Dublin 15",Dublin,235000.0,No,Ongar,Dublin 15,q3,70%
02/07/2010,"43 Lilys Way, Ongar",Dublin,180000.0,No,Ongar,Dublin 15,q2,40%
07/07/2010,"11 Delhurst Terrace, Ongar, Dublin 15",Dublin,208000.0,No,Ongar,Dublin 15,q3,60%
07/07/2010,"28 Delhurst Terrace, Ongar, Dublin 15",Dublin,337000.0,No,Ongar,Dublin 15,q4,90%
16/09/2010,"2 Blackwood Park, Ongar Chase, Ongar",Dublin,482000.0,No,Ongar,Dublin 15,q4,100%
15/10/2010,"10 Blackwood Close, Ongar Chase, Ongar",Dublin,467500.0,No,Ongar,Dublin 15,q4,100%
26/11/2010,"Apt. 32 The Crescent, Block H  Ongar Village",Dublin,120000.0,No,Ongar,Dublin 15,q1,10%
17/12/2010,"9 Lily'S Way, Ongar Green, Ongar",Dublin,175000.0,No,Ongar,Dublin 15,q2,40%
15/02/2011,"15 Willans Rise, Ongar, Dublin 15",Dublin,211000.0,No,Ongar,Dublin 15,q3,60%
14/03/2011,"66 Hayworth Terrace, Ongar",Dublin,110000.0,No,Ongar,Dublin 15,q1,10%
20/05/2011,"40 Delhurst Terrace, Ongar, Dublin 15",Dublin,165000.0,No,Ongar,Dublin 15,q2,30%
24/05/2011,"10 Hayworth Close, Ongar",Dublin,128000.0,No,Ongar,Dublin 15,q1,20%
17/06/2011,"13 Delhurst Mews, Ongar",Dublin,155000.0,No,Ongar,Dublin 15,q1,30%
09/08/2011,"12 Hayworth Mews, Ongar Park, Ongar",Dublin,200000.0,No,Ongar,Dublin 15,q2,50%
09/09/2011,"12 Annally Grove, Ongar, Dublin 15",Dublin,105000.0,No,Ongar,Dublin 15,q1,10%
15/12/2011,"8 Blackwood Close, Ongar Chase, Dublin 15",Dublin,370000.0,No,Ongar,Dublin 15,q4,100%
24/02/2012,"26 Stralem Terrace, Ongar Wood, Dublin 15",Dublin,132500.0,Yes,Ongar,Dublin 15,q1,20%
04/04/2012,"10 Barnwell Way, Hansfield, Ongar",Dublin,150000.0,No,Ongar,Dublin 15,q1,30%
04/04/2012,"3 Blackwood Mews, Ongar, Dublin 15",Dublin,321500.0,No,Ongar,Dublin 15,q4,90%
25/05/2012,"17 Hayworth Mews, Ongar",Dublin,135000.0,No,Ongar,Dublin 15,q1,20%
21/06/2012,"1 Willan'S Way East, Ongar",Dublin,80000.0,No,Ongar,Dublin 15,q1,10%
21/06/2012,"6 Barnwell Avenue, Hansfield, Ongar",Dublin,110088.0,Yes,Ongar,Dublin 15,q1,10%
13/07/2012,"19 Blackwood Drive, Ongar Chase",Dublin,315000.0,No,Ongar,Dublin 15,q4,90%
19/07/2012,"6 Blackwood Park, Ongar Chase, Ongar",Dublin,370000.0,No,Ongar,Dublin 15,q4,100%
21/09/2012,"4 Blackwood Lawns, Ongar",Dublin,325000.0,No,Ongar,Dublin 15,q4,90%
27/09/2012,"13 Lily'S Court, Ongar Square, Ongar Village",Dublin,97500.0,No,Ongar,Dublin 15,q1,10%
27/09/2012,"16 Hayworth Rise, Ongar, Dublin 15",Dublin,164000.0,No,Ongar,Dublin 15,q2,30%
04/10/2012,"5 Blackwood Close, Ongar",Dublin,395000.0,No,Ongar,Dublin 15,q4,100%
10/10/2012,"11 Hayworth Court, Ongar",Dublin,87000.0,No,Ongar,Dublin 15,q1,10%
22/10/2012,"14 Delhurst Terrace Ongar D15, Ongar",Dublin,157000.0,No,Ongar,Dublin 15,q2,30%
30/11/2012,"1 Blackwood Lawn, Ongar Chase, Ongar",Dublin,374000.0,No,Ongar,Dublin 15,q4,100%
