date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/02/2010,"Apt 83 Crosbies Yard, Ossory Road, Dublin 3",Dublin,176500.0,Yes,Ossory Road,Dublin 3,q3,70%
10/03/2010,"89 Crosbies Yard, Ossory Road",Dublin,188986.78,Yes,Ossory Road,Dublin 3,q3,80%
01/04/2010,"57 Crosbies Yard, Ossory Road",Dublin,129848.0,Yes,Ossory Road,Dublin 3,q2,50%
07/05/2010,"Apartment 9, Crosbies Yard, Ossory Road",Dublin,236500.0,Yes,Ossory Road,Dublin 3,q4,100%
14/05/2010,"26 Crosbie'S Yard, Ossory Road",Dublin,194933.0,Yes,Ossory Road,Dublin 3,q3,80%
14/05/2010,"Apartment 143, Crosbies Yard, Ossory Road  Dublin 3",Dublin,169848.0,Yes,Ossory Road,Dublin 3,q3,70%
21/05/2010,"Apartment 43, Crosbies Yard, Ossory Road",Dublin,341500.0,Yes,Ossory Road,Dublin 3,q4,100%
14/10/2010,"32 Crosbies Yard, Ossory Road, Dublin 3",Dublin,204000.0,Yes,Ossory Road,Dublin 3,q4,80%
07/03/2012,"Apt 181 /Carpark Space 149, Crosbies Yard, Ossory Road",Dublin,114979.0,Yes,Ossory Road,Dublin 3,q2,40%
15/06/2012,"126 Crosbies Yard, Ossory Road",Dublin,132500.0,Yes,Ossory Road,Dublin 3,q2,50%
19/06/2012,"Apt 71, Cosbies Yard, Ossory Road",Dublin,88500.0,Yes,Ossory Road,Dublin 3,q1,30%
20/07/2012,"Apt 193 And Carpark 154, Crosbies Yard, Ossory Road",Dublin,142000.0,No,Ossory Road,Dublin 3,q3,60%
20/07/2012,"Apt 58 Crosbies Yard, Ossory Road",Dublin,81498.0,Yes,Ossory Road,Dublin 3,q1,20%
27/07/2012,"Apartment 107, Crosbies Yard, Ossory Road",Dublin,87335.0,Yes,Ossory Road,Dublin 3,q1,30%
27/07/2012,"Apartment 11, Crosbies Yard, Ossory Road",Dublin,213348.0,Yes,Ossory Road,Dublin 3,q4,100%
27/07/2012,"Apartment 16, Crosbies Yard, Ossory Road",Dublin,124538.0,Yes,Ossory Road,Dublin 3,q2,50%
27/07/2012,"Apartment 17, Crosbies Yard, Ossory Road",Dublin,134538.0,Yes,Ossory Road,Dublin 3,q3,60%
27/07/2012,"Apartment 95, Crosbies Yard, Ossory Road",Dublin,87335.0,Yes,Ossory Road,Dublin 3,q1,30%
31/07/2012,"106 Crosbies Yard, Ossory Road",Dublin,91500.0,Yes,Ossory Road,Dublin 3,q2,30%
02/08/2012,"Apt 78 / Cp Space 76 Crosbies Yard, Ossory Road",Dublin,121146.0,Yes,Ossory Road,Dublin 3,q2,40%
08/08/2012,"Apartment 162, Crosbies Yard, Ossory Road",Dublin,114096.92,Yes,Ossory Road,Dublin 3,q2,40%
21/08/2012,"Apartment 195, Crosbies Yard, Ossory Road",Dublin,198597.5,Yes,Ossory Road,Dublin 3,q4,80%
27/08/2012,"151 Crosbies Yard, Ossory Road",Dublin,160025.0,Yes,Ossory Road,Dublin 3,q3,70%
26/09/2012,"55 Crosbies Yard, Ossory Road, Dublin 3",Dublin,211500.0,Yes,Ossory Road,Dublin 3,q4,90%
29/09/2012,"173 Crosbies Yard, Ossory Road",Dublin,205000.0,Yes,Ossory Road,Dublin 3,q4,90%
12/10/2012,"35 Crosbies Yard, Ossory Road",Dublin,135000.0,Yes,Ossory Road,Dublin 3,q3,60%
23/10/2012,"199 Crosbies Yard, Ossory Road, Dublin 3",Dublin,80616.74,Yes,Ossory Road,Dublin 3,q1,20%
