date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
01/02/2010,"78 Glenaulin Green, Palmerstown",Dublin,260000.0,No,Palmerstown,Dublin 20,q3,70%
03/02/2010,"8  Palmers Glade, Palmerstown",Dublin,330000.0,No,Palmerstown,Dublin 20,q4,90%
05/02/2010,"49 Palmerstown Drive, Palmerstown, Dublin",Dublin,410000.0,No,Palmerstown,Dublin 20,q4,100%
19/03/2010,"73 Glenmaroon Road, Palmerstown, Dublin",Dublin,285000.0,No,Palmerstown,Dublin 20,q3,80%
09/04/2010,"1 Palmerstown Grove, Milltown",Dublin,810000.0,No,Palmerstown,Dublin 20,q4,100%
14/04/2010,"4 St Edmunds Park, St Edmunds, Palmerstown",Dublin,279295.27,Yes,Palmerstown,Dublin 20,q3,70%
19/04/2010,"20 Oakcourt Close, Palmerstown, .",Dublin,223000.0,No,Palmerstown,Dublin 20,q2,50%
20/04/2010,"9 St. Edmunds Park, St Edmunds, Palmerstown",Dublin,320000.0,Yes,Palmerstown,Dublin 20,q4,80%
23/04/2010,"43 Palmerstown Green, Palmerstown",Dublin,250000.0,No,Palmerstown,Dublin 20,q3,60%
26/04/2010,"42 Oakcourt Lawns, Palmerstown",Dublin,147000.0,No,Palmerstown,Dublin 20,q1,10%
06/05/2010,"105 Whitethorn Drive, Palmerstown, Dublin 20",Dublin,250000.0,No,Palmerstown,Dublin 20,q3,60%
07/05/2010,"65 Hannah Square, Block 4  St. Edmunds, Palmerstown",Dublin,225000.0,Yes,Palmerstown,Dublin 20,q2,50%
21/05/2010,"266 Palmerstown Wood, Dublin 22",Dublin,252000.0,No,Palmerstown,Dublin 20,q3,60%
04/06/2010,"5 Palmers Park, Palmerstown, Dublin 20",Dublin,253000.0,No,Palmerstown,Dublin 20,q3,60%
16/06/2010,"25 Turret Road, Palmerstown, Dublin",Dublin,225000.0,No,Palmerstown,Dublin 20,q2,50%
25/06/2010,"44A Glenmaroon Road, Palmerstown",Dublin,300000.0,No,Palmerstown,Dublin 20,q3,80%
30/06/2010,"140 Kennelsfort Road, Palmerstown, Dublin 20",Dublin,285000.0,No,Palmerstown,Dublin 20,q3,80%
02/07/2010,"55 The Coppice, Woodfarm Acres, Palmerstown",Dublin,260000.0,No,Palmerstown,Dublin 20,q3,70%
19/07/2010,"5 Oak Court Park, Palmerstown",Dublin,180000.0,No,Palmerstown,Dublin 20,q1,20%
03/08/2010,"2 Palmerstown Park, Palmerstown, Dublin 20",Dublin,207500.0,No,Palmerstown,Dublin 20,q2,50%
09/08/2010,"3 Palmers Glade, Palmerstown Manor, Palmerstown",Dublin,285000.0,No,Palmerstown,Dublin 20,q3,80%
20/08/2010,"170 Palmerstown Wood, Clondakin",Dublin,202000.0,No,Palmerstown,Dublin 20,q2,50%
24/08/2010,"67 Culmore Road, Palmerstown, Dublin 20",Dublin,270000.0,No,Palmerstown,Dublin 20,q3,70%
27/08/2010,"7 The Vale, Woodfarm Acres, Palmerstown",Dublin,310000.0,No,Palmerstown,Dublin 20,q4,80%
08/09/2010,"98 Whitethorn Drive, Palmerstown, Dublin 20",Dublin,240000.0,No,Palmerstown,Dublin 20,q3,60%
13/09/2010,"6 The Covert, Woodfarm Acres, Palmerstown",Dublin,276000.0,No,Palmerstown,Dublin 20,q3,70%
14/09/2010,"49 Glenaulin Green, Palmerstown",Dublin,230000.0,No,Palmerstown,Dublin 20,q3,60%
22/09/2010,"16 Glenmaroon Park, Palmerstown",Dublin,273000.0,No,Palmerstown,Dublin 20,q3,70%
24/09/2010,"93 Palmerstown Drive, Palmerstown, Dublin 20",Dublin,326500.0,No,Palmerstown,Dublin 20,q4,90%
30/09/2010,"187 Whitethorn Gardens, Palmerstown",Dublin,210000.0,No,Palmerstown,Dublin 20,q2,50%
11/10/2010,"3 Palmerstown Park, Rathmines",Dublin,1300000.0,No,Palmerstown,Dublin 20,q4,100%
29/10/2010,"26 Heather Grove, Parkway Downs, Woodfarm Acres Palmerstown",Dublin,265000.0,No,Palmerstown,Dublin 20,q3,70%
29/10/2010,"70 Kenneslfort Road, Palmerstown",Dublin,230000.0,No,Palmerstown,Dublin 20,q3,60%
05/11/2010,"58  Hannah Square, Block 4  St. Edmunds, Palmerstown",Dublin,162995.59,Yes,Palmerstown,Dublin 20,q1,20%
10/11/2010,"26 Palmerstown Avenue, Palmerstown, Dublin 20",Dublin,245000.0,No,Palmerstown,Dublin 20,q3,60%
