date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/05/2012,"156 The Academy Building, Park West Pointe, Gallanstown",Dublin,77000.0,No,Park West,Dublin 12,q1,10%
29/06/2012,"107 The Crescent Building, Park West Pointe, Gallanstown",Dublin,69000.0,No,Park West,Dublin 12,q1,10%
25/10/2012,"Apartment 8, The Concert Building, Park West Point",Dublin,90000.0,No,Park West,Dublin 12,q1,10%
27/11/2012,"219 The Crescent Building, Park West Pointe, Dublin 12",Dublin,105000.0,No,Park West,Dublin 12,q1,10%
24/04/2013,"200The Crescent Building, Park West Pointe, Dublin 12",Dublin,90000.0,No,Park West,Dublin 12,q1,10%
20/06/2013,"109 The Crescent Building, Park West Point, Gallanstown  Ballyfermot",Dublin,68500.0,No,Park West,Dublin 12,q1,10%
06/09/2013,"116 The Crescent, Park West Pointe, Park West",Dublin,122000.0,No,Park West,Dublin 12,q1,20%
22/10/2013,"175 The Crescent Building, Park West Pointe, Park West  Dublin 1",Dublin,90000.0,No,Park West,Dublin 12,q1,10%
18/12/2013,"170 The Academy, Park West Pointe, Dublin 22",Dublin,111000.0,No,Park West,Dublin 12,q1,20%
16/01/2014,"19 The Crescent Building, Park West, Dublin 12",Dublin,163000.0,No,Park West,Dublin 12,q2,40%
20/05/2014,"211 Crescent Building, Park West Pointe",Dublin,171000.0,No,Park West,Dublin 12,q2,40%
22/05/2014,"209 The Crescent Apts, Park West Point, Dublin 12",Dublin,139000.0,No,Park West,Dublin 12,q1,30%
27/05/2014,"81 The Academy Building, Park West Pointe, Nangor Rd Dublin 12",Dublin,95000.0,No,Park West,Dublin 12,q1,10%
20/06/2014,"169 The Cresent, Park West Point, Dublin 12",Dublin,125000.0,No,Park West,Dublin 12,q1,20%
20/08/2014,"159 The Crescent, Park West Pointe, Yeats Way Dublin 12",Dublin,195000.0,No,Park West,Dublin 12,q3,60%
05/09/2014,"Unit No 113 The Crescent Building, Park West Pointe, Gallanstown",Dublin,140000.0,No,Park West,Dublin 12,q1,30%
22/12/2014,"111 The Cresent, Park West Pointe Dublin 12",Dublin,128239.0,No,Park West,Dublin 12,q1,20%
22/12/2014,"185 The Crescent, Park West Pointe, Yeats Way Dublin 12",Dublin,123659.0,No,Park West,Dublin 12,q1,20%
22/12/2014,"96 The Academy, Park West, Dublin 12",Dublin,128239.0,No,Park West,Dublin 12,q1,20%
08/04/2015,"166 The Academy Building, Park West Pointe, Yeats Way Dublin 12",Dublin,160000.0,No,Park West,Dublin 12,q2,30%
14/04/2015,"48 The Academy, Park West Pointe, Dublin 12",Dublin,180000.0,No,Park West,Dublin 12,q2,50%
21/04/2015,"Apt 4, Clarinda Close, Clarinda Park West",Dublin,355000.0,No,Park West,Dublin 12,q4,100%
08/05/2015,"209 The Crescent Apts, Park West Point, Dublin 12",Dublin,205000.0,No,Park West,Dublin 12,q3,60%
03/07/2015,"1 Clarinda Court, Clarinda Park West, Dun Laoighre",Dublin,337000.0,No,Park West,Dublin 12,q4,100%
10/09/2015,"22 The Academy, Park West Pointe, Parkwest Dublin 22",Dublin,90000.0,No,Park West,Dublin 12,q1,10%
14/10/2015,"210 The Crescent, Park West Pointe, Yeats Way Dublin 12",Dublin,171000.0,No,Park West,Dublin 12,q2,40%
20/11/2015,"9 The Crescent, Park West Pointe, Yeats Way Dublin 12",Dublin,145000.0,No,Park West,Dublin 12,q1,30%
10/12/2015,"Apt 5, Clarinda Park House, Clarinda Park West",Dublin,250000.0,No,Park West,Dublin 12,q4,100%
05/01/2016,"167 The Crescent, Park West Point, Gallanstown",Dublin,130000.0,No,Park West,Dublin 12,q1,20%
