date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/05/2011,"23 Parnell Square, Dublin City",Dublin,1270000.0,No,Parnell Sq,Dublin 1,q4,100%
31/10/2012,"Apartment 62, At 109 Parnell Street, Parnell Square Dublin 1",Dublin,83000.0,No,Parnell Sq,Dublin 1,q1,10%
21/01/2015,"1 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,219313.0,No,Parnell Sq,Dublin 1,q2,40%
21/01/2015,"10 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,219313.0,No,Parnell Sq,Dublin 1,q2,40%
21/01/2015,"11 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,250563.0,No,Parnell Sq,Dublin 1,q3,60%
21/01/2015,"12 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,200563.0,No,Parnell Sq,Dublin 1,q1,20%
21/01/2015,"13 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,275563.0,No,Parnell Sq,Dublin 1,q3,80%
21/01/2015,"2 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,250563.0,No,Parnell Sq,Dublin 1,q3,60%
21/01/2015,"3 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,200563.0,No,Parnell Sq,Dublin 1,q1,20%
21/01/2015,"4 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,275563.0,No,Parnell Sq,Dublin 1,q4,80%
21/01/2015,"5 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,219313.0,No,Parnell Sq,Dublin 1,q2,50%
21/01/2015,"6 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,250563.0,No,Parnell Sq,Dublin 1,q3,70%
21/01/2015,"7 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,250563.0,No,Parnell Sq,Dublin 1,q3,70%
21/01/2015,"8 Moss Hall, 49 51 Parnell Sq, Dublin",Dublin,200563.0,No,Parnell Sq,Dublin 1,q1,30%
17/06/2015,"Apt 3 Granby Hall, Parnell Sq, Dublin 1",Dublin,158000.0,No,Parnell Sq,Dublin 1,q1,10%
07/04/2016,"22 Stewarts Hall, Parnell Sq, Dublin 1",Dublin,166000.0,No,Parnell Sq,Dublin 1,q1,10%
12/08/2016,"64 Ivy Exchange, Parnell Sq West, Dublin 1",Dublin,285000.0,No,Parnell Sq,Dublin 1,q4,90%
24/08/2016,"69 Ivy Exchange, Parnell Sq West, Dublin 1",Dublin,235000.0,No,Parnell Sq,Dublin 1,q2,50%
29/09/2016,"68 Ivy Exchange, Parnell Sq West, Dublin 1",Dublin,216000.0,No,Parnell Sq,Dublin 1,q2,30%
09/12/2016,"67 Ivy Exchange, Parnell Sq West, Dublin 1",Dublin,282500.0,No,Parnell Sq,Dublin 1,q4,90%
07/01/2018,"55 Parnell Square West, Rotunda, Dublin 1",Dublin,554178.0,No,Parnell Sq,Dublin 1,q4,100%
