date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/03/2010,"Apt 138, Ivy Exchange, Parnell Street",Dublin,135000.0,No,Parnell St,Dublin 1,q2,30%
07/05/2010,"Apartment 25 Stewart Hall, Parnell Street",Dublin,166200.0,No,Parnell St,Dublin 1,q2,50%
02/07/2010,"3 Parnell Street, Dublin 1",Dublin,300000.0,No,Parnell St,Dublin 1,q4,90%
02/07/2010,"4 Parnell Street, Dublin 1",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
02/07/2010,"5 Parnell Street, Dublin 1",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
02/07/2010,"6 Parnell Street, Dublin 1",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
02/07/2010,"Apartment 119, 109  Parnell Street",Dublin,85000.0,No,Parnell St,Dublin 1,q1,10%
29/09/2010,"Apartment 139, 109 Parnell Street, Dublin 1.",Dublin,105000.0,No,Parnell St,Dublin 1,q1,20%
21/12/2010,"Apartment 45, 109 Parnell Street, Dublin 1",Dublin,80000.0,No,Parnell St,Dublin 1,q1,10%
25/05/2011,"Apartment 32, Kingscourt, Parnell Street",Dublin,140000.0,No,Parnell St,Dublin 1,q2,30%
27/05/2011,"Apartment 157, Kingscourt, Parnell Street",Dublin,113000.0,No,Parnell St,Dublin 1,q1,30%
21/10/2011,"Apartment 152, Kings Court, Parnell Street",Dublin,148000.0,No,Parnell St,Dublin 1,q2,40%
17/11/2011,"15 Stewart Hall, Parnell Street",Dublin,107500.0,No,Parnell St,Dublin 1,q1,20%
08/12/2011,"84 Greeg Court, Parnell Street",Dublin,335000.0,Yes,Parnell St,Dublin 1,q4,100%
14/02/2012,"56 Stewart Hall, Parnell Street, Dublin",Dublin,110000.0,No,Parnell St,Dublin 1,q1,20%
25/05/2012,"136 Ivy Exchange, Parnell Street",Dublin,105000.0,No,Parnell St,Dublin 1,q1,20%
28/09/2012,"96, Ivy Exchange, Parnell Street",Dublin,185000.0,No,Parnell St,Dublin 1,q3,60%
21/11/2012,"4 Loftus Court, 7/11 Parnell Street",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
21/11/2012,"5 Loftus Court, 7/11 Parnell Street",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
21/11/2012,"89 Stewart Hall, Parnell Street, Dublin 1",Dublin,115000.0,No,Parnell St,Dublin 1,q1,30%
03/12/2012,"125 Kings Court, Parnell Street",Dublin,110000.0,No,Parnell St,Dublin 1,q1,20%
20/12/2012,"Apartment 177, Ivy Exchange, Parnell Street",Dublin,198000.0,No,Parnell St,Dublin 1,q3,70%
20/12/2012,"Apartment 96, Kings Court, Parnell St.",Dublin,170000.0,No,Parnell St,Dublin 1,q2,50%
31/01/2013,"91 Kingscourt, Parnell Street",Dublin,110000.0,No,Parnell St,Dublin 1,q1,20%
01/02/2013,"Apartment 85, 109 Parnell Street, Dublin 1",Dublin,66000.0,No,Parnell St,Dublin 1,q1,10%
05/02/2013,"Apartment 156, Kingscourt, Parnell Street",Dublin,100000.0,No,Parnell St,Dublin 1,q1,20%
15/03/2013,"Apt 40, 109 Parnell Street",Dublin,81000.0,No,Parnell St,Dublin 1,q1,10%
21/03/2013,"Apartment 16, Kingscourt, Parnell Street",Dublin,153000.0,No,Parnell St,Dublin 1,q2,40%
05/04/2013,"Apartment 47 Stewart Hall, Parnell Street/Ryders Row, Dublin 1",Dublin,166000.0,No,Parnell St,Dublin 1,q2,50%
24/04/2013,"Apt 41, 109 Parnell Street, Dublin 1",Dublin,85000.0,No,Parnell St,Dublin 1,q1,20%
08/05/2013,"21 Ivy Exchange, Parnell Street, Dublin 1",Dublin,225000.0,No,Parnell St,Dublin 1,q3,70%
24/05/2013,"40, Kings Court, Parnell Street",Dublin,139800.0,No,Parnell St,Dublin 1,q2,30%
07/06/2013,"Apt 130, Kings Court Apartments, Parnell Street",Dublin,140000.0,No,Parnell St,Dublin 1,q2,30%
18/06/2013,"82 Kingscourt, Parnell Street",Dublin,86000.0,No,Parnell St,Dublin 1,q1,20%
21/08/2013,"Apartment 76, 109 Parnell Street",Dublin,75000.0,No,Parnell St,Dublin 1,q1,10%
18/09/2013,"Apartment 34, 109 Parnell Street, Dublin 1",Dublin,65000.0,No,Parnell St,Dublin 1,q1,10%
04/10/2013,"35 Stewart Hall, Ryder Row, Off Parnell Street",Dublin,156000.0,No,Parnell St,Dublin 1,q2,50%
24/10/2013,"Apt 95  Car Park Space 20, 109 Parnell Street",Dublin,82500.0,No,Parnell St,Dublin 1,q1,10%
25/10/2013,"Apartment 75, 109 Parnell Street, Dublin1",Dublin,85000.0,No,Parnell St,Dublin 1,q1,20%
28/11/2013,"159 Parnell Street, Dublin 1",Dublin,152000.0,No,Parnell St,Dublin 1,q2,40%
12/12/2013,"Apt 101, 109 Parnell St, Dublin 1",Dublin,75500.0,No,Parnell St,Dublin 1,q1,10%
17/12/2013,"Apt. No. 127, 109 Parnell St., Dublin 1",Dublin,75000.0,No,Parnell St,Dublin 1,q1,10%
19/12/2013,"21 Gregg Court, Parnell St, Dublin",Dublin,146100.0,No,Parnell St,Dublin 1,q2,40%
20/12/2013,"108 109 Parnell St, Dublin 1, Dublin",Dublin,80000.0,No,Parnell St,Dublin 1,q1,10%
20/12/2013,"Apt 66, 109 Parnell St, Dublin 1",Dublin,82000.0,No,Parnell St,Dublin 1,q1,10%
31/01/2014,"Apt. No. 98, 109 Parnell St., Dublin 1",Dublin,120000.0,No,Parnell St,Dublin 1,q1,30%
27/03/2014,"Apt 1 153 154 Parnell St, Dublin 1, Dublin",Dublin,50000.0,No,Parnell St,Dublin 1,q1,10%
27/03/2014,"Apt 2, 153 154 Parnell St, Dublin 1",Dublin,65000.0,No,Parnell St,Dublin 1,q1,10%
27/03/2014,"Apt 6, 153/154 Parnell St, Dublin 1",Dublin,65000.0,No,Parnell St,Dublin 1,q1,10%
23/04/2014,"41 Stewarts Hall, Ryder'S Row, Parnell Street  Dublin 1",Dublin,139000.0,No,Parnell St,Dublin 1,q2,30%
23/04/2014,"91 Parnell St, Apt 2, Dublin 1",Dublin,100000.0,No,Parnell St,Dublin 1,q1,20%
23/05/2014,"Apt 1, 143 Parnell St, Dublin1",Dublin,150000.0,No,Parnell St,Dublin 1,q2,40%
24/06/2014,"Apt 60, Kings Court, Parnell St Dublin 1",Dublin,195000.0,No,Parnell St,Dublin 1,q3,60%
10/07/2014,"156 Great Britain Now Known As, 156 Parnell Street, Dublin 1",Dublin,323000.0,No,Parnell St,Dublin 1,q4,90%
15/07/2014,"Apt 117 Greeg Court, Parnell Street",Dublin,117200.0,No,Parnell St,Dublin 1,q1,30%
18/07/2014,"Apt 52, 109 Parnell St, Dublin",Dublin,105000.0,No,Parnell St,Dublin 1,q1,20%
31/07/2014,"Apt 20, 151 Parnell St, Dublin 1",Dublin,130000.0,No,Parnell St,Dublin 1,q2,30%
01/09/2014,"Apartment 114, Greeg Court, Parnell Street",Dublin,220000.0,Yes,Parnell St,Dublin 1,q3,70%
01/09/2014,"Apartment 122 And Car Space No. 14, Greeg Court, Parnell Street",Dublin,220000.0,Yes,Parnell St,Dublin 1,q3,70%
10/09/2014,"154 Kingscourt, Parnell Street, Dublin 1",Dublin,287000.0,No,Parnell St,Dublin 1,q4,90%
02/10/2014,"Apt 10 Stewart House, 182 Parnell Street, Dublin 1",Dublin,70000.0,No,Parnell St,Dublin 1,q1,10%
02/10/2014,"Apt 7 Stewart House, 182 Parnell Street, Dublin 1",Dublin,70000.0,No,Parnell St,Dublin 1,q1,10%
21/10/2014,"4 Kings Court, Parnell St, Dublin",Dublin,225000.0,No,Parnell St,Dublin 1,q3,80%
23/10/2014,"6 Kings Court, Parnell St, Dublin",Dublin,190000.0,No,Parnell St,Dublin 1,q3,60%
28/10/2014,"89 Kings Court, Parnell St, Dublin 1",Dublin,155000.0,No,Parnell St,Dublin 1,q2,50%
03/11/2014,"7 Temple Hall, Parnell St, Dublin 1",Dublin,157000.0,No,Parnell St,Dublin 1,q2,50%
13/11/2014,"4 Temple Hall, Parnell St, Dublin 1",Dublin,157000.0,No,Parnell St,Dublin 1,q2,50%
18/11/2014,"Apt. 88, 109 Parnell Street, Dublin 1",Dublin,117500.0,No,Parnell St,Dublin 1,q1,30%
16/12/2014,"Apt 1 153 154 Parnell St, Dublin 1, Dublin",Dublin,375000.0,No,Parnell St,Dublin 1,q4,100%
22/12/2014,"59 Kings Court, Parnell St, Dublin 1",Dublin,235000.0,No,Parnell St,Dublin 1,q3,80%
12/01/2015,"Apartment 9, 109 Parnell Street",Dublin,125000.0,No,Parnell St,Dublin 1,q1,30%
23/01/2015,"105 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"108 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"110 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"119 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"121 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"123 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"19 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"26 Gregg Court, Parnell St, Dublin 1",Dublin,105800.0,No,Parnell St,Dublin 1,q1,20%
23/01/2015,"31 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"32 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"38 Gregg Court, Parnell St, Dublin 1",Dublin,105800.0,No,Parnell St,Dublin 1,q1,20%
23/01/2015,"39 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"40 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"42 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"43 Gregg Court, Parnell St, Dublin 1",Dublin,105800.0,No,Parnell St,Dublin 1,q1,20%
23/01/2015,"45 Gregg Court, Parnell St, Dublin 1",Dublin,105800.0,No,Parnell St,Dublin 1,q1,20%
23/01/2015,"46 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"47 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"48 Gregg Court, Parnell St, Dublin 1",Dublin,105800.0,No,Parnell St,Dublin 1,q1,20%
23/01/2015,"53 Gregg Court, Parnell St, Dublin 1",Dublin,146950.0,No,Parnell St,Dublin 1,q2,40%
23/01/2015,"61 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"80 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"86 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"94 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
23/01/2015,"97 Gregg Court, Parnell St, Dublin 1",Dublin,158950.0,No,Parnell St,Dublin 1,q2,50%
06/02/2015,"Apts At Ivy Exchange, Parnell St, Dublin 1",Dublin,480000.0,No,Parnell St,Dublin 1,q4,100%
16/02/2015,"Apts At Ivy Exchange, Parnell St, Dublin 1",Dublin,620000.0,No,Parnell St,Dublin 1,q4,100%
20/02/2015,"148 Parnell St, Dublin 1, Dublin",Dublin,85000.0,No,Parnell St,Dublin 1,q1,20%
09/03/2015,"Apt 2 Stewart House, 185 Parnell Street, Dublin 1",Dublin,70000.0,No,Parnell St,Dublin 1,q1,10%
09/03/2015,"Apt 3 Stewart House, 185 Parnell St, Dublin 1",Dublin,70000.0,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"106 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"113 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"117 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"121 Ivy Exchange, Parnell Street",Dublin,77777.84,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"62 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"74 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"75 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"80 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
11/03/2015,"80 Ivy Exchange, Parnell Street",Dublin,77777.77,No,Parnell St,Dublin 1,q1,10%
15/05/2015,"Apt.63, 109 Parnell Street, Dublin 1",Dublin,125000.0,No,Parnell St,Dublin 1,q1,30%
20/05/2015,"120 Kings Court, Parnell St, Dublin 1",Dublin,270000.0,No,Parnell St,Dublin 1,q4,80%
17/06/2015,"Apt 82 Stewarts Hall, Parnell Street, Dublin 2",Dublin,195000.0,No,Parnell St,Dublin 1,q3,60%
19/06/2015,"Apt 23 Stewart Hall, Parnell St, Dublin 1",Dublin,205000.0,No,Parnell St,Dublin 1,q3,70%
