date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
03/06/2010,"Apartment 9 The Hazel, Wintergarden, Pearse Street",Dublin,135000.0,No,Pearse St,Dublin 2,q1,10%
21/07/2010,"Apt 176 Wintergardens, Pearse Street",Dublin,140000.0,No,Pearse St,Dublin 2,q1,10%
04/08/2010,"20 Byrne'S Lane, Pearse Street, Dublin 2",Dublin,260000.0,No,Pearse St,Dublin 2,q2,50%
24/01/2011,"Apartment 76 Wintergarden, Pearse Street",Dublin,250000.0,No,Pearse St,Dublin 2,q2,40%
29/04/2011,"63 Wintergarden, Pearse St",Dublin,210000.0,No,Pearse St,Dublin 2,q2,30%
21/12/2011,"181 Wintergarden, Pearse Street",Dublin,127500.0,No,Pearse St,Dublin 2,q1,10%
26/07/2012,"Apt. 4, Block 15 Gallery Quay, Pearse Street",Dublin,195000.0,No,Pearse St,Dublin 2,q1,20%
07/11/2012,"111 Westland Square, Pearse Street",Dublin,230000.0,No,Pearse St,Dublin 2,q2,40%
20/12/2012,"78 Wintergarden, Pearse Street, Dublin 2",Dublin,200000.0,No,Pearse St,Dublin 2,q1,20%
21/12/2012,"112 Westland Square, Pearse Street",Dublin,205000.0,No,Pearse St,Dublin 2,q1,30%
27/08/2013,"89 Wintergarden, Pearse St, Dublin 2",Dublin,137000.0,No,Pearse St,Dublin 2,q1,10%
12/02/2014,"148 Pearse Street, Dublin 2",Dublin,260000.0,No,Pearse St,Dublin 2,q2,50%
26/02/2014,"30 Winter Garden, Pearse St, Dublin",Dublin,220000.0,No,Pearse St,Dublin 2,q2,40%
26/03/2014,"15 Trinity Plaza, Pearse St, Dublin 2",Dublin,175000.0,No,Pearse St,Dublin 2,q1,10%
17/04/2014,"80 Wintergarden, Pearse Street",Dublin,270000.0,No,Pearse St,Dublin 2,q2,50%
05/06/2014,"15 Magennis Sq, Pearse St, Dublin 2",Dublin,230000.0,No,Pearse St,Dublin 2,q2,40%
