date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/08/2010,"Apt. 7 Arronmore, 13-17 Pembroke Road",Dublin,180000.0,No,Pembroke,Dublin 4,q1,10%
17/12/2010,"3  Waterloo Mews, Pembroke Lane, Dublin 4",Dublin,635000.0,No,Pembroke,Dublin 4,q4,90%
05/05/2011,"103 Berkley, Pembroke Square, Upper Grand Canal Street",Dublin,150000.0,No,Pembroke,Dublin 4,q1,10%
07/07/2011,"23 Pembroke Square, Grand Canal Dock, Dublin 4",Dublin,220000.0,No,Pembroke,Dublin 4,q1,10%
08/07/2011,"4 Waterloo Mews, Pembroke Road",Dublin,489000.0,No,Pembroke,Dublin 4,q3,80%
10/08/2011,"3 Pembroke Place, Pembroke Street",Dublin,400000.0,No,Pembroke,Dublin 4,q3,60%
11/08/2011,"Apartment 21  Arranmore, 13/17 Pembroke Road, Dublin 4",Dublin,120000.0,No,Pembroke,Dublin 4,q1,10%
10/11/2011,"Apt 188, Pembroke Square, Upper Grand Canal Street",Dublin,575000.0,No,Pembroke,Dublin 4,q4,80%
17/11/2011,"Apartment 28, Arranmore, 13-17 Pembroke Road",Dublin,233000.0,No,Pembroke,Dublin 4,q1,20%
02/12/2011,"109 Pembroke Square, Upper Grand Canal Street, Dublin 2",Dublin,474000.0,No,Pembroke,Dublin 4,q3,80%
28/03/2012,"33  Arranmore, 13-17 Pembroke Road",Dublin,170000.0,No,Pembroke,Dublin 4,q1,10%
06/07/2012,"36 Pembroke Square, Upper Grand Canal Street, Dublin 4",Dublin,232500.0,No,Pembroke,Dublin 4,q1,20%
20/08/2012,"Apartment 163 The Berkley, Pembroke Square, Upper Grand Canal Street",Dublin,205000.0,No,Pembroke,Dublin 4,q1,10%
27/08/2012,"107 Pembroke Square, Uppr. Grand Canal St., Dublin 4",Dublin,250000.0,No,Pembroke,Dublin 4,q1,20%
17/12/2012,"16, Sussex Road, Pembroke West",Dublin,390000.0,No,Pembroke,Dublin 4,q2,50%
21/12/2012,"Carrisbrook House, Pembroke Road, And Mews At 122 Baggot Lane",Dublin,475000.0,No,Pembroke,Dublin 4,q3,80%
08/05/2013,"28 Arranmore, Pembroke Rd, Dublin 4",Dublin,215000.0,No,Pembroke,Dublin 4,q1,10%
18/06/2013,"88 Pembroke Square, Grand Canal Street, Dublin 4",Dublin,475000.0,No,Pembroke,Dublin 4,q3,80%
16/07/2013,"170 Berkeley, Pembroke Square, Grand Canal Street",Dublin,265000.0,No,Pembroke,Dublin 4,q1,20%
15/08/2013,"Apartment 40 Pembroke Square, Upper Grand Canal Street, Dublin 4",Dublin,275000.0,No,Pembroke,Dublin 4,q1,30%
22/08/2013,"Apartment 79, Pembroke Square, Upper Grand Canal Street",Dublin,295000.0,No,Pembroke,Dublin 4,q2,30%
06/09/2013,"Apartment 78  Pembroke Square, Upper Grand Canal Street",Dublin,287500.0,No,Pembroke,Dublin 4,q2,30%
27/09/2013,"11 Pembroke Place, Dublin 4",Dublin,1375000.0,No,Pembroke,Dublin 4,q4,100%
14/10/2013,"Apartment 72, Ardoyne House, Pembroke Park",Dublin,350000.0,No,Pembroke,Dublin 4,q2,50%
05/11/2013,"Apt 85 Pembroke Square, Upper Grand Canal Street, Dublin 4",Dublin,275000.0,No,Pembroke,Dublin 4,q1,30%
06/12/2013,"132 Pembroke Sq, Grand Canal St, Dublin 4",Dublin,292000.0,No,Pembroke,Dublin 4,q2,30%
18/12/2013,"8 Bagod Rath, Pembroke Row, Dublin 2",Dublin,225000.0,No,Pembroke,Dublin 4,q1,10%
23/12/2013,"139 The Berkley Block, Pembroke Sq, Grand Canal St Upper Dublin 4",Dublin,260000.0,No,Pembroke,Dublin 4,q1,20%
16/01/2014,"9 Berkley House 23 25 Pembroke Rd, Dublin 4, Dublin",Dublin,265000.0,No,Pembroke,Dublin 4,q1,20%
31/01/2014,"10 Pembroke Road, Dublin 2",Dublin,651750.0,No,Pembroke,Dublin 4,q4,90%
12/02/2014,"58 Pembroke Sq, Grand Canal St Upper, Dublin 4",Dublin,263000.0,No,Pembroke,Dublin 4,q1,20%
14/02/2014,"Apartment 76, Pembroke Square, Upper Grand Canal Street",Dublin,310000.0,No,Pembroke,Dublin 4,q2,40%
26/02/2014,"Apartment 12A, Pembroke Court, 75 Pembroke Road",Dublin,260000.0,No,Pembroke,Dublin 4,q1,20%
05/03/2014,"3 Bagod Rath, Pembroke Row, Dublin 2",Dublin,320000.0,No,Pembroke,Dublin 4,q2,40%
11/04/2014,"24 Arranmore, 13 17 Pembroke Rd, Dublin 4",Dublin,180000.0,No,Pembroke,Dublin 4,q1,10%
14/05/2014,"7 Pembroke Rd, Dublin 4, Dublin",Dublin,1950000.0,No,Pembroke,Dublin 4,q4,100%
19/05/2014,"Apartment 5 Bagod Rath, Pembroke Row, Dublin 2",Dublin,510000.0,No,Pembroke,Dublin 4,q3,80%
12/06/2014,"Apt 178, Pembroke Sq Apts, Grand Canal St Dublin 4",Dublin,440000.0,No,Pembroke,Dublin 4,q3,70%
13/06/2014,"Apartment 41, Arranmore, 13/17 Pembroke Road",Dublin,230000.0,No,Pembroke,Dublin 4,q1,20%
30/06/2014,"8 The Lansdowne Block, Pembroke Sq, Grand Canal St Upper Dublin 4",Dublin,300500.0,No,Pembroke,Dublin 4,q2,30%
