date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
31/05/2010,"89Rockfield Avenue, Perrystown",Dublin,382000.0,No,Perrystown,Dublin 12,q3,60%
04/06/2010,"11 Muckross Grove, Perrystown",Dublin,312250.0,No,Perrystown,Dublin 12,q2,40%
16/07/2010,"21 Muckross Park, Perrystown",Dublin,325000.0,No,Perrystown,Dublin 12,q2,40%
05/11/2010,"4  Hillsbrook Avenue, Perrystown",Dublin,287500.0,No,Perrystown,Dublin 12,q2,30%
12/11/2010,"10 Whitehall Square, Perrystown",Dublin,152000.0,No,Perrystown,Dublin 12,q1,10%
29/11/2010,"87 Rockfield Avenue, Perrystown",Dublin,380000.0,No,Perrystown,Dublin 12,q3,60%
20/01/2011,"4 Hillsbrook Crescent, Perrystown, Dublin 12",Dublin,245000.0,No,Perrystown,Dublin 12,q1,30%
14/03/2011,"4 Muckross Green, Perrystown, Dublin 12",Dublin,260000.0,No,Perrystown,Dublin 12,q1,30%
03/05/2011,"60 Muckross Avenue, Perrystown",Dublin,275000.0,No,Perrystown,Dublin 12,q2,30%
17/05/2011,"32 Hillsbrook Avenue, Perrystown",Dublin,240000.0,No,Perrystown,Dublin 12,q1,20%
17/06/2011,"160 Whitehall Road West, Perrystown",Dublin,210000.0,No,Perrystown,Dublin 12,q1,20%
11/08/2011,"128 Whitehall Road West, Perrystown",Dublin,220000.0,No,Perrystown,Dublin 12,q1,20%
19/08/2011,"34  Whitehall Road, Perrystown",Dublin,196000.0,No,Perrystown,Dublin 12,q1,20%
17/10/2011,"5 Muckross Park, Perrystown",Dublin,290000.0,No,Perrystown,Dublin 12,q2,30%
27/10/2011,"102 Rockfield Avenue, Perrystown, Dublin 12",Dublin,300000.0,No,Perrystown,Dublin 12,q2,30%
16/01/2012,"34 Rockfield Avenue, Perrystown",Dublin,410000.0,No,Perrystown,Dublin 12,q3,70%
29/02/2012,"52 Whitehall Road West, Perrystown",Dublin,120000.0,No,Perrystown,Dublin 12,q1,10%
30/03/2012,"77 Rockfield Avenue, Perrystown",Dublin,390000.0,No,Perrystown,Dublin 12,q3,60%
26/04/2012,"46 Hillsbrook Avenue, Perrystown",Dublin,210000.0,No,Perrystown,Dublin 12,q1,20%
25/07/2012,"74  Whitehall Road West, Kimmage, Perrystown",Dublin,230050.0,No,Perrystown,Dublin 12,q1,20%
31/08/2012,"62 Rockfield Avenue, Perrystown",Dublin,327500.0,No,Perrystown,Dublin 12,q2,40%
24/09/2012,"33 Muckross Green, Perrystown",Dublin,135000.0,No,Perrystown,Dublin 12,q1,10%
17/10/2012,"161 Whitehall Road West, Perrystown, Dublin 12",Dublin,313000.0,No,Perrystown,Dublin 12,q2,40%
14/11/2012,"112 Rockfield Avenue, Perrystown",Dublin,317250.0,No,Perrystown,Dublin 12,q2,40%
21/11/2012,"48 Green Trees Road, Perrystown, Dublin 12",Dublin,345000.0,No,Perrystown,Dublin 12,q2,50%
13/12/2012,"28 Whitehall Square, Perrystown",Dublin,115000.0,No,Perrystown,Dublin 12,q1,10%
14/12/2012,"83 Greentrees Road, Manor Estate, Perrystown",Dublin,315000.0,No,Perrystown,Dublin 12,q2,40%
18/12/2012,"78 Greentrees Road, Perrystown, Dublin12",Dublin,326500.0,No,Perrystown,Dublin 12,q2,40%
17/01/2013,"13B  Hillsbrook Crescent, Perrystown",Dublin,355000.0,No,Perrystown,Dublin 12,q2,50%
22/02/2013,"34 Whitehall Square, Perrystown, Dublin 12",Dublin,110000.0,No,Perrystown,Dublin 12,q1,10%
22/04/2013,"43 Muckross Avenue, Perrystown, Dublin",Dublin,255000.0,No,Perrystown,Dublin 12,q1,30%
28/06/2013,"92 Whitehall Road West, Perrystown",Dublin,235000.0,No,Perrystown,Dublin 12,q1,20%
04/07/2013,"11  Rockfield Avenue, Perrystown",Dublin,356000.0,No,Perrystown,Dublin 12,q2,50%
18/09/2013,"14 Muckross Crescent, Perrystown",Dublin,270000.0,No,Perrystown,Dublin 12,q2,30%
13/11/2013,"3 Rockfield Ave, Perrystown, Dublin 12",Dublin,385000.0,No,Perrystown,Dublin 12,q3,60%
18/11/2013,"4 Muckross Avenue, Perrystown, Dublin 12",Dublin,247000.0,No,Perrystown,Dublin 12,q1,30%
17/01/2014,"30 Hillsbrook Ave, Perrystown, Dublin 12",Dublin,395000.0,No,Perrystown,Dublin 12,q3,60%
31/01/2014,"24 Hillsbrook Grove, Perrystown, Dublin 12",Dublin,365000.0,No,Perrystown,Dublin 12,q2,50%
27/03/2014,"22 Hillsbrook Avenue, Perrystown, Dublin 12",Dublin,72000.0,No,Perrystown,Dublin 12,q1,10%
11/08/2014,"6 Muckross Park, Perrystown, Dublin 12",Dublin,350000.0,No,Perrystown,Dublin 12,q2,50%
12/09/2014,"121 Rockfield Ave, Perrystown, Dublin 12",Dublin,315000.0,No,Perrystown,Dublin 12,q2,40%
18/12/2014,"17 Rockfield Ave, Perrystown, Dublin 12",Dublin,419000.0,No,Perrystown,Dublin 12,q3,70%
19/12/2014,"39 Whitehall Square, Perrystown, Dublin 12",Dublin,190000.0,No,Perrystown,Dublin 12,q1,10%
24/02/2015,"113 Rockfield Ave, Perrystown, Dublin 12",Dublin,460000.0,No,Perrystown,Dublin 12,q4,90%
25/02/2015,"40 Rockfield Avenue, Perrystown, Dublin 12",Dublin,455000.0,No,Perrystown,Dublin 12,q4,90%
16/04/2015,"39 Hillsbrook Ave, Perrystown, Dublin 12",Dublin,313000.0,No,Perrystown,Dublin 12,q2,40%
01/05/2015,"22 Muckross Park, Perrystown, Dublin 12",Dublin,392000.0,No,Perrystown,Dublin 12,q3,60%
15/05/2015,"11 Hillsbrook Grove, Perrystown",Dublin,335000.0,No,Perrystown,Dublin 12,q2,50%
05/06/2015,"48 Muchross Ave, Perrystown, Dublin 12",Dublin,360000.0,No,Perrystown,Dublin 12,q2,50%
26/06/2015,"112 Rockfield Ave, Perrystown, Dublin 12",Dublin,460000.0,No,Perrystown,Dublin 12,q4,90%
10/08/2015,"7 Whitehall Sq, Quarry Dr, Perrystown Dublin 12",Dublin,215000.0,No,Perrystown,Dublin 12,q1,20%
17/09/2015,"186 Whitehall Rd, Perrystown, Dublin",Dublin,170000.0,No,Perrystown,Dublin 12,q1,10%
06/10/2015,"2 Avondale Terrace, Perrystown, Dublin 12",Dublin,237000.0,No,Perrystown,Dublin 12,q1,20%
13/10/2015,"56 Hillsbrook Ave, Perrystown, Dublin 12",Dublin,410000.0,No,Perrystown,Dublin 12,q3,70%
14/10/2015,"14 Rockfield Ave, Perrystown, Dublin 12",Dublin,470000.0,No,Perrystown,Dublin 12,q4,90%
20/10/2015,"44 Muckross Ave, Perrystown, Dublin 12",Dublin,130000.0,No,Perrystown,Dublin 12,q1,10%
21/10/2015,"148 Whitehall Rd West, Perrystown, Dublin 12",Dublin,315000.0,No,Perrystown,Dublin 12,q2,40%
07/12/2015,"28 Muckross Avenue, Perrystown, Dublin 12",Dublin,335000.0,No,Perrystown,Dublin 12,q2,50%
11/04/2016,"1 Muckross Crescent, Perrystown, Dublin 12",Dublin,410000.0,No,Perrystown,Dublin 12,q3,70%
06/05/2016,"18 Greentrees Rd, Manor Estate, Perrystown Dublin 12",Dublin,471000.0,No,Perrystown,Dublin 12,q4,90%
06/05/2016,"55 Dangan Park, Perrystown, Dublin 12",Dublin,380000.0,No,Perrystown,Dublin 12,q3,60%
18/05/2016,"1 Muckross Grove, Perrystown Estate, Dublin 12",Dublin,395000.0,No,Perrystown,Dublin 12,q3,60%
27/05/2016,"86 Whitehall Road West, Perrystown, Dublin 12",Dublin,307500.0,No,Perrystown,Dublin 12,q2,40%
16/06/2016,"2 Muckross Crescent, Perrystown, Dublin 12",Dublin,380000.0,No,Perrystown,Dublin 12,q3,60%
04/07/2016,"106 Rockfield Ave, Perrystown, Dublin 12",Dublin,452500.0,No,Perrystown,Dublin 12,q4,90%
08/09/2016,"50 Whitehall Sq, Perrystown, Dublin 12",Dublin,190000.0,No,Perrystown,Dublin 12,q1,20%
05/10/2016,"85 Muckross Ave, Perrystown, Dublin 12",Dublin,450000.0,No,Perrystown,Dublin 12,q4,80%
19/10/2016,"38 Whithall Sq, Perrystown, Dublin 12",Dublin,140000.0,No,Perrystown,Dublin 12,q1,10%
21/10/2016,"8 Hillbrook Dr, Perrystown, Dublin 12",Dublin,370000.0,No,Perrystown,Dublin 12,q2,50%
30/10/2016,"190 Whitehall Road, Perrystown, Dublin 12",Dublin,182000.0,No,Perrystown,Dublin 12,q1,10%
31/10/2016,"123 Rockfield Ave, Perrystown, Dublin 12",Dublin,362500.0,No,Perrystown,Dublin 12,q2,50%
13/12/2016,"25 Hillsbrook Grove, Perrystown, Dublin 12",Dublin,417000.0,No,Perrystown,Dublin 12,q3,70%
