date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"20A Auburn Street, Phibsboro",Dublin,190000.0,No,Phibsboro,Dublin 7,q1,30%
05/02/2010,"4 Connaught Street, Phibsboro",Dublin,392000.0,No,Phibsboro,Dublin 7,q4,80%
19/03/2010,"27 Norfolk Road, Phibsboro",Dublin,300000.0,No,Phibsboro,Dublin 7,q3,60%
31/03/2010,"8 Avondale Road, Phibsboro",Dublin,216500.0,No,Phibsboro,Dublin 7,q2,40%
23/04/2010,"18 Saint Benedict'S Gardens, Phibsboro, Dublin 7",Dublin,248000.0,No,Phibsboro,Dublin 7,q2,50%
30/04/2010,"22 Fontenoy Street, Phibsboro",Dublin,280000.0,No,Phibsboro,Dublin 7,q3,60%
27/05/2010,"2 Great Western Villas, Phibsboro",Dublin,195000.0,No,Phibsboro,Dublin 7,q1,30%
18/06/2010,"134 Connaught Street, Phibsboro, Dublin 7",Dublin,330000.0,No,Phibsboro,Dublin 7,q3,70%
01/07/2010,"5 Leo Street, North Circular Road, Phibsboro",Dublin,290000.0,No,Phibsboro,Dublin 7,q3,60%
12/07/2010,"151 New Cabra Road, Phibsboro, Dublin 7",Dublin,474500.0,No,Phibsboro,Dublin 7,q4,90%
15/07/2010,"10 Norfolk Road, Phibsboro, Dublin 7",Dublin,370000.0,No,Phibsboro,Dublin 7,q3,80%
02/08/2010,"49 Shandon Mill, Phibsboro, Dublin 7",Dublin,145000.0,No,Phibsboro,Dublin 7,q1,10%
05/08/2010,"148 Phibsboro Road, Phibsboro",Dublin,125000.0,No,Phibsboro,Dublin 7,q1,10%
28/09/2010,"12 Connaught Street, Phibsboro, Dublin 7",Dublin,275000.0,No,Phibsboro,Dublin 7,q3,60%
04/10/2010,"17 Innisfallen Parade, Phibsboro, Dublin 7",Dublin,305000.0,No,Phibsboro,Dublin 7,q3,60%
22/10/2010,"65 Norfolk Road, Phibsboro",Dublin,232000.0,No,Phibsboro,Dublin 7,q2,40%
29/10/2010,"42 Norfolk Road, Phibsboro, Dublin 7",Dublin,360000.0,No,Phibsboro,Dublin 7,q3,80%
07/12/2010,"45 Norfolk Road, Phibsboro",Dublin,415000.0,No,Phibsboro,Dublin 7,q4,90%
15/12/2010,"5 Royse Rd, Phibsboro",Dublin,350000.0,No,Phibsboro,Dublin 7,q3,70%
17/12/2010,"10 Shandon Green, Phibsboro",Dublin,250000.0,No,Phibsboro,Dublin 7,q2,50%
27/01/2011,"2 Rosemount Road, Phibsboro",Dublin,205000.0,No,Phibsboro,Dublin 7,q2,30%
11/02/2011,"225 Phibsboro Road, Dublin 7",Dublin,260000.0,No,Phibsboro,Dublin 7,q2,50%
11/03/2011,"16 Geraldine Street, Phibsboro, Dublin 7",Dublin,215000.0,No,Phibsboro,Dublin 7,q2,40%
20/04/2011,"17 Royse Road, Phibsboro",Dublin,290000.0,No,Phibsboro,Dublin 7,q3,60%
27/04/2011,"5 Ignatius Avenue, Phibsboro, Dublin 7",Dublin,155000.0,No,Phibsboro,Dublin 7,q1,20%
16/09/2011,"26 Shandon Road, Phibsboro, Dublin 7",Dublin,266500.0,No,Phibsboro,Dublin 7,q2,50%
23/09/2011,"24 Shandon Road, Phibsboro, Dublin 7",Dublin,365000.0,No,Phibsboro,Dublin 7,q3,80%
05/10/2011,"29 Berkeley Road, Phibsboro",Dublin,160000.0,No,Phibsboro,Dublin 7,q1,20%
05/10/2011,"49 Dakota Court, Phibsboro",Dublin,145000.0,No,Phibsboro,Dublin 7,q1,10%
28/10/2011,"312 North Circular Road, Phibsboro",Dublin,205000.0,No,Phibsboro,Dublin 7,q2,30%
01/11/2011,"142 Connaught Street, Phibsboro, Dublin",Dublin,300000.0,No,Phibsboro,Dublin 7,q3,60%
04/11/2011,"107 Phibsboro Road, Phibsboro",Dublin,160000.0,No,Phibsboro,Dublin 7,q1,20%
08/11/2011,"60 Cabra Park, Phibsboro, Dublin 7",Dublin,162000.0,No,Phibsboro,Dublin 7,q1,20%
08/12/2011,"31 Shandon Park, Phibsboro, Dublin",Dublin,300000.0,No,Phibsboro,Dublin 7,q3,60%
16/12/2011,"24  Shandon Crescent, Phibsboro",Dublin,230000.0,No,Phibsboro,Dublin 7,q2,40%
30/01/2012,"47 Innisfallen Parade, Phibsboro, Dublin 7",Dublin,270000.0,No,Phibsboro,Dublin 7,q2,50%
30/01/2012,"94 Phibsboro Road, Phibsboro, Dublin7",Dublin,160000.0,No,Phibsboro,Dublin 7,q1,20%
16/02/2012,"27 Berkeley Road, Phibsboro, Dublin 7",Dublin,170000.0,No,Phibsboro,Dublin 7,q1,20%
15/03/2012,"22  Avondale Avenue, Phibsboro",Dublin,92000.0,No,Phibsboro,Dublin 7,q1,10%
23/03/2012,"74 Shandon Park, Phibsboro, Dublin 7",Dublin,260000.0,No,Phibsboro,Dublin 7,q2,50%
12/04/2012,"189A Phililsburgh Avenue, Phibsboro, Dublin 3",Dublin,250000.0,No,Phibsboro,Dublin 7,q2,50%
20/04/2012,"11 Munster Street, Phibsboro, Dublin 7",Dublin,130000.0,No,Phibsboro,Dublin 7,q1,10%
24/04/2012,"1  St. Peter'S Square, Phibsboro",Dublin,102500.0,No,Phibsboro,Dublin 7,q1,10%
27/04/2012,"86 St Ignatious Road, Phibsboro",Dublin,120000.0,No,Phibsboro,Dublin 7,q1,10%
27/04/2012,"Apartment 1, 13 Monck Place, Phibsboro",Dublin,75000.0,No,Phibsboro,Dublin 7,q1,10%
01/05/2012,"33  Shandon Road, Phibsboro, Dublin 7",Dublin,177000.0,No,Phibsboro,Dublin 7,q1,20%
11/05/2012,"139 North Circular Road, Phibsboro, Dublin 7",Dublin,355000.0,No,Phibsboro,Dublin 7,q3,80%
16/05/2012,"14 Spireview, Phibsboro",Dublin,215000.0,No,Phibsboro,Dublin 7,q2,40%
08/06/2012,"35 Shandon Road, Phibsboro, Dublin 7",Dublin,220000.0,No,Phibsboro,Dublin 7,q2,40%
