date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"20A, Auburn Street, Phibsborough",Dublin,190000.0,No,Phibsborough,Dublin 7,q1,20%
26/01/2010,"16 Enniskerry Rd, Phibsborough",Dublin,190000.0,No,Phibsborough,Dublin 7,q1,20%
27/01/2010,"46 Norfolk Road, Phibsborough",Dublin,348000.0,No,Phibsborough,Dublin 7,q3,60%
12/02/2010,"15 Charleville Road, Phibsborough, Dublin 7",Dublin,560000.0,No,Phibsborough,Dublin 7,q4,100%
08/03/2010,"37 Royal Canal Bank, Phibsborough",Dublin,300000.0,No,Phibsborough,Dublin 7,q2,50%
28/05/2010,"11 Geraldine Street, Phibsborough, Dublin 7",Dublin,230000.0,No,Phibsborough,Dublin 7,q2,30%
28/05/2010,"36 Great Western Villas, Phibsborough",Dublin,160000.0,No,Phibsborough,Dublin 7,q1,20%
01/06/2010,"94 Connaught Street, Phibsborough",Dublin,370000.0,No,Phibsborough,Dublin 7,q3,70%
18/06/2010,"18 St. Ignatius Road, Phibsborough",Dublin,227000.0,No,Phibsborough,Dublin 7,q1,30%
17/08/2010,"16 Muckross Parade, Phibsborough",Dublin,162500.0,No,Phibsborough,Dublin 7,q1,20%
06/09/2010,"37 Shandon Drive, Phibsborough, Dublin 7",Dublin,405000.0,No,Phibsborough,Dublin 7,q3,80%
10/09/2010,"40 Munster Street, Phibsborough, Dublin 7",Dublin,325000.0,No,Phibsborough,Dublin 7,q2,50%
13/09/2010,"32 Goldsmith Street, Phibsborough, Dublin 7",Dublin,347500.0,No,Phibsborough,Dublin 7,q3,60%
21/09/2010,"7 Shandon Park, Phibsborough",Dublin,430000.0,No,Phibsborough,Dublin 7,q4,80%
13/10/2010,"Stone Villa, 297 North Circular Road, Phibsborough",Dublin,600000.0,No,Phibsborough,Dublin 7,q4,100%
15/10/2010,"7 Enniskerry Road, Phibsborough, Dublin",Dublin,360000.0,No,Phibsborough,Dublin 7,q3,60%
21/10/2010,"5 Connaught Parade, Phibsborough",Dublin,217500.0,No,Phibsborough,Dublin 7,q1,30%
27/10/2010,"27 Shandon Park, Phibsborough",Dublin,340000.0,No,Phibsborough,Dublin 7,q3,60%
01/11/2010,"No. 8 St. Peter'S Square, Phibsborough",Dublin,139000.0,No,Phibsborough,Dublin 7,q1,10%
11/11/2010,"286 North Circular Road, Phibsborough, Dublin 7",Dublin,350000.0,No,Phibsborough,Dublin 7,q3,60%
22/11/2010,"Apt 7 King'S Inns Court, Phibsborough, Dublin 7",Dublin,120000.0,No,Phibsborough,Dublin 7,q1,10%
01/02/2011,"38 Leinster Street North, Phibsborough",Dublin,230000.0,No,Phibsborough,Dublin 7,q2,30%
15/02/2011,"12 St.Joseph'S Parade, Phibsborough",Dublin,165000.0,No,Phibsborough,Dublin 7,q1,20%
09/03/2011,"30B Phibsborough Road, Phibsborough",Dublin,308500.0,No,Phibsborough,Dublin 7,q2,50%
11/03/2011,"14 Royse Road, Phibsborough",Dublin,280000.0,No,Phibsborough,Dublin 7,q2,40%
29/04/2011,"8 Kings Inns Court, Phibsborough, Dublin 7",Dublin,247000.0,No,Phibsborough,Dublin 7,q2,30%
24/05/2011,"19 Cross Guns Quay, Phibsborough, Dublin 7",Dublin,120000.0,No,Phibsborough,Dublin 7,q1,10%
03/06/2011,"Apt 22, Royal Canal Court, Phibsborough",Dublin,123000.0,No,Phibsborough,Dublin 7,q1,10%
23/07/2011,"19 Berkeley Road, Phibsborough, Dublin 7",Dublin,315000.0,No,Phibsborough,Dublin 7,q2,50%
19/08/2011,"33 Norfolk Road, Phibsborough",Dublin,215000.0,No,Phibsborough,Dublin 7,q1,30%
24/08/2011,"15 Ellesmere Avenue, Phibsborough",Dublin,185000.0,No,Phibsborough,Dublin 7,q1,20%
15/09/2011,"211 Phibsborough Road, Phibsborough, Dublin 7",Dublin,210000.0,No,Phibsborough,Dublin 7,q1,30%
21/09/2011,"130 Connaught Street, Phibsborough, Dublin 7",Dublin,145000.0,No,Phibsborough,Dublin 7,q1,10%
25/10/2011,"17 Cabra Park, Phibsborough",Dublin,120000.0,No,Phibsborough,Dublin 7,q1,10%
19/12/2011,"65 Innisfallenparade, Phibsborough",Dublin,145000.0,No,Phibsborough,Dublin 7,q1,10%
05/01/2012,"10 Goldsmith Street, Phibsborough",Dublin,185000.0,No,Phibsborough,Dublin 7,q1,20%
09/02/2012,"35 Goldsmith Street, Phibsborough",Dublin,150000.0,No,Phibsborough,Dublin 7,q1,10%
09/03/2012,"3 St. Ignatious Road, Off North Circular Road, Phibsborough",Dublin,101000.0,No,Phibsborough,Dublin 7,q1,10%
20/03/2012,"77 Connaught Street, Phibsborough, Dublin 7",Dublin,255000.0,No,Phibsborough,Dublin 7,q2,40%
23/03/2012,"11 Spire View, Phibsborough, Dublin 7",Dublin,179025.0,No,Phibsborough,Dublin 7,q1,20%
30/04/2012,"24 Connaught Parade, Phibsborough",Dublin,150000.0,No,Phibsborough,Dublin 7,q1,10%
11/05/2012,"3 Connaught Parade, Connaught Street, Phibsborough",Dublin,165000.0,No,Phibsborough,Dublin 7,q1,20%
11/05/2012,"63 Shandon Park, Phibsborough",Dublin,357000.0,No,Phibsborough,Dublin 7,q3,60%
23/05/2012,"58 Dalcassian Downs, Phibsborough, Dublin 7",Dublin,285000.0,No,Phibsborough,Dublin 7,q2,40%
21/06/2012,"5 Cherrymount Park, North Circular Road, Phibsborough",Dublin,285000.0,No,Phibsborough,Dublin 7,q2,40%
09/07/2012,"77 Shandon Park, Phibsborough, Dublin 7",Dublin,310000.0,No,Phibsborough,Dublin 7,q2,50%
27/07/2012,"20 Shandon Gardens, Phibsborough, Dublin 7",Dublin,275000.0,No,Phibsborough,Dublin 7,q2,40%
15/08/2012,"28 Shandon Drive, Phibsborough, Dublin 7",Dublin,330000.0,No,Phibsborough,Dublin 7,q3,60%
23/08/2012,"51 Goldsmith Street, Phibsborough",Dublin,125000.0,No,Phibsborough,Dublin 7,q1,10%
27/08/2012,"13 Avondale Road, Phibsborough",Dublin,115000.0,No,Phibsborough,Dublin 7,q1,10%
03/09/2012,"1 Leinster Street North, Phibsborough",Dublin,160000.0,No,Phibsborough,Dublin 7,q1,20%
03/10/2012,"32/33 Blessington Street, Phibsborough",Dublin,378855.0,No,Phibsborough,Dublin 7,q3,70%
11/10/2012,"25 Norfolk Road, Phibsborough",Dublin,245000.0,No,Phibsborough,Dublin 7,q2,30%
26/10/2012,"3 O' Connell Avenue, Phibsborough, Dublin 7",Dublin,295000.0,No,Phibsborough,Dublin 7,q2,50%
03/12/2012,"Apartment9  St Peter'S Square, Phibsborough",Dublin,108000.0,No,Phibsborough,Dublin 7,q1,10%
04/12/2012,"46 St Peters Sqaure, Phibsborough, Dublin 7",Dublin,90000.0,No,Phibsborough,Dublin 7,q1,10%
06/12/2012,"314/322 North Circular Road, Phibsborough",Dublin,150000.0,No,Phibsborough,Dublin 7,q1,10%
30/01/2013,"26 Berkeley Road, Phibsborough",Dublin,265000.0,No,Phibsborough,Dublin 7,q2,40%
25/02/2013,"5 Kings' Hall, 191 - 193 Phibsborough Road",Dublin,95000.0,No,Phibsborough,Dublin 7,q1,10%
02/04/2013,"48 St Peter'S Square, Phibsborough",Dublin,96000.0,No,Phibsborough,Dublin 7,q1,10%
19/04/2013,"32 Connaught Parade, Phibsborough",Dublin,122000.0,No,Phibsborough,Dublin 7,q1,10%
25/04/2013,"65 Cabra Park, Phibsborough, Dublin 7",Dublin,245000.0,No,Phibsborough,Dublin 7,q2,30%
26/04/2013,"155 North Circular Road, Phibsborough",Dublin,253500.0,No,Phibsborough,Dublin 7,q2,40%
14/05/2013,"11 Monck Place, Phibsborough, Dublin 7",Dublin,187500.0,No,Phibsborough,Dublin 7,q1,20%
15/05/2013,"11 Muckross Parade, Phibsborough",Dublin,80000.0,No,Phibsborough,Dublin 7,q1,10%
09/07/2013,"419 North Circular Road, Phibsborough, Dublin 7",Dublin,220000.0,No,Phibsborough,Dublin 7,q1,30%
11/07/2013,"53 Shandon Drive, Phibsborough",Dublin,285000.0,No,Phibsborough,Dublin 7,q2,40%
24/07/2013,"43 Geraldine Street, Phibsborough",Dublin,320000.0,No,Phibsborough,Dublin 7,q2,50%
26/07/2013,"31 Connaught Street, Phibsborough",Dublin,235000.0,No,Phibsborough,Dublin 7,q2,30%
30/07/2013,"7 Great Western Villas, Phibsborough",Dublin,94000.0,No,Phibsborough,Dublin 7,q1,10%
01/08/2013,"15 Shandon Park, Phibsborough",Dublin,330000.0,No,Phibsborough,Dublin 7,q3,60%
15/08/2013,"28 Monck Place, Phibsborough, Dublin 7",Dublin,66666.67,No,Phibsborough,Dublin 7,q1,10%
27/08/2013,"38 Shandon Drive, Phibsborough, Dublin 7",Dublin,472500.0,No,Phibsborough,Dublin 7,q4,90%
06/09/2013,"5 Shandon Crescent, Phibsborough",Dublin,236000.0,No,Phibsborough,Dublin 7,q2,30%
10/09/2013,"308  North Circular Road, Phibsborough",Dublin,150000.0,No,Phibsborough,Dublin 7,q1,10%
20/09/2013,"50 Cabra Rd, Phibsborough, Dublin 7",Dublin,645000.0,No,Phibsborough,Dublin 7,q4,100%
26/09/2013,"18 Munster Street, Phibsborough",Dublin,281250.0,No,Phibsborough,Dublin 7,q2,40%
29/09/2013,"Flat 11, Crossguns Quay, Phibsborough",Dublin,75000.0,No,Phibsborough,Dublin 7,q1,10%
01/11/2013,"17 Shandon Road, Phibsborough",Dublin,330000.0,No,Phibsborough,Dublin 7,q3,60%
07/11/2013,"37 Great Western Villas, Phibsborough, Dublin 7",Dublin,190000.0,No,Phibsborough,Dublin 7,q1,20%
15/11/2013,"197 North Circular Road, Phibsborough",Dublin,470000.0,No,Phibsborough,Dublin 7,q4,90%
29/11/2013,"28 Munster St, Phibsborough, Dublin 7",Dublin,328000.0,No,Phibsborough,Dublin 7,q2,50%
04/12/2013,"36 Shandon Gardens, Phibsborough, Dublin 7",Dublin,275000.0,No,Phibsborough,Dublin 7,q2,40%
05/12/2013,"37 Royal Canal Bank, Phibsborough, Dublin 7",Dublin,390000.0,No,Phibsborough,Dublin 7,q3,70%
19/12/2013,"28 St Josephs Place, Phibsborough, Dublin 7",Dublin,165000.0,No,Phibsborough,Dublin 7,q1,20%
19/12/2013,"39 Geraldine St, Phibsborough, Dublin 7",Dublin,271000.0,No,Phibsborough,Dublin 7,q2,40%
20/12/2013,"23 Goldsmith St, Phibsborough, Dublin 7",Dublin,400000.0,No,Phibsborough,Dublin 7,q3,70%
20/12/2013,"4 Shandon Mill, Shandon Park, Phibsborough Dublin 7",Dublin,190000.0,No,Phibsborough,Dublin 7,q1,20%
23/12/2013,"42 Shandon Park, Phibsborough, Dublin 7",Dublin,310000.0,No,Phibsborough,Dublin 7,q2,50%
07/01/2014,"31 St Peters Rd, Phibsborough, Dublin 7",Dublin,150000.0,No,Phibsborough,Dublin 7,q1,10%
22/01/2014,"3 Enniskerry Rd, Phibsborough, Dublin 7",Dublin,255000.0,No,Phibsborough,Dublin 7,q2,40%
27/01/2014,"5 Nortons Ave, Phibsborough, Dublin 7",Dublin,144000.0,No,Phibsborough,Dublin 7,q1,10%
18/02/2014,"23 St Peters Rd, Phibsborough, Dublin 7",Dublin,280000.0,No,Phibsborough,Dublin 7,q2,40%
18/02/2014,"82 Cabra Park, Phibsborough, Dublin 7",Dublin,292500.0,No,Phibsborough,Dublin 7,q2,50%
24/02/2014,"25 Great Western Villas, Phibsborough, Dublin",Dublin,152000.0,No,Phibsborough,Dublin 7,q1,10%
15/05/2014,"67 Rathdown Rd, Phibsborough, Dublin 7",Dublin,420000.0,No,Phibsborough,Dublin 7,q3,80%
26/05/2014,"310 North Circular Rd, Phibsborough, Dublin 7",Dublin,110000.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"1 Royal Canal View, Phibsborough, Dublin 7",Dublin,111470.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"10 Royal Canal View, Phibsborough, Dublin 7",Dublin,116530.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"4 Royal Canal View, Phibsborough, Dublin 7",Dublin,126670.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"6 Royal Canal View, Phibsborough, Dublin 7",Dublin,121600.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"7 Royal Canal View, Phibsborough, Dublin 7",Dublin,126670.0,No,Phibsborough,Dublin 7,q1,10%
09/06/2014,"8 Royal Canal View, Phibsborough, Dublin 7",Dublin,157060.0,No,Phibsborough,Dublin 7,q1,20%
18/06/2014,"98 Shandon Park, Phibsborough, Dublin 7",Dublin,325000.0,No,Phibsborough,Dublin 7,q2,50%
27/06/2014,"277 North Circular Rd, Phibsborough, Dublin 7",Dublin,420088.0,No,Phibsborough,Dublin 7,q3,80%
08/07/2014,"3 St Ignatious Rd, Off North Circular Rd, Phibsborough",Dublin,333000.0,No,Phibsborough,Dublin 7,q3,60%
08/07/2014,"33 Goldsmith St, Phibsborough, Dublin 7",Dublin,515000.0,No,Phibsborough,Dublin 7,q4,90%
09/07/2014,"20 Synnott Row, Circular Rd North, Phibsborough Dublin 7",Dublin,252000.0,No,Phibsborough,Dublin 7,q2,30%
15/07/2014,"17 Avondale Road, Phibsborough",Dublin,151900.0,No,Phibsborough,Dublin 7,q1,10%
15/07/2014,"23 Geraldine Street, Phibsborough",Dublin,263300.0,No,Phibsborough,Dublin 7,q2,40%
21/07/2014,"8 Rosemount Rd, Phibsborough, Dublin 7",Dublin,310000.0,No,Phibsborough,Dublin 7,q2,50%
30/07/2014,"22 Inish Fallon Parade, Phibsborough, Dublin 7",Dublin,135000.0,No,Phibsborough,Dublin 7,q1,10%
30/07/2014,"9 St Ignatius Ave, Phibsborough, Dublin 7",Dublin,178500.0,No,Phibsborough,Dublin 7,q1,20%
11/08/2014,"10 Bectice Square, Phibsborough Rd",Dublin,103000.0,No,Phibsborough,Dublin 7,q1,10%
15/08/2014,"1 Library View Villas, Royal Canal Bank, Phibsborough",Dublin,430000.0,No,Phibsborough,Dublin 7,q4,80%
15/08/2014,"237 Phibsborough Rd, Phibsborough, Dublin 7",Dublin,330000.0,No,Phibsborough,Dublin 7,q3,60%
21/08/2014,"12 Rosemount Rd, Phibsborough, Dublin",Dublin,350000.0,No,Phibsborough,Dublin 7,q3,60%
22/08/2014,"30 St Peters Sq, Phibsborough Rd, Phibsborough Dublin 7",Dublin,165000.0,No,Phibsborough,Dublin 7,q1,20%
25/08/2014,"18 Glengarriff Crescent, Phibsborough, Dublin 7",Dublin,320000.0,No,Phibsborough,Dublin 7,q2,50%
17/09/2014,"10 Goldsmith St, Phibsborough, Dublin City",Dublin,426000.0,No,Phibsborough,Dublin 7,q4,80%
23/09/2014,"29 Connaught St, Phibsborough, Dublin 7",Dublin,355000.0,No,Phibsborough,Dublin 7,q3,60%
02/10/2014,"18 Royse Road, Phibsborough",Dublin,300000.0,No,Phibsborough,Dublin 7,q2,50%
06/10/2014,"24 Rathdown Rd, Phibsborough, Dublin 7",Dublin,635000.0,No,Phibsborough,Dublin 7,q4,100%
07/10/2014,"12 Charleville Rd, Phibsborough, Dublin 7",Dublin,720000.0,No,Phibsborough,Dublin 7,q4,100%
10/10/2014,"2 Leslie Court, Phibsborough, Dublin 7",Dublin,260000.0,No,Phibsborough,Dublin 7,q2,40%
10/10/2014,"332 North Circular Rd, Phibsborough, Dublin 7",Dublin,190000.0,No,Phibsborough,Dublin 7,q1,20%
15/10/2014,"9 Ulster St, Phibsborough, Dublin 7",Dublin,385000.0,No,Phibsborough,Dublin 7,q3,70%
20/10/2014,"20 Leinster St, Phibsborough, Dublin 7",Dublin,362000.0,No,Phibsborough,Dublin 7,q3,70%
30/10/2014,"37 Avondale Avenue, Phibsborough, Dublin 7",Dublin,280000.0,No,Phibsborough,Dublin 7,q2,40%
31/10/2014,"20 Connaught St, Phibsborough, Dublin 7",Dublin,295000.0,No,Phibsborough,Dublin 7,q2,50%
03/11/2014,"8 Eglington Terrace, Royal Canal Bank, Phibsborough Dublin 7",Dublin,307000.0,No,Phibsborough,Dublin 7,q2,50%
10/11/2014,"1 Cabra Road, Phibsborough, Dublin 7",Dublin,270000.0,No,Phibsborough,Dublin 7,q2,40%
13/11/2014,"37 St Peters Rd, Phibsborough, Dublin 7",Dublin,390000.0,No,Phibsborough,Dublin 7,q3,70%
19/11/2014,"271 North Circular Road, Phibsborough, Dublin 7",Dublin,320000.0,No,Phibsborough,Dublin 7,q2,50%
20/11/2014,"73 Cabra Park, Phibsborough, Dublin 7",Dublin,246000.0,No,Phibsborough,Dublin 7,q2,30%
21/11/2014,"59 St Ignatius Rd, Phibsborough, Dublin 5",Dublin,197000.0,No,Phibsborough,Dublin 7,q1,20%
27/11/2014,"20 Oconnell Ave, Phibsborough, Dublin 7",Dublin,250000.0,No,Phibsborough,Dublin 7,q2,30%
10/12/2014,"12 Avondale Ave, Phibsborough, Dublin 7",Dublin,290000.0,No,Phibsborough,Dublin 7,q2,40%
12/12/2014,"29 Connaught Parade, Phibsborough, Dublin 7",Dublin,257000.0,No,Phibsborough,Dublin 7,q2,40%
19/12/2014,"20 Synnott Row, Circular Rd North, Phibsborough Dublin 7",Dublin,252000.0,No,Phibsborough,Dublin 7,q2,40%
19/12/2014,"67 Shandon Park, Phibsborough, Dublin 7",Dublin,465000.0,No,Phibsborough,Dublin 7,q4,90%
22/12/2014,"11 Goldsmith St, Phibsborough, Dublin 7",Dublin,329759.0,No,Phibsborough,Dublin 7,q3,60%
22/12/2014,"14 Sarsfield Street, Phibsborough",Dublin,320000.0,No,Phibsborough,Dublin 7,q2,50%
22/12/2014,"20 St Peters Rd, Phibsborough, Dublin 7",Dublin,460000.0,No,Phibsborough,Dublin 7,q4,90%
23/12/2014,"37 Shandon Dr, Phibsborough, Dublin 7",Dublin,465000.0,No,Phibsborough,Dublin 7,q4,90%
