date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/01/2010,"Glendower, Old Station Road, Portmarnock",Dublin,1475000.0,No,Portmarnock,Co. Dublin,q4,100%
19/01/2010,"62 Torcail, Portmarnock, County Dublin",Dublin,560000.0,No,Portmarnock,Co. Dublin,q4,80%
27/01/2010,"39 Drumnigh Wood, Portmarnock",Dublin,555000.0,No,Portmarnock,Co. Dublin,q4,80%
30/01/2010,"12 Carrikhill Close, Portmarnock",Dublin,460000.0,No,Portmarnock,Co. Dublin,q3,60%
11/02/2010,"St. Columba'S Cottage, Strand Road, Portmarnock",Dublin,710000.0,No,Portmarnock,Co. Dublin,q4,100%
19/02/2010,"9 Carrickhill Walk, Portmarnock",Dublin,382000.0,No,Portmarnock,Co. Dublin,q2,40%
26/03/2010,"30 Carrickhill Drive, Portmarnock, Co. Dublin",Dublin,345000.0,No,Portmarnock,Co. Dublin,q2,40%
22/04/2010,"14 Station House, Seabrook Manor, Portmarnock",Dublin,337500.0,No,Portmarnock,Co. Dublin,q2,40%
26/04/2010,"1 Millstream The Links, New Road Portmarnock",Dublin,255000.0,No,Portmarnock,Co. Dublin,q1,20%
30/04/2010,"32 Portmarnock Drive, Poermarnock",Dublin,425000.0,No,Portmarnock,Co. Dublin,q2,50%
30/04/2010,"83 Greenview  Seabrook Manor, Portmarnock",Dublin,245000.0,No,Portmarnock,Co. Dublin,q1,20%
30/04/2010,"Apt 77  The Kilns, Station Road, Portmarnock",Dublin,295000.0,No,Portmarnock,Co. Dublin,q1,30%
10/05/2010,"58 Greenview, Seabrook Manor, Station Road Portmarnock",Dublin,230000.0,No,Portmarnock,Co. Dublin,q1,10%
21/05/2010,"71 The Kilns, Station Road, Portmarnock",Dublin,27065.0,No,Portmarnock,Co. Dublin,q1,10%
21/05/2010,"Apt 6 The Fairways, Seabrook Manor, Portmarnock",Dublin,265000.0,No,Portmarnock,Co. Dublin,q1,20%
04/06/2010,"12 Wheatfield, Portmarnock",Dublin,460000.0,No,Portmarnock,Co. Dublin,q3,60%
14/06/2010,"39 Martello Court, Portmarnock",Dublin,585000.0,No,Portmarnock,Co. Dublin,q4,90%
15/06/2010,"10  Blackberry Rise, Portmarnock",Dublin,422000.0,No,Portmarnock,Co. Dublin,q2,50%
16/06/2010,"24 Port Crescent, Portmarnock",Dublin,475000.0,No,Portmarnock,Co. Dublin,q3,60%
18/06/2010,"Palm Court, 9 Portmarnock Grove, Portmarnock",Dublin,525000.0,No,Portmarnock,Co. Dublin,q3,80%
23/06/2010,"37 Segrave, The Links, Portmarnock",Dublin,245000.0,No,Portmarnock,Co. Dublin,q1,20%
23/06/2010,"Gleniff, Coast Road, Portmarnock",Dublin,965000.0,No,Portmarnock,Co. Dublin,q4,100%
29/06/2010,"36 The Kilns, Station Road, Portmarnock",Dublin,245000.0,No,Portmarnock,Co. Dublin,q1,20%
29/06/2010,"58 The Dunes, Portmarnock, Co. Dublin",Dublin,610000.0,No,Portmarnock,Co. Dublin,q4,90%
02/07/2010,"14 Strandmill Avenue, Portmarnock",Dublin,287000.0,No,Portmarnock,Co. Dublin,q1,30%
13/07/2010,"68 The Kilns, Portmarnock, County Dublin",Dublin,222000.0,No,Portmarnock,Co. Dublin,q1,10%
20/07/2010,"78 Greenview, Seabrook Manor, Portmarnock",Dublin,250000.0,No,Portmarnock,Co. Dublin,q1,20%
03/08/2010,"26 The Fairways, Seabrook Manor, Portmarnock",Dublin,245000.0,No,Portmarnock,Co. Dublin,q1,20%
12/08/2010,"17 Millfield, Portmarnock",Dublin,198000.0,No,Portmarnock,Co. Dublin,q1,10%
12/08/2010,"187 Ardilaun, Portmarnock, Co. Dublin",Dublin,485000.0,No,Portmarnock,Co. Dublin,q3,70%
13/08/2010,"62 Millfield, The Links, Portmarnock",Dublin,298000.0,No,Portmarnock,Co. Dublin,q2,30%
24/08/2010,"11 Carrickhill Drive, Portmarnock, Co.Dublin",Dublin,390000.0,No,Portmarnock,Co. Dublin,q2,40%
06/09/2010,"60  St. Laurence O'Toole Avenue, Portmarnock",Dublin,295000.0,No,Portmarnock,Co. Dublin,q1,30%
10/09/2010,"20 Strand Road, Portmarnock",Dublin,570000.0,No,Portmarnock,Co. Dublin,q4,80%
10/09/2010,"73 The Dunes, Portmarnock",Dublin,560000.0,No,Portmarnock,Co. Dublin,q4,80%
24/09/2010,"3 Waterside Crescent, Portmarnock",Dublin,500000.0,No,Portmarnock,Co. Dublin,q3,70%
28/09/2010,"5 Portmarnock Walk, Portmarnock",Dublin,335000.0,No,Portmarnock,Co. Dublin,q2,40%
04/10/2010,"163 Briar Walk, Portmarnock, Co. Dublin",Dublin,505000.0,No,Portmarnock,Co. Dublin,q3,70%
13/10/2010,"294 Elner Court, Portmarnock",Dublin,530000.0,No,Portmarnock,Co. Dublin,q3,80%
05/11/2010,"St.Marnock'S Cottage, Strand Road, Portmarnock",Dublin,330000.0,No,Portmarnock,Co. Dublin,q2,40%
23/11/2010,"32 Caddell, The Links  New Road, Portmarnock",Dublin,280000.0,No,Portmarnock,Co. Dublin,q1,30%
25/11/2010,"Apt 6  Seagrave, The Links, Portmarnock",Dublin,234500.0,No,Portmarnock,Co. Dublin,q1,20%
29/11/2010,"84 Torcaill, Portmarnock, Co Dublin",Dublin,365000.0,No,Portmarnock,Co. Dublin,q2,40%
21/12/2010,"13 Station House, Seabrook, Portmarnock",Dublin,295000.0,No,Portmarnock,Co. Dublin,q1,30%
07/01/2011,"1 Heather Gardens, Portmarnock",Dublin,710000.0,No,Portmarnock,Co. Dublin,q4,100%
21/03/2011,"48 Carrickhill Walk, Portmarnock",Dublin,355000.0,No,Portmarnock,Co. Dublin,q2,40%
21/03/2011,"49 Millbank, The Links, Portmarnock",Dublin,190000.0,No,Portmarnock,Co. Dublin,q1,10%
21/03/2011,"5 Burrow Court, Portmarnock",Dublin,500000.0,No,Portmarnock,Co. Dublin,q3,70%
19/04/2011,"5 Wheatfield Road, Portmarnock",Dublin,422000.0,No,Portmarnock,Co. Dublin,q2,50%
03/05/2011,"23 Portmarnock Grove, Portmarnock",Dublin,360000.0,No,Portmarnock,Co. Dublin,q2,40%
10/05/2011,"20 Torcaill, Portmarnock",Dublin,630000.0,No,Portmarnock,Co. Dublin,q4,90%
16/05/2011,"1 Wendell Avenue, Portmarnock",Dublin,408000.0,No,Portmarnock,Co. Dublin,q2,50%
17/05/2011,"35 Drumnigh Wood, Drumnigh Road, Portmarnock",Dublin,481000.0,No,Portmarnock,Co. Dublin,q3,60%
20/05/2011,"23 Woodlands, Portmarnock, County Dublin",Dublin,377000.0,No,Portmarnock,Co. Dublin,q2,40%
17/06/2011,"4 Torcaill, Portmarnock",Dublin,520000.0,No,Portmarnock,Co. Dublin,q3,70%
24/06/2011,"118 Torcaill, Portmarnock",Dublin,350000.0,No,Portmarnock,Co. Dublin,q2,40%
05/07/2011,"41 St. Anne'S Square, Portmarnock",Dublin,388000.0,No,Portmarnock,Co. Dublin,q2,40%
15/07/2011,"46 Carrickhill Heights, Portmarnock",Dublin,447500.0,No,Portmarnock,Co. Dublin,q3,60%
18/07/2011,"134 Strand Road, Portmarnock",Dublin,495000.0,No,Portmarnock,Co. Dublin,q3,70%
19/07/2011,"Mimosa, Station Road, Portmarnock",Dublin,240000.0,No,Portmarnock,Co. Dublin,q1,20%
03/08/2011,"16 Drumnigh Wood, Drumnigh Road, Portmarnock",Dublin,1000000.0,No,Portmarnock,Co. Dublin,q4,100%
09/08/2011,"3 Millfield The Links, Station Road, Portmarnock",Dublin,220000.0,No,Portmarnock,Co. Dublin,q1,10%
16/08/2011,"9 Dal Riada, Portmarnock",Dublin,540000.0,No,Portmarnock,Co. Dublin,q3,80%
30/08/2011,"15 Wendell Avenue, Portmarnock",Dublin,355000.0,No,Portmarnock,Co. Dublin,q2,40%
12/09/2011,"16 Martello Court, Portmarnock",Dublin,480000.0,No,Portmarnock,Co. Dublin,q3,60%
13/09/2011,"179 Bracken Drive, Portmarnock",Dublin,375000.0,No,Portmarnock,Co. Dublin,q2,40%
21/09/2011,"6 The Burrows, Strand Road, Portmarnock",Dublin,210000.0,No,Portmarnock,Co. Dublin,q1,10%
27/09/2011,"Gortmore, Old Portmarnock Road, Portmarnock",Dublin,765000.0,No,Portmarnock,Co. Dublin,q4,100%
30/09/2011,"62 Carrickhill Road, Portmarnock",Dublin,390000.0,No,Portmarnock,Co. Dublin,q2,40%
12/10/2011,"66 The Dunes, Portmarnock",Dublin,530000.0,No,Portmarnock,Co. Dublin,q3,80%
14/10/2011,"10 Dal Riada, Lime Tree Avenue, Portmarnock",Dublin,535000.0,No,Portmarnock,Co. Dublin,q3,80%
28/10/2011,"14 Blackberry Rise, Portmarnock",Dublin,400000.0,No,Portmarnock,Co. Dublin,q2,50%
28/11/2011,"52 Blackthorn Close, Portmarnock, County Dublin",Dublin,390000.0,No,Portmarnock,Co. Dublin,q2,50%
15/12/2011,"Nurse'S Cottage, 1 The Burrows, Strand Road  Portmarnock",Dublin,120500.0,No,Portmarnock,Co. Dublin,q1,10%
20/12/2011,"80 The Fairways, Seabrook Manor, Portmarnock",Dublin,212000.0,No,Portmarnock,Co. Dublin,q1,10%
20/12/2011,"Little Monks Meadow, Portmarnock, Co. Dublin",Dublin,182000.0,No,Portmarnock,Co. Dublin,q1,10%
