date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"22 Curzon Street, Portobello",Dublin,460000.0,No,Portobello,Dublin 8,q3,60%
12/02/2010,"23, Martin Street, Portobello",Dublin,295000.0,No,Portobello,Dublin 8,q1,20%
18/02/2010,"63 Lennox Street, Portobello",Dublin,377500.0,No,Portobello,Dublin 8,q2,40%
15/03/2010,"30 Kingsland Parade, Portobello",Dublin,236000.0,No,Portobello,Dublin 8,q1,10%
01/04/2010,"27 Portobello Road, Dublin 8",Dublin,18000.0,No,Portobello,Dublin 8,q1,10%
09/04/2010,"27 Martin Street, Portobello",Dublin,360000.0,No,Portobello,Dublin 8,q2,40%
28/05/2010,"26 Martin Street, Portobello, Dublin 8",Dublin,392000.0,No,Portobello,Dublin 8,q2,50%
30/07/2010,"19 Portobello Quay, Porto Bello",Dublin,270000.0,No,Portobello,Dublin 8,q1,20%
01/11/2010,"Apartment 3  Portobello Harbour, Grove Road  Rathmines",Dublin,210000.0,No,Portobello,Dublin 8,q1,10%
11/02/2011,"3 Lennox Terrace, Portobello",Dublin,185000.0,No,Portobello,Dublin 8,q1,10%
05/05/2011,"12 Windsor Terrace, Portobello",Dublin,220000.0,No,Portobello,Dublin 8,q1,10%
17/06/2011,"21 Synge Street, Portobello",Dublin,560000.0,No,Portobello,Dublin 8,q3,70%
29/07/2011,"36 South Circular Road, Portobello, Dublin",Dublin,250050.0,No,Portobello,Dublin 8,q1,20%
19/08/2011,"24 Ovoca Road, Portobello",Dublin,402000.0,No,Portobello,Dublin 8,q2,50%
28/10/2011,"16 Kingsland Park Ave, Portobello, Dublin 8",Dublin,75000.0,No,Portobello,Dublin 8,q1,10%
29/11/2011,"5 Arnott Street, Portobello, Dublin 8",Dublin,410000.0,No,Portobello,Dublin 8,q2,50%
02/12/2011,"30 Lennox Street, Portobello, Dublin 8",Dublin,460000.0,No,Portobello,Dublin 8,q3,60%
23/12/2011,"16 Windsor Terrace, Portobello, Dublin8",Dublin,365000.0,No,Portobello,Dublin 8,q2,40%
18/01/2012,"5 Lennox Terrace, Portobello, Dublin 8",Dublin,252000.0,No,Portobello,Dublin 8,q1,20%
12/04/2012,"19 Kingsland Parade, Portobello",Dublin,195000.0,No,Portobello,Dublin 8,q1,10%
12/04/2012,"46 Lennox Street, Portobello",Dublin,347500.0,No,Portobello,Dublin 8,q2,30%
01/05/2012,"38 Victoria Street, Portobello",Dublin,590000.0,No,Portobello,Dublin 8,q3,80%
09/06/2012,"65 Lennox Street, Portobello, Dublin 8",Dublin,172500.0,No,Portobello,Dublin 8,q1,10%
