date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/12/2011,"6  Moatview Court, Priorswood",Dublin,95000.0,No,Priorswood,Dublin 17,q1,10%
22/11/2012,"22 Moatview Avenue, Priorswood",Dublin,115000.0,No,Priorswood,Dublin 17,q1,20%
22/12/2013,"21A Belcamp Avenue, Priorswood, Dublin 17",Dublin,100000.0,No,Priorswood,Dublin 17,q1,10%
12/08/2014,"66 Clonshaugh Ave, Priorswood, Dublin 17",Dublin,197000.0,No,Priorswood,Dublin 17,q3,70%
24/10/2014,"45 Belcamp Crescent, Priorswood, Coolock",Dublin,155000.0,No,Priorswood,Dublin 17,q2,30%
25/07/2016,"26 Moatview Court, Priorswood, Dublin 17",Dublin,132500.0,No,Priorswood,Dublin 17,q1,30%
02/08/2016,"68 Belcamp Gardens, Priorswood, Dublin 17",Dublin,171000.0,No,Priorswood,Dublin 17,q2,50%
14/09/2016,"42 Moatview Ave, Priorswood, Dublin 17",Dublin,173000.0,No,Priorswood,Dublin 17,q3,60%
26/10/2016,"58 Moatview Avenue, Priorswood, Dublin 17",Dublin,165000.0,No,Priorswood,Dublin 17,q2,50%
21/12/2016,"15 Belcamp Grove, Priorswood, Dublin 17",Dublin,117000.0,No,Priorswood,Dublin 17,q1,20%
12/05/2017,"28 Clonshaugh Drive, Priorswood, Dublin 17",Dublin,240000.0,No,Priorswood,Dublin 17,q4,100%
13/12/2017,"76 Belcamp Ave, Priorswood, Dublin 17",Dublin,232000.0,No,Priorswood,Dublin 17,q4,90%
19/01/2018,"65 Moatview Ave, Priorswood, Dublin 17",Dublin,215000.0,No,Priorswood,Dublin 17,q4,80%
17/12/2018,"18 Moatview Court, Priorswood, Dublin 17",Dublin,157180.0,No,Priorswood,Dublin 17,q2,40%
20/12/2018,"31 Moatview Ave, Priorswood, Dublin 17",Dublin,210000.0,No,Priorswood,Dublin 17,q3,80%
03/05/2019,"22 Moatview Ave, Priorswood, Dublin",Dublin,232000.0,No,Priorswood,Dublin 17,q4,90%
22/05/2019,"25 Belcamp Gardens, Priorswood, Dublin 17",Dublin,190000.0,No,Priorswood,Dublin 17,q3,70%
20/06/2019,"8 Belcamp Ave, Priorswood, Dublin 17",Dublin,160222.0,No,Priorswood,Dublin 17,q2,40%
12/08/2019,"1A Swifts Gr, Priorswood, Dublin 17",Dublin,275000.0,No,Priorswood,Dublin 17,q4,100%
