date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/02/2010,"171 Belmont Park, Raheny",Dublin,282000.0,No,Raheny,Dublin 5,q2,30%
11/02/2010,"48 Foxfield Park, Raheny, Dublin 5",Dublin,360000.0,No,Raheny,Dublin 5,q3,60%
24/02/2010,"Apartment 90, The Watermill, Raheny",Dublin,375000.0,No,Raheny,Dublin 5,q3,60%
04/03/2010,"1A, Sybil Hill Road, Raheny",Dublin,1119300.0,No,Raheny,Dublin 5,q4,100%
19/03/2010,"2 Grange Hall, Raheny",Dublin,221145.0,Yes,Raheny,Dublin 5,q1,20%
23/03/2010,"92  Ashcroft, Raheny",Dublin,335000.0,No,Raheny,Dublin 5,q2,50%
25/03/2010,"90 Tonlegee Rd, Raheny",Dublin,385000.0,No,Raheny,Dublin 5,q3,70%
13/04/2010,"25 St. Annes Avenue, Raheny, Dublin 5",Dublin,302000.0,No,Raheny,Dublin 5,q2,40%
30/04/2010,"23 The Grove, Bettyglen, Raheny",Dublin,367000.0,No,Raheny,Dublin 5,q3,60%
30/04/2010,"9 Watermill Avenue, Raheny",Dublin,315000.0,No,Raheny,Dublin 5,q2,40%
30/04/2010,"90  Foxfield Grove, Raheny, Dublin",Dublin,370000.0,No,Raheny,Dublin 5,q3,60%
05/05/2010,"19 Kilbarrack Road, Raheny",Dublin,450000.0,No,Raheny,Dublin 5,q4,80%
07/05/2010,"57A Ennafort Road, Raheny, Dublin 5",Dublin,445000.0,Yes,Raheny,Dublin 5,q4,80%
14/05/2010,"46 St. Annes Avenue, Raheny",Dublin,265000.0,No,Raheny,Dublin 5,q1,30%
17/05/2010,"2 Edenmore Park, Raheny, Dublin 5",Dublin,230000.0,No,Raheny,Dublin 5,q1,20%
31/05/2010,"145 Bettyglen, Raheny",Dublin,570000.0,No,Raheny,Dublin 5,q4,100%
04/06/2010,"22 Belmont Square, Raheny",Dublin,228500.0,No,Raheny,Dublin 5,q1,20%
04/06/2010,"34 Ennafort Park, Raheny, Dublin 5",Dublin,585000.0,No,Raheny,Dublin 5,q4,100%
08/06/2010,"34 Maywood Crescent, Raheny",Dublin,490000.0,No,Raheny,Dublin 5,q4,90%
18/06/2010,"15 Tuscany Downs, Raheny",Dublin,291000.0,No,Raheny,Dublin 5,q2,40%
25/06/2010,"7A The Glen, Bettyglen, Raheny",Dublin,160000.0,No,Raheny,Dublin 5,q1,10%
26/06/2010,"48 Cill Eanna, Ennisfort, Raheny",Dublin,370000.0,No,Raheny,Dublin 5,q3,60%
01/07/2010,"14 The Village, Bettyglen, Raheny  Dublin 5",Dublin,327500.0,No,Raheny,Dublin 5,q2,50%
07/07/2010,"24A The Glen, Bettyglen, Raheny",Dublin,145000.0,No,Raheny,Dublin 5,q1,10%
09/07/2010,"21A The Glen, Bettyglen, Raheny",Dublin,145000.0,No,Raheny,Dublin 5,q1,10%
15/07/2010,"235 Kilbarrack, Raheny, Dublin",Dublin,335000.0,No,Raheny,Dublin 5,q2,50%
23/07/2010,"21 All Saints Park, Raheny",Dublin,124850.0,Yes,Raheny,Dublin 5,q1,10%
23/07/2010,"217 Tonlegee Road, Raheny, Dublin 5",Dublin,280000.0,No,Raheny,Dublin 5,q2,30%
23/07/2010,"34 The Village, Bettyglen, Raheny",Dublin,322000.0,No,Raheny,Dublin 5,q2,50%
23/07/2010,"96 Belmont Park, Raheny, Dublin 5",Dublin,322000.0,No,Raheny,Dublin 5,q2,50%
04/08/2010,"4 Gardini Lein, Raheny",Dublin,222000.0,No,Raheny,Dublin 5,q1,20%
05/08/2010,"33 St. Assams Park, Raheny, Dublin 5",Dublin,234000.0,No,Raheny,Dublin 5,q1,20%
11/08/2010,"219A Tonlagee Road, Raheny",Dublin,336500.0,No,Raheny,Dublin 5,q2,50%
17/08/2010,"60 Belmont Park, Raheny",Dublin,330000.0,No,Raheny,Dublin 5,q2,50%
30/08/2010,"1 Tonlegee Drive, Raheny",Dublin,290000.0,No,Raheny,Dublin 5,q2,40%
02/09/2010,"62 Millbrook Avenue, Raheny",Dublin,220000.0,No,Raheny,Dublin 5,q1,20%
08/09/2010,"15 Avondale Park, Raheny, Dublin 5",Dublin,290000.0,No,Raheny,Dublin 5,q2,40%
08/09/2010,"46 Edenmore Grove, Raheny, Dublin 5",Dublin,173000.0,No,Raheny,Dublin 5,q1,10%
09/09/2010,"28 The Court, Bettyglen, Raheny",Dublin,260000.0,No,Raheny,Dublin 5,q1,30%
23/09/2010,"54 St Assams Park, Raheny, Dublin 13",Dublin,417500.0,No,Raheny,Dublin 5,q3,70%
27/09/2010,"8 Grange Hall, Raheny",Dublin,252000.0,Yes,Raheny,Dublin 5,q1,30%
30/09/2010,"83 Ennafort Park, Raheny",Dublin,420000.0,No,Raheny,Dublin 5,q3,70%
05/10/2010,"20 Block B, The Glen  Bettyglen, Raheny",Dublin,155000.0,No,Raheny,Dublin 5,q1,10%
11/10/2010,"124 Ashcroft, Raheny, Dublin 5",Dublin,267000.0,No,Raheny,Dublin 5,q1,30%
12/10/2010,"10 Grange Park Rise, Raheny",Dublin,300000.0,No,Raheny,Dublin 5,q2,40%
