date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"12 Sallymount Avenue, Ranelagh",Dublin,425000.0,No,Ranelagh,Dublin 6,q2,30%
08/01/2010,"75 Lower Beechwood Avenue, Ranelagh",Dublin,820000.0,No,Ranelagh,Dublin 6,q3,70%
11/01/2010,"17 Annesley Park, Ranelagh, Dublin 6",Dublin,930000.0,No,Ranelagh,Dublin 6,q4,80%
20/01/2010,"Apartment 5, 32 Mount Pleasant Square, Ranelagh",Dublin,200000.0,No,Ranelagh,Dublin 6,q1,10%
26/01/2010,"27 Killeen Road, Ranelagh, Dublin 6",Dublin,832500.0,No,Ranelagh,Dublin 6,q3,80%
02/02/2010,"1 Ashfield Road, Ranelagh, Dublin 6",Dublin,646000.0,No,Ranelagh,Dublin 6,q3,60%
17/02/2010,"2 Bannaville, Ranelagh, Dublin 6",Dublin,470000.0,No,Ranelagh,Dublin 6,q2,40%
23/02/2010,"76 Sandford Road, Ranelagh",Dublin,1040000.0,No,Ranelagh,Dublin 6,q4,90%
02/03/2010,"51 Lower Mount Pleasant Avenue, Ranelagh",Dublin,640000.0,No,Ranelagh,Dublin 6,q3,60%
03/03/2010,"7 Lower Cherryfield Avenue, Ranelagh, Dublin 6",Dublin,550000.0,No,Ranelagh,Dublin 6,q2,50%
16/03/2010,"8 Annavilla, Ranelagh",Dublin,360000.0,No,Ranelagh,Dublin 6,q1,30%
18/03/2010,"33 Elm Park Avenue, Ranelagh, Dublin 6",Dublin,517000.0,No,Ranelagh,Dublin 6,q2,40%
23/03/2010,"61 Sandford Road, Ranelagh, Dublin 6",Dublin,910000.0,No,Ranelagh,Dublin 6,q3,80%
23/03/2010,"92 Sandford Road, Ranelagh",Dublin,730000.0,No,Ranelagh,Dublin 6,q3,70%
30/03/2010,"25A Ranelagh, Dublin",Dublin,142500.0,No,Ranelagh,Dublin 6,q1,10%
23/04/2010,"16 Leeson Park Avenue, Ranelagh, Dublin",Dublin,980000.0,No,Ranelagh,Dublin 6,q4,90%
25/05/2010,"45 Merton Drive, Ranelagh, Dublin 6",Dublin,665000.0,No,Ranelagh,Dublin 6,q3,60%
26/05/2010,"20A Beechwood Avenue, Ranelagh",Dublin,920000.0,No,Ranelagh,Dublin 6,q4,80%
28/05/2010,"12 Rugby Road, Ranelagh, Dublin",Dublin,470000.0,No,Ranelagh,Dublin 6,q2,40%
28/05/2010,"4 Ashfield Avenue, Ranelagh, Dublin 6",Dublin,500000.0,No,Ranelagh,Dublin 6,q2,40%
03/06/2010,"3 Cullinswood, The Triangle, Ranelagh",Dublin,292000.0,No,Ranelagh,Dublin 6,q1,20%
04/06/2010,"No. 3 Crosbie House, Northbrook Road, Ranelagh",Dublin,175000.0,No,Ranelagh,Dublin 6,q1,10%
09/06/2010,"50 Lower Mount Pleasant Avenue, Ranelagh, Dublin 6",Dublin,400000.0,No,Ranelagh,Dublin 6,q2,30%
10/06/2010,"29 Beechwood Park, Ranelagh, Dublin 6",Dublin,650000.0,No,Ranelagh,Dublin 6,q3,60%
11/06/2010,"25 Rugby Road, Ranelagh",Dublin,350000.0,No,Ranelagh,Dublin 6,q1,20%
16/06/2010,"7 Ashfield Avenue, Ranelagh",Dublin,517000.0,No,Ranelagh,Dublin 6,q2,40%
08/07/2010,"13 Mount Pleasant Parade, Ranelagh",Dublin,640000.0,No,Ranelagh,Dublin 6,q3,60%
15/07/2010,"2 Garden View, Mount Pleasant Terrace, Ranelagh",Dublin,295000.0,No,Ranelagh,Dublin 6,q1,20%
16/07/2010,"73 Northbrook Ave, Ranelagh, Dublin 6",Dublin,502500.0,No,Ranelagh,Dublin 6,q2,40%
29/07/2010,"51 Dartmouth Square, Ranelagh",Dublin,1175000.0,No,Ranelagh,Dublin 6,q4,90%
30/07/2010,"6 Woodstock Gardens, Ranelagh, Dublin 6",Dublin,930000.0,No,Ranelagh,Dublin 6,q4,80%
03/08/2010,"20 Ashfield Road, Ranelagh",Dublin,860000.0,No,Ranelagh,Dublin 6,q3,80%
06/08/2010,"28 Albany Road, Ranelagh, Dublin 6",Dublin,1460000.0,No,Ranelagh,Dublin 6,q4,100%
20/08/2010,"19 Sandford Road, Ranelagh, Dublin",Dublin,975000.0,No,Ranelagh,Dublin 6,q4,90%
30/08/2010,"17 Norwood Park, Sandford Road, Ranelagh",Dublin,535000.0,No,Ranelagh,Dublin 6,q2,50%
07/09/2010,"29 Albany Road, Ranelagh",Dublin,900000.0,No,Ranelagh,Dublin 6,q3,80%
09/09/2010,"22 Hollybank Avenue Lower, Ranelagh",Dublin,540000.0,No,Ranelagh,Dublin 6,q2,50%
10/09/2010,"13 Sallymount Avenue, Ranelagh, Dublin 6",Dublin,520000.0,No,Ranelagh,Dublin 6,q2,40%
14/09/2010,"23  Albany Road, Ranelagh",Dublin,850000.0,No,Ranelagh,Dublin 6,q3,80%
14/09/2010,"37 Cherryfield Avenue Lower, Ranelagh, Dublin 6",Dublin,627500.0,No,Ranelagh,Dublin 6,q3,60%
17/09/2010,"Apartment 27 Block E, Oakley Court, Oakley Road Ranelagh",Dublin,200000.0,No,Ranelagh,Dublin 6,q1,10%
23/09/2010,"20 Upper Beechwood Avenue, Ranelagh, Dublin 6",Dublin,655000.0,No,Ranelagh,Dublin 6,q3,60%
30/09/2010,"1 Mount Pleasant Villas, Ranelagh",Dublin,246000.0,No,Ranelagh,Dublin 6,q1,20%
01/10/2010,"54 Lower Hollybank Avenue, Ranelagh",Dublin,500000.0,No,Ranelagh,Dublin 6,q2,40%
