date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"26 Broadfield Drive, Rathcoole",Dublin,276859.5,Yes,Rathcoole,Co. Dublin,q2,40%
02/02/2010,"27 Broadfield Avenue, Rathcoole",Dublin,303500.0,No,Rathcoole,Co. Dublin,q3,60%
05/02/2010,"8  Broadfield Meadows, Rathcoole",Dublin,299000.0,No,Rathcoole,Co. Dublin,q2,50%
12/02/2010,"Site No 36 Broadfield Court, Broadfield Manor, Rathcoole",Dublin,233480.17,Yes,Rathcoole,Co. Dublin,q1,30%
19/02/2010,"1 Broomfield Drive, Broadfield Manor, Rathcoole",Dublin,89867.75,Yes,Rathcoole,Co. Dublin,q1,10%
12/03/2010,"8 Peyton Court, Stoney Road, Rathcoole  Co. Dublin",Dublin,268722.0,Yes,Rathcoole,Co. Dublin,q2,40%
30/03/2010,"12 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,310000.0,Yes,Rathcoole,Co. Dublin,q3,60%
07/04/2010,"3 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,380000.0,Yes,Rathcoole,Co. Dublin,q4,90%
15/04/2010,"9 Peyton Court, Stoney Lane, Rathcoole",Dublin,338000.0,Yes,Rathcoole,Co. Dublin,q3,80%
21/04/2010,"10 Peyton Court, Stoney Road, Rathcoole",Dublin,311806.17,Yes,Rathcoole,Co. Dublin,q3,60%
06/05/2010,"Newtown Villa, Newtown Upper, Rathcoole",Dublin,110000.0,No,Rathcoole,Co. Dublin,q1,10%
07/05/2010,"No. 19 Peyton Avenue, Stoney Road, Rathcoole",Dublin,234415.0,Yes,Rathcoole,Co. Dublin,q1,30%
11/05/2010,"16 Broadfield Drive, Rathcoole",Dublin,295154.0,Yes,Rathcoole,Co. Dublin,q2,50%
13/05/2010,"8 Peyton Court, Stoney Road, Rathcoole",Dublin,325000.0,Yes,Rathcoole,Co. Dublin,q3,70%
21/05/2010,"17 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,310132.15,Yes,Rathcoole,Co. Dublin,q3,60%
21/05/2010,"19 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,310000.0,Yes,Rathcoole,Co. Dublin,q3,60%
27/05/2010,"114 Forest Hills, Rathcoole",Dublin,200000.0,No,Rathcoole,Co. Dublin,q1,20%
27/05/2010,"27 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,273127.75,Yes,Rathcoole,Co. Dublin,q2,40%
09/06/2010,"18 Peyton Avenue, Stoney Road, Rathcoole",Dublin,343815.0,Yes,Rathcoole,Co. Dublin,q4,80%
10/06/2010,"17A Peyton Avenue, Stoney Road, Rathcoole",Dublin,348017.0,Yes,Rathcoole,Co. Dublin,q4,80%
11/06/2010,"18 Peyton Court, Rathcoole",Dublin,242290.0,Yes,Rathcoole,Co. Dublin,q1,30%
11/06/2010,"29 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,277533.03,Yes,Rathcoole,Co. Dublin,q2,40%
11/06/2010,"3 Broadfield Heath, Rathcoole",Dublin,340000.0,No,Rathcoole,Co. Dublin,q3,80%
17/06/2010,"21 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,340000.0,Yes,Rathcoole,Co. Dublin,q3,80%
18/06/2010,"3 Peyton Court, Stoney Lane, Rathcoole",Dublin,300000.0,Yes,Rathcoole,Co. Dublin,q2,50%
02/07/2010,"11 Peyton Drive, Stoney Road, Rathcoole",Dublin,365000.0,Yes,Rathcoole,Co. Dublin,q4,90%
02/07/2010,"25 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,273127.0,Yes,Rathcoole,Co. Dublin,q2,40%
06/07/2010,"33 The Courthouse, Rathcoole",Dublin,260000.0,No,Rathcoole,Co. Dublin,q2,40%
08/07/2010,"15 Peyton Court, Stoney Road, Rathcoole",Dublin,325000.0,Yes,Rathcoole,Co. Dublin,q3,70%
08/07/2010,"23 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,340000.0,Yes,Rathcoole,Co. Dublin,q3,80%
09/07/2010,"33 Broadfield Drive, Rathcoole",Dublin,295154.0,Yes,Rathcoole,Co. Dublin,q2,50%
12/07/2010,"18 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,295154.19,Yes,Rathcoole,Co. Dublin,q2,50%
16/07/2010,"17 Peyton Avenue, Stoney Road, Rathcoole",Dublin,415000.0,Yes,Rathcoole,Co. Dublin,q4,100%
16/07/2010,"18A Peyton Avenue, Stoney Rod, Rathcoole",Dublin,360000.0,Yes,Rathcoole,Co. Dublin,q4,90%
20/07/2010,"3 Peyton Court, Stoney Lane, Rathcoole",Dublin,277039.64,Yes,Rathcoole,Co. Dublin,q2,40%
04/08/2010,"31 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,277533.0,Yes,Rathcoole,Co. Dublin,q2,40%
06/08/2010,"25 Broadfield Avenuwe, Rathcoole, County Dublin",Dublin,280000.0,No,Rathcoole,Co. Dublin,q2,40%
13/08/2010,"11 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,266079.0,Yes,Rathcoole,Co. Dublin,q2,40%
27/08/2010,"Stoney Lane, Rathcoole",Dublin,1200000.0,No,Rathcoole,Co. Dublin,q4,100%
31/08/2010,"27 Peyton Avenue, Rathcoole, Co Dublin",Dublin,352422.9,Yes,Rathcoole,Co. Dublin,q4,80%
03/09/2010,"141  Forest Hills, Rathcoole",Dublin,315000.0,No,Rathcoole,Co. Dublin,q3,60%
07/09/2010,"30 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,281938.0,Yes,Rathcoole,Co. Dublin,q2,50%
15/09/2010,"45 Peyton Close, Stoney Road, Rathcoole",Dublin,295000.0,Yes,Rathcoole,Co. Dublin,q2,50%
16/09/2010,"18 Peyton Drive, Stoney Road, Rathcoole",Dublin,400000.0,Yes,Rathcoole,Co. Dublin,q4,100%
17/09/2010,"62 Forest Hills, Rathcoole",Dublin,220000.0,No,Rathcoole,Co. Dublin,q1,20%
24/09/2010,"5  Blackthorn Hill Drive, Blackthorn Hill, Rathcoole",Dublin,175000.0,No,Rathcoole,Co. Dublin,q1,10%
29/09/2010,"17 Peyton Drive, Stoney Lane, Rathcoole",Dublin,285000.0,No,Rathcoole,Co. Dublin,q2,50%
06/10/2010,"44 Peyton Close, Stoney Lane, Rathcoole",Dublin,255175.0,Yes,Rathcoole,Co. Dublin,q2,40%
07/10/2010,"46 Peyton Close, Stoney Lane, Rathcoole",Dublin,295000.0,Yes,Rathcoole,Co. Dublin,q2,50%
14/10/2010,"9 Peyton Square, Stoney Lane, Rathcoole",Dublin,430000.0,Yes,Rathcoole,Co. Dublin,q4,100%
18/10/2010,"12 Peyton Square, Stoney Lane, Rathcoole",Dublin,350917.0,Yes,Rathcoole,Co. Dublin,q4,80%
22/10/2010,"8 Maple Grove, Rathcoole",Dublin,295000.0,No,Rathcoole,Co. Dublin,q2,50%
01/11/2010,"2 Peyton Court, Rathcoole",Dublin,290000.0,Yes,Rathcoole,Co. Dublin,q2,50%
08/11/2010,"192  Forest Hill, Rathcoole",Dublin,222000.0,No,Rathcoole,Co. Dublin,q1,20%
11/11/2010,"7 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,393964.0,Yes,Rathcoole,Co. Dublin,q4,90%
16/11/2010,"58  Forest Hills, Rathcoole",Dublin,165000.0,No,Rathcoole,Co. Dublin,q1,10%
17/11/2010,"Stoney Lane, Rathcoole",Dublin,200000.0,No,Rathcoole,Co. Dublin,q1,20%
30/11/2010,"Calliaghstown, Rathcoole",Dublin,60000.0,No,Rathcoole,Co. Dublin,q1,10%
10/12/2010,"47 Peyton Close, Stoney Lane, Rathcoole",Dublin,295154.17,Yes,Rathcoole,Co. Dublin,q2,50%
14/12/2010,"34 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,275770.92,Yes,Rathcoole,Co. Dublin,q2,40%
17/12/2010,"51 Peyton Close, Stoney Lane, Rathcoole",Dublin,259911.88,Yes,Rathcoole,Co. Dublin,q2,40%
21/12/2010,"Site 40 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,268722.0,Yes,Rathcoole,Co. Dublin,q2,40%
10/01/2011,"175 Forest Hills, Rathcoole",Dublin,195000.0,No,Rathcoole,Co. Dublin,q1,20%
13/01/2011,"6 Payton Square, Stoney Lane, Rathcoole",Dublin,295000.0,Yes,Rathcoole,Co. Dublin,q2,50%
25/01/2011,"8 Peyton Square, Rathcoole, Co. Dublin",Dublin,277628.31,Yes,Rathcoole,Co. Dublin,q2,40%
26/01/2011,"39 Peyton Close, Stoney Road, Rathcoole",Dublin,295000.0,Yes,Rathcoole,Co. Dublin,q2,50%
03/02/2011,"Algonquin, 9 Redgap, Rathcoole",Dublin,750000.0,No,Rathcoole,Co. Dublin,q4,100%
09/02/2011,"4 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,308371.0,Yes,Rathcoole,Co. Dublin,q3,60%
10/02/2011,"32 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,273128.0,Yes,Rathcoole,Co. Dublin,q2,40%
02/03/2011,"42 Peyton Close, Stoney Road, Rathcoole",Dublin,295000.0,Yes,Rathcoole,Co. Dublin,q2,50%
04/03/2011,"43 Peyton Close, Stoney Lane, Rathcoole",Dublin,267634.36,Yes,Rathcoole,Co. Dublin,q2,40%
09/03/2011,"44 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,300000.0,Yes,Rathcoole,Co. Dublin,q2,50%
29/03/2011,"5 Broadfield View, Braodfiled Manor, Rathcoole",Dublin,175000.0,No,Rathcoole,Co. Dublin,q1,10%
08/04/2011,"38 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,277272.72,Yes,Rathcoole,Co. Dublin,q2,40%
13/04/2011,"42 Broadfield Drive, Broadfield Manor, Rathcoole",Dublin,268772.0,Yes,Rathcoole,Co. Dublin,q2,40%
15/04/2011,"55 Peyton Close, Stoney Lane, Rathcoole",Dublin,275000.0,Yes,Rathcoole,Co. Dublin,q2,40%
15/04/2011,"56 Peyton Close, Stoney Lane, Rathcoole",Dublin,293377.75,Yes,Rathcoole,Co. Dublin,q2,50%
