date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"581 Woodview Cottages, Rathfarnham, Dublin 14",Dublin,352000.0,No,Rathfarnham,Dublin 14,q2,40%
15/01/2010,"16 St. Enda'S Drive, Rathfarnham, Dublin 16",Dublin,390000.0,No,Rathfarnham,Dublin 14,q2,50%
15/01/2010,"22 Prospect View, Rathfarnham, Dublin 16",Dublin,393000.0,No,Rathfarnham,Dublin 14,q2,50%
19/01/2010,"62 Woodside, Dodder Park, Rathfarnham",Dublin,500000.0,No,Rathfarnham,Dublin 14,q3,70%
21/01/2010,"94, Loreto Avenue, Rathfarnham",Dublin,271000.0,No,Rathfarnham,Dublin 14,q1,20%
22/01/2010,"17 Prospect Heights, Prospect Manor, Rathfarnham",Dublin,440000.0,No,Rathfarnham,Dublin 14,q3,60%
22/01/2010,"Apartment 13, Crannagh Castle, Rathfarnham",Dublin,350000.0,No,Rathfarnham,Dublin 14,q2,40%
26/01/2010,"12 Dargle View, Rathfarnham",Dublin,315000.0,No,Rathfarnham,Dublin 14,q2,30%
26/01/2010,"21 Whitechurch Close, Rathfarnham, Dublin 14",Dublin,227500.0,No,Rathfarnham,Dublin 14,q1,20%
03/02/2010,"1 Loreto Row, Rathfarnham",Dublin,229950.0,No,Rathfarnham,Dublin 14,q1,20%
03/02/2010,"4 Airpark Rise, Rathfarnham, Dublin 16",Dublin,317180.61,Yes,Rathfarnham,Dublin 14,q2,30%
04/02/2010,"16 Stocking Wood Manor, Stocking Avenue, Rathfarnham",Dublin,362995.59,Yes,Rathfarnham,Dublin 14,q2,40%
04/02/2010,"26 Pinewood Park, Rathfarnham",Dublin,485000.0,No,Rathfarnham,Dublin 14,q3,70%
05/02/2010,"'Rowan', 72B Butterfield Avenue, Rathfarnham",Dublin,183175.0,Yes,Rathfarnham,Dublin 14,q1,10%
05/02/2010,"11 Ballyore Road, Rathfarnham",Dublin,700517.75,No,Rathfarnham,Dublin 14,q4,100%
05/02/2010,"13 Prosepect View, Prospect Manor, Rathfarnham  D 16",Dublin,410000.0,No,Rathfarnham,Dublin 14,q3,60%
05/02/2010,"19 Stocking Wood Hall, Rathfarnham, Dublin 16",Dublin,216250.0,Yes,Rathfarnham,Dublin 14,q1,10%
08/02/2010,"1 Stocking Wood Way, Stocking Avenue, Rathfarnham",Dublin,286344.0,Yes,Rathfarnham,Dublin 14,q1,30%
08/02/2010,"4 Washington Grove, Butterfield Avenue, Rathfarnham",Dublin,537444.93,Yes,Rathfarnham,Dublin 14,q4,80%
08/02/2010,"50 Llewelyn Court, Grange Valley, Rathfarnham",Dublin,342500.0,No,Rathfarnham,Dublin 14,q2,40%
08/02/2010,"6 Washington Grove, Butterfield Avenue, Rathfarnham",Dublin,559471.36,Yes,Rathfarnham,Dublin 14,q4,90%
15/02/2010,"15 Brehons Chair, Kellystown Road, Rathfarnham",Dublin,810000.0,No,Rathfarnham,Dublin 14,q4,100%
15/02/2010,"52 Grange Brook Avenue, Whitechurch Road, Rathfarnham",Dublin,330000.0,No,Rathfarnham,Dublin 14,q2,40%
23/02/2010,"29 Marlay Court North, Rathfarnham",Dublin,446000.0,No,Rathfarnham,Dublin 14,q3,70%
26/02/2010,"16 Beaufort Downs, Rathfarnham",Dublin,385000.0,No,Rathfarnham,Dublin 14,q2,50%
26/02/2010,"5 Glendoher Park, Rathfarnham",Dublin,410000.0,No,Rathfarnham,Dublin 14,q3,60%
02/03/2010,"8 Butterfield Avenue, Rathfarnham",Dublin,570000.0,No,Rathfarnham,Dublin 14,q4,90%
03/03/2010,"3 Washington Grove, Butterfield Avenue, Rathfarnham",Dublin,528590.3,Yes,Rathfarnham,Dublin 14,q4,80%
05/03/2010,"15 Whitechurch Court, Rathfarnham, Dublin 14",Dublin,233000.0,No,Rathfarnham,Dublin 14,q1,20%
05/03/2010,"6 Dodderdale, Rathfarnham, Dublin 16",Dublin,399000.0,No,Rathfarnham,Dublin 14,q2,50%
19/03/2010,"29 Butterfield Grove, Rathfarnham",Dublin,556000.0,No,Rathfarnham,Dublin 14,q4,90%
19/03/2010,"Van Neis, Rathfarnham",Dublin,1125000.0,No,Rathfarnham,Dublin 14,q4,100%
26/03/2010,"38 Prospect Manor, Rathfarnham, Dublin 14",Dublin,385000.0,No,Rathfarnham,Dublin 14,q2,50%
29/03/2010,"6 Prospect Avenue, Stocking Lane, Rathfarnham",Dublin,365000.0,No,Rathfarnham,Dublin 14,q2,40%
01/04/2010,"33 Eden Court, Rathfarnham, Dublin 16",Dublin,370000.0,No,Rathfarnham,Dublin 14,q2,40%
08/04/2010,"26 Whitchurch Park, Rathfarnham",Dublin,258000.0,No,Rathfarnham,Dublin 14,q1,20%
08/04/2010,"52 Pearse Bros. Park, Rathfarnham, Dublin 14",Dublin,245000.0,No,Rathfarnham,Dublin 14,q1,20%
09/04/2010,"51 Charleville Square, Butterfield Avenue, Rathfarnham",Dublin,575000.0,No,Rathfarnham,Dublin 14,q4,90%
13/04/2010,"3 Owendore Crescent, Rathfarnham, Dublin 14",Dublin,320000.0,No,Rathfarnham,Dublin 14,q2,30%
14/04/2010,"70 Llewellyn Grove, Rathfarnham, Dublin 16",Dublin,381500.0,No,Rathfarnham,Dublin 14,q2,50%
16/04/2010,"8 Walnut View, Scholarstown Road, Rathfarnham",Dublin,300000.0,No,Rathfarnham,Dublin 14,q2,30%
19/04/2010,"22B Scholarstown Park, Scholarstown Road, Rathfarnham",Dublin,330000.0,No,Rathfarnham,Dublin 14,q2,40%
26/04/2010,"25 St. Enda'S Drive, Rathfarnham",Dublin,385000.0,No,Rathfarnham,Dublin 14,q2,50%
29/04/2010,"117 Ballyroan Road, Rathfarnham",Dublin,585000.0,No,Rathfarnham,Dublin 14,q4,90%
30/04/2010,"11 Woodside, Rathfarnham",Dublin,712500.0,No,Rathfarnham,Dublin 14,q4,100%
07/05/2010,"91 Beaufort Downs, Rathfarnham, Dublin 14",Dublin,422000.0,No,Rathfarnham,Dublin 14,q3,60%
07/05/2010,"No. 1  Washington Grove, Butterfield Avenue, Rathfarnham",Dublin,524229.07,Yes,Rathfarnham,Dublin 14,q3,80%
10/05/2010,"17 Springvale, Edmundstown Road, Rathfarnham  Dublin 16",Dublin,360000.0,No,Rathfarnham,Dublin 14,q2,40%
11/05/2010,"Apartment 12 Loftus Square, Rathfarnham",Dublin,267000.0,No,Rathfarnham,Dublin 14,q1,20%
14/05/2010,"14 Whitechurch Way, Rathfarnham, Dublin 14",Dublin,260000.0,No,Rathfarnham,Dublin 14,q1,20%
14/05/2010,"204 De Brett House, Loreto Abbey, Rathfarnham",Dublin,270000.0,No,Rathfarnham,Dublin 14,q1,20%
14/05/2010,"5 Butterfield Crescent, Rathfarnham",Dublin,700000.0,No,Rathfarnham,Dublin 14,q4,100%
14/05/2010,"86 Charleville Square, Rathfarnham, Dublin 14",Dublin,245000.0,No,Rathfarnham,Dublin 14,q1,20%
17/05/2010,"26 Prospect Heights, Stocking Lane, Rathfarnham",Dublin,355000.0,No,Rathfarnham,Dublin 14,q2,40%
21/05/2010,"53 Prospect Grove, Stocking Lane, Rathfarnham",Dublin,360000.0,No,Rathfarnham,Dublin 14,q2,40%
27/05/2010,"30 Stocking Wood Walk, Stocking Avenue, Rathfarnham",Dublin,365638.76,Yes,Rathfarnham,Dublin 14,q2,40%
