date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
26/02/2010,"Riversdale House, Riversdale Ave  Bushy Park Road, Rathgar",Dublin,2250000.0,No,Rathgar,Dublin 6,q4,100%
12/03/2010,"4 Tower Villas, Tower Avenue, Rathgar",Dublin,520000.0,No,Rathgar,Dublin 6,q2,40%
26/03/2010,"36  Kenilworthsquare, Rathgar, Dublin 6",Dublin,1175000.0,No,Rathgar,Dublin 6,q4,80%
21/04/2010,"37 Garville Lane, Rathgar, Dublin 6",Dublin,500000.0,No,Rathgar,Dublin 6,q2,40%
23/04/2010,"Flat No. 20 Block B, Hillcourt, Highfield Road  Rathgar",Dublin,211750.0,No,Rathgar,Dublin 6,q1,10%
04/05/2010,"'Allendale', 66 Highfield Road, Rathgar",Dublin,2150000.0,No,Rathgar,Dublin 6,q4,100%
18/05/2010,"16 Vernon Grove, Rathgar",Dublin,760000.0,No,Rathgar,Dublin 6,q3,60%
18/05/2010,"28 Oakapple Green, Rathgar",Dublin,350000.0,No,Rathgar,Dublin 6,q1,20%
21/05/2010,"33 Garville Lane, Rathgar",Dublin,490000.0,No,Rathgar,Dublin 6,q2,40%
11/06/2010,"444 Cowper Downs, Rathgar",Dublin,307500.0,No,Rathgar,Dublin 6,q1,20%
25/06/2010,"32 Kenilworth Road, Rathgar, Dublin",Dublin,715000.0,No,Rathgar,Dublin 6,q3,60%
30/06/2010,"73 Meadowbank, Bushy Park Road, Rathgar",Dublin,381000.0,No,Rathgar,Dublin 6,q1,30%
06/07/2010,"17 Garville Avenue, Rathgar",Dublin,1500000.0,No,Rathgar,Dublin 6,q4,90%
06/08/2010,"20 Rathgar Avenue, Rathgar",Dublin,615000.0,No,Rathgar,Dublin 6,q2,50%
20/08/2010,"4 Brighton Square, Rathgar",Dublin,670000.0,No,Rathgar,Dublin 6,q3,60%
07/09/2010,"10 Templemore Ave, Rathgar",Dublin,650000.0,No,Rathgar,Dublin 6,q2,50%
10/09/2010,"14 Newtown Court, Eaton Brae, Rathgar",Dublin,205000.0,No,Rathgar,Dublin 6,q1,10%
16/09/2010,"5 Frankfort Avenue, Rathgar, Dublin 6",Dublin,1150000.0,No,Rathgar,Dublin 6,q4,80%
30/11/2010,"7 Newtown Court, Eaton Brae  Orwell Road, Rathgar",Dublin,210000.0,No,Rathgar,Dublin 6,q1,10%
01/12/2010,"22 Wesley Road, Rathgar",Dublin,433000.0,No,Rathgar,Dublin 6,q2,30%
12/01/2011,"176 Orwell Road, Rathgar",Dublin,1200000.0,No,Rathgar,Dublin 6,q4,90%
28/01/2011,"19 Eaton Brae, Rathgar",Dublin,800000.0,No,Rathgar,Dublin 6,q3,70%
04/03/2011,"Apartment 31  Hillcourt, Highfield Road, Rathgar",Dublin,190000.0,No,Rathgar,Dublin 6,q1,10%
09/03/2011,"38 Templemore Avenue, Rathgar, Dublin 6",Dublin,562500.0,No,Rathgar,Dublin 6,q2,50%
14/03/2011,"5 Brighton Road, Rathgar",Dublin,595000.0,No,Rathgar,Dublin 6,q2,50%
21/03/2011,"36 Frankfort Court, Rathgar",Dublin,150000.0,No,Rathgar,Dublin 6,q1,10%
07/04/2011,"3 Orwell Mews, Orwell Road, Rathgar",Dublin,348335.0,No,Rathgar,Dublin 6,q1,20%
11/04/2011,"1 Coulson Avenue, Rathgar, Dublin 6",Dublin,350000.0,No,Rathgar,Dublin 6,q1,20%
14/04/2011,"14 Frankfort Avenue, Rathgar, Dublin 6",Dublin,485000.0,No,Rathgar,Dublin 6,q2,40%
15/04/2011,"71 Highfield Road, Rathgar",Dublin,1950000.0,No,Rathgar,Dublin 6,q4,100%
15/04/2011,"Apartment 19 Grenville, 110/111 Rathgar Road, Dublin 6",Dublin,250000.0,No,Rathgar,Dublin 6,q1,10%
23/05/2011,"52 Orwell Road, Rathgar, Dublin 6",Dublin,460000.0,No,Rathgar,Dublin 6,q2,30%
31/05/2011,"1 Neville Road, Rathgar, Dublin",Dublin,1350000.0,No,Rathgar,Dublin 6,q4,90%
31/05/2011,"Padua, 1 Oaklands Drive, Rathgar",Dublin,850000.0,No,Rathgar,Dublin 6,q3,70%
10/06/2011,"59 Rathgar Road, Rathgar",Dublin,680000.0,No,Rathgar,Dublin 6,q3,60%
16/06/2011,"30 Meadowbank, Bushy Park Road, Rathgar",Dublin,342000.0,No,Rathgar,Dublin 6,q1,20%
24/06/2011,"14 Orwell Gardens, Rathgar, Dublin 14",Dublin,290000.0,No,Rathgar,Dublin 6,q1,20%
24/06/2011,"17 Orwell Park, Rathgar, Dublin 6",Dublin,1580000.0,No,Rathgar,Dublin 6,q4,100%
24/06/2011,"21 Coulson Avenue, Rathgar",Dublin,625000.0,No,Rathgar,Dublin 6,q2,50%
01/07/2011,"15 Vernon Grove, Rathgar",Dublin,560000.0,No,Rathgar,Dublin 6,q2,50%
15/07/2011,"12 Neville Road, Rathgar, Dublin 6",Dublin,1373000.0,No,Rathgar,Dublin 6,q4,90%
22/07/2011,"28 Neville Road, Rathgar",Dublin,545000.0,No,Rathgar,Dublin 6,q2,50%
27/07/2011,"103  103A & 103B, Rathgar Road, Rathgar",Dublin,40000.0,No,Rathgar,Dublin 6,q1,10%
27/07/2011,"32 Villiers Road, Rathgar, Dublin6",Dublin,450000.0,No,Rathgar,Dublin 6,q2,30%
10/08/2011,"Broomfield, 15 Kenilworth Lane, Rathgar",Dublin,276250.0,No,Rathgar,Dublin 6,q1,20%
15/08/2011,"47 Meadowbank, Bushy Park Road, Rathgar",Dublin,411500.0,No,Rathgar,Dublin 6,q1,30%
17/08/2011,"31 Oaklands Drive, Rathgar, Dublin 6",Dublin,680000.0,No,Rathgar,Dublin 6,q3,60%
19/08/2011,"5 Frankfort Court, Rathgar, Dublin 6",Dublin,190000.0,No,Rathgar,Dublin 6,q1,10%
23/08/2011,"69  Brighton Square, Rathgar, Dublin",Dublin,1195000.0,No,Rathgar,Dublin 6,q4,90%
30/08/2011,"Milverton, 8 Green Road, Rathgar",Dublin,1150000.0,No,Rathgar,Dublin 6,q4,80%
06/09/2011,"30 Brighton Gardens, Rathgar",Dublin,250000.0,No,Rathgar,Dublin 6,q1,10%
09/09/2011,"No. 9  Victoria Road, Rathgar, Dublin 6",Dublin,690000.0,No,Rathgar,Dublin 6,q3,60%
12/09/2011,"11 Meadowbank, Bushy Park Road, Rathgar",Dublin,326000.0,No,Rathgar,Dublin 6,q1,20%
21/09/2011,"2 Rathgar Villas, Rathgar Ave",Dublin,344400.0,No,Rathgar,Dublin 6,q1,20%
29/09/2011,"23 Green Park, Orwell Road, Rathgar",Dublin,696332.0,No,Rathgar,Dublin 6,q3,60%
29/09/2011,"38 Brighton Road, Rathgar, Dublin 6",Dublin,1100000.0,No,Rathgar,Dublin 6,q4,80%
07/10/2011,"13A Kenilworth Lane, Rathgar",Dublin,220000.0,No,Rathgar,Dublin 6,q1,10%
07/10/2011,"19 Orwell Gardens, Rathgar",Dublin,347500.0,No,Rathgar,Dublin 6,q1,20%
10/10/2011,"46 Hillcourt, Highfield, Rathgar",Dublin,207500.0,No,Rathgar,Dublin 6,q1,10%
13/10/2011,"10  Winton Ave, Rathgar",Dublin,905000.0,No,Rathgar,Dublin 6,q3,70%
19/10/2011,"Apartment 13 Sherbourne, 96-97 Rathgar Road, Rathgar",Dublin,285000.0,No,Rathgar,Dublin 6,q1,20%
21/10/2011,"4 Harrison Row, Rathgar",Dublin,400000.0,No,Rathgar,Dublin 6,q1,30%
28/10/2011,"2 Waverley Terrace, Rathgar, Dublin 6",Dublin,310000.0,No,Rathgar,Dublin 6,q1,20%
14/11/2011,"67Rathgar Road, Rathgar Road",Dublin,485000.0,No,Rathgar,Dublin 6,q2,40%
18/11/2011,"17 Victoria Road, Rathgar",Dublin,865000.0,No,Rathgar,Dublin 6,q3,70%
18/11/2011,"85 Rathgar Road, Rathgar, Dublin 6",Dublin,250000.0,No,Rathgar,Dublin 6,q1,10%
24/11/2011,"27 Eaton Brae, Orwell Road, Rathgar",Dublin,440000.0,No,Rathgar,Dublin 6,q2,30%
25/11/2011,"79 Rathgar Road, Rathgar",Dublin,775000.0,No,Rathgar,Dublin 6,q3,60%
