date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/12/2010,"Altamont, Rathmichael",Dublin,1237000.0,No,Rathmichael,Dublin 18,q4,90%
19/04/2011,"42 Old Connaught House, Ferndale Road, Rathmichael",Dublin,239000.0,No,Rathmichael,Dublin 18,q1,10%
06/07/2011,"Apartment 37, Old Connaught House, Old Conna  Rathmichael",Dublin,225000.0,No,Rathmichael,Dublin 18,q1,10%
06/09/2011,"San Maranth, 10A Ballybride Road, Rathmichael",Dublin,1165000.0,No,Rathmichael,Dublin 18,q4,90%
08/11/2011,"49 Ferndale Court, Allies River Road, Rathmichael",Dublin,188500.0,No,Rathmichael,Dublin 18,q1,10%
13/02/2012,"Chantilly Lodge, Rathmichael",Dublin,586000.0,No,Rathmichael,Dublin 18,q2,40%
27/04/2012,"Rathmichael Haven, Rathmichael",Dublin,1047000.0,No,Rathmichael,Dublin 18,q3,80%
08/11/2012,"Manor Bride, Ballybride Road, Rathmichael",Dublin,1140000.0,No,Rathmichael,Dublin 18,q4,80%
26/11/2012,"Elmhurst, Ballybride Road, Rathmichael",Dublin,505000.0,No,Rathmichael,Dublin 18,q2,40%
18/12/2012,"Amberley, Old Conna, Rathmichael",Dublin,852500.0,No,Rathmichael,Dublin 18,q3,60%
07/01/2013,"30 North Wing, Old Connaught House, Rathmichael",Dublin,160000.0,No,Rathmichael,Dublin 18,q1,10%
19/03/2013,"The Turrets, Rathmichael Haven, Rathmichael",Dublin,818000.0,No,Rathmichael,Dublin 18,q2,50%
21/06/2013,"The Groom'S Cottage, Old Conna Village, Rathmichael",Dublin,420000.0,No,Rathmichael,Dublin 18,q2,30%
25/06/2013,"San Moranth, 10A Ballybride Road, Ballybride  Rathmichael",Dublin,1200000.0,No,Rathmichael,Dublin 18,q4,90%
08/07/2013,"Ferndale Hill, Ferndale Road, Rathmichael",Dublin,950000.0,No,Rathmichael,Dublin 18,q3,60%
12/07/2013,"21 Ferndale Court, Allies River Road, Rathmichael",Dublin,180000.0,No,Rathmichael,Dublin 18,q1,10%
01/08/2013,"'Glenview'  Quarry Road, Rathmichael",Dublin,455000.0,No,Rathmichael,Dublin 18,q2,30%
12/09/2013,"1 Rathmichael Haven, Ferndale Road, Rathmichael",Dublin,975000.0,No,Rathmichael,Dublin 18,q3,70%
04/10/2013,"Chantilly House, Rathmichael, Co. Dublin",Dublin,1550000.0,No,Rathmichael,Dublin 18,q4,100%
07/10/2013,"9 Rathmichael Road, Rathmichael",Dublin,550000.0,No,Rathmichael,Dublin 18,q2,40%
04/11/2013,"10/11 Old Connaught Hse, Ferndale Road, Rathmichael",Dublin,410000.0,No,Rathmichael,Dublin 18,q2,30%
14/11/2013,"4 Rathmichael Haven, Rathmichael, Dublin",Dublin,977500.0,No,Rathmichael,Dublin 18,q3,70%
03/02/2014,"Ashfield, Ballycorus Road, Rathmichael",Dublin,995000.0,No,Rathmichael,Dublin 18,q3,70%
21/03/2014,"Mellowbrook, 4 Old Rathmichael, Rathmichael",Dublin,1150000.0,No,Rathmichael,Dublin 18,q4,80%
17/04/2014,"Linford House, Falls Rd, Rathmichael",Dublin,1600000.0,No,Rathmichael,Dublin 18,q4,100%
10/07/2014,"Ferndale Rd, Rathmichael, Co Dublin",Dublin,500000.0,No,Rathmichael,Dublin 18,q2,30%
22/08/2014,"Melmore, Mullinastill Rd, Rathmichael Dublin 18",Dublin,1100000.0,No,Rathmichael,Dublin 18,q4,80%
26/08/2014,"Pucks Castle, Rathmichael",Dublin,300000.0,No,Rathmichael,Dublin 18,q1,20%
01/10/2014,"Greenacre, Ballybride Road, Rathmichael",Dublin,1200000.0,No,Rathmichael,Dublin 18,q4,90%
06/11/2014,"Shankhill House, Rathmichael",Dublin,900000.0,No,Rathmichael,Dublin 18,q3,60%
07/01/2015,"2 Glencarrig, Brides Glen Road, Rathmichael",Dublin,704846.0,Yes,Rathmichael,Dublin 18,q2,40%
03/02/2015,"Aughras, 5 Rathmichael Dales, Ferndale Road",Dublin,1240000.0,No,Rathmichael,Dublin 18,q4,90%
27/02/2015,"5 Glencarraig, Rathmichael",Dublin,704845.0,Yes,Rathmichael,Dublin 18,q2,40%
13/03/2015,"30 Ferndale Court, Allies River Rd, Rathmichael",Dublin,229000.0,No,Rathmichael,Dublin 18,q1,10%
22/05/2015,"6 Glencarraig, Rathmichael, County Dublin",Dublin,683229.0,Yes,Rathmichael,Dublin 18,q2,40%
27/05/2015,"7Glencarraig, Bride'S Glen Road, Rathmichael",Dublin,704846.0,Yes,Rathmichael,Dublin 18,q2,50%
27/05/2015,"Apt 12 Old Connaught House, Ferndale Rd, Rathmichael",Dublin,233500.0,No,Rathmichael,Dublin 18,q1,10%
08/06/2015,"29 Ferndale Court, Allied River Road, Rathmichael",Dublin,385000.0,No,Rathmichael,Dublin 18,q1,30%
17/07/2015,"1 Hillfield, Ferndale Road, Rathmichael",Dublin,1400000.0,Yes,Rathmichael,Dublin 18,q4,100%
31/07/2015,"3 Hillfield, Ferndale Road, Rathmichael",Dublin,1013215.86,Yes,Rathmichael,Dublin 18,q3,70%
14/08/2015,"4 Glencarraig, Brides Glen Road, Rathmichael",Dublin,840000.0,Yes,Rathmichael,Dublin 18,q3,60%
19/08/2015,"46 Ferndale Court, Allies River Rd, Rathmichael",Dublin,250000.0,No,Rathmichael,Dublin 18,q1,20%
21/08/2015,"10 Hillfield, Ferndale Road, Rathmichael",Dublin,1057268.7,Yes,Rathmichael,Dublin 18,q3,80%
21/08/2015,"2 Hillfield, Ferndale Road, Rathmichael",Dublin,1076652.0,Yes,Rathmichael,Dublin 18,q3,80%
02/09/2015,"Aldaniti, 6 Quarry Rd, Rathmichael Dublin 18",Dublin,1000000.0,No,Rathmichael,Dublin 18,q3,70%
18/09/2015,"8 Glencarraig, Rathmichael, Co. Dublin",Dublin,740088.1,Yes,Rathmichael,Dublin 18,q2,50%
25/09/2015,"Brandywyne, Rathmichael Haven, Rathmichael",Dublin,1880000.0,No,Rathmichael,Dublin 18,q4,100%
01/10/2015,"Aysgarth, 4 Rathmichael Dales, Rathmichael",Dublin,1500000.0,No,Rathmichael,Dublin 18,q4,100%
28/10/2015,"9 Hillfield, Rathmichael, County Dublin",Dublin,1057500.0,Yes,Rathmichael,Dublin 18,q3,80%
11/01/2016,"3 Glencarrig, Brides Glen Road, Rathmichael",Dublin,748898.67,Yes,Rathmichael,Dublin 18,q2,50%
08/02/2016,"Cartref, 10 Ballybride, Rathmichael",Dublin,1780000.0,No,Rathmichael,Dublin 18,q4,100%
15/03/2016,"11 Hillfield, Ferndale Road, Rathmichael",Dublin,1101321.0,Yes,Rathmichael,Dublin 18,q4,80%
12/05/2016,"10 Glencarraig, Brides Glen Road, Rathmichael",Dublin,748900.0,Yes,Rathmichael,Dublin 18,q2,50%
02/06/2016,"6 Ferndale Court, Allies River Rd, Rathmichael",Dublin,240000.0,No,Rathmichael,Dublin 18,q1,20%
07/06/2016,"Wood Lane, Quarry Rd, Rathmichael",Dublin,1200000.0,No,Rathmichael,Dublin 18,q4,90%
21/06/2016,"11 Glencarraig, Brides Glen, Rathmichael",Dublin,855000.0,Yes,Rathmichael,Dublin 18,q3,60%
01/07/2016,"7 Ballybride Rd, Rathmichael, Dublin 18",Dublin,1800000.0,No,Rathmichael,Dublin 18,q4,100%
15/07/2016,"5 Hillfield, Ferndale Road, Rathmichael",Dublin,1157885.46,Yes,Rathmichael,Dublin 18,q4,90%
15/07/2016,"9 Glencarraig, Brides Glen Road, Rathmichael",Dublin,748900.0,Yes,Rathmichael,Dublin 18,q2,50%
26/08/2016,"22 Old Connaught House, Ferndale Rd, Rathmichael",Dublin,234000.0,No,Rathmichael,Dublin 18,q1,10%
26/08/2016,"42 Old Connaught House, Ferndale Rd, Rathmichael",Dublin,285000.0,No,Rathmichael,Dublin 18,q1,20%
26/08/2016,"Woodlands, Falls Rd, Rathmichael",Dublin,1150000.0,No,Rathmichael,Dublin 18,q4,90%
26/10/2016,"7 Ferndale Glen, Ferndale Rd, Rathmichael",Dublin,1270000.0,No,Rathmichael,Dublin 18,q4,100%
13/02/2017,"Aravon School, Rathmichael, County Dublin",Dublin,100000.0,No,Rathmichael,Dublin 18,q1,10%
24/03/2017,"4 Hillfield, Ferndale Road, Rathmichael",Dublin,955947.14,Yes,Rathmichael,Dublin 18,q3,70%
30/03/2017,"Kepple, Lordello Rd, Rathmichael",Dublin,555000.0,No,Rathmichael,Dublin 18,q2,40%
28/06/2017,"El Dorado, Quarry Road, Rathmichael",Dublin,800000.0,No,Rathmichael,Dublin 18,q2,50%
18/08/2017,"10 Ferndale Glen, Ferndale Rd, Rathmichael Dublin 18",Dublin,1070000.0,No,Rathmichael,Dublin 18,q3,80%
31/08/2017,"Hylbrook, Quarry Rd, Rathmichael Dublin 18",Dublin,895000.0,No,Rathmichael,Dublin 18,q3,60%
13/10/2017,"8 Hillfield, Ferndale Road, Rathmichael",Dublin,969163.0,Yes,Rathmichael,Dublin 18,q3,70%
29/11/2017,"Dunrovan, Ferndale Rd, Rathmichael Dublin 18",Dublin,805000.0,No,Rathmichael,Dublin 18,q2,50%
08/12/2017,"Carriage House, Ballybride Road, Rathmichael",Dublin,239222.0,No,Rathmichael,Dublin 18,q1,20%
20/12/2017,"6 Hillfield, Ferndale Road, Rathmichael",Dublin,933920.0,Yes,Rathmichael,Dublin 18,q3,60%
24/01/2018,"24 Ferndale Court, Rathmichael, Dublin",Dublin,360000.0,No,Rathmichael,Dublin 18,q1,30%
31/01/2018,"7 Hillfield, Rathmichael",Dublin,881057.27,Yes,Rathmichael,Dublin 18,q3,60%
09/05/2018,"Shandon, Ferndale Rd, Rathmichael",Dublin,1250000.0,No,Rathmichael,Dublin 18,q4,90%
