date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"N1, The Grove, Rathmines",Dublin,425000.0,No,Rathmines,Dublin 6,q2,50%
03/02/2010,"33  Leinster Square, Rathmines, Dublin 6",Dublin,550000.0,No,Rathmines,Dublin 6,q3,60%
26/02/2010,"127 129 And 131 And Part 133, Lower Rathmines Road",Dublin,6010195.27,No,Rathmines,Dublin 6,q4,100%
01/03/2010,"62 Gulistan Cottages, Rathmines, Dublin 6",Dublin,345000.0,No,Rathmines,Dublin 6,q2,40%
04/03/2010,"49A Leinster Road, Rathmines, Dublin 6",Dublin,10000.0,No,Rathmines,Dublin 6,q1,10%
08/03/2010,"28, Charleville Close, Rathmines",Dublin,470000.0,No,Rathmines,Dublin 6,q2,50%
10/03/2010,"14 Windsor Road, Rathmines, Dublin",Dublin,1298000.0,No,Rathmines,Dublin 6,q4,90%
26/03/2010,"152  Leinster Road, Rathmines",Dublin,510000.0,No,Rathmines,Dublin 6,q3,60%
30/03/2010,"9 Belgrave Square, Rathmines, Dublin 6",Dublin,1375000.0,No,Rathmines,Dublin 6,q4,90%
29/04/2010,"13 Gulistan Place, Rathmines",Dublin,194000.0,No,Rathmines,Dublin 6,q1,10%
03/05/2010,"Apt. 403 Cowper Downs, Rathmines",Dublin,300000.0,No,Rathmines,Dublin 6,q1,30%
05/05/2010,"74 Upper Rathmines Road, Rathmines",Dublin,495000.0,No,Rathmines,Dublin 6,q2,50%
14/05/2010,"4 Richmond Hill, Rathmines, Dublin 6",Dublin,275000.0,No,Rathmines,Dublin 6,q1,30%
14/05/2010,"42 Grosvenor Road, Rathmines",Dublin,1000000.0,No,Rathmines,Dublin 6,q4,80%
03/06/2010,"55 Mount Pleasant Avenue, Rathmines",Dublin,445000.0,No,Rathmines,Dublin 6,q2,50%
11/06/2010,"17 Rathmines Park, Rathmines",Dublin,550000.0,No,Rathmines,Dublin 6,q3,60%
