date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"22  4 Herberton Street, Rialto, Dublin 8",Dublin,182000.0,Yes,Rialto,Dublin 8,q3,60%
12/02/2010,"Apartment 10, 86 Reuben Street, Rialto",Dublin,215000.0,Yes,Rialto,Dublin 8,q3,70%
19/02/2010,"Apartment 11, 86 Reuben Street, Rialto",Dublin,140970.0,Yes,Rialto,Dublin 8,q2,40%
22/02/2010,"Apt. No. 15  86 Reuben Street, Rialto, Dublin 8",Dublin,224900.0,Yes,Rialto,Dublin 8,q3,70%
05/03/2010,"Apartment 3, 29 James'S Walk, Rialto",Dublin,187000.0,Yes,Rialto,Dublin 8,q3,60%
11/03/2010,"9 Upper Cross Road, Rialto",Dublin,200000.0,No,Rialto,Dublin 8,q3,60%
12/03/2010,"Apt 6  29 James' Walk, Rialto, Dublin 8",Dublin,188000.0,Yes,Rialto,Dublin 8,q3,60%
15/03/2010,"8 Haroldville Avenue, Rialto, Dublin 8",Dublin,330000.0,No,Rialto,Dublin 8,q4,90%
16/03/2010,"Apt 14 Herberton 86 Reuben Street, St James'S Walk, Rialto",Dublin,172000.0,Yes,Rialto,Dublin 8,q2,50%
16/03/2010,"Apt 21 29 St James'S Walk, Rialto, Dublin 8",Dublin,183000.0,Yes,Rialto,Dublin 8,q3,60%
19/03/2010,"19 Rialto Cottages, Rialto",Dublin,127500.0,No,Rialto,Dublin 8,q2,40%
19/03/2010,"Apartment 5, 13  Clarke'S Terrace, Rialto",Dublin,187000.0,Yes,Rialto,Dublin 8,q3,60%
26/03/2010,"45 Herberton Drive, Rialto",Dublin,270000.0,No,Rialto,Dublin 8,q4,80%
01/04/2010,"Apt 43 St. Anthony'S Walk, Rialto, Dublin8",Dublin,191250.0,Yes,Rialto,Dublin 8,q3,60%
15/04/2010,"90 Rialto Cottages, Rialto, .",Dublin,142000.0,No,Rialto,Dublin 8,q2,40%
21/04/2010,"96  Rialto Court, Rialto, Dublin 8",Dublin,145000.0,No,Rialto,Dublin 8,q2,40%
27/04/2010,"Apartment 10, 26 St. James'S Walk, Rialto",Dublin,200440.52,Yes,Rialto,Dublin 8,q3,60%
28/04/2010,"Apartment 13, 86 Reuben Street, Rialto",Dublin,222026.43,Yes,Rialto,Dublin 8,q3,70%
29/04/2010,"Apt. 3, James'S Walk, Rialto",Dublin,202643.17,Yes,Rialto,Dublin 8,q3,60%
30/04/2010,"35 Herberton Drive, Rialto",Dublin,250000.0,No,Rialto,Dublin 8,q3,80%
30/04/2010,"38 Church Avenue South, Rialto, Dublin 8",Dublin,285000.0,Yes,Rialto,Dublin 8,q4,80%
11/05/2010,"Apartment 19, No.2 Reuben Plaza, Rialto",Dublin,199815.0,Yes,Rialto,Dublin 8,q3,60%
19/05/2010,"Apartment 10, 82 Reuben Street, Rialto",Dublin,184250.0,Yes,Rialto,Dublin 8,q3,60%
20/05/2010,"36 Church Avenue South, Rialto",Dublin,255507.0,Yes,Rialto,Dublin 8,q3,80%
24/05/2010,"42 Church Avenue South, Rialto",Dublin,251101.0,Yes,Rialto,Dublin 8,q3,80%
28/05/2010,"Apartment 6, 26 James'S Walk, Rialto",Dublin,175000.0,Yes,Rialto,Dublin 8,q2,50%
04/06/2010,"34 Church Avenue South, Rialto",Dublin,303000.0,Yes,Rialto,Dublin 8,q4,90%
04/06/2010,"46 Church Avenue South, Rialto, Dublin 8",Dublin,280000.0,Yes,Rialto,Dublin 8,q4,80%
16/06/2010,"Apartment 1, 2 Reuben Plaza, Rialto",Dublin,164757.7,Yes,Rialto,Dublin 8,q2,50%
21/06/2010,"4 Herbrton Street, Rialto, Dublin",Dublin,190000.0,No,Rialto,Dublin 8,q3,60%
23/06/2010,"Apartment 11, 82 Reuben Street, Rialto",Dublin,218250.0,Yes,Rialto,Dublin 8,q3,70%
16/07/2010,"Apartment 3, 43 St. Anthony'S Road, Rialto",Dublin,176211.45,Yes,Rialto,Dublin 8,q3,60%
21/07/2010,"10 Glenmalure Park, Rialto",Dublin,280000.0,No,Rialto,Dublin 8,q4,80%
27/07/2010,"7 Herberton Walk, Rialto",Dublin,208250.0,Yes,Rialto,Dublin 8,q3,70%
28/07/2010,"Apt 13, 43 St. Anthony'S Road  Rialto, Dublin 8",Dublin,195500.0,No,Rialto,Dublin 8,q3,60%
10/08/2010,"20 Rialto Court, Rialto, Dublin 8",Dublin,105000.0,No,Rialto,Dublin 8,q1,20%
12/08/2010,"11 Herberton Walk, Rialto, Dublin 8",Dublin,183480.17,Yes,Rialto,Dublin 8,q3,60%
24/09/2010,"44  Church Avenue South, Rialto",Dublin,251101.32,Yes,Rialto,Dublin 8,q3,80%
07/10/2010,"17 Reuben Street, Rialto, Dublin 8",Dublin,250000.0,No,Rialto,Dublin 8,q3,80%
08/10/2010,"Apt 19, 2 Herberton St, Rialto  Dublin 8",Dublin,132159.0,Yes,Rialto,Dublin 8,q2,40%
15/10/2010,"142  Rialto Cottages, Dublin 8",Dublin,95000.0,No,Rialto,Dublin 8,q1,20%
15/10/2010,"48 Church Avenue South, Rialto, Dublin 8",Dublin,258149.0,Yes,Rialto,Dublin 8,q4,80%
15/10/2010,"Apt 23  31 St. James Walk, Rialto",Dublin,220000.0,Yes,Rialto,Dublin 8,q3,70%
22/10/2010,"38A New Ireland Road, Rialto, Dublin 8",Dublin,250000.0,No,Rialto,Dublin 8,q3,80%
15/11/2010,"Apartment 9, 13 Clarke'S Terrace, Rialto",Dublin,202643.0,Yes,Rialto,Dublin 8,q3,60%
09/12/2010,"37 Rialto Street, Rialto, Dublin 8",Dublin,175000.0,No,Rialto,Dublin 8,q2,50%
13/12/2010,"Apartment 6, 80 Reuben Street, Rialto",Dublin,153744.49,Yes,Rialto,Dublin 8,q2,50%
23/12/2010,"106 New Ireland Road, Rialto, Dublin 6",Dublin,200000.0,No,Rialto,Dublin 8,q3,60%
08/02/2011,"43 -45 Rialto Buildings, Rialto Street",Dublin,80000.0,No,Rialto,Dublin 8,q1,10%
01/03/2011,"Thistle House, Heberton Road, Rialto",Dublin,195000.0,No,Rialto,Dublin 8,q3,60%
08/03/2011,"Apartment 25, 29 James'S Walk, Rialto",Dublin,145375.0,Yes,Rialto,Dublin 8,q2,40%
10/03/2011,"15 Reuben Avenue, Rialto, Dublin 8",Dublin,130000.0,No,Rialto,Dublin 8,q2,40%
15/03/2011,"27 Herberton Park, Rialto, Dublin 8",Dublin,145000.0,No,Rialto,Dublin 8,q2,40%
25/03/2011,"40  Rialto Cottages, Rialto, Dublin 8",Dublin,193000.0,No,Rialto,Dublin 8,q3,60%
15/04/2011,"Apartment 12, 2 Reuben Plaza  Rialto",Dublin,233550.0,Yes,Rialto,Dublin 8,q3,70%
17/05/2011,"126 Rialto Cottages, Rialto, Dublin 8",Dublin,37500.0,No,Rialto,Dublin 8,q1,10%
19/05/2011,"15 Rialto Cottages, Rialto, Dublin 8",Dublin,150000.0,No,Rialto,Dublin 8,q2,40%
07/06/2011,"30  Reuben Street, Rialto",Dublin,218000.0,No,Rialto,Dublin 8,q3,70%
08/07/2011,"21 Herberton Walk, Rialto",Dublin,161157.0,Yes,Rialto,Dublin 8,q2,50%
08/07/2011,"23 Herberton Walk, Rialto, Dublin 8",Dublin,195000.0,Yes,Rialto,Dublin 8,q3,60%
14/07/2011,"Apartment 8, 86 Reuben Street, Rialto",Dublin,103083.0,Yes,Rialto,Dublin 8,q1,20%
21/07/2011,"2 Our Lady Of Fatima Close, Rialto",Dublin,120000.0,No,Rialto,Dublin 8,q1,20%
26/07/2011,"19 Herberton Walk, Rialto, Dublin 8",Dublin,162996.0,Yes,Rialto,Dublin 8,q2,50%
03/08/2011,"Apt. 9, 86 Reuben St., Rialto",Dublin,140925.0,Yes,Rialto,Dublin 8,q2,40%
09/08/2011,"Apartment 7, 6 Reuben Plaza, Rialto",Dublin,157950.0,Yes,Rialto,Dublin 8,q2,50%
12/08/2011,"Apartment 12 Reuben Street, Rialto",Dublin,147050.0,Yes,Rialto,Dublin 8,q2,40%
17/08/2011,"Apartment 8, 2 Reuben Plaza, Rialto",Dublin,136564.0,Yes,Rialto,Dublin 8,q2,40%
24/08/2011,"Apartment 13, 2 Reuben Plaza, Rialto",Dublin,159950.0,Yes,Rialto,Dublin 8,q2,50%
26/08/2011,"53 Reuben Avenue, Rialto",Dublin,90000.0,No,Rialto,Dublin 8,q1,20%
01/09/2011,"17 Herberton Drive, Rialto, Dublin 12",Dublin,135000.0,No,Rialto,Dublin 8,q2,40%
20/09/2011,"Apt 15, 49 St. Anthony'S Rd, Rialto",Dublin,102202.62,Yes,Rialto,Dublin 8,q1,20%
03/11/2011,"Apartment 7, 86 Reuben Street  Rialto, Dublin 8",Dublin,165000.0,Yes,Rialto,Dublin 8,q2,50%
07/11/2011,"Apt 5, 6 Reuben Plaza, Rialto",Dublin,92511.0,Yes,Rialto,Dublin 8,q1,20%
11/11/2011,"63  Reuben Avenue, Rialto",Dublin,225000.0,No,Rialto,Dublin 8,q3,70%
23/11/2011,"8 St Anthonys Crescent, Rialto",Dublin,110000.0,No,Rialto,Dublin 8,q1,20%
25/11/2011,"Apt 9, 2 Reuben Plaza, Rialto",Dublin,132114.53,Yes,Rialto,Dublin 8,q2,40%
01/12/2011,"Apartment 21, Block A  31 James'S Walk, Rialto  Dublin 8",Dublin,105726.87,Yes,Rialto,Dublin 8,q1,20%
07/12/2011,"Apartment 14, 43 St. Anthony'S Road, Rialto",Dublin,123966.94,Yes,Rialto,Dublin 8,q2,30%
16/12/2011,"59 New Ireland Road, Rialto, Dublin 8",Dublin,165000.0,No,Rialto,Dublin 8,q2,50%
12/01/2012,"144 Rialto Cottages, Rialto, Dublin 8",Dublin,76500.0,No,Rialto,Dublin 8,q1,10%
17/01/2012,"Apartment 22, 31  James'S Walk, Rialto",Dublin,205000.0,Yes,Rialto,Dublin 8,q3,60%
27/01/2012,"17 Rialto Court, Rialto",Dublin,55000.0,No,Rialto,Dublin 8,q1,10%
07/02/2012,"Apt. 5  45 St. Anthony'S Road, Rialto, Dublin 8",Dublin,83700.44,Yes,Rialto,Dublin 8,q1,20%
10/02/2012,"16 Church Avenue South, Rialto",Dublin,82000.0,No,Rialto,Dublin 8,q1,20%
10/02/2012,"25 Church Avenue South, Rialto",Dublin,73000.0,No,Rialto,Dublin 8,q1,10%
22/02/2012,"98 Herberton Road, Rialto, Dublin 8",Dublin,163000.0,No,Rialto,Dublin 8,q2,50%
23/02/2012,"Apartment 23, 29 St. James Walk, Rialto",Dublin,246696.03,Yes,Rialto,Dublin 8,q3,80%
02/03/2012,"530 South Circular Road, Rialto",Dublin,255000.0,No,Rialto,Dublin 8,q3,80%
05/03/2012,"120 New Ireland Road, Rialto",Dublin,10000.0,No,Rialto,Dublin 8,q1,10%
09/03/2012,"64 Herberton Road, Rialto, Dublin 8",Dublin,156000.0,No,Rialto,Dublin 8,q2,50%
29/03/2012,"55 Mountshannon Road, Rialto, Dublin8",Dublin,225000.0,No,Rialto,Dublin 8,q3,70%
04/05/2012,"88 Rialto Court, Rialto, Dublin 8",Dublin,71000.0,No,Rialto,Dublin 8,q1,10%
15/05/2012,"1 Glenmalure Villas, South Circular Road, Rialto",Dublin,106666.67,No,Rialto,Dublin 8,q1,20%
15/05/2012,"17 Herberton Walk, Rialto, Dublin 8",Dublin,160352.0,Yes,Rialto,Dublin 8,q2,50%
24/05/2012,"25 Herberton Walk, Rialto",Dublin,180000.0,Yes,Rialto,Dublin 8,q3,60%
25/05/2012,"Apt 16 Rueben Plaza, Rialto",Dublin,145000.0,Yes,Rialto,Dublin 8,q2,40%
14/06/2012,"50 Reuben Avenue, Rialto",Dublin,200000.0,No,Rialto,Dublin 8,q3,60%
28/06/2012,"43 New Ireland Road, Rialto, Dublin 8",Dublin,150000.0,No,Rialto,Dublin 8,q2,40%
28/06/2012,"5 St. James' Terrace, Dolphin'S Barn, Rialto",Dublin,121000.0,No,Rialto,Dublin 8,q2,30%
02/08/2012,"29 Herberton Walk, Rialto, Dublin 8",Dublin,185000.0,Yes,Rialto,Dublin 8,q3,60%
03/08/2012,"2 Herberton Park, South Circular Road, Rialto",Dublin,133160.0,No,Rialto,Dublin 8,q2,40%
07/08/2012,"27 Herbeton Walk, Rialto",Dublin,158590.0,Yes,Rialto,Dublin 8,q2,50%
07/08/2012,"8 Rialto Park, Dublin 8",Dublin,250000.0,No,Rialto,Dublin 8,q3,80%
03/09/2012,"19 Rialto Street, Rialto",Dublin,43000.0,No,Rialto,Dublin 8,q1,10%
12/09/2012,"149 Herberton Road, Rialto, Dublin 8",Dublin,150000.0,No,Rialto,Dublin 8,q2,40%
11/10/2012,"30 Rialto Cottages, Rialto",Dublin,75000.0,No,Rialto,Dublin 8,q1,10%
22/10/2012,"79 St James Walk, Rialto",Dublin,220000.0,No,Rialto,Dublin 8,q3,70%
26/10/2012,"61 New Ireland Road, Rialto",Dublin,181500.0,No,Rialto,Dublin 8,q3,60%
02/11/2012,"14 Rialto Court, Rialto, Dublin 8",Dublin,87000.0,No,Rialto,Dublin 8,q1,20%
27/11/2012,"23 Rialto Cottages, Rialto",Dublin,128000.0,No,Rialto,Dublin 8,q2,40%
06/12/2012,"Apartment 16 Grand Canal Court, Herberton Road, Rialto",Dublin,170000.0,No,Rialto,Dublin 8,q2,50%
19/12/2012,"Apt 1 Herberton, 49 St Anthony'S Rd, Rialto",Dublin,81938.0,Yes,Rialto,Dublin 8,q1,20%
20/12/2012,"75 New Ireland Road, Rialto",Dublin,215000.0,No,Rialto,Dublin 8,q3,70%
21/12/2012,"15 Apartments In Block F, Herberton  Rialto",Dublin,89445.0,No,Rialto,Dublin 8,q1,20%
21/12/2012,"18 Glenmalure Court, St. James Walk, Rialto",Dublin,76000.0,No,Rialto,Dublin 8,q1,10%
21/12/2012,"36 Apartments In Block B, Herberton  Rialto",Dublin,214668.0,No,Rialto,Dublin 8,q3,70%
21/12/2012,"40 Apartments In Block A, Herberton  Rialto",Dublin,238520.0,No,Rialto,Dublin 8,q3,70%
