date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"100  Block B2  Fitzwillam Point, Fitzwilliam Quay, Ringsend  Dublin 4",Dublin,273139.0,Yes,Ringsend,Dublin 4,q2,40%
27/01/2010,"Apt 43 Grand Canal Warf, Ringsend Road, Dublin 4",Dublin,325000.0,No,Ringsend,Dublin 4,q3,60%
16/02/2010,"87 Ringsend Park, Ringsend",Dublin,270000.0,No,Ringsend,Dublin 4,q2,40%
26/02/2010,"96 Veronica Terrace, Ringsend",Dublin,240000.0,No,Ringsend,Dublin 4,q2,30%
23/03/2010,"45B Pigeon House Road, Ringsend",Dublin,365000.0,No,Ringsend,Dublin 4,q3,70%
06/05/2010,"22 Barrow Street, Ringsend, Dubllin",Dublin,312000.0,No,Ringsend,Dublin 4,q3,60%
12/05/2010,"Apartment 103, Fitzwilliam Quay, Ringsend",Dublin,230000.0,No,Ringsend,Dublin 4,q1,30%
19/05/2010,"Apt. 127 The Deirdre, Fisherman'S Wharf, Ringsend  Dublin 4",Dublin,205000.0,No,Ringsend,Dublin 4,q1,20%
24/05/2010,"Apartment 147 Charlotte Quay Dock, Ringsend, Dublin 4",Dublin,220000.0,No,Ringsend,Dublin 4,q1,30%
27/05/2010,"77  St. Magdalen Terrace, Stella Gardens, Ringsend",Dublin,220000.0,No,Ringsend,Dublin 4,q1,30%
01/06/2010,"8 Hope Street, Ringsend",Dublin,166500.0,No,Ringsend,Dublin 4,q1,10%
30/06/2010,"29 Fitzwilliam Quay, Ringsend, Dublin 4",Dublin,280000.0,No,Ringsend,Dublin 4,q2,40%
01/07/2010,"137  Charlotte Quay Dock, Ringsend Road",Dublin,272000.0,No,Ringsend,Dublin 4,q2,40%
08/07/2010,"33 Aikenhead Terrace, Stella Gardens, Ringsend",Dublin,280000.0,No,Ringsend,Dublin 4,q2,40%
08/07/2010,"33 Aikenhead Terrace, Stella Gardens, Ringsend",Dublin,280000.0,No,Ringsend,Dublin 4,q2,40%
16/08/2010,"2 Howard Street, Ringsend",Dublin,90000.0,No,Ringsend,Dublin 4,q1,10%
06/09/2010,"Apartment 39  Fitzwilliam Quay, Ringsend",Dublin,156000.0,No,Ringsend,Dublin 4,q1,10%
13/09/2010,"43 Ropewalk Place, Ringsend, Dublin 4",Dublin,184000.0,No,Ringsend,Dublin 4,q1,20%
21/09/2010,"10 Ropewalk Place, Ringsend",Dublin,250000.0,No,Ringsend,Dublin 4,q2,30%
21/09/2010,"Apartment 69, Fitzwilliam Quay, Ringsend",Dublin,222500.0,No,Ringsend,Dublin 4,q1,30%
14/10/2010,"14 Camden Lock, Ringsend, Dublin 4",Dublin,262000.0,No,Ringsend,Dublin 4,q2,40%
14/10/2010,"27 Shelbourne Park Mews, Ringsend Road, Dublin 4",Dublin,202000.0,No,Ringsend,Dublin 4,q1,20%
05/11/2010,"13 Hastings Street, Ringsend, Dublin 4",Dublin,215000.0,No,Ringsend,Dublin 4,q1,30%
10/11/2010,"Apartment 35, Fitzwilliam Quay, Ringsend",Dublin,245000.0,No,Ringsend,Dublin 4,q2,30%
25/11/2010,"19 Barrow Street, Ringsend, Dublin 4",Dublin,285000.0,No,Ringsend,Dublin 4,q2,50%
02/12/2010,"29 Penrose Street, Ringsend",Dublin,312000.0,No,Ringsend,Dublin 4,q3,60%
17/12/2010,"52 Grand Canal Wharf, Ringsend",Dublin,265000.0,No,Ringsend,Dublin 4,q2,40%
22/12/2010,"Apartment 53, Shelbourne Village, Ringsend Road",Dublin,196500.0,No,Ringsend,Dublin 4,q1,20%
05/01/2011,"191 Charlotte Quay Dock, Ringsend Road",Dublin,280000.0,No,Ringsend,Dublin 4,q2,40%
05/01/2011,"2 Pembroke Cottages, Ringsend, Dublin 4",Dublin,190000.0,No,Ringsend,Dublin 4,q1,20%
21/02/2011,"13 Shelbourne Park Mews, Ringsend Road, Dublin 4",Dublin,200000.0,No,Ringsend,Dublin 4,q1,20%
08/04/2011,"13 Somerset Street, Ringsend",Dublin,250000.0,No,Ringsend,Dublin 4,q2,30%
20/04/2011,"153  The Waterside, Charlotte Quay, Ringsend Road",Dublin,190000.0,No,Ringsend,Dublin 4,q1,20%
28/04/2011,"38 Bremen Avenue, Ringsend",Dublin,200000.0,No,Ringsend,Dublin 4,q1,20%
06/05/2011,"17 Bremen Road, Ringsend",Dublin,180000.0,No,Ringsend,Dublin 4,q1,20%
22/06/2011,"6 St Patrick'S Villas, Ringsend",Dublin,155000.0,No,Ringsend,Dublin 4,q1,10%
06/07/2011,"Apartment 240, Charlotte Quay Dock, Ringsend",Dublin,353000.0,No,Ringsend,Dublin 4,q3,70%
11/07/2011,"27 Cambridge Avenue, Ringsend",Dublin,150000.0,No,Ringsend,Dublin 4,q1,10%
15/07/2011,"178 The Waterside, Ringsend Road",Dublin,200000.0,No,Ringsend,Dublin 4,q1,20%
20/07/2011,"66 South Lotts Road, Ringsend",Dublin,250000.0,No,Ringsend,Dublin 4,q2,30%
25/07/2011,"36 Gordon Street, Ringsend, Dublin 4",Dublin,170000.0,No,Ringsend,Dublin 4,q1,10%
10/08/2011,"48 Penrose Street, Ringsend, Dublin 4",Dublin,200000.0,No,Ringsend,Dublin 4,q1,20%
24/08/2011,"Apt. 84 Fitzwilliam Quay, Ringsend",Dublin,245000.0,No,Ringsend,Dublin 4,q2,30%
26/08/2011,"180 Oliver Plunkett Avenue, Stella Gardens, Ringsend",Dublin,177000.0,No,Ringsend,Dublin 4,q1,20%
15/09/2011,"128 Ringsend Park, Ringsend, Dublin 4",Dublin,265000.0,No,Ringsend,Dublin 4,q2,40%
