date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
25/05/2010,"Apartment 26, Hanover Riverside, Sir Rogersons Quay",Dublin,450000.0,No,Riverside,Dublin 17,q2,50%
22/10/2010,"1 Riverside, Frankfort Park, Dundrum",Dublin,500000.0,No,Riverside,Dublin 17,q3,60%
22/11/2010,"5 Riverside, Milltown Road, Milltown",Dublin,220000.0,No,Riverside,Dublin 17,q1,20%
06/01/2011,"15A Riverside Drive, Rathfarnham, Dublin 14",Dublin,610000.0,No,Riverside,Dublin 17,q3,70%
31/05/2011,"5 Riverside Drive, Rathfarnham, Dublin 16",Dublin,740000.0,No,Riverside,Dublin 17,q4,90%
12/08/2011,"Apt 43 Block K, Hanover, Riverside",Dublin,320000.0,No,Riverside,Dublin 17,q2,30%
24/08/2011,"Apartment 12, Riverside, Milltown Road Milltown",Dublin,183000.0,No,Riverside,Dublin 17,q1,10%
26/09/2011,"Apartment 31, Hanover Riverside, Hanover Quay",Dublin,350000.0,No,Riverside,Dublin 17,q2,40%
08/11/2011,"Apartment 12, Forbes Quay, Riverside Ii Grand Canal Harbour",Dublin,185000.0,No,Riverside,Dublin 17,q1,10%
12/01/2012,"8 Riverside Drive, Castlepark, Rathfarnham",Dublin,700000.0,No,Riverside,Dublin 17,q4,90%
28/03/2012,"34  Riverside Grove, Coolock",Dublin,166000.0,No,Riverside,Dublin 17,q1,10%
28/05/2012,"42 Riverside Drive, Rathfarnham",Dublin,546000.0,No,Riverside,Dublin 17,q3,60%
30/08/2012,"Apt 35 Hanover Riverside, Sir John Rogersons Qua, Dublin 2",Dublin,310000.0,No,Riverside,Dublin 17,q2,30%
01/02/2013,"23 Riverside Drive, Castle Park, Rathfarnham",Dublin,650000.0,No,Riverside,Dublin 17,q4,80%
20/06/2013,"1 Riverside Drive, Coolock, Dublin 17",Dublin,130420.0,No,Riverside,Dublin 17,q1,10%
09/10/2013,"12 Riverside Crescent, Coolock",Dublin,210000.0,No,Riverside,Dublin 17,q1,20%
20/12/2013,"39 Riverside Dr, Rathfarnham, Dublin 14",Dublin,665000.0,No,Riverside,Dublin 17,q4,80%
24/01/2014,"25 Riverside Dr, Rathfarnham, Dublin 14",Dublin,665000.0,No,Riverside,Dublin 17,q4,80%
30/05/2014,"3 Riverside Walk, Clonskeagh Road, Dublin 6",Dublin,198000.0,No,Riverside,Dublin 17,q1,20%
22/07/2014,"15 Riverside Walk, Clonskeagh Rd, Clonskeagh Dublin 14",Dublin,290000.0,No,Riverside,Dublin 17,q1,30%
29/07/2014,"Apt 51 Block L, Hanover Riverside, Hanover Quay Sir John Rogersons Q",Dublin,305000.0,No,Riverside,Dublin 17,q1,30%
09/10/2014,"123 Riverside Park, Dublin 17",Dublin,188000.0,No,Riverside,Dublin 17,q1,10%
12/12/2014,"49 Hanover Riverside, Sir John Rogersons Quay, Riverside Dublin 2",Dublin,620000.0,No,Riverside,Dublin 17,q3,70%
