date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
20/01/2010,"32 Golden Ridge Lodge, Skerries Road, Rush",Dublin,223099.17,Yes,Rush,Co. Dublin,q2,40%
22/01/2010,"75 Kenure Park, Rush, Dublin",Dublin,270000.0,No,Rush,Co. Dublin,q3,70%
22/01/2010,"Ailesbury House, North Beach, Rush",Dublin,625000.0,No,Rush,Co. Dublin,q4,100%
28/01/2010,"16 Golden Ridge Avenue, Skerries Road, Rush",Dublin,143691.0,Yes,Rush,Co. Dublin,q1,10%
02/02/2010,"1 Seabrook, Brook Lane, Rush",Dublin,325991.18,Yes,Rush,Co. Dublin,q4,80%
15/02/2010,"3 Hoskyn Bank, Bawn Road, Rush",Dublin,449559.0,Yes,Rush,Co. Dublin,q4,100%
17/02/2010,"195 Rusheeny Village, Clonsilla",Dublin,205000.0,No,Rush,Co. Dublin,q2,30%
09/03/2010,"Auburn, South Shore Road, Rush",Dublin,475000.0,No,Rush,Co. Dublin,q4,100%
12/03/2010,"Dewsbury Hose, Kilbush Lane, Rush",Dublin,283000.0,No,Rush,Co. Dublin,q3,70%
13/03/2010,"57  Ravenswell, Palmer Road, Rush",Dublin,273000.0,No,Rush,Co. Dublin,q3,70%
15/03/2010,"154 Rusheeny Grove, Rusheeny Village, Clonsilla",Dublin,235000.0,No,Rush,Co. Dublin,q2,50%
09/04/2010,"95 Rusheeny Avenue, Rusheeny Village, Clonsilla",Dublin,215000.0,No,Rush,Co. Dublin,q2,40%
14/04/2010,"St. Anne'S, Channel Road, Rush",Dublin,560000.0,No,Rush,Co. Dublin,q4,100%
22/04/2010,"9 Golden Ridge Avenue, Skerries Road, Rush",Dublin,291000.0,Yes,Rush,Co. Dublin,q3,70%
12/05/2010,"173 Rusheeny Close, Clonsilla",Dublin,235000.0,No,Rush,Co. Dublin,q2,50%
20/05/2010,"15 Rushbrook Ave., Templeogue, Dublin 6W",Dublin,350000.0,No,Rush,Co. Dublin,q4,90%
21/05/2010,"Sundrive Road, Rush",Dublin,540000.0,No,Rush,Co. Dublin,q4,100%
22/05/2010,"24 Plamer Avenue, Rush, County Dublin",Dublin,305000.0,Yes,Rush,Co. Dublin,q4,80%
