date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
21/01/2010,"7  Carrigmore Downs, Saggart",Dublin,210000.0,No,Saggart,Co. Dublin,q2,50%
31/03/2010,"44 Verschoyle Park, Saggart, Co. Dublin",Dublin,260000.0,No,Saggart,Co. Dublin,q3,70%
23/04/2010,"14 Carrigmore Manor, Saggart, County Dublin",Dublin,240000.0,No,Saggart,Co. Dublin,q3,60%
05/05/2010,"3 Carrigmore Terrace, Fortunestown Lane, Saggart",Dublin,295000.0,No,Saggart,Co. Dublin,q4,90%
07/05/2010,"15 Slade Castle Court, Saggart, Dublin",Dublin,189690.72,Yes,Saggart,Co. Dublin,q2,40%
07/05/2010,"31 Slade Castle Court, Saggart",Dublin,140969.0,Yes,Saggart,Co. Dublin,q1,20%
26/05/2010,"23 Slade Castle Court, Saggart, County Dublin",Dublin,189690.72,No,Saggart,Co. Dublin,q2,40%
24/06/2010,"1 Carrigmore Green, Saggart",Dublin,308000.0,No,Saggart,Co. Dublin,q4,90%
24/06/2010,"2 Slade Castle Walk, Saggart",Dublin,187628.0,Yes,Saggart,Co. Dublin,q2,40%
06/07/2010,"24 Slade Castle Avenue, Saggart",Dublin,251101.32,Yes,Saggart,Co. Dublin,q3,70%
16/08/2010,"42 Slade Castle Court, Saggart",Dublin,154185.02,Yes,Saggart,Co. Dublin,q1,20%
01/10/2010,"19B Springbank, Saggart, County Dublin",Dublin,328000.0,No,Saggart,Co. Dublin,q4,100%
13/10/2010,"4 Corbally Downs, Westbrook Glen, Saggart",Dublin,265000.0,No,Saggart,Co. Dublin,q3,70%
18/10/2010,"34 Verschoyle Court, Saggart, Dublin 24",Dublin,310000.0,No,Saggart,Co. Dublin,q4,90%
16/11/2010,"15 Verschoyle Rise, Saggart Abbey",Dublin,270000.0,No,Saggart,Co. Dublin,q3,80%
20/12/2010,"39 Slade Castle Court, Saggart, Co Dublin",Dublin,175000.0,Yes,Saggart,Co. Dublin,q2,30%
21/12/2010,"29 Slade Castle Court, Saggart, Co Dublin",Dublin,138000.0,Yes,Saggart,Co. Dublin,q1,20%
21/12/2010,"32 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"33 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"34 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"35 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"36 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"37 Slade Castle Court, Saggart, Co Dublin",Dublin,164000.0,Yes,Saggart,Co. Dublin,q1,30%
21/12/2010,"38 Slade Castle Court, Saggart, Co Dublin",Dublin,138000.0,Yes,Saggart,Co. Dublin,q1,20%
04/02/2011,"8 Carrigcourt, Fortunestown Lane, Saggart",Dublin,178000.0,Yes,Saggart,Co. Dublin,q2,30%
18/02/2011,"2 Millrace Avenue, Saggart",Dublin,99999.0,Yes,Saggart,Co. Dublin,q1,10%
24/02/2011,"7 Millrace Drive, Saggart",Dublin,110000.0,Yes,Saggart,Co. Dublin,q1,10%
16/03/2011,"Coolmine, Saggart",Dublin,262000.0,No,Saggart,Co. Dublin,q3,70%
31/03/2011,"Apartment 21  Carrigcourt, Fortunestown Lane, Saggart",Dublin,156828.2,Yes,Saggart,Co. Dublin,q1,20%
06/04/2011,"41 Verschoyle Park, Saggart",Dublin,225000.0,No,Saggart,Co. Dublin,q3,60%
