date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
09/02/2010,"426 Pearse Villas, Sallynoggin",Dublin,295000.0,No,Sallynoggin,Co. Dublin,q3,70%
31/03/2010,"456 Pearse Villas, Sallynoggin",Dublin,230000.0,No,Sallynoggin,Co. Dublin,q2,40%
09/04/2010,"86 Orourke Pk, Sallynoggin, Sallynoggin",Dublin,327500.0,No,Sallynoggin,Co. Dublin,q4,90%
20/04/2010,"6 St Kevins Villas, Sallynoggin",Dublin,300000.0,No,Sallynoggin,Co. Dublin,q3,80%
26/04/2010,"22 Rollins Villas, Sallynoggin",Dublin,156000.0,No,Sallynoggin,Co. Dublin,q1,10%
04/06/2010,"26 Sallynoggin Park, Sallynoggin, County Dublin",Dublin,235000.0,No,Sallynoggin,Co. Dublin,q2,50%
18/06/2010,"1 Parnell Street, Sallynoggin",Dublin,205000.0,No,Sallynoggin,Co. Dublin,q2,30%
09/07/2010,"380 Pearse Street, Sallynoggin",Dublin,310000.0,No,Sallynoggin,Co. Dublin,q3,80%
23/08/2010,"18 Parnell Street, Sallynoggin, County Dublin",Dublin,260000.0,No,Sallynoggin,Co. Dublin,q3,60%
03/09/2010,"17 Honey Park Cottages, Sallynoggin",Dublin,200000.0,No,Sallynoggin,Co. Dublin,q1,30%
09/09/2010,"38 St. Kevin'S Villas, Sallynoggin",Dublin,209000.0,No,Sallynoggin,Co. Dublin,q2,40%
13/09/2010,"348 Pearse Road, Sallynoggin",Dublin,255000.0,No,Sallynoggin,Co. Dublin,q3,60%
01/10/2010,"316 Pearse Avenue, Sallynoggin, County Dublin",Dublin,220000.0,No,Sallynoggin,Co. Dublin,q2,40%
15/10/2010,"12 Sallynoggin Villas, Glenageary Road, Sallynoggin",Dublin,245000.0,No,Sallynoggin,Co. Dublin,q2,50%
02/03/2011,"59  Pearse Park, Sallynoggin",Dublin,160000.0,No,Sallynoggin,Co. Dublin,q1,10%
25/03/2011,"195 Pearse Road, Sallynoggin",Dublin,285000.0,No,Sallynoggin,Co. Dublin,q3,70%
01/04/2011,"128 O'Rourke Park, Sallynoggin",Dublin,235000.0,No,Sallynoggin,Co. Dublin,q2,50%
05/05/2011,"303 Pearse Avenue, Sallynoggin, County Dublin",Dublin,170000.0,No,Sallynoggin,Co. Dublin,q1,20%
09/05/2011,"116 Pearse Park, Sallynogging",Dublin,194000.0,No,Sallynoggin,Co. Dublin,q1,20%
13/06/2011,"4 Rollins Villas, Sallynoggin, Co.Dublin",Dublin,200000.0,No,Sallynoggin,Co. Dublin,q1,30%
27/06/2011,"64 Rollins Villas, Sallynoggin",Dublin,197500.0,No,Sallynoggin,Co. Dublin,q1,30%
16/09/2011,"515 Pearse Villas, Sallynoggin, Co Dublin",Dublin,190000.0,No,Sallynoggin,Co. Dublin,q1,20%
26/09/2011,"501 Pearse Villas, Sallynoggin, Dublin",Dublin,202500.0,No,Sallynoggin,Co. Dublin,q2,30%
07/12/2011,"203 Pearse Road, Sallynoggin",Dublin,160000.0,No,Sallynoggin,Co. Dublin,q1,10%
27/02/2012,"378 Pearse Street, Sallynoggin",Dublin,180000.0,No,Sallynoggin,Co. Dublin,q1,20%
04/04/2012,"35 Sarsfield Street, Sallynoggin",Dublin,100000.0,No,Sallynoggin,Co. Dublin,q1,10%
04/04/2012,"49 Pearse Park, Sallynoggin",Dublin,194000.0,No,Sallynoggin,Co. Dublin,q1,20%
23/04/2012,"239 Pearse Road, Sallynoggin, County Dublin",Dublin,197500.0,No,Sallynoggin,Co. Dublin,q1,30%
11/05/2012,"452 Pearse Villas, Sallynoggin",Dublin,210000.0,No,Sallynoggin,Co. Dublin,q2,40%
01/06/2012,"439 Pearse Villas, Sallynoggin",Dublin,160000.0,No,Sallynoggin,Co. Dublin,q1,10%
13/06/2012,"22 Sallynoggin Park, Sallynoggin",Dublin,160000.0,No,Sallynoggin,Co. Dublin,q1,20%
22/06/2012,"23 O'Rourke Park, Sallynoggin",Dublin,206000.0,No,Sallynoggin,Co. Dublin,q2,40%
26/06/2012,"130 O'Rourke Park, Sallynoggin, County Dublin",Dublin,245000.0,No,Sallynoggin,Co. Dublin,q2,50%
12/07/2012,"8 Honey Park, Sallynoggin",Dublin,315000.0,No,Sallynoggin,Co. Dublin,q4,80%
23/07/2012,"221 Pearse Road, Sallynoggin, Dublin County",Dublin,168500.0,No,Sallynoggin,Co. Dublin,q1,20%
25/07/2012,"57 Sallynoggin Park, Sallynoggin",Dublin,196000.0,No,Sallynoggin,Co. Dublin,q1,30%
03/08/2012,"130  Pearse Park, Sallynoggin",Dublin,175000.0,No,Sallynoggin,Co. Dublin,q1,20%
20/08/2012,"27 O'Rourke Park, Sallynoggin",Dublin,253500.0,No,Sallynoggin,Co. Dublin,q2,50%
11/09/2012,"22 Parnell Street, Sallynoggin, Co Dublin",Dublin,120000.0,No,Sallynoggin,Co. Dublin,q1,10%
11/09/2012,"463 Pearse Villas, Sallynoggin",Dublin,250000.0,No,Sallynoggin,Co. Dublin,q2,50%
01/10/2012,"1 Upper Sallynoggin Road, Sallynoggin",Dublin,220000.0,No,Sallynoggin,Co. Dublin,q2,40%
18/10/2012,"33 Sarsfield Street, Sallynoggin, County Dublin",Dublin,93000.0,No,Sallynoggin,Co. Dublin,q1,10%
07/11/2012,"132 Pearse Park, Sallynoggin",Dublin,150000.0,No,Sallynoggin,Co. Dublin,q1,10%
14/11/2012,"504 Pearse Villas, Sallynoggin, County Dublin",Dublin,164000.0,No,Sallynoggin,Co. Dublin,q1,20%
22/11/2012,"70 Rollins Villas, Sallynoggin, Co. Dublin",Dublin,120000.0,No,Sallynoggin,Co. Dublin,q1,10%
28/11/2012,"300 Pearse Avenue, Sallynoggin, Co Dublin",Dublin,165000.0,No,Sallynoggin,Co. Dublin,q1,20%
18/12/2012,"114 O Rourke Park, Sallynoggin, County Dublin",Dublin,210000.0,No,Sallynoggin,Co. Dublin,q2,40%
10/01/2013,"518 Pearse Villas, Sallynoggin",Dublin,164500.0,No,Sallynoggin,Co. Dublin,q1,20%
28/02/2013,"175 Pearse Road, Sallynoggin, Co Dublin",Dublin,190000.0,No,Sallynoggin,Co. Dublin,q1,20%
20/03/2013,"476 Pearse Villas, Sallynoggin, Co Dublin",Dublin,240000.0,No,Sallynoggin,Co. Dublin,q2,50%
28/03/2013,"2 Honey Park, Sallynoggin",Dublin,225000.0,No,Sallynoggin,Co. Dublin,q2,40%
05/04/2013,"190 Pearse Road, Sallynoggin",Dublin,205000.0,No,Sallynoggin,Co. Dublin,q2,30%
11/04/2013,"100 Sallynoggin Park, Sallynoggin",Dublin,90000.0,No,Sallynoggin,Co. Dublin,q1,10%
