date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"23 Elton Park, Sandycove",Dublin,1800000.0,No,Sandycove,Co. Dublin,q4,100%
29/01/2010,"Park Lodge, 1 Castlebarp Road, Sandycove",Dublin,1380000.0,No,Sandycove,Co. Dublin,q4,90%
02/02/2010,"18 Lower Albert Road, Sandycove",Dublin,840000.0,No,Sandycove,Co. Dublin,q3,70%
15/02/2010,"32 Dundela Park, Sandycove",Dublin,700000.0,No,Sandycove,Co. Dublin,q3,60%
19/02/2010,"23 Elton Court, Sandycove",Dublin,745000.0,No,Sandycove,Co. Dublin,q3,60%
29/04/2010,"4 Bayswater Terrace, Sandycove, Co. Dublin",Dublin,7500.0,No,Sandycove,Co. Dublin,q1,10%
30/04/2010,"32 Seabank Court, Sandycove",Dublin,438000.0,No,Sandycove,Co. Dublin,q2,40%
24/05/2010,"No. 6 Gowran Hall, Ballygihen Avenue, Sandycove",Dublin,275000.0,No,Sandycove,Co. Dublin,q1,10%
09/06/2010,"Apartment 1, 19 Summerhill Road  Sandycove, Co. Dublin",Dublin,250000.0,No,Sandycove,Co. Dublin,q1,10%
29/06/2010,"Rockfort, Sandycove Point, Sandycove",Dublin,3100000.0,No,Sandycove,Co. Dublin,q4,100%
02/07/2010,"19 Eden Terrace, Sandycove",Dublin,275000.0,No,Sandycove,Co. Dublin,q1,10%
05/07/2010,"3 St Helen'S Marine Parade, Sandycove, Dublin",Dublin,410000.0,No,Sandycove,Co. Dublin,q2,30%
26/07/2010,"1  Cove Terrace, Sandycove Avenue East, Sandycove",Dublin,1235000.0,No,Sandycove,Co. Dublin,q4,80%
29/07/2010,"Walton, Sandycove Point, Sandycove",Dublin,578000.0,No,Sandycove,Co. Dublin,q2,50%
29/07/2010,"Walton, Sandycove Point, Sandycove",Dublin,1672000.0,No,Sandycove,Co. Dublin,q4,100%
09/08/2010,"2 Cliff Terrace, Sandycove",Dublin,2000000.0,No,Sandycove,Co. Dublin,q4,100%
10/08/2010,"7 Marine Court, Sandycove",Dublin,640000.0,No,Sandycove,Co. Dublin,q2,50%
11/08/2010,"Apartment 2, 1 Castle Close Apartments, Castle Close  Sandycove",Dublin,375000.0,Yes,Sandycove,Co. Dublin,q1,30%
31/08/2010,"Monksville  No 5 Burdett Avenue, Sandycove",Dublin,1215000.0,No,Sandycove,Co. Dublin,q4,80%
01/09/2010,"8 Castle Close, Sandycove",Dublin,780000.0,No,Sandycove,Co. Dublin,q3,70%
20/09/2010,"11 Sandycove Avenue East, Sandycove",Dublin,875000.0,No,Sandycove,Co. Dublin,q3,70%
07/10/2010,"Apartment 4, 1 Castle Close Apartments, Sandycove",Dublin,350000.0,Yes,Sandycove,Co. Dublin,q1,20%
11/10/2010,"58B Albert Road Lower, Sandycove",Dublin,493000.0,No,Sandycove,Co. Dublin,q2,40%
28/10/2010,"Apartment No.1 Ground Floor, Castle Close, Sandycove",Dublin,327433.63,Yes,Sandycove,Co. Dublin,q1,20%
01/11/2010,"Maryville, Link Road, Sandycove",Dublin,416000.0,No,Sandycove,Co. Dublin,q2,30%
08/11/2010,"Ardagh, Newtownsmith, Sandycove",Dublin,500000.0,No,Sandycove,Co. Dublin,q2,40%
08/11/2010,"St Josephs, Newtownsmith, Sandycove",Dublin,500000.0,No,Sandycove,Co. Dublin,q2,40%
10/11/2010,"8 Breffni Terrace, Sandycove",Dublin,2440000.0,No,Sandycove,Co. Dublin,q4,100%
03/12/2010,"8 Albert Court, Sandycove, County Dublin",Dublin,195000.0,No,Sandycove,Co. Dublin,q1,10%
23/12/2010,"58A Albert Road Lr, Sandycove",Dublin,527000.0,No,Sandycove,Co. Dublin,q2,50%
23/12/2010,"No. 11  Coldwell Street, Sandycove, Rathdown",Dublin,210000.0,No,Sandycove,Co. Dublin,q1,10%
