date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"26 Sandyford Hall Park, Sandyford",Dublin,467500.0,No,Sandyford,Dublin 18,q4,90%
22/01/2010,"209 The Apples, Wedgewood, Sandyford",Dublin,305000.0,No,Sandyford,Dublin 18,q3,70%
26/01/2010,"81 Moreen Avenue, Sandyford, Dublin 18",Dublin,241000.0,No,Sandyford,Dublin 18,q2,30%
28/01/2010,"109 Grianan Fidh, Aiken Village, Sandyford",Dublin,302000.0,No,Sandyford,Dublin 18,q3,70%
28/01/2010,"4 Sandyford Hall Close, Sandyford, Dublin",Dublin,363000.0,No,Sandyford,Dublin 18,q3,80%
02/02/2010,"24 Glencairn Crescent, The Gallops, Sandyford",Dublin,400500.0,No,Sandyford,Dublin 18,q4,80%
04/02/2010,"35 Fernleigh, Sandyford",Dublin,370000.0,No,Sandyford,Dublin 18,q3,80%
10/02/2010,"508 Time Place, 21 Corrig Road  Sandyford, Dublin 18",Dublin,273127.75,Yes,Sandyford,Dublin 18,q2,50%
10/02/2010,"9 Weavers Hall, The Gallops, Sandyford",Dublin,255506.61,Yes,Sandyford,Dublin 18,q2,40%
23/02/2010,"60 Wedgewood, Sandyford, Dublin",Dublin,290000.0,No,Sandyford,Dublin 18,q3,60%
26/02/2010,"18 Wedgewood, Sandyford",Dublin,307500.0,No,Sandyford,Dublin 18,q3,70%
01/03/2010,"31 Sandyford Downs, Sandyford, Dublin",Dublin,450000.0,No,Sandyford,Dublin 18,q4,90%
02/03/2010,"182 Grande Central, Rockbrook, Sandyford",Dublin,264317.0,Yes,Sandyford,Dublin 18,q2,50%
09/03/2010,"16, The Forum, Sandyford",Dublin,281938.32,Yes,Sandyford,Dublin 18,q2,50%
09/03/2010,"48 Clonard Drive, Sandyford Road, Dublin 16",Dublin,470000.0,No,Sandyford,Dublin 18,q4,90%
12/03/2010,"36 Clonard Road, Sandyford",Dublin,575000.0,No,Sandyford,Dublin 18,q4,100%
26/03/2010,"Riocht Na Greine, Ballyedmunduff Road, Sandyford",Dublin,950000.0,No,Sandyford,Dublin 18,q4,100%
31/03/2010,"10 Orby Way, The Gallops, Sandyford",Dublin,400000.0,No,Sandyford,Dublin 18,q4,80%
07/04/2010,"108 Time Place, 21 Corrig Road, Sandyford",Dublin,233480.0,Yes,Sandyford,Dublin 18,q1,30%
08/04/2010,"138 Grianan Fidh, Aikens Village, Sandyford",Dublin,370000.0,No,Sandyford,Dublin 18,q3,80%
09/04/2010,"130 Grianan Fidh, Aikens Village, Sandyford",Dublin,287500.0,No,Sandyford,Dublin 18,q2,50%
09/04/2010,"Caragh, Sandyford Road, Dublin 16",Dublin,515000.0,No,Sandyford,Dublin 18,q4,100%
12/04/2010,"43 Blackthorn Green, Sandyford, Dublin",Dublin,295000.0,No,Sandyford,Dublin 18,q3,60%
16/04/2010,"34 Orby Park, The Gallops, Sandyford",Dublin,484581.5,Yes,Sandyford,Dublin 18,q4,90%
21/04/2010,"Apartment 14 Block A, The Forum, Sandyford",Dublin,387665.2,Yes,Sandyford,Dublin 18,q4,80%
29/04/2010,"106 Time Place, 21 Corrig Road, Sandyford",Dublin,264317.15,Yes,Sandyford,Dublin 18,q2,50%
30/04/2010,"4 Sandyford Hall Place, Sandyford, Dublin 18",Dublin,435500.0,No,Sandyford,Dublin 18,q4,90%
30/04/2010,"Apartment Number 98, Sandyford View, Sandyford",Dublin,290000.0,No,Sandyford,Dublin 18,q3,60%
18/05/2010,"11 Weavers Hall, The Gallops, Sandyford",Dublin,193833.0,Yes,Sandyford,Dublin 18,q1,20%
19/05/2010,"28 Mimosa Hall, The Gallops, Sandyford",Dublin,236000.0,Yes,Sandyford,Dublin 18,q1,30%
26/05/2010,"Three Rock House, Barnacullia, Sandyford",Dublin,841000.0,No,Sandyford,Dublin 18,q4,100%
31/05/2010,"26 Levmoss Avenue, The Gallops, Sandyford",Dublin,297356.83,Yes,Sandyford,Dublin 18,q3,60%
01/06/2010,"105 Time Place, 21 Corrig Road, Sandyford",Dublin,176460.0,Yes,Sandyford,Dublin 18,q1,10%
09/06/2010,"7  Ridgeford, Sandyford Road, Dundrum",Dublin,220000.0,No,Sandyford,Dublin 18,q1,20%
10/06/2010,"69 The Holly  Block 8D, Rockfield, Sandyford Road",Dublin,190000.0,No,Sandyford,Dublin 18,q1,20%
18/06/2010,"17 Castlelawns, Kilgobbin Wood, Sandyford",Dublin,307500.0,No,Sandyford,Dublin 18,q3,70%
20/06/2010,"5 Ridgeford, Sandyford Road, Dundrum",Dublin,210000.0,No,Sandyford,Dublin 18,q1,20%
24/06/2010,"29 Sandyford Hall Green, Sandyford, Dublin 18",Dublin,445000.0,No,Sandyford,Dublin 18,q4,90%
29/06/2010,"27 Mimosa Hall, The Gallops, Sandyford",Dublin,200000.0,No,Sandyford,Dublin 18,q1,20%
30/06/2010,"4 Moreen Avenue, Sandyford, Dublin 18",Dublin,314000.0,No,Sandyford,Dublin 18,q3,70%
07/07/2010,"70 Cluain Shee, Sandyford Meadows, Sandyford",Dublin,305000.0,No,Sandyford,Dublin 18,q3,70%
07/07/2010,"Apartment 506, Time Place, Corrig Road  Sandyford",Dublin,204405.0,Yes,Sandyford,Dublin 18,q1,20%
07/07/2010,"Grasslands, Enniskerry Road, Sandyford",Dublin,750000.0,No,Sandyford,Dublin 18,q4,100%
08/07/2010,"12 Moreen Walk, Sandyford",Dublin,270000.0,No,Sandyford,Dublin 18,q2,50%
08/07/2010,"30 Crianan Fidh, Sandyford, Dublin 18",Dublin,226000.0,No,Sandyford,Dublin 18,q1,30%
13/07/2010,"311 Time Place, 21 Corrig Road, Sandyford Dublin 18",Dublin,200881.0,Yes,Sandyford,Dublin 18,q1,20%
15/07/2010,"2 Weavers Hall, The Gallops, Sandyford",Dublin,265000.0,Yes,Sandyford,Dublin 18,q2,50%
