date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/01/2010,"11 Tritonville Court, Sandymount",Dublin,684000.0,No,Sandymount,Dublin 4,q3,70%
15/01/2010,"10 Herbert Road, Sandymount",Dublin,2030000.0,No,Sandymount,Dublin 4,q4,100%
22/01/2010,"72 Tritonville Road, Sandymount",Dublin,600000.0,No,Sandymount,Dublin 4,q3,60%
28/01/2010,"No 11 Shrewsbury Square, Sandymount Avenue, Sandymount",Dublin,605500.0,Yes,Sandymount,Dublin 4,q3,60%
29/01/2010,"71  Shrewsbury Square, Sandymount Avenue",Dublin,572687.22,Yes,Sandymount,Dublin 4,q2,50%
01/02/2010,"45 Oaklands Park, Sandymount",Dublin,652000.0,No,Sandymount,Dublin 4,q3,60%
04/02/2010,"31 Derrynane Gardens, Sandymount, Dublin 4",Dublin,300000.0,No,Sandymount,Dublin 4,q1,20%
10/02/2010,"5 Willowfield, Park Avenue, Sandymount",Dublin,400000.0,No,Sandymount,Dublin 4,q1,30%
18/02/2010,"6 Bath Avenue Gardens, Sandymount",Dublin,725000.0,No,Sandymount,Dublin 4,q3,70%
19/02/2010,"81 Tritonville Road, Sandymount, Dublin 4",Dublin,750000.0,No,Sandymount,Dublin 4,q3,70%
26/02/2010,"4 Claremount Park, Sandymount",Dublin,905000.0,No,Sandymount,Dublin 4,q4,80%
01/03/2010,"24 Oaklands Park, Sandymount",Dublin,750000.0,No,Sandymount,Dublin 4,q3,70%
02/03/2010,"23 Willowfield, Park Avenue  Sandymount, Dublin 4",Dublin,265000.0,No,Sandymount,Dublin 4,q1,10%
02/03/2010,"23 Willowfield, Park Avenue  Sandymount, Dublin 4",Dublin,265000.0,No,Sandymount,Dublin 4,q1,10%
02/03/2010,"24 St.Cathryn'S Court, Newgrove Avenue, Sandymount",Dublin,180000.0,No,Sandymount,Dublin 4,q1,10%
04/03/2010,"35 Seafort Avenue, Sandymount",Dublin,630000.0,No,Sandymount,Dublin 4,q3,60%
05/03/2010,"153 Tritonville Road, Sandymount",Dublin,660000.0,No,Sandymount,Dublin 4,q3,60%
12/03/2010,"42A Beach Road, Sandymount",Dublin,630000.0,No,Sandymount,Dublin 4,q3,60%
23/03/2010,"17 Park Court, Park Avenue, Sandymount",Dublin,354000.0,No,Sandymount,Dublin 4,q1,20%
23/03/2010,"7 Willowfield, Sandymount",Dublin,262000.0,No,Sandymount,Dublin 4,q1,10%
24/03/2010,"29 St Albans Park, Sandymount",Dublin,655000.0,No,Sandymount,Dublin 4,q3,60%
29/03/2010,"90 Wilfield Road, Sandymount, .",Dublin,540000.0,No,Sandymount,Dublin 4,q2,50%
31/03/2010,"5 Lansdowne Valley, Tritionville Road, Sandymount",Dublin,415000.0,No,Sandymount,Dublin 4,q2,30%
15/04/2010,"52 Shrewsbury Square, Sandymount Avenue",Dublin,479338.84,Yes,Sandymount,Dublin 4,q2,40%
22/04/2010,"106 Wilfield Road, Sandymount, Dublin 4",Dublin,612000.0,No,Sandymount,Dublin 4,q3,60%
22/04/2010,"50 Farney Park, Sandymount, Dublin 4",Dublin,760000.0,No,Sandymount,Dublin 4,q3,70%
29/04/2010,"30 Marine Drive, Sandymount, Dublin 4",Dublin,624000.0,No,Sandymount,Dublin 4,q3,60%
29/04/2010,"7 Tritonville Avenue, Sandymount, Dublin 4",Dublin,480000.0,No,Sandymount,Dublin 4,q2,40%
29/04/2010,"81 Sandymount Rd, Dublin 4",Dublin,480000.0,No,Sandymount,Dublin 4,q2,40%
10/05/2010,"7 Shrewsbury Square, Sandymount",Dublin,540000.0,Yes,Sandymount,Dublin 4,q2,50%
28/05/2010,"21A Park Lane, Sandymount",Dublin,585000.0,No,Sandymount,Dublin 4,q3,60%
28/05/2010,"6 Ash House, Oakbury Court, Sandymount",Dublin,370000.0,No,Sandymount,Dublin 4,q1,20%
28/06/2010,"26 Adelaide, Strand Road, Sandymount",Dublin,371500.0,No,Sandymount,Dublin 4,q1,20%
01/07/2010,"6 Beach Avenue, Sandymount, Dublin 4",Dublin,420000.0,No,Sandymount,Dublin 4,q2,30%
01/07/2010,"Number 1 Glenwaverly Court, 19 Park Avenue, Sandymount",Dublin,250000.0,No,Sandymount,Dublin 4,q1,10%
08/07/2010,"109 Strand Road, Sandymount, Dublin",Dublin,880000.0,No,Sandymount,Dublin 4,q4,80%
09/07/2010,"28 Havelock Square, Bath Avenue, Sandymount",Dublin,657000.0,No,Sandymount,Dublin 4,q3,60%
13/07/2010,"30 Derrynane Gardens, Bath Avenue, Sandymount",Dublin,340000.0,No,Sandymount,Dublin 4,q1,20%
28/07/2010,"10 Richelieu Park, Sandymount",Dublin,1090000.0,No,Sandymount,Dublin 4,q4,90%
28/07/2010,"21 Radcliff Hall, St John'S Road, Sandymount",Dublin,345000.0,No,Sandymount,Dublin 4,q1,20%
30/07/2010,"Apartment No 5  Steeple Gate, Tritonville Road, Sandymount",Dublin,350000.0,No,Sandymount,Dublin 4,q1,20%
06/08/2010,"3 Landsdowne Hall, Tritonville Road, Sandymount",Dublin,430000.0,No,Sandymount,Dublin 4,q2,30%
09/08/2010,"3 St. Cathryns Court, Newgrove Avenue, Sandymount",Dublin,292500.0,No,Sandymount,Dublin 4,q1,20%
12/08/2010,"20 Seafort Villas, Sandymount",Dublin,340000.0,No,Sandymount,Dublin 4,q1,20%
12/08/2010,"7 Gilford Pines, Sandymount, Dublin 4",Dublin,52500.0,No,Sandymount,Dublin 4,q1,10%
13/08/2010,"6 Seafort Villas, Sandymount",Dublin,395000.0,No,Sandymount,Dublin 4,q1,30%
17/08/2010,"32 Claremont Park, Sandymount",Dublin,820000.0,No,Sandymount,Dublin 4,q3,80%
26/08/2010,"34 Cranfield Place, Sandymount, Dublin 4",Dublin,660000.0,No,Sandymount,Dublin 4,q3,60%
30/08/2010,"16B Sydney Parade Ave, Sandymount, Dublin 4",Dublin,1575000.0,No,Sandymount,Dublin 4,q4,100%
06/09/2010,"15 Farney Park, Sandymount, Dublin 4",Dublin,787500.0,No,Sandymount,Dublin 4,q3,80%
07/09/2010,"9 Levmoss Avenue, The Gallops, Sandymount",Dublin,200000.0,Yes,Sandymount,Dublin 4,q1,10%
10/09/2010,"19 St. Albans Park, Sandymount",Dublin,875000.0,No,Sandymount,Dublin 4,q4,80%
24/09/2010,"Flat 4, 49 Sydney Parade Avenue, Sandymount",Dublin,317000.0,No,Sandymount,Dublin 4,q1,20%
30/09/2010,"77 Sandymount Road, Sandymount, Dublin 4",Dublin,465000.0,No,Sandymount,Dublin 4,q2,40%
04/10/2010,"24 Cranfield Place, Sandymount, Dublin 4",Dublin,420000.0,No,Sandymount,Dublin 4,q2,30%
26/10/2010,"63A Tritonville Road, Sandymount",Dublin,324000.0,No,Sandymount,Dublin 4,q1,20%
10/11/2010,"1 Holyrood Apartments, Holyrood Park, Sandymount",Dublin,311250.0,No,Sandymount,Dublin 4,q1,20%
11/11/2010,"62 Tritonville Road, Sandymount, Dublin 4",Dublin,750000.0,No,Sandymount,Dublin 4,q3,70%
10/12/2010,"19 Gilford Avenue, Sandymount, Dublin 4",Dublin,570000.0,No,Sandymount,Dublin 4,q2,50%
20/12/2010,"45 Ailesbury Mews, Sandymount",Dublin,227000.0,No,Sandymount,Dublin 4,q1,10%
06/01/2011,"22 Shrewsbury Square, Sandymount",Dublin,530000.0,Yes,Sandymount,Dublin 4,q2,50%
13/01/2011,"2 Willow Mews, St Albans Park, Sandymount",Dublin,430000.0,No,Sandymount,Dublin 4,q2,30%
20/01/2011,"27B St. Alban'S Park, Sandymount",Dublin,791000.0,No,Sandymount,Dublin 4,q3,80%
27/01/2011,"23 Wilfield Park, Sandymount",Dublin,300000.0,No,Sandymount,Dublin 4,q1,20%
01/03/2011,"6 Oaklands Court, 59 Claremont Road, Sandymount",Dublin,414000.0,No,Sandymount,Dublin 4,q1,30%
31/03/2011,"34 Seaford Gardens, Sandymount",Dublin,480000.0,No,Sandymount,Dublin 4,q2,40%
06/04/2011,"2 Prince Of Wales Terrace, Sandymount Avenue",Dublin,550000.0,No,Sandymount,Dublin 4,q2,50%
07/04/2011,"No. 37 St Cathryn'S Court, Newgrove, Sandymount",Dublin,520000.0,No,Sandymount,Dublin 4,q2,50%
11/04/2011,"11 Tritonville Road, Sandymount",Dublin,575000.0,No,Sandymount,Dublin 4,q2,50%
04/05/2011,"36 Havelock Square, Sandymount",Dublin,547000.0,No,Sandymount,Dublin 4,q2,50%
16/05/2011,"8 Churchill Terrace, Sandymount",Dublin,625000.0,No,Sandymount,Dublin 4,q3,60%
27/05/2011,"4, Sandymount Court, Sandymount",Dublin,225000.0,No,Sandymount,Dublin 4,q1,10%
31/05/2011,"22 St. John'S, Park Avenue, Sandymount",Dublin,370000.0,No,Sandymount,Dublin 4,q1,20%
23/06/2011,"14 Merrion Strand, Sandymount, Dublin 4",Dublin,340000.0,No,Sandymount,Dublin 4,q1,20%
28/06/2011,"35 Adelaide, Strand Road, Sandymount",Dublin,371822.0,No,Sandymount,Dublin 4,q1,30%
28/06/2011,"44 Farney Park, Sandymount, Dublin 4",Dublin,770000.0,No,Sandymount,Dublin 4,q3,70%
07/07/2011,"38 Claremont Road, Sandymount, Dublin 4",Dublin,1775000.0,No,Sandymount,Dublin 4,q4,100%
11/07/2011,"25 O'Connell Gardens, Sandymount, Dublin",Dublin,175000.0,No,Sandymount,Dublin 4,q1,10%
15/07/2011,"3 Park Close, Gilford Road, Sandymount",Dublin,485000.0,No,Sandymount,Dublin 4,q2,40%
19/07/2011,"27 Seafort Gardens, Sandymount, Dublin 4",Dublin,700000.0,No,Sandymount,Dublin 4,q3,70%
16/08/2011,"15 Newbridge Avenue, Sandymount",Dublin,750000.0,No,Sandymount,Dublin 4,q3,70%
18/08/2011,"48  Beach Road, Sandymount, Dublin 4",Dublin,550000.0,No,Sandymount,Dublin 4,q2,50%
19/08/2011,"10 Marine Drive, Sandymount",Dublin,971000.0,No,Sandymount,Dublin 4,q4,90%
23/08/2011,"52 St Albans Park, Sandymount",Dublin,840000.0,No,Sandymount,Dublin 4,q4,80%
05/09/2011,"16 Gilford Road, Sandymount, Dublin 4",Dublin,560000.0,No,Sandymount,Dublin 4,q2,50%
16/09/2011,"3 Fairfield Court, Sandymount",Dublin,1100000.0,No,Sandymount,Dublin 4,q4,90%
22/09/2011,"42 Beach Road, Sandymount, Dublin 4",Dublin,605000.0,No,Sandymount,Dublin 4,q3,60%
22/09/2011,"6 Gilford Avenue, Sandymount",Dublin,427000.0,No,Sandymount,Dublin 4,q2,30%
23/09/2011,"32 Beach Road, Sandymount, Dublin 4",Dublin,595000.0,No,Sandymount,Dublin 4,q3,60%
27/09/2011,"29 St John'S, Park Avenue, Sandymount",Dublin,405000.0,No,Sandymount,Dublin 4,q1,30%
30/09/2011,"26B Newgrove Avenue, Sandymount, Dublin 4",Dublin,455500.0,No,Sandymount,Dublin 4,q2,40%
12/10/2011,"16 Lea Road, Sandymount",Dublin,1020000.0,No,Sandymount,Dublin 4,q4,90%
13/10/2011,"3 Martello View, Strand Road, Sandymount",Dublin,350000.0,No,Sandymount,Dublin 4,q1,20%
18/10/2011,"76 O'Connell Gardens, Sandymount",Dublin,50000.0,No,Sandymount,Dublin 4,q1,10%
19/10/2011,"4 Adelaide, Strand Road, Sandymount",Dublin,370000.0,No,Sandymount,Dublin 4,q1,20%
20/10/2011,"11 Strand House, 171 Strand Road, Sandymount",Dublin,230000.0,No,Sandymount,Dublin 4,q1,10%
20/10/2011,"37 Park Avenue, Sandymount, Dublin 4",Dublin,1705000.0,No,Sandymount,Dublin 4,q4,100%
21/10/2011,"12Lea Road, Sandymount",Dublin,700000.0,No,Sandymount,Dublin 4,q3,70%
26/10/2011,"24 Tritonville Road, Sandymount, Dublin  4",Dublin,360000.0,No,Sandymount,Dublin 4,q1,20%
27/10/2011,"2 Steeplegate, Sandymount Road, Sandymount",Dublin,300000.0,No,Sandymount,Dublin 4,q1,20%
27/10/2011,"34 Beach Road, Sandymount",Dublin,535000.0,No,Sandymount,Dublin 4,q2,50%
28/10/2011,"14 Ennis Grove, Sandymount, Dublin 4",Dublin,350000.0,No,Sandymount,Dublin 4,q1,20%
04/11/2011,"16 Vavasour Square, Bath Avenue, Sandymount",Dublin,300000.0,No,Sandymount,Dublin 4,q1,20%
04/11/2011,"Gealan, Durham Road, Sandymount",Dublin,775000.0,No,Sandymount,Dublin 4,q3,70%
09/11/2011,"85A Strand Road, Sandymount, Dublin 4",Dublin,350000.0,No,Sandymount,Dublin 4,q1,20%
18/11/2011,"67 Sandymount Avenue, Sandymount, Dublin 4",Dublin,920000.0,No,Sandymount,Dublin 4,q4,90%
23/11/2011,"1 Oaklands Drive, Serpentine Avenue, Sandymount",Dublin,390000.0,No,Sandymount,Dublin 4,q1,30%
29/11/2011,"24 Londan Bridge Road, Sandymount, Dublin 4",Dublin,430000.0,No,Sandymount,Dublin 4,q2,30%
