date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"Apt 348 Carrington Park, Northwood, Santry",Dublin,356827.0,Yes,Santry,Dublin 9,q4,90%
27/01/2010,"38 Shanowen Avenue, Santry",Dublin,285000.0,No,Santry,Dublin 9,q3,80%
29/01/2010,"30  Oaklawn, Santry, Dublin",Dublin,350000.0,No,Santry,Dublin 9,q4,90%
29/01/2010,"37 Heywood Court, Santry",Dublin,210000.0,No,Santry,Dublin 9,q2,50%
29/01/2010,"52 Shanglas Road, Brookville Estate, Santry",Dublin,335000.0,No,Santry,Dublin 9,q4,90%
03/02/2010,"7 Shanowen Drive, Santry, Dublin",Dublin,295000.0,No,Santry,Dublin 9,q3,80%
05/02/2010,"38 Aulden Grange, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
12/02/2010,"57 Geraldstown Wood, Santry, Dublin",Dublin,160000.0,No,Santry,Dublin 9,q2,30%
16/02/2010,"28 Shanvarna Road, Santry",Dublin,230000.0,No,Santry,Dublin 9,q3,60%
26/02/2010,"30 Santry Court, Santry",Dublin,280000.0,No,Santry,Dublin 9,q3,70%
09/03/2010,"177 Parklands, Northwood, Santry",Dublin,200000.0,No,Santry,Dublin 9,q2,50%
11/03/2010,"206 Shanliss, Santry",Dublin,420000.0,No,Santry,Dublin 9,q4,100%
11/03/2010,"Apartment No. 127 Carrington Park, Northwood, Santry  Dublin 9",Dublin,280000.0,Yes,Santry,Dublin 9,q3,70%
08/04/2010,"77 Shanliss Road, Santry",Dublin,255000.0,No,Santry,Dublin 9,q3,70%
14/04/2010,"50 Shanowen Grove, Santry",Dublin,310000.0,No,Santry,Dublin 9,q4,80%
28/04/2010,"Apartment 12, Carrington Park  Northwood, Santry",Dublin,210000.0,Yes,Santry,Dublin 9,q2,50%
29/04/2010,"171 Aulden Grange, Santry, Dublin 9",Dublin,255000.0,No,Santry,Dublin 9,q3,70%
29/04/2010,"9 Oak Park Grove, Santry, Dublin 9",Dublin,175500.0,No,Santry,Dublin 9,q2,40%
14/05/2010,"Apt. 50 Lymewood Mews, Northwood, Santry",Dublin,10000.0,No,Santry,Dublin 9,q1,10%
18/05/2010,"49 Shanliss Road, Santry",Dublin,245000.0,No,Santry,Dublin 9,q3,60%
21/05/2010,"2 Oakpark Avenue, Santry",Dublin,265000.0,No,Santry,Dublin 9,q3,70%
27/05/2010,"15, Shanowen Avenue, Santry",Dublin,262500.0,No,Santry,Dublin 9,q3,70%
27/05/2010,"Apartment 190 Block E, Carrington Park, Northwood  Santry",Dublin,205000.0,No,Santry,Dublin 9,q2,50%
28/05/2010,"113 Shanard Road, Santry, Dublin 9",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
08/06/2010,"14 Lorcan Avenue, Santry",Dublin,260000.0,No,Santry,Dublin 9,q3,70%
09/06/2010,"11 Shanliss Road, Santry",Dublin,223000.0,No,Santry,Dublin 9,q3,60%
11/06/2010,"32 Shanrath Road, Santry",Dublin,367500.0,No,Santry,Dublin 9,q4,100%
24/06/2010,"118 Aulden Grange, Santry",Dublin,270000.0,No,Santry,Dublin 9,q3,70%
25/06/2010,"50 Shanvarna Road, Santry",Dublin,243500.0,No,Santry,Dublin 9,q3,60%
28/06/2010,"66 Shanliss Way, Santry, Dublin 9",Dublin,260000.0,No,Santry,Dublin 9,q3,70%
29/06/2010,"30 Shanard Avenue, Santry",Dublin,260000.0,No,Santry,Dublin 9,q3,70%
09/07/2010,"41 Santry Court, Santry",Dublin,307000.0,No,Santry,Dublin 9,q4,80%
09/07/2010,"69 Lorcan Avenue, Santry",Dublin,222000.0,No,Santry,Dublin 9,q3,60%
13/07/2010,"8 Shanowen Grove, Santry",Dublin,300000.0,No,Santry,Dublin 9,q3,80%
21/07/2010,"31 Turnapin Cottages, Santry, Dublin 9",Dublin,200000.0,No,Santry,Dublin 9,q2,50%
27/07/2010,"52 Lorcan Grove, Santry, Dublin 9",Dublin,255000.0,No,Santry,Dublin 9,q3,70%
04/08/2010,"101 The Cedars, Carrington Park, Northwood Santry",Dublin,215000.0,No,Santry,Dublin 9,q2,50%
07/08/2010,"109 Auden Grange, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
13/08/2010,"21 Lorcan Avenue, Santry",Dublin,235000.0,No,Santry,Dublin 9,q3,60%
25/08/2010,"16 Shanowen Avenue, Santry, Dublin 9",Dublin,275000.0,No,Santry,Dublin 9,q3,70%
25/08/2010,"Apt 169 Block C, Lymewood Mews, Northwood Santry",Dublin,140000.0,No,Santry,Dublin 9,q1,20%
26/08/2010,"6 Woodlawn Close, Santry",Dublin,312000.0,No,Santry,Dublin 9,q4,80%
27/08/2010,"46 Domville Woods, Santry, Dublin 9",Dublin,172000.0,No,Santry,Dublin 9,q2,40%
06/09/2010,"53 Santry Close, Santry",Dublin,316000.0,No,Santry,Dublin 9,q4,80%
06/09/2010,"67 Temple Gardens, Santry, Dublin 9",Dublin,180000.0,No,Santry,Dublin 9,q2,40%
10/09/2010,"23 Lorcan Green, Santry",Dublin,275000.0,No,Santry,Dublin 9,q3,70%
10/09/2010,"51 Domville Woods, Santry Demesne",Dublin,152000.0,Yes,Santry,Dublin 9,q1,30%
21/09/2010,"43 Lorcan Anenue, Santry",Dublin,245000.0,No,Santry,Dublin 9,q3,60%
21/09/2010,"80 Shanliss Road, Santry",Dublin,280000.0,No,Santry,Dublin 9,q3,70%
24/09/2010,"1 Santry Court, Santry",Dublin,328000.0,No,Santry,Dublin 9,q4,90%
24/09/2010,"114 Limewood Mews, Northwood, Santry",Dublin,220000.0,No,Santry,Dublin 9,q2,50%
28/09/2010,"17 Woodlawn Green, Santry",Dublin,2930000.0,No,Santry,Dublin 9,q4,100%
01/10/2010,"21 Shanliss Road, Santry",Dublin,242500.0,No,Santry,Dublin 9,q3,60%
06/10/2010,"70 Kilkee House, Clare Village, Santry",Dublin,147000.0,No,Santry,Dublin 9,q1,20%
15/10/2010,"67 Domville Woods, Santry Demesne, .",Dublin,160000.0,Yes,Santry,Dublin 9,q2,30%
29/10/2010,"17  Shanliss Avenue, Santry",Dublin,267000.0,No,Santry,Dublin 9,q3,70%
05/11/2010,"41  Lorcan Park, Santry, Dublin 9",Dublin,245000.0,No,Santry,Dublin 9,q3,60%
19/11/2010,"135 Shanliss Avenue, Santry",Dublin,260000.0,No,Santry,Dublin 9,q3,70%
10/12/2010,"255 Parklands, Northwood, Santry",Dublin,175000.0,No,Santry,Dublin 9,q2,40%
15/12/2010,"20 Shanard Avenue, Santry",Dublin,255000.0,No,Santry,Dublin 9,q3,70%
31/01/2011,"31 Lorcan Park, Santry",Dublin,225000.0,No,Santry,Dublin 9,q3,60%
07/02/2011,"Apartment 194  Parklands, Northwood, Santry",Dublin,157500.0,No,Santry,Dublin 9,q2,30%
21/02/2011,"20  Oak Lawns, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
21/02/2011,"6 Shanowen Park, Santry",Dublin,230000.0,No,Santry,Dublin 9,q3,60%
24/02/2011,"Apartment 29  Block F, Milner'S Square, Shanowen Road  Santry",Dublin,125475.28,Yes,Santry,Dublin 9,q1,20%
01/03/2011,"1 Shanliss Way, Santry, Dublin 9",Dublin,297500.0,No,Santry,Dublin 9,q3,80%
04/03/2011,"22 Milners Square, Santry",Dublin,189427.31,Yes,Santry,Dublin 9,q2,40%
04/03/2011,"83 Block B Parklands, Northwood, Santry",Dublin,250000.0,No,Santry,Dublin 9,q3,60%
07/03/2011,"Apartment 31 Block F, Milners Square, Shanowen Road Santry",Dublin,195000.0,Yes,Santry,Dublin 9,q2,40%
08/03/2011,"Apartment 52  Block F, Milners Square, Shanowen Road  Santry",Dublin,149818.5,Yes,Santry,Dublin 9,q1,30%
09/03/2011,"32  Magenta Crescent, Santry",Dublin,215000.0,No,Santry,Dublin 9,q2,50%
21/03/2011,"10 Crestfield Park, Santry, Dublin",Dublin,245000.0,No,Santry,Dublin 9,q3,60%
23/03/2011,"15 Shanowen Drive, Santry, Dublin 9",Dublin,248000.0,No,Santry,Dublin 9,q3,60%
13/04/2011,"Apt 39 Block F, Milner'S Square, Santry",Dublin,165000.0,Yes,Santry,Dublin 9,q2,30%
14/04/2011,"15 Santry Villas, Santry",Dublin,195000.0,No,Santry,Dublin 9,q2,40%
21/04/2011,"45 Shanard Road, Santry",Dublin,220000.0,No,Santry,Dublin 9,q2,50%
21/04/2011,"Apt 27 Block F, Milners Square, Santry",Dublin,166519.82,Yes,Santry,Dublin 9,q2,30%
09/05/2011,"Apartment 40 Block F, Milners Square, Shanowen Road  Santry",Dublin,169000.0,Yes,Santry,Dublin 9,q2,30%
17/05/2011,"37 Shanrath Road, Santry",Dublin,200000.0,No,Santry,Dublin 9,q2,50%
19/05/2011,"15 Lorcan Park, Santry, Dublin 9",Dublin,248000.0,No,Santry,Dublin 9,q3,60%
19/05/2011,"29 Shanliss Drive, Santry, Dublin 9",Dublin,210000.0,No,Santry,Dublin 9,q2,50%
20/05/2011,"42 Shanowen Road, Santry",Dublin,350000.0,No,Santry,Dublin 9,q4,90%
20/05/2011,"Apartment 19 Block Fmilners Square, Shanowen Road, Santry",Dublin,164462.82,Yes,Santry,Dublin 9,q2,30%
03/06/2011,"24 Shanowne Drive, Santry",Dublin,264000.0,No,Santry,Dublin 9,q3,70%
20/06/2011,"18 Temple Lawns, Northwood, Santry",Dublin,140000.0,No,Santry,Dublin 9,q1,20%
27/06/2011,"60 Shanard Avenue, Santry",Dublin,235000.0,No,Santry,Dublin 9,q3,60%
30/06/2011,"167 Aulden Grange, Santry, Dublin 9",Dublin,262500.0,No,Santry,Dublin 9,q3,70%
01/07/2011,"138 Aulden Grange, Santry, Dublin 9",Dublin,223500.0,No,Santry,Dublin 9,q3,60%
01/07/2011,"63 Aulden Grange, Santry",Dublin,270000.0,No,Santry,Dublin 9,q3,70%
05/07/2011,"75 Aulden Grange, Santry, Dublin",Dublin,285000.0,No,Santry,Dublin 9,q3,80%
08/07/2011,"34 Milner Square, Shanowen Road, Santry",Dublin,173577.09,Yes,Santry,Dublin 9,q2,40%
14/07/2011,"49 Shanliss Road, Santry, Dublin 9",Dublin,220000.0,No,Santry,Dublin 9,q3,60%
03/08/2011,"88 Shanliss Way, Santry",Dublin,230000.0,No,Santry,Dublin 9,q3,60%
09/08/2011,"128 Shanliss Avenue, Santry",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
12/08/2011,"Apt 34  The Green, Larchill, Santry",Dublin,120000.0,No,Santry,Dublin 9,q1,10%
24/08/2011,"19B Santry Villas, Santry, Dublin 9",Dublin,230000.0,No,Santry,Dublin 9,q3,60%
05/09/2011,"164 Shanliss Road, Santry",Dublin,217500.0,No,Santry,Dublin 9,q2,50%
07/09/2011,"Apartment 43  Blockf, Millners Square  Santry, Dublin 9",Dublin,180000.0,Yes,Santry,Dublin 9,q2,40%
28/09/2011,"31 Shanowen Grove, Santry",Dublin,300000.0,No,Santry,Dublin 9,q3,80%
05/10/2011,"11 Magents Crescent, Santry, Dublin",Dublin,60000.0,No,Santry,Dublin 9,q1,10%
12/10/2011,"10 Shanliss Walk, Santry",Dublin,131000.0,No,Santry,Dublin 9,q1,20%
14/10/2011,"30 Shanowen Park, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
14/10/2011,"9 Shanliss Road, Santry",Dublin,198000.0,No,Santry,Dublin 9,q2,40%
14/10/2011,"Apartment 60, Geraldstown Woods, Santry Avenue  Santry",Dublin,80000.0,No,Santry,Dublin 9,q1,10%
17/10/2011,"1 Shanowen Avenue, Santry, Dublin",Dublin,187500.0,No,Santry,Dublin 9,q2,40%
19/10/2011,"27 Shantalla Drive, Santry",Dublin,185000.0,No,Santry,Dublin 9,q2,40%
20/10/2011,"Apartment 53, Geraldstown Woods, Santry Avenue",Dublin,75000.0,No,Santry,Dublin 9,q1,10%
21/10/2011,"14 The Green, Larch Hill, Santry",Dublin,114000.0,No,Santry,Dublin 9,q1,10%
28/10/2011,"112 Aulden Grange, Santry",Dublin,235000.0,No,Santry,Dublin 9,q3,60%
28/10/2011,"74 Santry Close, Santry",Dublin,223000.0,No,Santry,Dublin 9,q3,60%
11/11/2011,"73 Shanowen Grove, Santry, Dublin",Dublin,225000.0,No,Santry,Dublin 9,q3,60%
15/11/2011,"276 Parklands, Santry",Dublin,160000.0,No,Santry,Dublin 9,q2,30%
16/11/2011,"23 Old Town Avenue, Santry, Dublin 9",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
16/11/2011,"259 Collins Avenue, Santry",Dublin,360000.0,No,Santry,Dublin 9,q4,90%
16/11/2011,"6 Shanowen Avenue, Santry",Dublin,165000.0,No,Santry,Dublin 9,q2,30%
01/12/2011,"8 Oak Park Grove, Santry, Dublin 9",Dublin,180000.0,No,Santry,Dublin 9,q2,40%
02/12/2011,"3 Woodlawn Grove, Santry",Dublin,217000.0,No,Santry,Dublin 9,q2,50%
02/12/2011,"30 Oak Court, Santry",Dublin,195000.0,No,Santry,Dublin 9,q2,40%
07/12/2011,"42 Lorcan Crescent, Santry, Dublin 9",Dublin,215000.0,No,Santry,Dublin 9,q2,50%
14/12/2011,"6 The Green, Larch Hill, Santry",Dublin,120000.0,No,Santry,Dublin 9,q1,10%
15/12/2011,"1 Ailesbury, Shanowen Road, Santry",Dublin,255000.0,No,Santry,Dublin 9,q3,70%
16/12/2011,"49 Santry Close, Santry",Dublin,350000.0,No,Santry,Dublin 9,q4,90%
16/12/2011,"Apartment 42 The Court, Larchill, Santry",Dublin,80000.0,No,Santry,Dublin 9,q1,10%
20/12/2011,"29 Lorcan Park, Santry",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
22/12/2011,"1 Oak Green, Royal Oaks, Santry",Dublin,160000.0,No,Santry,Dublin 9,q2,30%
03/01/2012,"182 Santry Close, Santry",Dublin,360000.0,No,Santry,Dublin 9,q4,90%
13/01/2012,"138 Santry Close, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
13/01/2012,"21 Aulden Grange, Santry, Dublin 9",Dublin,220000.0,No,Santry,Dublin 9,q3,60%
18/01/2012,"6 Templecourt, Northwood, Santry",Dublin,235000.0,No,Santry,Dublin 9,q3,60%
23/01/2012,"Milner'S Square, Shanowen Road, Santry",Dublin,8000000.0,Yes,Santry,Dublin 9,q4,100%
14/02/2012,"83 Shanliss Road, Santry, Dublin 9",Dublin,170000.0,No,Santry,Dublin 9,q2,30%
29/02/2012,"15 Burnside, Magenta Crescent, Santry",Dublin,179950.0,No,Santry,Dublin 9,q2,40%
14/03/2012,"27  Shanliss Walk, Santry",Dublin,220000.0,No,Santry,Dublin 9,q3,60%
04/04/2012,"27 Shanowen, Avenue, Santry",Dublin,185000.0,No,Santry,Dublin 9,q2,40%
04/04/2012,"96 Shantalla Road, Santry, Dublin 9",Dublin,185000.0,No,Santry,Dublin 9,q2,40%
18/04/2012,"90, Shanard Road, Santry",Dublin,215000.0,No,Santry,Dublin 9,q2,50%
23/04/2012,"14  Shanowen Road, Santry",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
03/05/2012,"17 Woodlawn Walk, Santry, Dublin 9",Dublin,263000.0,No,Santry,Dublin 9,q3,70%
04/05/2012,"Apt 63 Block D, Hazelwood, Northwood Santry",Dublin,76000.0,No,Santry,Dublin 9,q1,10%
11/05/2012,"Apartment 18, Block F  Milners Square, Shanowen Road  Santry",Dublin,183000.0,No,Santry,Dublin 9,q2,40%
14/05/2012,"19 Oak Grove, Santry",Dublin,185000.0,No,Santry,Dublin 9,q2,40%
21/05/2012,"46 Oakpark Avenue, Santry",Dublin,150000.0,No,Santry,Dublin 9,q1,30%
08/06/2012,"3 Shanliss Drive, Santry, Dublin 9",Dublin,216500.0,No,Santry,Dublin 9,q2,50%
13/06/2012,"192 Larkhill Road, Santry, Dublin 9",Dublin,105102.0,No,Santry,Dublin 9,q1,10%
14/06/2012,"33 Shanglas Road, Santry",Dublin,260000.0,No,Santry,Dublin 9,q3,70%
14/06/2012,"63 Lorcan Road, Santry",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
19/06/2012,"29 Shanowen Crescent, Santry",Dublin,166000.0,No,Santry,Dublin 9,q2,30%
22/06/2012,"99 Shanliss Avenue, Santry",Dublin,180000.0,No,Santry,Dublin 9,q2,40%
29/06/2012,"15 Shanowen Crescent, Santry, Dublin",Dublin,175000.0,No,Santry,Dublin 9,q2,40%
06/07/2012,"14  The Claremont, Santry Cross, Dublin 9",Dublin,196181.64,No,Santry,Dublin 9,q2,40%
11/07/2012,"31 Shanard Avenue, Santry, Dublin 9",Dublin,195000.0,No,Santry,Dublin 9,q2,40%
26/07/2012,"135 Shantalla Road, Santry, Dublin 9",Dublin,240000.0,No,Santry,Dublin 9,q3,60%
27/07/2012,"18 Shanglass Road, Santry",Dublin,249000.0,No,Santry,Dublin 9,q3,60%
27/07/2012,"25 Shanliss Drive, Santry",Dublin,230000.0,No,Santry,Dublin 9,q3,60%
01/08/2012,"40 Shanliss Road, Santry",Dublin,210000.0,No,Santry,Dublin 9,q2,50%
01/08/2012,"55 Oak Rise, Royal Oak, Santry",Dublin,227000.0,No,Santry,Dublin 9,q3,60%
08/08/2012,"Apt 37  Milners Square, Shanowen Road, Santry",Dublin,145375.0,Yes,Santry,Dublin 9,q1,20%
16/08/2012,"79 Heywood Court, Santry",Dublin,122000.0,No,Santry,Dublin 9,q1,20%
12/09/2012,"Apt 27, Lymewood Mews, Northwood  Santry",Dublin,125000.0,No,Santry,Dublin 9,q1,20%
19/09/2012,"42, Shanard Avenue, Santry",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
24/09/2012,"26 Woodlawn Park, Santry, Dublin 9",Dublin,265000.0,No,Santry,Dublin 9,q3,70%
26/09/2012,"141 Aulden Grange, Santry",Dublin,210000.0,No,Santry,Dublin 9,q2,50%
10/10/2012,"33 Oak Rise, Royal Oak, Santry",Dublin,180000.0,No,Santry,Dublin 9,q2,40%
12/10/2012,"102 Lorcan Crescent, Santry",Dublin,200000.0,No,Santry,Dublin 9,q2,50%
25/10/2012,"6 Oak Lawn, Royal Oak, Santry",Dublin,190000.0,No,Santry,Dublin 9,q2,40%
02/11/2012,"15 Oak Rise, Santry, Dublin 9",Dublin,200000.0,No,Santry,Dublin 9,q2,50%
13/11/2012,"3 Oak Park Grove, Santry, Dublin 9",Dublin,170000.0,No,Santry,Dublin 9,q2,30%
