date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"6 Clonasleigh Lane, Shankill",Dublin,415000.0,No,Shankill,Dublin 18,q3,70%
28/01/2010,"17  Marylands, Shankill, County Dublin",Dublin,190000.0,No,Shankill,Dublin 18,q1,10%
12/02/2010,"Bann  Fon 103A, Cherrywood Road, Shankill",Dublin,585000.0,No,Shankill,Dublin 18,q4,100%
18/03/2010,"32 Assumpta Park, Shankill",Dublin,300000.0,No,Shankill,Dublin 18,q2,40%
23/03/2010,"Apartment 5, Broomfield Hall  Snanganagh Rd, Shankill",Dublin,270000.0,No,Shankill,Dublin 18,q1,30%
28/03/2010,"40 Shanganagh Grove, Shankill, Dublin",Dublin,340000.0,No,Shankill,Dublin 18,q2,50%
01/04/2010,"Apartment 104  Olcovar, Shankill",Dublin,230000.0,Yes,Shankill,Dublin 18,q1,20%
15/04/2010,"16 Rathmichael Park, Shankill",Dublin,250000.0,No,Shankill,Dublin 18,q1,20%
16/04/2010,"South Park, 197A Library Road, Shankill",Dublin,550000.0,No,Shankill,Dublin 18,q4,90%
23/04/2010,"13 Shanganagh Grove, Shankill",Dublin,395000.0,No,Shankill,Dublin 18,q3,70%
07/05/2010,"76 Mountain View, Crinken Glen, Shankill",Dublin,305000.0,No,Shankill,Dublin 18,q2,40%
12/05/2010,"4 Lower Road, Shankill, Co. Dublin",Dublin,150000.0,No,Shankill,Dublin 18,q1,10%
21/05/2010,"103 Olcovar, Shankill, Dublin 18",Dublin,190709.0,Yes,Shankill,Dublin 18,q1,10%
21/05/2010,"19 Aubrey, Shankill",Dublin,242290.75,Yes,Shankill,Dublin 18,q1,20%
28/05/2010,"27 Clifton Park, Shankill",Dublin,240000.0,No,Shankill,Dublin 18,q1,20%
01/06/2010,"78 Shanganagh Grove, Shankill",Dublin,360000.0,No,Shankill,Dublin 18,q2,50%
16/06/2010,"15 Aubrey, Shankill",Dublin,310000.0,Yes,Shankill,Dublin 18,q2,40%
17/06/2010,"6 Corbawn Dale, Shankill",Dublin,610000.0,No,Shankill,Dublin 18,q4,100%
18/06/2010,"9 Eaton Wood Court, Shankill",Dublin,340000.0,No,Shankill,Dublin 18,q2,50%
25/06/2010,"20 Corbawn Close, Shankill",Dublin,362500.0,No,Shankill,Dublin 18,q3,60%
25/06/2010,"43 Olcovar, Shankill",Dublin,282000.0,No,Shankill,Dublin 18,q2,30%
29/06/2010,"169 Corbawn Wood, Shankill, Co Dublin",Dublin,345000.0,No,Shankill,Dublin 18,q2,50%
06/07/2010,"28 Shrewsbury Road, Shankill",Dublin,486000.0,No,Shankill,Dublin 18,q4,80%
