date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"134 Longboat Quay North, Sir John Rogersons Quay",Dublin,225000.0,Yes,Sir John Rogersons Quay,Dublin 2,q1,10%
11/11/2011,"104 The Windmill, Sir John Rogersons Quay, Lime Street",Dublin,330000.0,No,Sir John Rogersons Quay,Dublin 2,q2,40%
24/01/2012,"Apartment 9 Butlers Court, Sir John Rogersons Quay",Dublin,346000.0,No,Sir John Rogersons Quay,Dublin 2,q2,50%
02/05/2012,"Apartment 14, Park House, 77 Sir John Rogersons Quay",Dublin,240000.0,No,Sir John Rogersons Quay,Dublin 2,q1,20%
31/08/2012,"105 The Windmill, Sir John Rogersons Quay",Dublin,300000.0,No,Sir John Rogersons Quay,Dublin 2,q1,30%
28/09/2012,"10 Park House, 77 Sir John Rogersons Quay, Dublin 2",Dublin,235000.0,No,Sir John Rogersons Quay,Dublin 2,q1,20%
19/06/2013,"415 Longboat Quay, Sir John Rogersons Quay, Dublin 12",Dublin,331000.0,No,Sir John Rogersons Quay,Dublin 2,q2,40%
01/10/2013,"714 Longboat Quay North, Sir John Rogersons Quay, Dublin 2",Dublin,364000.0,No,Sir John Rogersons Quay,Dublin 2,q2,50%
10/12/2013,"608 Longboat Quay North, Sir John Rogersons Quay, Dublin 2",Dublin,400000.0,No,Sir John Rogersons Quay,Dublin 2,q3,70%
16/06/2014,"Apt 95, The Windmill, Sir John Rogersons Quay Dublin 2",Dublin,200000.0,No,Sir John Rogersons Quay,Dublin 2,q1,10%
22/07/2014,"47 The Windmill, Sir John Rogersons Quay, Windmill Dublin 2",Dublin,275000.0,No,Sir John Rogersons Quay,Dublin 2,q1,20%
17/11/2014,"69 Forbes Quay, Lazer Lane, Sir John Rogersons Quay Dublin 2",Dublin,190000.0,No,Sir John Rogersons Quay,Dublin 2,q1,10%
10/12/2014,"96 The Windmill, Sir John Rogersons Quay, Windmill Dublin 2",Dublin,275000.0,No,Sir John Rogersons Quay,Dublin 2,q1,20%
