date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/01/2010,"10 Harrison Cove, Skerries",Dublin,247948.0,Yes,Skerries,Co. Dublin,q1,30%
19/01/2010,"4  Millview Court, Skerries",Dublin,225000.0,No,Skerries,Co. Dublin,q1,20%
22/01/2010,"1 Kelly'S Bay Inlet, Skerries",Dublin,357000.0,No,Skerries,Co. Dublin,q3,70%
29/01/2010,"3 Balbriggan Road, Skerries",Dublin,320000.0,No,Skerries,Co. Dublin,q3,60%
29/01/2010,"Ballykea, Loughshinny, Skerries",Dublin,460000.0,No,Skerries,Co. Dublin,q4,90%
02/02/2010,"4 Ridgewood Close, Skerries",Dublin,230000.0,No,Skerries,Co. Dublin,q1,20%
05/02/2010,"Edenvale, South Strand, Skerries",Dublin,600000.0,No,Skerries,Co. Dublin,q4,100%
19/02/2010,"19 Shennick Grove, Skerries",Dublin,270000.0,No,Skerries,Co. Dublin,q2,40%
05/03/2010,"Apartment 2 Fox Court, Balbriggan Street, Skerries",Dublin,182926.82,Yes,Skerries,Co. Dublin,q1,10%
26/03/2010,"Apartment 33 The Kittiwake, Barnageeragh, Skerries",Dublin,290748.89,Yes,Skerries,Co. Dublin,q2,50%
26/03/2010,"Island View  Brentwood, Ballykea  Loughshinny, Skerries",Dublin,650000.0,Yes,Skerries,Co. Dublin,q4,100%
01/04/2010,"18 Martine Court, Skerries, County Dublin",Dublin,405600.0,No,Skerries,Co. Dublin,q4,80%
01/04/2010,"45 The Kybe, Skerries, .",Dublin,250000.0,No,Skerries,Co. Dublin,q1,30%
07/04/2010,"8  Harrisons Cove, Skerries, Dublin",Dublin,253947.61,Yes,Skerries,Co. Dublin,q2,30%
09/04/2010,"44 Strand Street, Skerries, Dublin",Dublin,515000.0,No,Skerries,Co. Dublin,q4,100%
12/04/2010,"Apartment 22, The Sanderling, Barnageeragh  Skerries",Dublin,242290.74,Yes,Skerries,Co. Dublin,q1,30%
13/04/2010,"36C Strand Street, Skerries",Dublin,222000.0,No,Skerries,Co. Dublin,q1,20%
24/04/2010,"34A Church Street, Skerries",Dublin,125000.0,No,Skerries,Co. Dublin,q1,10%
28/04/2010,"6  Convent Lane, Skerries",Dublin,198000.0,No,Skerries,Co. Dublin,q1,10%
30/04/2010,"24A, Church Street, Skerries",Dublin,210000.0,No,Skerries,Co. Dublin,q1,20%
30/04/2010,"9. Sandy Banks, Skerries",Dublin,235000.0,No,Skerries,Co. Dublin,q1,20%
04/05/2010,"14  Sherlock Park, Skerries",Dublin,245000.0,No,Skerries,Co. Dublin,q1,30%
14/05/2010,"4 Kelly'S Bay Strand, Skerries, Co Dublin",Dublin,287000.0,No,Skerries,Co. Dublin,q2,50%
14/05/2010,"Blacklands, Skerries",Dublin,715000.0,No,Skerries,Co. Dublin,q4,100%
14/05/2010,"No 22  The Kittiwake, Barnageeragh Cove, Skerries",Dublin,250000.0,No,Skerries,Co. Dublin,q1,30%
19/05/2010,"37 Greenlawns, Skerries",Dublin,430000.0,No,Skerries,Co. Dublin,q4,90%
21/05/2010,"29 Kellys Bay Heights, Skerries",Dublin,213000.0,No,Skerries,Co. Dublin,q1,20%
31/05/2010,"6 Millhill Park, Skerries, Co.Dublin",Dublin,347000.0,No,Skerries,Co. Dublin,q3,70%
01/06/2010,"1 Chapel Lane, Skerries, Co Dublin",Dublin,150000.0,No,Skerries,Co. Dublin,q1,10%
01/06/2010,"16 The Cove, Kellys Bay, Skerries",Dublin,275000.0,No,Skerries,Co. Dublin,q2,40%
02/06/2010,"Apartment 10 The Kittiwake, Barnageeragh Cove, Skerries",Dublin,217621.14,Yes,Skerries,Co. Dublin,q1,20%
04/06/2010,"19 Kelly'S Bay Promenade, Skerries, Co Dublin",Dublin,290000.0,No,Skerries,Co. Dublin,q2,50%
04/06/2010,"24 Kelly'S Bay Cove, Skerries, County Dublin",Dublin,260000.0,No,Skerries,Co. Dublin,q2,30%
08/06/2010,"Apt 9  Block D1  Ground Floor, The Kittiwake, Barnageeragh  Skerries",Dublin,220264.32,Yes,Skerries,Co. Dublin,q1,20%
15/06/2010,"Apart 23  Block D1, The Kittiwake  Barnageeragh Cove, Skerries",Dublin,171806.16,Yes,Skerries,Co. Dublin,q1,10%
17/06/2010,"9 Kellys Bay Beach, Skerries",Dublin,265000.0,No,Skerries,Co. Dublin,q2,40%
07/07/2010,"24  Seacrest, Skerries",Dublin,317000.0,No,Skerries,Co. Dublin,q3,60%
09/07/2010,"The Wtite Cottage, Balbriggan Road, Skerries",Dublin,334300.0,No,Skerries,Co. Dublin,q3,70%
12/07/2010,"The Old School House, Loughshinny, Skerries",Dublin,180000.0,No,Skerries,Co. Dublin,q1,10%
27/07/2010,"14 The Osprey, Barnageeragh Cove, Skerries",Dublin,320000.0,Yes,Skerries,Co. Dublin,q3,60%
27/07/2010,"16 The Osprey  Barnageeragh Cove, Skerries",Dublin,340000.0,Yes,Skerries,Co. Dublin,q3,70%
28/07/2010,"41 The Promenade, Kellyis Bay Skerries, Dublin",Dublin,335000.0,No,Skerries,Co. Dublin,q3,70%
30/07/2010,"39 Kellys Bay Promenade, Skerries",Dublin,300000.0,No,Skerries,Co. Dublin,q3,60%
30/07/2010,"6 Kelly'S Bay Rocks, Skerries",Dublin,235000.0,No,Skerries,Co. Dublin,q1,20%
03/08/2010,"9 Loughshinny Park, Loughshinny, Skerries",Dublin,205000.0,No,Skerries,Co. Dublin,q1,20%
05/08/2010,"Brannock, Milverton, Skerries",Dublin,1250200.0,No,Skerries,Co. Dublin,q4,100%
19/08/2010,"15 The Osprey  Barnageeragh Cove, Barnageeragh, Skerries",Dublin,305000.0,Yes,Skerries,Co. Dublin,q3,60%
20/08/2010,"62 Greenlawns, Skerries",Dublin,482500.0,No,Skerries,Co. Dublin,q4,90%
02/09/2010,"18 The Sanderling, Barnageerah Cove, Skerries",Dublin,280000.0,Yes,Skerries,Co. Dublin,q2,40%
02/09/2010,"54 Shenick Grove, Skerries, County Dublin",Dublin,355000.0,No,Skerries,Co. Dublin,q3,70%
03/09/2010,"30 Shenick Road, Skerries",Dublin,375000.0,No,Skerries,Co. Dublin,q3,80%
14/09/2010,"42 Thomas Hand Street, Skerries, County Dublin",Dublin,335000.0,No,Skerries,Co. Dublin,q3,70%
17/09/2010,"39 Quay Street, Skerries",Dublin,255000.0,No,Skerries,Co. Dublin,q2,30%
24/09/2010,"Apartment 36 The Kittiwake, Barnageeragh Cove, Skerries",Dublin,290748.89,Yes,Skerries,Co. Dublin,q2,50%
01/10/2010,"The Old Rectory, Miller'S Lane, Skerries",Dublin,715000.0,No,Skerries,Co. Dublin,q4,100%
19/10/2010,"35  Church Street, Skerries",Dublin,430000.0,No,Skerries,Co. Dublin,q4,90%
21/10/2010,"No. 5 The Osprey, Barnageeragh Cove, Skerries",Dublin,322225.33,Yes,Skerries,Co. Dublin,q3,60%
26/10/2010,"3 The Osprey, Barnageeragh Cove, Skerries",Dublin,305000.0,Yes,Skerries,Co. Dublin,q3,60%
05/11/2010,"6 Millview House, Skerries",Dublin,225000.0,No,Skerries,Co. Dublin,q1,20%
23/11/2010,"16 Kelly'S Bay Beach, Skerries",Dublin,277500.0,No,Skerries,Co. Dublin,q2,40%
03/12/2010,"Apartment 6 Fox Court, Balbriggan Street, Skerries",Dublin,246696.03,Yes,Skerries,Co. Dublin,q1,30%
09/12/2010,"14  Balbriggan Road, Skerries",Dublin,425000.0,No,Skerries,Co. Dublin,q4,90%
13/12/2010,"27 The Kittiwake, Barnageerah Cove, Skerries",Dublin,270000.0,Yes,Skerries,Co. Dublin,q2,40%
17/12/2010,"29 The Sanderling, Barnageeragh Cove, Skerries",Dublin,145374.45,Yes,Skerries,Co. Dublin,q1,10%
27/01/2011,"16 The Saunderlings, Barnageeragh Cove, Skerries",Dublin,233480.0,Yes,Skerries,Co. Dublin,q1,20%
27/01/2011,"25 Thomas Hand Street, Skerries",Dublin,203000.0,No,Skerries,Co. Dublin,q1,20%
28/01/2011,"26 Millers Lane, Skerries",Dublin,220000.0,No,Skerries,Co. Dublin,q1,20%
02/02/2011,"35 The Promenade, Kellys Bay, Skerries",Dublin,283700.0,No,Skerries,Co. Dublin,q2,40%
08/02/2011,"1 The Brambles, Townparks, Skerries",Dublin,411000.0,No,Skerries,Co. Dublin,q4,90%
18/02/2011,"35 The Kittiwake, Bargageeragh, Skerries",Dublin,274890.0,Yes,Skerries,Co. Dublin,q2,40%
23/02/2011,"8 Martine Court, Skerries",Dublin,180000.0,No,Skerries,Co. Dublin,q1,10%
28/02/2011,"Strand Street, Skerries",Dublin,330000.0,No,Skerries,Co. Dublin,q3,70%
10/03/2011,"24 Sherlock Park, Skerries, County Dublin",Dublin,290000.0,No,Skerries,Co. Dublin,q2,50%
16/03/2011,"17 The Promenade, Skerries, Co Dublin",Dublin,265000.0,No,Skerries,Co. Dublin,q2,40%
29/03/2011,"The Reefs, Barnageera, Skerries",Dublin,850000.0,No,Skerries,Co. Dublin,q4,100%
01/04/2011,"19  Townparks, Skerries",Dublin,480000.0,No,Skerries,Co. Dublin,q4,90%
19/04/2011,"1 The Osprey, Barnageeragh Cove, Skerries",Dublin,246696.03,Yes,Skerries,Co. Dublin,q1,30%
21/04/2011,"42 Shenick Ave, Skerries",Dublin,232000.0,No,Skerries,Co. Dublin,q1,20%
19/05/2011,"10  The Kybe, Skerries",Dublin,240000.0,No,Skerries,Co. Dublin,q1,30%
