date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/03/2010,"3 Lincoln Lane, Smithfield",Dublin,164950.0,No,Smithfield,Dublin 7,q1,30%
01/04/2010,"143 Smithfield Village, Smithfield, Dublin 7",Dublin,182000.0,No,Smithfield,Dublin 7,q2,40%
07/04/2010,"59 Arran St, Smithfield",Dublin,210000.0,No,Smithfield,Dublin 7,q2,50%
21/04/2010,"Apt 137 Block A, Smithfield Village, Dublin 7",Dublin,145000.0,No,Smithfield,Dublin 7,q1,20%
22/04/2010,"97 Hardwicke, Morning Star Avenue, Smithfield",Dublin,147500.0,No,Smithfield,Dublin 7,q1,20%
03/06/2010,"Apartment 208, Smithfield Village, Dublin 7",Dublin,194500.0,No,Smithfield,Dublin 7,q2,40%
15/07/2010,"Apt 206, Smithfield Village, Dublin 7",Dublin,117000.0,No,Smithfield,Dublin 7,q1,10%
14/10/2010,"Apartment 123, Block A, Smithfield",Dublin,166500.0,No,Smithfield,Dublin 7,q1,30%
21/04/2011,"10, Smithfield Market",Dublin,111458.0,No,Smithfield,Dublin 7,q1,10%
20/06/2011,"Apartment 15, The Old Distillery, Cuckoo Lane  Smithfield",Dublin,160000.0,No,Smithfield,Dublin 7,q1,30%
01/11/2011,"Apartment 7 Block C, Smithfield Market, Smithfield",Dublin,108000.0,No,Smithfield,Dublin 7,q1,10%
08/11/2011,"23 Ormond Square, Smithfield, Dublin 7",Dublin,190000.0,No,Smithfield,Dublin 7,q2,40%
09/11/2011,"69 Chancery Street, Smithfield",Dublin,153000.0,No,Smithfield,Dublin 7,q1,30%
05/12/2011,"Apt 7 Block B, Smithfield Market, Dublin",Dublin,180000.0,No,Smithfield,Dublin 7,q2,30%
12/01/2012,"Apartment 48, Smithfield Gate, Dublin 7",Dublin,106500.0,No,Smithfield,Dublin 7,q1,10%
16/01/2012,"39C Smithfield Market, Smithfield",Dublin,200000.0,No,Smithfield,Dublin 7,q2,50%
24/01/2012,"Apt. 158, The Old Distillery, Smithfield",Dublin,115000.0,No,Smithfield,Dublin 7,q1,10%
05/04/2012,"Apt 8  The Old Distillery, Smithfield, Dublin 7",Dublin,118000.0,No,Smithfield,Dublin 7,q1,10%
31/05/2012,"35 Richmond Square, Smithfield",Dublin,80000.0,No,Smithfield,Dublin 7,q1,10%
31/05/2012,"36 Richmond Square, Smithfield",Dublin,112000.0,No,Smithfield,Dublin 7,q1,10%
31/05/2012,"Apartment 30, Smithfield Gate, Red Cow Lane",Dublin,135000.0,No,Smithfield,Dublin 7,q1,10%
19/06/2012,"Apt 75 Block 6, Smithfield Market",Dublin,121000.0,No,Smithfield,Dublin 7,q1,10%
28/06/2012,"Apartment 123, The Old Distillery, Smithfield",Dublin,96000.0,No,Smithfield,Dublin 7,q1,10%
14/08/2012,"Apartment 13, Richmond Square, Smithfield",Dublin,85000.0,No,Smithfield,Dublin 7,q1,10%
05/09/2012,"Apartment 40  Level1  Block D, Smithfield Village, Dublin 7",Dublin,145000.0,No,Smithfield,Dublin 7,q1,20%
17/09/2012,"116 The Old Distillery, Smithfield",Dublin,135000.0,No,Smithfield,Dublin 7,q1,10%
01/11/2012,"Apartment 4, Smithfield Gate, Smithfield",Dublin,90000.0,No,Smithfield,Dublin 7,q1,10%
17/12/2012,"3 Linenhall Parade, Off King Street, Smithfield",Dublin,165000.0,No,Smithfield,Dublin 7,q1,30%
20/12/2012,"91 Block B, Smithfield Market, Smithfield",Dublin,246000.0,No,Smithfield,Dublin 7,q3,60%
21/12/2012,"58, Block A  Smithfield Market, Smithfield",Dublin,190000.0,No,Smithfield,Dublin 7,q2,40%
21/12/2012,"Apartment 92  Block B, Smithfield Market, Smithfield",Dublin,246000.0,No,Smithfield,Dublin 7,q3,60%
17/01/2013,"No. 42 Block A, Smithfield Market, Smithfield",Dublin,197000.0,No,Smithfield,Dublin 7,q2,50%
28/01/2013,"Apartment 125, Block A  Smithfield Market, Dublin 7",Dublin,255000.0,No,Smithfield,Dublin 7,q3,60%
18/02/2013,"Apartment 11 Block E, Smithfield Market, Smithfield",Dublin,195000.0,No,Smithfield,Dublin 7,q2,40%
05/03/2013,"90 The Hardwicke, Smithfield",Dublin,90000.0,No,Smithfield,Dublin 7,q1,10%
28/03/2013,"Apt 90  Block B  Smithfield Market, Smithfield, Dublin 7",Dublin,246000.0,No,Smithfield,Dublin 7,q3,60%
03/04/2013,"31 Smithfield Gate, Smithfield",Dublin,97500.0,No,Smithfield,Dublin 7,q1,10%
12/04/2013,"88B Block B, Smithfield Market, Smithfield",Dublin,357500.0,No,Smithfield,Dublin 7,q4,90%
18/04/2013,"Apartment 13 Smithfield Village, Block E  Bow Lane, Smithfield",Dublin,143000.0,No,Smithfield,Dublin 7,q1,20%
18/04/2013,"Apartment 97, Smithfield Market, Smithfield",Dublin,110000.0,No,Smithfield,Dublin 7,q1,10%
25/06/2013,"7 Smithfield Market, Dublin 7",Dublin,248000.0,No,Smithfield,Dublin 7,q3,60%
