date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/02/2010,"17 O'Carolan Road, South Circular Road, Dublin",Dublin,430000.0,No,South Circular Road,Dublin 8,q4,80%
19/02/2010,"1 O'Curry Avenue, South Circular Road, Dublin 8",Dublin,210000.0,No,South Circular Road,Dublin 8,q1,30%
26/02/2010,"2 Sandford Park, South Circular Road",Dublin,320000.0,No,South Circular Road,Dublin 8,q3,60%
03/03/2010,"3 Longwood Avenue, South Circular Road, Dublin 8",Dublin,455000.0,No,South Circular Road,Dublin 8,q4,90%
03/03/2010,"35 Arnott Street, South Circular Road, Dublin 8",Dublin,495000.0,No,South Circular Road,Dublin 8,q4,90%
04/03/2010,"37 Donore Avenue, South Circular Road",Dublin,60000.0,No,South Circular Road,Dublin 8,q1,10%
12/03/2010,"3 Sandford Gardens, South Circular Road",Dublin,300000.0,No,South Circular Road,Dublin 8,q2,50%
19/03/2010,"23 O'Donovan Road, South Circular Road, Dublin 8",Dublin,300000.0,No,South Circular Road,Dublin 8,q2,50%
09/04/2010,"15 Sandford Avenue, Off South Circular Road",Dublin,258000.0,No,South Circular Road,Dublin 8,q2,40%
12/04/2010,"40 Greenville Terrace, South Circular Road",Dublin,475000.0,No,South Circular Road,Dublin 8,q4,90%
20/04/2010,"25 Greenville Avenue, South Circular Road",Dublin,309700.0,No,South Circular Road,Dublin 8,q3,60%
22/04/2010,"58 Hybreasal House, South Circular Road, Dublin 8",Dublin,180000.0,No,South Circular Road,Dublin 8,q1,20%
22/04/2010,"8 Sandford Park, South Circular Road",Dublin,300000.0,No,South Circular Road,Dublin 8,q2,50%
29/04/2010,"12 A St James Terrace, Dolphins Barn, South Circular Road",Dublin,50000.0,No,South Circular Road,Dublin 8,q1,10%
07/05/2010,"80 & 80A No. 14 Hyde Sq., South Circular Road, Dublin 8",Dublin,230000.0,Yes,South Circular Road,Dublin 8,q2,30%
