date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/04/2010,"Appt 8, Hyde Sq, South Circular Rd",Dublin,152000.0,No,South Circular,Dublin 8,q1,10%
11/10/2010,"Apt. 90 Hybreasal, South Circular Rd",Dublin,155000.0,No,South Circular,Dublin 8,q1,10%
04/02/2011,"3 Oakfield Place, Off Lombard Street West, South Circular Rd",Dublin,343275.0,No,South Circular,Dublin 8,q2,40%
12/04/2011,"21 Sandford Avenue, South Circular Rd, Dublin 8",Dublin,282400.0,No,South Circular,Dublin 8,q2,30%
06/01/2012,"78/78A Hyde Square Apts., 646A 666 South Circular Rd., Dublin 8",Dublin,185000.0,Yes,South Circular,Dublin 8,q1,10%
29/08/2012,"Apt 42 Hybreasil House, South Circular Raod",Dublin,90000.0,No,South Circular,Dublin 8,q1,10%
16/04/2013,"4 The Paddocks, South Circular",Dublin,235000.0,No,South Circular,Dublin 8,q1,20%
30/10/2013,"630 South Circular Rd, Dublin 8, Dublin",Dublin,410000.0,No,South Circular,Dublin 8,q3,60%
15/11/2013,"Apt 1, 243 South Circular Rd, Dublin 8",Dublin,47750.0,No,South Circular,Dublin 8,q1,10%
15/11/2013,"Apt 2, 243 South Circular Rd, Dublin 8",Dublin,47750.0,No,South Circular,Dublin 8,q1,10%
15/11/2013,"Apt 4, 243 South Circular Rd, Dublin 8",Dublin,47750.0,No,South Circular,Dublin 8,q1,10%
02/12/2013,"11 The Laundry, Hybreasal, South Circular Rd",Dublin,250000.0,No,South Circular,Dublin 8,q1,20%
12/12/2013,"4 Ovoca Rd, South Circular Rd, Dublin 8",Dublin,420000.0,No,South Circular,Dublin 8,q3,60%
17/12/2013,"598 South Circular Rd, Dublin 8, Dublin",Dublin,470000.0,No,South Circular,Dublin 8,q3,70%
31/01/2014,"138 South Circular Rd, Dublin 8, Dublin",Dublin,300000.0,No,South Circular,Dublin 8,q2,40%
07/02/2014,"424 South Circular Rd, Dublin 8",Dublin,235000.0,No,South Circular,Dublin 8,q1,20%
26/02/2014,"27 Hyde Sq, South Circular Rd, Dublin 8",Dublin,195000.0,No,South Circular,Dublin 8,q1,20%
28/02/2014,"Candos, 584 South Circular Rd, Dublin 8",Dublin,650000.0,No,South Circular,Dublin 8,q4,90%
14/03/2014,"109 St James Wood, South Circular Rd, Dublin",Dublin,190000.0,No,South Circular,Dublin 8,q1,10%
02/04/2014,"28 Hyde Sq, South Circular Rd, Dublin 8",Dublin,171100.0,No,South Circular,Dublin 8,q1,10%
