date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
12/01/2010,"35 Saunders House, Spencer Dock  North Wall Quay, Dublin 1",Dublin,332599.11,Yes,Spencer Dock,Dublin 1,q3,60%
19/01/2010,"Apartment 10, Riverstown House, Spencer Dock",Dublin,275000.0,No,Spencer Dock,Dublin 1,q2,40%
09/02/2010,"Apartment 31, Riverstown House, Spencer Dock  North Wall Quay",Dublin,295000.0,Yes,Spencer Dock,Dublin 1,q2,40%
26/03/2010,"Apt. 60  Hill Of Down House, Spencer Dock  North Wall Quay, Dublin 1",Dublin,335000.0,No,Spencer Dock,Dublin 1,q3,60%
29/04/2010,"10 Thomastown House, Spencer Dock, Dublin 1",Dublin,185000.0,Yes,Spencer Dock,Dublin 1,q1,10%
10/05/2010,"20 Kirkpatrick House, Spencer Dock",Dublin,374449.0,Yes,Spencer Dock,Dublin 1,q3,70%
15/06/2010,"Apartment 5  Cloncurry House, Spencer Dock  North Wall Quay",Dublin,170000.0,No,Spencer Dock,Dublin 1,q1,10%
22/08/2010,"Apartment 5 Blackwater House, Spencer Dock, North Quay",Dublin,160000.0,Yes,Spencer Dock,Dublin 1,q1,10%
01/10/2010,"39 Pakenham House, Spencer Dock",Dublin,172000.0,Yes,Spencer Dock,Dublin 1,q1,10%
29/07/2011,"Apt 52 Cloncurry House, Spencer Dock",Dublin,425000.0,No,Spencer Dock,Dublin 1,q4,80%
05/10/2011,"Apt 5, Longford House, Spencer Dock",Dublin,115000.0,Yes,Spencer Dock,Dublin 1,q1,10%
28/10/2011,"10 Saunders House, Spencer Dock, Dublin 1",Dublin,350000.0,No,Spencer Dock,Dublin 1,q3,60%
01/12/2011,"42 Saunders House, Spencer Dock, Dublin 1",Dublin,146667.0,Yes,Spencer Dock,Dublin 1,q1,10%
30/12/2011,"24 Saunders House, Spencer Dock, Dublin 1",Dublin,165000.0,Yes,Spencer Dock,Dublin 1,q1,10%
15/06/2012,"12 Baltrasna House, Spencer Dock",Dublin,150000.0,No,Spencer Dock,Dublin 1,q1,10%
29/08/2012,"64 Saunders House, Spencer Dock",Dublin,251101.33,Yes,Spencer Dock,Dublin 1,q1,20%
11/10/2012,"9 Kirkpatrick House, Spencer House, Spencer Dock  North Wall Quay",Dublin,195000.0,No,Spencer Dock,Dublin 1,q1,10%
20/12/2012,"11 Longford House, Spencer Dock, Ifsc",Dublin,186000.0,No,Spencer Dock,Dublin 1,q1,10%
20/12/2012,"35 Pakenham House, Spencer Dock",Dublin,290000.0,Yes,Spencer Dock,Dublin 1,q2,40%
30/05/2013,"8 Baltrasna House, Spencer Dock Development",Dublin,170000.0,No,Spencer Dock,Dublin 1,q1,10%
05/06/2013,"41 Kirkpatrick House, Spencer Dock, Dublin1",Dublin,255700.0,No,Spencer Dock,Dublin 1,q1,20%
19/07/2013,"69 Cloncurry House, Spencer Dock",Dublin,251101.0,Yes,Spencer Dock,Dublin 1,q1,20%
19/07/2013,"Apartment 30, Hill Of Down House, Spencer Dock",Dublin,175000.0,No,Spencer Dock,Dublin 1,q1,10%
19/07/2013,"Apartment 3, Hill Of Down House, Spencer Dock",Dublin,175000.0,No,Spencer Dock,Dublin 1,q1,10%
23/09/2013,"1 Saunders House, Spencer Dock",Dublin,348000.0,Yes,Spencer Dock,Dublin 1,q3,60%
11/10/2013,"29 Saunders House, Spencer Dock, I.F.S.C",Dublin,255507.0,Yes,Spencer Dock,Dublin 1,q1,20%
05/11/2013,"82 Hill Of Down House, Spencer Dock, Dublin 1",Dublin,302000.0,No,Spencer Dock,Dublin 1,q2,50%
13/12/2013,"33 Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,310000.0,No,Spencer Dock,Dublin 1,q2,50%
16/12/2013,"57 Cloncurry House, Spencer Dock, Dublin 1",Dublin,295000.0,No,Spencer Dock,Dublin 1,q2,40%
17/12/2013,"10 Cloncurry House, Spencer Dock, Dublin 1",Dublin,320000.0,No,Spencer Dock,Dublin 1,q2,50%
23/12/2013,"35 Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,140000.0,No,Spencer Dock,Dublin 1,q1,10%
06/03/2014,"49 Hill Of Down House, Spencer Dock",Dublin,475000.0,Yes,Spencer Dock,Dublin 1,q4,100%
28/03/2014,"2 Riverstown House, Spencer Dock, Ifsc Dublin 1",Dublin,182000.0,No,Spencer Dock,Dublin 1,q1,10%
11/04/2014,"25 Cloncurry House, Spencer Dock, Dublin 1",Dublin,404000.0,No,Spencer Dock,Dublin 1,q3,80%
08/05/2014,"Apartment 43 Cloncurry House, Spencer Dock, Dublin 1",Dublin,310000.0,Yes,Spencer Dock,Dublin 1,q2,50%
22/05/2014,"14 Copebridge House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
22/05/2014,"25 Hill Of Down House, Spencer Dock, Dublin 1",Dublin,310000.0,No,Spencer Dock,Dublin 1,q2,50%
30/05/2014,"67 Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
24/06/2014,"42 Cloncurry House, Spencer Dock",Dublin,425000.0,No,Spencer Dock,Dublin 1,q4,80%
24/07/2014,"71 Pakenham House, Spencer Dock, Dublin 1",Dublin,260000.0,No,Spencer Dock,Dublin 1,q1,20%
08/08/2014,"16 Kirkpatrick  House, Spencer Dock, Dublin 1",Dublin,230000.0,No,Spencer Dock,Dublin 1,q1,20%
11/08/2014,"27 Pakenham House, Spencer Dock, Dublin 1",Dublin,294000.0,No,Spencer Dock,Dublin 1,q2,40%
01/09/2014,"12  Riverstown House, Spencer Dock",Dublin,277500.0,No,Spencer Dock,Dublin 1,q2,40%
01/09/2014,"Apt 7, Spencer Dock, Cope Bridge House",Dublin,232000.0,No,Spencer Dock,Dublin 1,q1,20%
12/09/2014,"61 Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,322000.0,No,Spencer Dock,Dublin 1,q2,50%
29/09/2014,"63 Cloncurry House, Spencer Dock, Wall Quay North Dublin 1",Dublin,485000.0,No,Spencer Dock,Dublin 1,q4,100%
29/10/2014,"3 Riverstown House, Spencer Dock, Dublin 1",Dublin,216000.0,No,Spencer Dock,Dublin 1,q1,20%
12/11/2014,"Apt.13 - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.15 - Pakenham House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.18  - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.21 - Longford House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.22  - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.29 - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q1,30%
12/11/2014,"Apt.30 - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.44 - Saunders House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.52 - Packenham House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.56  - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.58 - Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.70 - Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
12/11/2014,"Apt.97 - Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
11/12/2014,"86 Kirpatrick House, Spencer Dock, Dublin 1",Dublin,293000.0,No,Spencer Dock,Dublin 1,q2,40%
12/12/2014,"95 Spencer Dock, Ifsc, Dublin 1",Dublin,320000.0,No,Spencer Dock,Dublin 1,q2,50%
15/12/2014,"19 Riverstown House, Spencer Dock, Dublin 1",Dublin,285000.0,No,Spencer Dock,Dublin 1,q2,40%
22/12/2014,"72 Baltrasna House, Spencer Dock, Dublin 1",Dublin,293119.0,No,Spencer Dock,Dublin 1,q2,40%
22/12/2014,"Apt 37, Saunders House, Spencer Dock Dublin 1",Dublin,297699.0,No,Spencer Dock,Dublin 1,q2,50%
23/12/2014,"13 Hill Of Down, Spencer Dock, Dublin 1",Dublin,400000.0,No,Spencer Dock,Dublin 1,q3,80%
23/12/2014,"Apt 10, Spencer Dock, Cope Bridge House",Dublin,250520.0,No,Spencer Dock,Dublin 1,q1,20%
08/01/2015,"31 Longford House, Spencer Dock, Dublin 1",Dublin,335000.0,No,Spencer Dock,Dublin 1,q3,60%
23/01/2015,"12 Cloncurry House, Spencer Dock, Dublin 1",Dublin,370000.0,No,Spencer Dock,Dublin 1,q3,70%
23/01/2015,"6 Blackwater House, Spencer Dock, Dublin 1",Dublin,150000.0,No,Spencer Dock,Dublin 1,q1,10%
30/01/2015,"5 Thomastown House, Spencer Dock, Dublin 1",Dublin,215000.0,No,Spencer Dock,Dublin 1,q1,10%
04/03/2015,"19 Baltrasna House, Spencer Dock, Dublin 1",Dublin,270000.0,No,Spencer Dock,Dublin 1,q2,30%
20/05/2015,"32 Baltrasna House, Spencer Dock, Dublin 1",Dublin,340000.0,No,Spencer Dock,Dublin 1,q3,60%
21/05/2015,"Apt.74 - Hill Of The Down, Spencer Dock, Dublin 1",Dublin,445000.0,No,Spencer Dock,Dublin 1,q4,90%
25/06/2015,"65 Kirkpatrick House, Spencer Dock, Dublin 1",Dublin,395000.0,No,Spencer Dock,Dublin 1,q3,70%
26/06/2015,"12 Longford House, Spencer Dock, Dublin 1",Dublin,275000.0,No,Spencer Dock,Dublin 1,q2,40%
03/07/2015,"20 Longford House, Spencer Dock, Ifsc Dublin 1",Dublin,285000.0,No,Spencer Dock,Dublin 1,q2,40%
21/07/2015,"13 Thomastown House, Spencer Dock, Dublin1",Dublin,235000.0,No,Spencer Dock,Dublin 1,q1,20%
21/07/2015,"15 Copebridge House, Spencer Dock, Dublin 1",Dublin,235000.0,No,Spencer Dock,Dublin 1,q1,20%
05/08/2015,"1 Riverstown House, Spencer Dock, I F S C Dublin 1",Dublin,320000.0,No,Spencer Dock,Dublin 1,q2,50%
14/08/2015,"47 Kirkpatrick, Spencer Dock, Dublin 1",Dublin,390000.0,No,Spencer Dock,Dublin 1,q3,70%
27/08/2015,"60 Pakenham House, Spencer Dock, Dublin 1",Dublin,410000.0,No,Spencer Dock,Dublin 1,q4,80%
