date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
15/01/2010,"15 Fernwood Park, Springfield, Dublin 24",Dublin,175000.0,No,Springfield,Dublin 24,q1,20%
25/02/2010,"19 Springfield Road, Templeogue, Dublin 6W",Dublin,312500.0,No,Springfield,Dublin 24,q1,30%
13/07/2010,"16 Raheen Road, Springfield, Dublin 24",Dublin,170000.0,No,Springfield,Dublin 24,q1,10%
20/08/2010,"7 Springfield, Foxrock, Dublin 18",Dublin,440500.0,No,Springfield,Dublin 24,q2,40%
03/09/2010,"36 Springfield Park, Foxrock, Dublin 18",Dublin,490000.0,No,Springfield,Dublin 24,q2,40%
29/09/2010,"16 Springfield Park, Templeogue",Dublin,570000.0,No,Springfield,Dublin 24,q3,60%
17/08/2011,"8 Springfield Road, Templeogue",Dublin,445000.0,No,Springfield,Dublin 24,q2,40%
15/11/2011,"3 Springfield Drive, Templeogue, Dublin 6W",Dublin,550000.0,No,Springfield,Dublin 24,q3,60%
21/11/2011,"106 Maplewood Avenue, Springfield",Dublin,154000.0,No,Springfield,Dublin 24,q1,10%
16/06/2012,"4 Springfield, Blackhorse Avenue",Dublin,190000.0,No,Springfield,Dublin 24,q1,20%
31/07/2012,"18 Springfield, Blackhorse Avenue, Dublin 7",Dublin,181000.0,No,Springfield,Dublin 24,q1,20%
02/11/2012,"21 Springfield Park, Foxrock, Dublin 18",Dublin,364000.0,No,Springfield,Dublin 24,q2,30%
02/11/2012,"22 Springfield, Blackhorse Avenue",Dublin,188500.0,No,Springfield,Dublin 24,q1,20%
14/12/2012,"6 Whitebrook Park, Springfield, Dublin",Dublin,105000.0,No,Springfield,Dublin 24,q1,10%
05/04/2013,"54 Fernwood Park, Springfield, Dublin 24",Dublin,99500.0,No,Springfield,Dublin 24,q1,10%
26/04/2013,"16 Springfield Road, Templeogue, Dublin",Dublin,410000.0,No,Springfield,Dublin 24,q2,40%
29/05/2013,"29 Springfield Road, Templeogue",Dublin,500000.0,No,Springfield,Dublin 24,q2,50%
07/06/2013,"6 Springfield Park, Templeogue, Dublin 6W",Dublin,520000.0,No,Springfield,Dublin 24,q2,50%
26/09/2013,"5 Springfield Crescent, Templeogue",Dublin,540000.0,No,Springfield,Dublin 24,q2,50%
07/11/2013,"72 Maplewood Ave, Tallaght, Springfield",Dublin,80000.0,No,Springfield,Dublin 24,q1,10%
18/02/2014,"Springfield House, Springfield Park, Foxrock",Dublin,804000.0,No,Springfield,Dublin 24,q4,90%
08/04/2014,"20 Springfield Rd, Terenure, Dublin 6W",Dublin,631000.0,No,Springfield,Dublin 24,q3,70%
17/06/2014,"Otley, Springfield Park, Foxrock",Dublin,540000.0,No,Springfield,Dublin 24,q2,50%
27/06/2014,"63 Springfield, Edmondstown Road, Rathfarnham",Dublin,352000.0,No,Springfield,Dublin 24,q2,30%
04/07/2014,"27 Springfield Rd, Templeogue, Dublin 6W",Dublin,755000.0,No,Springfield,Dublin 24,q4,90%
15/07/2014,"29 Maplewood Avenue, Springfield",Dublin,121500.0,No,Springfield,Dublin 24,q1,10%
21/01/2015,"23 Springfield Crescent, Templeogue, Dublin 6",Dublin,505000.0,No,Springfield,Dublin 24,q2,50%
27/02/2015,"18 Springfield Crescent, Templeogue, Dublin 6",Dublin,575000.0,No,Springfield,Dublin 24,q3,60%
19/05/2015,"31 Cairnwood Court, Springfield, Dublin 24",Dublin,190000.0,No,Springfield,Dublin 24,q1,20%
21/08/2015,"10 Springfield Park, Foxrock, Dublin 18",Dublin,655000.0,No,Springfield,Dublin 24,q4,80%
04/12/2015,"Springfield, River Rd, Blanchardstown Dublin 15",Dublin,451000.0,No,Springfield,Dublin 24,q2,40%
16/12/2015,"St Gerards, 6 Springfield Dr, Templeogue Dublin 6W",Dublin,620000.0,No,Springfield,Dublin 24,q3,70%
26/01/2016,"115 Maplewood Park, Springfield, Dublin 24",Dublin,170000.0,No,Springfield,Dublin 24,q1,20%
12/08/2016,"20 Springfield Avenue, Templeogue, Dublin 6W",Dublin,530000.0,No,Springfield,Dublin 24,q2,50%
17/08/2016,"26 Springfield, Cabra, Dublin 7",Dublin,302500.0,No,Springfield,Dublin 24,q1,30%
16/09/2016,"18 Springfield Pk, Dublin 18, Dublin",Dublin,835000.0,No,Springfield,Dublin 24,q4,100%
11/10/2016,"Springfield, Blackglen Road, Sandyford",Dublin,785000.0,No,Springfield,Dublin 24,q4,90%
14/10/2016,"11 Springfield Rd, Templeogue, Dublin 6W",Dublin,650000.0,No,Springfield,Dublin 24,q3,70%
28/10/2016,"59 Springfield Ave, Templeogue, Dublin 6W",Dublin,550000.0,No,Springfield,Dublin 24,q3,60%
27/01/2017,"Glendel, Springfield Rd, Terenure Dublin 6W",Dublin,970000.0,No,Springfield,Dublin 24,q4,100%
26/07/2017,"14 Springfield Crescent, Templeogue, Dublin 6 W",Dublin,605000.0,No,Springfield,Dublin 24,q3,60%
01/08/2017,"21 Springfield Rd, Templeogue, Dublin 6W",Dublin,715000.0,No,Springfield,Dublin 24,q4,90%
30/08/2017,"1 Springfield Rd, Templeogue, Dublin 6W",Dublin,640000.0,No,Springfield,Dublin 24,q3,70%
03/11/2017,"18 Springfield Rd, Templeogue, Dublin 6W",Dublin,805000.0,No,Springfield,Dublin 24,q4,100%
08/11/2017,"12 Springfield Rd, Dublin 6W, Dublin",Dublin,636000.0,No,Springfield,Dublin 24,q3,70%
