date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
14/01/2010,"2 Belarmine Hall, Newtownlittle  Stepaside, Dublin 18",Dublin,214097.0,Yes,Stepaside,Dublin 18,q1,20%
20/01/2010,"Apt 22  Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,171806.16,Yes,Stepaside,Dublin 18,q1,10%
22/01/2010,"147 Stepaside Park, Stepaside, Dublin",Dublin,625000.0,No,Stepaside,Dublin 18,q4,100%
22/01/2010,"18 Belarmine Hall, Newtownlittle, Stepaside",Dublin,229074.88,Yes,Stepaside,Dublin 18,q1,20%
01/02/2010,"9 Kilgobbin Lawn, Stepaside",Dublin,925000.0,No,Stepaside,Dublin 18,q4,100%
04/02/2010,"85 Wingfield, Enniskerry Road, Stepaside",Dublin,430000.0,No,Stepaside,Dublin 18,q3,80%
10/02/2010,"106 Stepaside Park, Stepaside",Dublin,580000.0,No,Stepaside,Dublin 18,q4,90%
10/02/2010,"21  Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,185000.0,Yes,Stepaside,Dublin 18,q1,10%
12/02/2010,"25 Belarmine Close, Stepaside",Dublin,400000.0,No,Stepaside,Dublin 18,q3,70%
18/02/2010,"10 The Cedar, Parkview, Enniskerry Road  Stepaside",Dublin,225000.0,Yes,Stepaside,Dublin 18,q1,20%
20/02/2010,"75 Stepaside Park, Stepaside",Dublin,590000.0,No,Stepaside,Dublin 18,q4,90%
25/02/2010,"8 Cruagh Rise, Cruagh Manor, Stepaside",Dublin,350000.0,No,Stepaside,Dublin 18,q2,50%
01/03/2010,"Apt 18 The Oak, Parkview, Stepaside",Dublin,348017.0,Yes,Stepaside,Dublin 18,q2,50%
01/03/2010,"Apt 36 The Sycamore, Park View, Enniskerry Road  Stepaside",Dublin,286343.61,Yes,Stepaside,Dublin 18,q2,30%
19/03/2010,"42 Heather Court, Stepaside Park, Stepaside",Dublin,250000.0,No,Stepaside,Dublin 18,q1,20%
22/03/2010,"23  Belarmine Hall, Stepaside",Dublin,211453.0,Yes,Stepaside,Dublin 18,q1,20%
30/03/2010,"109 Stepaside Park, Stepaside",Dublin,595000.0,No,Stepaside,Dublin 18,q4,90%
14/04/2010,"Apt 33, The Village, Stepaside",Dublin,198347.0,Yes,Stepaside,Dublin 18,q1,20%
15/04/2010,"3 Belarmine Grange, Stepaside",Dublin,455000.0,No,Stepaside,Dublin 18,q4,80%
16/04/2010,"Apartment No. 3, The Village, Stepaside",Dublin,151541.85,Yes,Stepaside,Dublin 18,q1,10%
21/04/2010,"Apt 8 Belarmine Hall, Stepaside, Dublin 18",Dublin,240000.0,Yes,Stepaside,Dublin 18,q1,20%
29/04/2010,"100 Belarmine Plaza, Enniskerry Road, Stepaside",Dublin,140000.0,No,Stepaside,Dublin 18,q1,10%
04/05/2010,"13 Belarmine Hall, Belarmine, Stepaside",Dublin,220000.0,Yes,Stepaside,Dublin 18,q1,20%
10/05/2010,"60 Belarmine Place, Stepaside",Dublin,350000.0,No,Stepaside,Dublin 18,q3,60%
21/05/2010,"12 Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,223788.54,Yes,Stepaside,Dublin 18,q1,20%
26/05/2010,"Apartment 2, The Village, Stepaside",Dublin,79895.0,Yes,Stepaside,Dublin 18,q1,10%
29/05/2010,"22 Belarmine Way, Stepaside",Dublin,427000.0,No,Stepaside,Dublin 18,q3,80%
03/06/2010,"Apartment 39  Littlewood, Stepaside",Dublin,243000.0,No,Stepaside,Dublin 18,q1,20%
04/06/2010,"34 Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,145374.0,Yes,Stepaside,Dublin 18,q1,10%
15/06/2010,"87 Ballyedmonduff Road, Stepaside",Dublin,360000.0,No,Stepaside,Dublin 18,q3,60%
18/06/2010,"79 Stepaside Park, Stepaside",Dublin,575000.0,No,Stepaside,Dublin 18,q4,90%
22/06/2010,"80 Belarmine Plaza, Newtownlittle, Stepaside",Dublin,204000.0,Yes,Stepaside,Dublin 18,q1,20%
23/06/2010,"11 Belarmine Hall, Stepaside",Dublin,145374.44,Yes,Stepaside,Dublin 18,q1,10%
24/06/2010,"9 Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,215859.03,Yes,Stepaside,Dublin 18,q1,20%
25/06/2010,"104 Belarmine Plaza, Enniskerry Road, Stepaside",Dublin,188000.0,Yes,Stepaside,Dublin 18,q1,10%
30/06/2010,"3 Belarmine Close, Stepaside, Dublin 18",Dublin,405000.0,No,Stepaside,Dublin 18,q3,70%
15/07/2010,"14 Belarmine Square, Newtownlittle, Stepaside",Dublin,378000.0,No,Stepaside,Dublin 18,q3,70%
21/07/2010,"31 Belarmine Hall, Belarmine Avenue, Stepaside",Dublin,155000.0,Yes,Stepaside,Dublin 18,q1,10%
28/07/2010,"Apt 130, The Belfry, Enniskerry Road  Stepaside",Dublin,188000.0,No,Stepaside,Dublin 18,q1,10%
10/08/2010,"16 Belarmine Square, Stepaside",Dublin,235000.0,No,Stepaside,Dublin 18,q1,20%
11/08/2010,"Apt 40, Block 2  The Belfry, Stepaside",Dublin,212000.0,No,Stepaside,Dublin 18,q1,20%
13/08/2010,"Apt. 99  Belarmine Plaza, Enniskerry Road, Stepaside",Dublin,172000.0,Yes,Stepaside,Dublin 18,q1,10%
20/08/2010,"Apt. 16  The Belfry, Stepaside",Dublin,160000.0,No,Stepaside,Dublin 18,q1,10%
26/08/2010,"22 The Belfry, Enniskerry Road, Stepaside  Co. Dublin.",Dublin,164000.0,No,Stepaside,Dublin 18,q1,10%
09/09/2010,"Apartment 27 Belarmine Hall, Newtownlittle, Stepaside",Dublin,202643.17,Yes,Stepaside,Dublin 18,q1,20%
09/09/2010,"Apt 32 The Cedar, Parkview  Enniskerry Road, Stepaside",Dublin,242500.0,Yes,Stepaside,Dublin 18,q1,20%
13/09/2010,"Apartment 24 The Belfry, Enniskerry Road, Stepaside",Dublin,184000.0,No,Stepaside,Dublin 18,q1,10%
16/09/2010,"Apartment No. 39 The Willow, Parkview, Stepaside",Dublin,260000.0,Yes,Stepaside,Dublin 18,q1,30%
28/09/2010,"Ardacha, Kilgobbin Road, Stepaside",Dublin,785000.0,No,Stepaside,Dublin 18,q4,100%
01/10/2010,"32 Cruagh Avenue, Cruagh Manor, Stepaside",Dublin,295000.0,No,Stepaside,Dublin 18,q2,40%
04/10/2010,"15 Cruagh Avenue, Stepaside",Dublin,345000.0,No,Stepaside,Dublin 18,q2,50%
04/10/2010,"No. 36 The Cedar, Parkview, Stepaside",Dublin,340000.0,Yes,Stepaside,Dublin 18,q2,50%
08/10/2010,"Apt 56 The Belfry, Enniskerry Road, Stepaside",Dublin,220000.0,No,Stepaside,Dublin 18,q1,20%
12/10/2010,"Apartmemt 58 Belarmine Plaza, Belarmine, Stepaside",Dublin,196000.0,No,Stepaside,Dublin 18,q1,20%
15/10/2010,"2 Belarmine Park, Stepaside, Dublin 18",Dublin,710000.0,No,Stepaside,Dublin 18,q4,100%
18/10/2010,"64 Belarmine Place, Stepaside",Dublin,325000.0,No,Stepaside,Dublin 18,q2,50%
12/11/2010,"Apt. 1 The Belfry, Enniskerry Road, Stepaside",Dublin,152000.0,No,Stepaside,Dublin 18,q1,10%
