date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
04/01/2010,"44 Allen Park Road, Stillorgan, County Dublin",Dublin,350000.0,No,Stillorgan,Co. Dublin,q2,40%
21/01/2010,"27 Lakelands Crescent, Stillorgan",Dublin,481000.0,No,Stillorgan,Co. Dublin,q3,60%
28/01/2010,"2 Mount Anville Wood, Stillorgan, Dublin 14",Dublin,600000.0,No,Stillorgan,Co. Dublin,q4,80%
29/01/2010,"14 Woodthorpe, Coolnevon, Stillorgan",Dublin,420000.0,No,Stillorgan,Co. Dublin,q2,50%
03/02/2010,"10, Mount Anville Wood, Stillorgan",Dublin,725000.0,No,Stillorgan,Co. Dublin,q4,100%
19/02/2010,"202 Beechwood Court, Stillorgan",Dublin,317000.0,No,Stillorgan,Co. Dublin,q2,30%
05/03/2010,"56 Patrician Villas, Stillorgan",Dublin,245000.0,No,Stillorgan,Co. Dublin,q1,20%
15/03/2010,"93 Lakelands Close, Stillorgan",Dublin,435000.0,No,Stillorgan,Co. Dublin,q3,60%
22/03/2010,"1 Woodview House, Old Bray Road, Stillorgan",Dublin,125000.0,No,Stillorgan,Co. Dublin,q1,10%
31/03/2010,"81 Cranford Court, Off Stillorgan Road, Dublin 4",Dublin,155000.0,No,Stillorgan,Co. Dublin,q1,10%
08/04/2010,"3 St Laurences Park, Stillorgan",Dublin,292000.0,No,Stillorgan,Co. Dublin,q1,30%
09/04/2010,"29 Farmleigh Avenue, Stillorgan",Dublin,606000.0,No,Stillorgan,Co. Dublin,q4,80%
30/04/2010,"6 Beaufield Manor, Stillorgan, Dublin 18",Dublin,320000.0,No,Stillorgan,Co. Dublin,q2,30%
06/05/2010,"90 Fosterbrook, Stillorgan Road, Stillorgan",Dublin,600000.0,No,Stillorgan,Co. Dublin,q4,80%
07/05/2010,"35 Stillorgan Heath, Stillorgan",Dublin,540000.0,No,Stillorgan,Co. Dublin,q3,70%
12/05/2010,"8 Belmont Lawn, Galloping Green, Stillorgan",Dublin,710000.0,No,Stillorgan,Co. Dublin,q4,90%
18/05/2010,"4 Belmont Lawn, Stillorgan",Dublin,722000.0,No,Stillorgan,Co. Dublin,q4,100%
20/05/2010,"48 Beaufield Park, Stillorgan",Dublin,595000.0,No,Stillorgan,Co. Dublin,q4,80%
29/05/2010,"39 Beechwood Court, Stillorgan Road, County Dublin",Dublin,184001.0,Yes,Stillorgan,Co. Dublin,q1,10%
01/06/2010,"24 Holywell, Stillorgan",Dublin,545000.0,No,Stillorgan,Co. Dublin,q3,80%
04/06/2010,"Apt 78, Belfield Park, Stillorgan",Dublin,250000.0,No,Stillorgan,Co. Dublin,q1,20%
09/06/2010,"49 Beaufield Park, Stillorgan",Dublin,650000.0,No,Stillorgan,Co. Dublin,q4,90%
23/06/2010,"152 Lower Kilmacud Road, Stillorgan",Dublin,460000.0,No,Stillorgan,Co. Dublin,q3,60%
23/06/2010,"9 Beaufield Manor, Woodlands Avenue, Stillorgan",Dublin,315000.0,No,Stillorgan,Co. Dublin,q2,30%
24/06/2010,"11  Woodthorpe, Stillorgan",Dublin,415000.0,No,Stillorgan,Co. Dublin,q2,50%
25/06/2010,"63 Seafield Crescent, Stillorgan",Dublin,415000.0,No,Stillorgan,Co. Dublin,q2,50%
13/07/2010,"8 Weirview Drive, Stillorgan",Dublin,470000.0,No,Stillorgan,Co. Dublin,q3,60%
27/07/2010,"105 Galloping Green, Stillorgan",Dublin,280000.0,No,Stillorgan,Co. Dublin,q1,30%
30/07/2010,"32 Sweetbriar Lane, Kilmacud, Stillorgan",Dublin,418000.0,No,Stillorgan,Co. Dublin,q2,50%
05/08/2010,"143 Upper Kilmacud Road, Stillorgan, Dublin",Dublin,205000.0,No,Stillorgan,Co. Dublin,q1,10%
18/08/2010,"91 Marsham Court, Stillorgan, Co. Dublin",Dublin,340000.0,No,Stillorgan,Co. Dublin,q2,40%
27/08/2010,"79 Holywell, Upper Kilmacud Road, Stillorgan",Dublin,460000.0,No,Stillorgan,Co. Dublin,q3,60%
27/08/2010,"Apartment 13  Belfield Park, Stillorgan Rd",Dublin,217000.0,No,Stillorgan,Co. Dublin,q1,10%
30/08/2010,"7 Patrician Villas, Stillorgan",Dublin,230000.0,No,Stillorgan,Co. Dublin,q1,10%
03/09/2010,"16 Ashfield Park, Stillorgan Road",Dublin,572000.0,No,Stillorgan,Co. Dublin,q3,80%
09/09/2010,"1 Woodview Court, Stillorgan",Dublin,225000.0,No,Stillorgan,Co. Dublin,q1,10%
24/09/2010,"151 Stillorgan Heath, Stillorgan",Dublin,442000.0,No,Stillorgan,Co. Dublin,q3,60%
28/09/2010,"3 Ard Lorcain, Stillorgan, County Dublin",Dublin,310000.0,No,Stillorgan,Co. Dublin,q2,30%
29/09/2010,"Apt. 1- 11 Stillorgan Haven, 405 To 407 Stillorgan Road, Stillorgan",Dublin,207500.0,No,Stillorgan,Co. Dublin,q1,10%
30/09/2010,"41 Kilmacud Park, Stillorgan, Co. Dublin",Dublin,400000.0,No,Stillorgan,Co. Dublin,q2,50%
04/10/2010,"No. 68 Merville Road, Stillorgan",Dublin,498000.0,No,Stillorgan,Co. Dublin,q3,70%
22/10/2010,"45 Laurleen, Stillorgan, Dublin",Dublin,612500.0,No,Stillorgan,Co. Dublin,q4,80%
27/10/2010,"8 Linden Lea Park, Stillorgan",Dublin,452000.0,No,Stillorgan,Co. Dublin,q3,60%
29/10/2010,"76 Merrion Grove, Stillorgan, County Dublin",Dublin,184000.0,No,Stillorgan,Co. Dublin,q1,10%
02/11/2010,"Apt. 67 The Eglinton, Donnybrook Castle, Stillorgan Road  Donnybrook",Dublin,287500.0,No,Stillorgan,Co. Dublin,q1,30%
08/11/2010,"84 Stillorgan Heath, Stillorgan",Dublin,615000.0,No,Stillorgan,Co. Dublin,q4,80%
15/11/2010,"75 Whately Place, Upper Kilmacud Road, Stillorgan",Dublin,265000.0,No,Stillorgan,Co. Dublin,q1,20%
19/11/2010,"32 Cranford Court, Stillorgan",Dublin,125000.0,No,Stillorgan,Co. Dublin,q1,10%
26/11/2010,"2 Highridge Green, Stillorgan, Co Dublin",Dublin,445000.0,No,Stillorgan,Co. Dublin,q3,60%
26/11/2010,"21 Belmont Lawn, Galloping Green, Stillorgan",Dublin,650000.0,No,Stillorgan,Co. Dublin,q4,90%
26/11/2010,"48 Brewery Road, Stillorgan",Dublin,490000.0,No,Stillorgan,Co. Dublin,q3,70%
28/11/2010,"16C Belfield Court, Stillorgan Rd., Donnybrook",Dublin,220000.0,No,Stillorgan,Co. Dublin,q1,10%
30/11/2010,"11 Allen Park Drive, Stillorgan",Dublin,456000.0,No,Stillorgan,Co. Dublin,q3,60%
10/12/2010,"21 Lakelands Drive, Upper Kilmacud Road, Stillorgan",Dublin,425000.0,No,Stillorgan,Co. Dublin,q2,50%
10/12/2010,"6 Coolnevaun, Upper Kilmacud Road, Stillorgan",Dublin,520000.0,No,Stillorgan,Co. Dublin,q3,70%
15/12/2010,"235 Beechwood Court, Stillorgan Road",Dublin,224000.0,Yes,Stillorgan,Co. Dublin,q1,10%
16/12/2010,"54 Marcham Court, Stillorgan",Dublin,386000.0,No,Stillorgan,Co. Dublin,q2,50%
17/12/2010,"43 Allen Park Road, Stillorgan",Dublin,415000.0,No,Stillorgan,Co. Dublin,q2,50%
10/01/2011,"78 Slieve Rua Drive, Stillorgan",Dublin,400000.0,No,Stillorgan,Co. Dublin,q2,50%
21/01/2011,"Chase Lodge, Brewery Road, Stillorgan",Dublin,760000.0,No,Stillorgan,Co. Dublin,q4,100%
25/01/2011,"21 Rocwood, Stillorgan, Co Dublin",Dublin,510000.0,No,Stillorgan,Co. Dublin,q3,70%
28/01/2011,"3 Annaville, Stillorgan, Dublin",Dublin,320000.0,No,Stillorgan,Co. Dublin,q2,30%
04/02/2011,"36 Merrion Woods, Stillorgan",Dublin,320000.0,No,Stillorgan,Co. Dublin,q2,30%
09/02/2011,"'Holmfels', Old Stillorgan Road, Stillorgan",Dublin,340000.0,No,Stillorgan,Co. Dublin,q2,40%
14/02/2011,"18 Woodview Court, Stillorgan",Dublin,205000.0,No,Stillorgan,Co. Dublin,q1,10%
14/02/2011,"36 Beaufield Manor, Woodlands Avenue, Stillorgan Road Stillorgan",Dublin,274000.0,No,Stillorgan,Co. Dublin,q1,30%
28/02/2011,"24 Linden Lea Park, Stillorgan",Dublin,417500.0,No,Stillorgan,Co. Dublin,q2,50%
28/02/2011,"48 St. Lawrence'S Park, Stillorgan, Co. Dublin",Dublin,265000.0,No,Stillorgan,Co. Dublin,q1,20%
28/02/2011,"66 Merville Road, Stillorgan",Dublin,457500.0,No,Stillorgan,Co. Dublin,q3,60%
11/03/2011,"127 Upper Kilmacud Road, Stillorgan",Dublin,335000.0,No,Stillorgan,Co. Dublin,q2,40%
14/03/2011,"54 The Shrewsbury, Donnybrook Castle, Stillorgan Road",Dublin,350000.0,No,Stillorgan,Co. Dublin,q2,40%
21/03/2011,"32 Stillorgan Wood, Stillorgan, Co Dublin",Dublin,553500.0,No,Stillorgan,Co. Dublin,q3,80%
05/04/2011,"77 Stillorgan Wood, Stillorgan",Dublin,425000.0,No,Stillorgan,Co. Dublin,q2,50%
06/04/2011,"105 Fosterbrook, Stillorgan",Dublin,440000.0,No,Stillorgan,Co. Dublin,q3,60%
08/04/2011,"19 Allen Park Drive, Stillorgan, Co Dublin",Dublin,395000.0,No,Stillorgan,Co. Dublin,q2,50%
20/04/2011,"88  Slieve Rua  Drive, Stillorgan",Dublin,375000.0,No,Stillorgan,Co. Dublin,q2,40%
28/04/2011,"138 Stillorgan Heath, Stillorgan (Kilmacud), County Dublin",Dublin,530000.0,No,Stillorgan,Co. Dublin,q3,70%
02/05/2011,"32 Priory Avenue, Stillorgan, Co  Dublin",Dublin,578000.0,No,Stillorgan,Co. Dublin,q3,80%
20/05/2011,"31A Woodies Park, Stillorgan",Dublin,675000.0,No,Stillorgan,Co. Dublin,q4,90%
