date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
13/01/2010,"5 Ross Street, Stoneybatter",Dublin,190000.0,No,Stoneybatter,Dublin 7,q2,30%
05/02/2010,"10, Ashford Place, Stoneybatter",Dublin,172000.0,No,Stoneybatter,Dublin 7,q1,30%
19/02/2010,"58 Viking Road, Stoneybatter",Dublin,185000.0,No,Stoneybatter,Dublin 7,q2,30%
19/03/2010,"17 Olaf Road, Stoneybatter",Dublin,230000.0,No,Stoneybatter,Dublin 7,q2,50%
24/03/2010,"45 Sitric Rd, Stoneybatter, Dublin 7",Dublin,245000.0,No,Stoneybatter,Dublin 7,q2,50%
28/05/2010,"11 Arklow Street, Stoneybatter",Dublin,217500.0,No,Stoneybatter,Dublin 7,q2,40%
02/06/2010,"104 Oxmantown Road, Stoneybatter",Dublin,148000.0,No,Stoneybatter,Dublin 7,q1,20%
11/06/2010,"61 Kirwan Street Cottages, Stoneybatter",Dublin,172000.0,No,Stoneybatter,Dublin 7,q1,30%
22/06/2010,"20 Viking Road, Stoneybatter",Dublin,282500.0,No,Stoneybatter,Dublin 7,q3,60%
13/07/2010,"26 Olaf Road, Stoneybatter, Dublin 7",Dublin,160000.0,No,Stoneybatter,Dublin 7,q1,20%
22/07/2010,"8 Mount Temple Road, Stoneybatter, Dublin 7",Dublin,260000.0,No,Stoneybatter,Dublin 7,q3,60%
29/07/2010,"8 Ben Edair Road, Stoneybatter, Dublin 7",Dublin,182500.0,No,Stoneybatter,Dublin 7,q2,30%
18/08/2010,"20 Thor Place, Stoneybatter",Dublin,165000.0,No,Stoneybatter,Dublin 7,q1,20%
20/10/2010,"16 Sitric Road, Stoneybatter",Dublin,196500.0,No,Stoneybatter,Dublin 7,q2,40%
22/10/2010,"15 Ostman Place, Stoneybatter",Dublin,240000.0,No,Stoneybatter,Dublin 7,q2,50%
21/01/2011,"40 Kirwan Street, Stoneybatter",Dublin,199000.0,No,Stoneybatter,Dublin 7,q2,40%
28/01/2011,"17 Ben Edair View, Stoneybatter",Dublin,156000.0,No,Stoneybatter,Dublin 7,q1,20%
15/02/2011,"9 Murtagh Road, Stoneybatter",Dublin,180000.0,No,Stoneybatter,Dublin 7,q2,30%
08/03/2011,"19 Olaf Road, Stoneybatter, Dublin 7",Dublin,220000.0,No,Stoneybatter,Dublin 7,q2,40%
22/03/2011,"8 Ard Righ Road, Stoneybatter, Dublin 7",Dublin,185000.0,No,Stoneybatter,Dublin 7,q2,30%
29/03/2011,"13 Olaf Road, Stoneybatter",Dublin,143000.0,No,Stoneybatter,Dublin 7,q1,20%
19/04/2011,"1  Niall Street, Stoneybatter, Dublin",Dublin,268000.0,No,Stoneybatter,Dublin 7,q3,60%
20/04/2011,"3 Manor Mews, Stoneybatter, Dublin 7",Dublin,275000.0,No,Stoneybatter,Dublin 7,q3,60%
26/04/2011,"3 Sitric Road, Stoneybatter",Dublin,205000.0,No,Stoneybatter,Dublin 7,q2,40%
28/04/2011,"30 Kirwan Street, Stoneybatter, Dublin 7",Dublin,248000.0,No,Stoneybatter,Dublin 7,q2,50%
11/05/2011,"23 Saint Joseph'S Road, Stoneybatter  Dublin 7",Dublin,255000.0,No,Stoneybatter,Dublin 7,q2,50%
31/05/2011,"19 Infirmary Road, Stoneybatter, Dublin 7",Dublin,350000.0,No,Stoneybatter,Dublin 7,q4,80%
11/07/2011,"29 Ben Edair Road, Stoneybatter",Dublin,97000.0,No,Stoneybatter,Dublin 7,q1,10%
22/07/2011,"29 Murtagh Road, Stoneybatter, Dublin 7",Dublin,150000.0,No,Stoneybatter,Dublin 7,q1,20%
15/09/2011,"13 Mount Temple Road, Stoneybatter, Dublin",Dublin,195000.0,No,Stoneybatter,Dublin 7,q2,40%
23/09/2011,"29  Sitric Road, Stoneybatter, Dublin 7",Dublin,195000.0,No,Stoneybatter,Dublin 7,q2,40%
27/09/2011,"1, Ostman Place, Stoneybatter",Dublin,120000.0,No,Stoneybatter,Dublin 7,q1,10%
11/10/2011,"42Arbour Hill, Stoneybatter",Dublin,180000.0,No,Stoneybatter,Dublin 7,q2,30%
14/10/2011,"28 Viking Road, Stoneybatter, Dublin 7",Dublin,115000.0,No,Stoneybatter,Dublin 7,q1,10%
