date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
06/08/2010,"39 & 39A Summerhill Parade, Dublin 1",Dublin,180000.0,No,Summerhill,Dublin 1,q3,70%
16/03/2012,"5 Rutland Cottages, Summerhill",Dublin,62500.0,No,Summerhill,Dublin 1,q1,10%
27/06/2012,"17 Rutland Cottages, Summerhill, Dublin 1",Dublin,27000.0,No,Summerhill,Dublin 1,q1,10%
02/08/2012,"1 Summerhill Place, Dublin 1",Dublin,30000.0,No,Summerhill,Dublin 1,q1,10%
26/10/2012,"31 Summerhill Parade, Dulin 1",Dublin,87500.0,No,Summerhill,Dublin 1,q2,30%
30/10/2012,"Apt.1 Duff House, 13/15 Summerhill Parade",Dublin,68000.0,No,Summerhill,Dublin 1,q1,20%
29/11/2012,"26 Summerhill Parade, Dublin 1",Dublin,97500.0,No,Summerhill,Dublin 1,q2,40%
29/11/2012,"27 Summerhill Parade, Dublin 1",Dublin,160000.0,No,Summerhill,Dublin 1,q3,60%
29/11/2012,"28 Summerhill Parade, Dublin 1",Dublin,160000.0,No,Summerhill,Dublin 1,q3,60%
14/12/2012,"29 Summerhill Parade, Dublin 1",Dublin,160000.0,No,Summerhill,Dublin 1,q3,60%
09/01/2013,"3 Summerhill Place, Dublin 1",Dublin,34000.0,No,Summerhill,Dublin 1,q1,10%
08/08/2013,"Apartment 3, Duff House, 13/ 15 Summerhill Parade",Dublin,78000.0,No,Summerhill,Dublin 1,q1,30%
29/08/2013,"5 Summerhill Place, Dublin 1",Dublin,50000.0,No,Summerhill,Dublin 1,q1,10%
21/10/2013,"1 Summerhill Place, Dublin 1",Dublin,37500.0,No,Summerhill,Dublin 1,q1,10%
21/10/2013,"3 Summerhill Place, Off Rutland Street Lower",Dublin,37500.0,No,Summerhill,Dublin 1,q1,10%
13/11/2013,"Apt 2, Duff House, 13 15 Summerhill Parade Dublin 1",Dublin,76500.0,No,Summerhill,Dublin 1,q1,20%
23/06/2014,"13 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,100000.0,No,Summerhill,Dublin 1,q2,40%
10/11/2014,"15 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,100000.0,No,Summerhill,Dublin 1,q2,40%
10/11/2014,"24 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,100000.0,No,Summerhill,Dublin 1,q2,40%
10/11/2014,"25 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,100000.0,No,Summerhill,Dublin 1,q2,40%
21/11/2014,"1 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,101000.0,No,Summerhill,Dublin 1,q2,40%
08/12/2014,"23 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,100000.0,No,Summerhill,Dublin 1,q2,40%
23/12/2014,"27 Great Charles St North, Summerhill, Dublin 1",Dublin,501250.0,No,Summerhill,Dublin 1,q4,100%
23/01/2015,"16 Summer St North, Summerhill, Dublin 1",Dublin,230000.0,No,Summerhill,Dublin 1,q3,70%
23/01/2015,"27 Bridgewater Hall, Summerhill Parade, Dublin 1",Dublin,131000.0,No,Summerhill,Dublin 1,q2,50%
19/02/2015,"Summerhill, Mount Anville Road, Dublin 14",Dublin,900000.0,No,Summerhill,Dublin 1,q4,100%
