date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
08/01/2010,"44 Bayside Walk, Sutton",Dublin,330000.0,No,Sutton,Dublin 13,q1,30%
15/01/2010,"93 Binn Eadair View, Sutton, Dublin",Dublin,327000.0,No,Sutton,Dublin 13,q1,30%
22/01/2010,"42 Beach View, Sutton, Dublin 13",Dublin,430000.0,No,Sutton,Dublin 13,q2,50%
25/01/2010,"22 Offington Park, Sutton",Dublin,820000.0,No,Sutton,Dublin 13,q4,90%
23/03/2010,"35 Offington Manor, Sutton, Dublin 13",Dublin,356212.0,No,Sutton,Dublin 13,q2,30%
23/03/2010,"Flat 18 Offington Manor, Sutton",Dublin,335000.0,No,Sutton,Dublin 13,q1,30%
14/04/2010,"1A Verbena Avenue, Sutton",Dublin,380000.0,No,Sutton,Dublin 13,q2,40%
14/04/2010,"8 The Strand, Baldoyle Road, Sutton",Dublin,397000.0,No,Sutton,Dublin 13,q2,40%
30/04/2010,"7 Bayside Boulevard North, Sutton",Dublin,235000.0,No,Sutton,Dublin 13,q1,10%
07/05/2010,"4 St. Michael'S, Station Road, Sutton",Dublin,550000.0,No,Sutton,Dublin 13,q3,60%
17/05/2010,"13  Block B  Radcliffe, Dublin Road, Sutton",Dublin,258000.0,No,Sutton,Dublin 13,q1,20%
28/05/2010,"20 Sutton Court, Sutton, Dublin 13",Dublin,210000.0,No,Sutton,Dublin 13,q1,10%
28/05/2010,"86 Bayside Boulevard North, Sutton",Dublin,275000.0,No,Sutton,Dublin 13,q1,20%
31/05/2010,"13 Sutton Downs, Sutton, Dublin 13",Dublin,260000.0,No,Sutton,Dublin 13,q1,20%
31/05/2010,"26A Binn Eadair View, Sutton, Dublin 13",Dublin,273500.0,No,Sutton,Dublin 13,q1,20%
04/06/2010,"97 Binn Eadair View, Sutton",Dublin,299000.0,No,Sutton,Dublin 13,q1,20%
09/06/2010,"66 Sutton Park, Sutton",Dublin,410000.0,No,Sutton,Dublin 13,q2,40%
23/06/2010,"Apartment 15 Old Quay Terrace, Strand Road, Sutton",Dublin,445000.0,No,Sutton,Dublin 13,q2,50%
25/06/2010,"20 St. Domhnachs Well, Baldoyle Road, Sutton",Dublin,310000.0,No,Sutton,Dublin 13,q1,20%
06/07/2010,"129 Bayside Boulevard North, Sutton",Dublin,220000.0,No,Sutton,Dublin 13,q1,10%
06/07/2010,"30 Bayside Square South, Sutton",Dublin,274000.0,No,Sutton,Dublin 13,q1,20%
14/07/2010,"7 Offington Avenue, Sutton  Dublin 13",Dublin,690000.0,No,Sutton,Dublin 13,q3,80%
20/07/2010,"96A Binn Eadair View, Sutton, Dublin 13",Dublin,295000.0,No,Sutton,Dublin 13,q1,20%
30/07/2010,"16B Binn Eadair View, Sutton",Dublin,330000.0,No,Sutton,Dublin 13,q1,30%
30/07/2010,"178A Sutton Park, Clontarf, Dublin 3",Dublin,510000.0,No,Sutton,Dublin 13,q3,60%
30/07/2010,"37A The Crescent, Binn Eadair View  Dublin Road, Sutton",Dublin,345000.0,No,Sutton,Dublin 13,q1,30%
19/08/2010,"38 Bayside Crescent, Sutton, Dublin13",Dublin,420000.0,No,Sutton,Dublin 13,q2,40%
23/08/2010,"100 Binn Eadair View, Sutton",Dublin,540000.0,No,Sutton,Dublin 13,q3,60%
27/08/2010,"17 Offington Court, Sutton",Dublin,660000.0,No,Sutton,Dublin 13,q3,80%
03/09/2010,"78 Sutton Park, Sutton, Dublin 13",Dublin,500000.0,No,Sutton,Dublin 13,q3,60%
09/09/2010,"4 Shielmartin Park, Shielmartin Road, Sutton",Dublin,615000.0,No,Sutton,Dublin 13,q3,70%
14/09/2010,"26 Sutton Grove, Sutton",Dublin,400000.0,No,Sutton,Dublin 13,q2,40%
08/10/2010,"5 Sarto Lawn, Sutton, Dublin",Dublin,345000.0,No,Sutton,Dublin 13,q1,30%
26/10/2010,"2 St. Domhnachs Well, Baldoyle Road, Sutton",Dublin,350000.0,No,Sutton,Dublin 13,q2,30%
30/10/2010,"26 Binn Eadair View, Sutton",Dublin,270000.0,No,Sutton,Dublin 13,q1,20%
04/11/2010,"10 James Mccormack Gardens, Sutton, Dublin 13",Dublin,216000.0,No,Sutton,Dublin 13,q1,10%
05/11/2010,"73 Bayside Walk, Sutton",Dublin,320000.0,No,Sutton,Dublin 13,q1,20%
16/11/2010,"87A Bin Eadaiar View, Sutton",Dublin,347500.0,No,Sutton,Dublin 13,q2,30%
18/11/2010,"189 Sarto Lawns, Sutton, Dublin 13",Dublin,410000.0,No,Sutton,Dublin 13,q2,40%
24/11/2010,"4  The Strand, Baldoyle Road, Sutton",Dublin,325000.0,No,Sutton,Dublin 13,q1,20%
10/12/2010,"2 Lauders Lane, Sutton",Dublin,750000.0,No,Sutton,Dublin 13,q4,90%
10/12/2010,"No. 34  Block 2, Corr Castle, Sutton",Dublin,425000.0,No,Sutton,Dublin 13,q2,50%
13/12/2010,"1A St. Fintan'S Crescent, Sutton",Dublin,600000.0,No,Sutton,Dublin 13,q3,70%
13/12/2010,"1A St. Fintan'S Crescent, Sutton",Dublin,600000.0,No,Sutton,Dublin 13,q3,70%
16/12/2010,"200A Sutton Park, Sutton",Dublin,250000.0,No,Sutton,Dublin 13,q1,10%
17/12/2010,"8 Offington Drive, Sutton",Dublin,725000.0,No,Sutton,Dublin 13,q4,80%
22/12/2010,"168 Howth Road, Sutton",Dublin,430000.0,No,Sutton,Dublin 13,q2,50%
14/01/2011,"26 Carrickbrack Hill, Sutton, Dublin 13",Dublin,610000.0,No,Sutton,Dublin 13,q3,70%
17/01/2011,"14 St. Fintan'S Road, Sutton",Dublin,560000.0,No,Sutton,Dublin 13,q3,60%
21/01/2011,"79 Glencarrig, Sutton",Dublin,525000.0,No,Sutton,Dublin 13,q3,60%
08/02/2011,"15 St Domhnach Well, Sutton",Dublin,310000.0,No,Sutton,Dublin 13,q1,20%
14/02/2011,"24 Tramway Court, Sutton",Dublin,247000.0,No,Sutton,Dublin 13,q1,10%
18/02/2011,"9 Saint Fintans Park, Sutton, Dublin 13",Dublin,610000.0,No,Sutton,Dublin 13,q3,70%
01/03/2011,"Gilmoss, Strand Road, Sutton",Dublin,720000.0,No,Sutton,Dublin 13,q4,80%
07/03/2011,"21 Tramway Court, Sutton, Dublin 13",Dublin,275000.0,No,Sutton,Dublin 13,q1,20%
14/03/2011,"22 Offington Court, Sutton",Dublin,600000.0,No,Sutton,Dublin 13,q3,70%
18/03/2011,"25  Binn Eadair View, Sutton, Dublin 13.",Dublin,279250.0,No,Sutton,Dublin 13,q1,20%
25/03/2011,"26 Verbena Park, Sutton, Dublin 13",Dublin,374069.0,No,Sutton,Dublin 13,q2,40%
31/03/2011,"15 Rosbeg Court, Sutton, Dublin 13",Dublin,239500.0,No,Sutton,Dublin 13,q1,10%
