Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
11,04/01/2010,"54., Brides Glen Avenue, Swords",,Dublin,337500.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
78,12/01/2010,"21 Foxwood, Swords",,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
84,12/01/2010,"7 Castleview Grove, Swords",,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
143,15/01/2010,"46 Cherry Garth, Rivervalley, Swords",,Dublin,232500.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
171,19/01/2010,"5 Rivervalley Court, Rivervalley, Swords",,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
187,20/01/2010,"6 The Nurseries, Swords",,Dublin,305000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
211,21/01/2010,"7 Abbeyvale Way, Swords, County Dublin",,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
240,22/01/2010,"23 St Columbas Hts, Swords",,Dublin,390000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
324,28/01/2010,"22 Thornleigh Place, Applewood Village, Swords",,Dublin,245000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
358,29/01/2010,"20 Druids Glen Park, Swords",,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
360,29/01/2010,"25 Boroimbe Aspen, Swords, Co. Dublin",,Dublin,323000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
388,29/01/2010,"85 Boroimhe Alder, Swords",,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
422,02/02/2010,"29 Castleview Avenue, Swords",,Dublin,215000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
432,03/02/2010,"110 Cianlea, Swords",,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
471,04/02/2010,"42 Cedar Lawn, The Cedars, Ridgewood  Swords",,Dublin,285000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Swords,Co. Dublin
497,05/02/2010,"26 Seatown Villas, Swords",,Dublin,225000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
595,12/02/2010,"11 Glen Ellan Close, Swords",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
648,15/02/2010,"32 Abbeyvale Court, Swords",,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
684,17/02/2010,"37 Cedar Lawn, Ridgewood, Swords",,Dublin,172000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Swords,Co. Dublin
784,23/02/2010,"26 St. Columbas Heights, Swords",,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
824,25/02/2010,"88 Cedar Place, Ridgewood, Swords",,Dublin,175000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,Swords,Co. Dublin
914,02/03/2010,"45 Castlefarm, Swords",,Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
968,05/03/2010,"17 Gainsborough Court, Swords Road, Dublin",,Dublin,470000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
971,05/03/2010,"19 Rivervalley Close, Swords",,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
978,05/03/2010,"47 Melesian Avenue, Swords",,Dublin,340000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1032,09/03/2010,"Apt. 72 Cedar Square, The Cedars  Ridgewood, Forrest Road  Swords",,Dublin,235000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Swords,Co. Dublin
1083,12/03/2010,"14 Ashton Drive, Ashton Broc, Swords",,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1160,16/03/2010,"69 Cianlea, Swords",,Dublin,273000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1226,22/03/2010,"25 Castleview Walk, Swords",,Dublin,167000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1231,22/03/2010,"53 Boroimhe Cedars, Swords",,Dublin,232000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1298,26/03/2010,"11 Castleview Avenue, Swords",,Dublin,220000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1326,26/03/2010,"77 Forest Walk, Rivervalley, Swords",,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1366,30/03/2010,"114 Foxwood, Swords",,Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1431,01/04/2010,"11 Jugback Terrace, A\Ppelwood Village, Swords",,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1462,01/04/2010,"5 Brookdale Park, Rivervalley, Swords",,Dublin,267250.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1463,01/04/2010,"5 Cedar Avenue, The Cedars  Ridgewood, Swords",,Dublin,365638.77,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Swords,Co. Dublin
1487,07/04/2010,"257 Swords Road, Santry, Dublin 9",Dublin 9,Dublin,335000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1494,07/04/2010,"5 Glen Ellan Park, Glen Ellan Pines, Swords",,Dublin,600000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1542,09/04/2010,"23 Sandford Wood, Swords",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1546,09/04/2010,"30 Highfield Lawns, Swords",,Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1547,09/04/2010,"33 Berwick Grove, Swords",,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1610,14/04/2010,"13  Rathingle Cottages, Forest Road, Swords",,Dublin,160000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1616,14/04/2010,"205 St Werburghs, Malahide Road, Swords",,Dublin,240000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1656,15/04/2010,"7 Holywell Way, Gorsehill, Swords",,Dublin,170000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1668,16/04/2010,"14 Forest Hills, Forest Road, Swords",,Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1727,20/04/2010,"292 Swords Road, Santry",,Dublin,337500.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1783,22/04/2010,"9 Forest Fields Road, River Valley, Swords",,Dublin,272000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1792,23/04/2010,"1 Abbeyvale Way, Swords",,Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1820,23/04/2010,"68 Broadmeadows, Swords",,Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1914,29/04/2010,"8 Ashton Avenue, Swords",,Dublin,245000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
1973,30/04/2010,"74  Boroimhe Birches, Swords",,Dublin,222000.0,No,Second-Hand Dwelling house /Apartment,,Swords,Co. Dublin
