Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
12,04/01/2010,"90 Suncroft Drive, Tallaght, Dublin 24",,Dublin,147950.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
38,08/01/2010,"14 St. Aonghus Road, Tallaght",Dublin 24,Dublin,220000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
61,08/01/2010,"9 Sundale Meadows, Mountainview, Tallaght",Dublin 24,Dublin,153000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
128,15/01/2010,"168 Castle Park, Tallaght",,Dublin,100000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
134,15/01/2010,"23A Cul Na Greine, Old Bawn, Tallaght",Dublin 24,Dublin,300000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
147,15/01/2010,"6 Tymonville Lawn, Tallaght",Dublin 24,Dublin,182000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
221,22/01/2010,"1 Raheen Road, Tallaght, Dublin 24",,Dublin,185000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
247,22/01/2010,"4 Drysdale Close, Old Bawn, Tallaght",Dublin 24,Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
344,29/01/2010,"102 Cushlawn Park, Tallaght",Dublin 24,Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
356,29/01/2010,"17 Whitebrook Park, Tallaght",,Dublin,209000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
449,04/02/2010,"11 Alderpark Court, Springfield, Tallaght",,Dublin,130000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
523,08/02/2010,"142 St Maelruans Park, Tallaght",Dublin 24,Dublin,189000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
524,08/02/2010,"29 Sycamore Avenue, Kingswood Heights, Tallaght",,Dublin,400000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
598,12/02/2010,"12 Elm Castle Drive, Kilnamanagh, Tallaght  Dublin 24",,Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
