date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
29/06/2010,"Apartment 1, 5/6 Temple Lane, Temple Bar",Dublin,296195.5,No,Temple Bar,Dublin 2,q3,70%
15/07/2010,"Apartment 12  Isoldes Tower, Essex Quay  Temple Bar",Dublin,205000.0,No,Temple Bar,Dublin 2,q2,30%
23/09/2010,"Apt 5 Crane Yard, Crane Lane, Temple Bar",Dublin,70000.0,No,Temple Bar,Dublin 2,q1,10%
24/01/2011,"51 Music Hall, Temple Bar",Dublin,210000.0,No,Temple Bar,Dublin 2,q2,40%
27/01/2011,"4 The Locksmith, 45 Temple Bar, Temple Bar",Dublin,350000.0,No,Temple Bar,Dublin 2,q3,80%
09/06/2011,"5 Music Hall, Cow Lane, Temple Bar",Dublin,295000.0,No,Temple Bar,Dublin 2,q3,60%
14/06/2011,"Apartment 42, Music Hall, Cows Lane  Temple Bar",Dublin,138000.0,No,Temple Bar,Dublin 2,q1,10%
06/10/2011,"Apt 21  Music Hall, Cows Lane, Temple Bar",Dublin,189500.0,No,Temple Bar,Dublin 2,q1,30%
13/12/2011,"67 Music Hall, Cow Lane, Temple Bar",Dublin,190000.0,No,Temple Bar,Dublin 2,q1,30%
13/12/2011,"Apartment 23, Scarlet Row, Essex Street West Temple Bar",Dublin,225000.0,No,Temple Bar,Dublin 2,q2,40%
26/01/2012,"9 The Printworks, Essex Street, Temple Bar",Dublin,185000.0,No,Temple Bar,Dublin 2,q1,20%
27/01/2012,"39 Music Hall, Cows Lane, Temple Bar",Dublin,174000.0,No,Temple Bar,Dublin 2,q1,20%
26/10/2012,"Apartment 4, The Book End, Temple Bar",Dublin,245750.0,No,Temple Bar,Dublin 2,q2,50%
16/11/2012,"4 Sauls Court, Copper Alley, Temple Bar",Dublin,170000.0,No,Temple Bar,Dublin 2,q1,20%
01/02/2013,"5 Music Hall, Temple Bar, Dublin 2",Dublin,186100.0,No,Temple Bar,Dublin 2,q1,30%
