date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/01/2010,"2 Ballyroan Road, Templeogue",Dublin,550000.0,No,Templeogue,Dublin 6W,q3,70%
25/01/2010,"44 Templeogue Lodge, Templeogue",Dublin,350000.0,No,Templeogue,Dublin 6W,q1,20%
12/02/2010,"9 The Court, Cypress Downs, Templeogue",Dublin,795000.0,No,Templeogue,Dublin 6W,q4,100%
19/02/2010,"12 Willington Lawn, Templeogue, Dublin",Dublin,420500.0,No,Templeogue,Dublin 6W,q2,30%
26/02/2010,"5 Orchardstown Park, Templeogue",Dublin,300000.0,No,Templeogue,Dublin 6W,q1,10%
01/03/2010,"16 Woodbrook Park, Templeogue, Dublin 16",Dublin,390000.0,No,Templeogue,Dublin 6W,q1,30%
08/03/2010,"54 Willington Cresent, Templeogue",Dublin,375000.0,No,Templeogue,Dublin 6W,q1,20%
11/03/2010,"7 Cypress Lawn, Templeogue, Dublin 6W",Dublin,455000.0,No,Templeogue,Dublin 6W,q2,40%
19/03/2010,"44 Templeville Drive, Templeogue",Dublin,580000.0,No,Templeogue,Dublin 6W,q3,80%
01/04/2010,"13 Cypress Park, Templeogue, Dublin",Dublin,530000.0,No,Templeogue,Dublin 6W,q3,70%
07/04/2010,"9 Templeville Avenue, Templeogue, Dublin 6W",Dublin,550000.0,No,Templeogue,Dublin 6W,q3,70%
09/04/2010,"42 The Avenue, Templeogue",Dublin,435000.0,No,Templeogue,Dublin 6W,q2,40%
14/04/2010,"13 Templeville Road, Templeogue",Dublin,469000.0,No,Templeogue,Dublin 6W,q2,50%
16/04/2010,"34 Osprey Park, Templeogue",Dublin,315000.0,No,Templeogue,Dublin 6W,q1,10%
22/04/2010,"227 Orwell Park Heights, Templeogue, Dublin 6W",Dublin,337000.0,No,Templeogue,Dublin 6W,q1,10%
12/05/2010,"33 Osprey Avenue, Templeogue",Dublin,499000.0,No,Templeogue,Dublin 6W,q3,60%
