date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
11/01/2010,"73 College Park, Terenure",Dublin,131250.0,No,Terenure,Dublin 6W,q1,10%
15/01/2010,"3 Glenmurray Park, Terenure, Dublin 6 W",Dublin,462000.0,No,Terenure,Dublin 6W,q3,60%
29/01/2010,"14 College Square, Wainsfort Manor Drive, Terenure",Dublin,704846.0,Yes,Terenure,Dublin 6W,q4,90%
12/02/2010,"16 Temple Hill, Terenure Road West, Terenure",Dublin,240000.0,No,Terenure,Dublin 6W,q1,20%
16/02/2010,"152 Corrib Road, Terenure, Dublin 6W",Dublin,355000.0,No,Terenure,Dublin 6W,q2,40%
18/02/2010,"17 Hazelbrook Court, Terenure",Dublin,363000.0,No,Terenure,Dublin 6W,q2,40%
18/02/2010,"18 Ashfield Park, Terenure",Dublin,500000.0,No,Terenure,Dublin 6W,q3,60%
19/02/2010,"137 Corrib Road, Terenure, Dublin 6W",Dublin,315000.0,No,Terenure,Dublin 6W,q1,30%
23/02/2010,"Apt 15 Priory Hall, Manor Grove, Terenure",Dublin,258500.0,No,Terenure,Dublin 6W,q1,20%
26/02/2010,"9 Fergus Road, Terenure",Dublin,490000.0,No,Terenure,Dublin 6W,q3,60%
01/03/2010,"100 Corrib Road, Terenure",Dublin,298000.0,No,Terenure,Dublin 6W,q1,30%
02/03/2010,"Apartment 36, Cremorne, Terenure",Dublin,245000.0,No,Terenure,Dublin 6W,q1,20%
11/03/2010,"52 College Square, Wainsfort Manor Drive, Terenure",Dublin,771233.48,Yes,Terenure,Dublin 6W,q4,90%
26/03/2010,"Apt 4 The Grange, Laurel Place, Terenure",Dublin,337500.0,Yes,Terenure,Dublin 6W,q2,30%
31/03/2010,"2 Wainsfort Manor Grove, Terenure, Dublin",Dublin,340000.0,No,Terenure,Dublin 6W,q2,30%
09/04/2010,"104 Parkmore Drive, Terenure, Dublin 6W",Dublin,490000.0,No,Terenure,Dublin 6W,q3,60%
15/04/2010,"44 St. Enda'S Road, Terenure",Dublin,245000.0,No,Terenure,Dublin 6W,q1,20%
16/04/2010,"3 Fortfield Road, Terenure",Dublin,470000.0,No,Terenure,Dublin 6W,q3,60%
20/04/2010,"19 Fortfield Road, Terenure",Dublin,380000.0,No,Terenure,Dublin 6W,q2,40%
30/04/2010,"7 Ashfield Park, Terenure",Dublin,460000.0,No,Terenure,Dublin 6W,q3,60%
30/04/2010,"7 Limekiln Drive, Terenure",Dublin,425000.0,No,Terenure,Dublin 6W,q2,50%
05/05/2010,"35  The Courtyard, Fortfield Square, Terenure",Dublin,300000.0,Yes,Terenure,Dublin 6W,q1,30%
06/05/2010,"42  Templeville Road, Terenure, Dublin 6",Dublin,520000.0,No,Terenure,Dublin 6W,q3,60%
13/05/2010,"24 Temple Hill, Terenure Road West, Terenure",Dublin,245000.0,No,Terenure,Dublin 6W,q1,20%
14/05/2010,"154 Corrib Road, Terenure",Dublin,334500.0,No,Terenure,Dublin 6W,q2,30%
