date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
16/02/2010,"22 Blackthorn Hall, Ticknock Hill",Dublin,273000.0,No,Ticknock,Dublin 18,q2,50%
04/10/2011,"15 Ticknock Dale, Tichnock Hill, Sandyfird",Dublin,300000.0,No,Ticknock,Dublin 18,q4,90%
15/05/2015,"13 Blackthorn Hall, Ticknock Hill, Blackglen Rd Dublin 18",Dublin,272000.0,No,Ticknock,Dublin 18,q2,40%
21/07/2015,"6 Oldfield Hall, Ticknock, Blackglen Rd Dublin 18",Dublin,244500.0,No,Ticknock,Dublin 18,q2,30%
24/11/2015,"21 Sorrell Hall, Ticknock Hill Sandyford, Dublin 18",Dublin,237500.0,No,Ticknock,Dublin 18,q1,10%
19/08/2016,"Apt 2 Ticknock Park, Ticknock Hill Sandyford, Dublin",Dublin,241000.0,No,Ticknock,Dublin 18,q1,20%
21/09/2016,"14 Woodside Hall, Ticknock Hill, Ticknock Dublin 18",Dublin,231200.0,No,Ticknock,Dublin 18,q1,10%
23/03/2017,"19 Sorrell Hall, Ticknock, Dublin 18",Dublin,290000.0,No,Ticknock,Dublin 18,q3,70%
06/07/2017,"9 Woodside Hall, Ticknock Hill, Blackglen Rd Dublin 18",Dublin,275000.0,No,Ticknock,Dublin 18,q3,60%
27/09/2017,"15 Corrig Hall, Ticknock Hill, Blackglen Rd Dublin 18",Dublin,290000.0,No,Ticknock,Dublin 18,q3,80%
31/05/2019,"18 Blackthorn Hall, Ticknock Hill, Dublin 18",Dublin,325000.0,No,Ticknock,Dublin 18,q4,100%
08/10/2019,"11 Woodside Hall, Ticknock Hill, Dublin 18",Dublin,300000.0,No,Ticknock,Dublin 18,q4,100%
