date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
27/01/2010,"4 Bishops Orchard, Tyrrelstown, Dublin 15",Dublin,152000.0,No,Tyrrelstown,Dublin 15,q1,20%
04/02/2010,"17 Mount Garrett Park, Tyrrelstown",Dublin,257500.0,No,Tyrrelstown,Dublin 15,q4,90%
05/02/2010,"6 Curragh Hall, Tyrrelstown",Dublin,216000.0,No,Tyrrelstown,Dublin 15,q2,50%
10/02/2010,"12 Ballentree Avenue, Tyrrelstown, Dublin 15",Dublin,110000.0,No,Tyrrelstown,Dublin 15,q1,10%
22/02/2010,"4 Cruise Park Court, Cruise Park, Tyrrelstown",Dublin,290000.0,Yes,Tyrrelstown,Dublin 15,q4,100%
23/02/2010,"Site No. 1 Cruise Park Avenue, Tyrrelstown",Dublin,220532.31,Yes,Tyrrelstown,Dublin 15,q3,70%
09/03/2010,"4 Bealing Walk, Tyrrelstown, Dublin 15",Dublin,250000.0,No,Tyrrelstown,Dublin 15,q4,90%
19/03/2010,"107 Cruise Park Drive, Tyrrelstown",Dublin,255000.0,Yes,Tyrrelstown,Dublin 15,q4,90%
19/03/2010,"33 Cruise Park Avenue, Tyrrelstown",Dublin,187000.0,No,Tyrrelstown,Dublin 15,q2,30%
26/03/2010,"267 The Boulevard, Mount Eustace, Tyrrelstown",Dublin,215000.0,No,Tyrrelstown,Dublin 15,q2,50%
01/04/2010,"105 Cruise Park Drive, Tyrrelstown, Dublin 15",Dublin,310000.0,Yes,Tyrrelstown,Dublin 15,q4,100%
08/04/2010,"10 Mount Eustace Park, Tyrrelstown, Dublin 15",Dublin,238000.0,No,Tyrrelstown,Dublin 15,q4,80%
04/05/2010,"17 Bishops Orchard, Tyrrelstown",Dublin,247500.0,No,Tyrrelstown,Dublin 15,q4,90%
10/05/2010,"6 Cruise Park Avenue, Cruise Park, Tyrrelstown",Dublin,249000.0,Yes,Tyrrelstown,Dublin 15,q4,90%
09/06/2010,"11 Cruise Park Walk, Cruise Park, Tyrrelstown",Dublin,235000.0,Yes,Tyrrelstown,Dublin 15,q3,80%
02/07/2010,"11 Cruise Park Rise, Tyrrelstown",Dublin,244000.0,Yes,Tyrrelstown,Dublin 15,q4,80%
19/07/2010,"107 The Boulevard, Mount Eustace, Tyrrelstown",Dublin,205000.0,No,Tyrrelstown,Dublin 15,q2,40%
12/08/2010,"10 The Boulevard, Cruise Park, Tyrrelstown",Dublin,202643.0,Yes,Tyrrelstown,Dublin 15,q2,40%
30/08/2010,"8 The Bouevard, Cruise Park, Tyrrelstown",Dublin,235000.0,Yes,Tyrrelstown,Dublin 15,q3,80%
03/09/2010,"7 Mount Garrett Avenue, Tyrrelstown",Dublin,265000.0,No,Tyrrelstown,Dublin 15,q4,90%
10/11/2010,"3 Cruise Park Walk, Tyrrelstown, Dublin 15",Dublin,200000.0,Yes,Tyrrelstown,Dublin 15,q2,40%
02/12/2010,"20 Cruise Park Court, Cruise Park, Tyrrelstown",Dublin,220000.0,Yes,Tyrrelstown,Dublin 15,q2,50%
21/12/2010,"205 Cruise Park Drive, Cruise Park, Tyrrelstown",Dublin,132158.0,Yes,Tyrrelstown,Dublin 15,q1,10%
21/12/2010,"207 Cruise Park Drive, Cruise Park, Tyrrelstown",Dublin,132158.0,Yes,Tyrrelstown,Dublin 15,q1,10%
21/12/2010,"213 Cruise Park Drive, Cruise Park, Tyrrelstown",Dublin,132158.0,Yes,Tyrrelstown,Dublin 15,q1,10%
21/12/2010,"217 Cruise Park Drive, Cruise Park, Tyrrelstown",Dublin,132158.0,Yes,Tyrrelstown,Dublin 15,q1,10%
21/01/2011,"24 Ballentree Crescent, Tyrrelstown",Dublin,165000.0,No,Tyrrelstown,Dublin 15,q1,20%
28/01/2011,"24 Mount Garrett Rise, Tyrrelstown, Dublin 15",Dublin,158000.0,No,Tyrrelstown,Dublin 15,q1,20%
20/04/2011,"1 Curragh Hall Drive, Tyrrelstown, Dublin 15",Dublin,165000.0,No,Tyrrelstown,Dublin 15,q1,20%
29/04/2011,"109 Cruise Park Drive, Tyrrelstown",Dublin,220000.0,Yes,Tyrrelstown,Dublin 15,q2,50%
11/05/2011,"8 Curragh Hall Lodge, Tyrrelstown",Dublin,130000.0,No,Tyrrelstown,Dublin 15,q1,10%
27/05/2011,"12 Mount Eustace Park, Tyrrelstown",Dublin,183000.0,No,Tyrrelstown,Dublin 15,q2,30%
30/05/2011,"15 Cruise Park Avenue, Tyrrelstown, Dublin 15",Dublin,194000.0,Yes,Tyrrelstown,Dublin 15,q2,40%
11/07/2011,"32 The Boulevard, Mount Garrett, Tyrrelstown",Dublin,173375.0,No,Tyrrelstown,Dublin 15,q1,30%
23/09/2011,"66 The Boulevard, The Bellgree, Tyrrelstown",Dublin,180000.0,No,Tyrrelstown,Dublin 15,q1,30%
01/11/2011,"16 Gazelle Lane, Tyrrelstown",Dublin,145000.0,No,Tyrrelstown,Dublin 15,q1,20%
09/11/2011,"13 Ballentree Crescent, Tyrrelstown",Dublin,145000.0,No,Tyrrelstown,Dublin 15,q1,20%
16/11/2011,"10 Mount Garrett Avenue, Tyrrelstown",Dublin,112000.0,No,Tyrrelstown,Dublin 15,q1,10%
18/11/2011,"44 The Boulevard, The Bellgree, Tyrrelstown",Dublin,167000.0,No,Tyrrelstown,Dublin 15,q1,20%
24/01/2012,"3 Cruise Park Court, Tyrrelstown",Dublin,132158.59,Yes,Tyrrelstown,Dublin 15,q1,10%
24/01/2012,"5 Cruise Park Court, Tyrrelstown",Dublin,132158.59,Yes,Tyrrelstown,Dublin 15,q1,10%
24/01/2012,"93 Cruise Park Drive, Tyrrelstown",Dublin,132158.59,Yes,Tyrrelstown,Dublin 15,q1,10%
31/01/2012,"4 Mount Eustace Drive, Tyrrelstown, Dublin",Dublin,142500.0,No,Tyrrelstown,Dublin 15,q1,10%
05/03/2012,"16 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"221, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"223, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"225, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"227, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"229, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"231, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"233, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"235, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q2,50%
05/03/2012,"237, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"239, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"23, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"241, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"245, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"247, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"249, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"251, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"253, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"255, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"257, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"259, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"261, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"265, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"26, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"28, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"29, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"32, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"34 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"34, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"36 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"36, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"40 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"42 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"44 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"45, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"46 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"48 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"51, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"52 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"53, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"54 The Boulevard, Cruise Park, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"59, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"61, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"63, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,60%
05/03/2012,"69, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,70%
05/03/2012,"6, Rathmore Crescent, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,70%
05/03/2012,"71, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,70%
05/03/2012,"73, Cruise Park Drive, Tyrrelstown",Dublin,220264.31,Yes,Tyrrelstown,Dublin 15,q3,70%
05/03/2012,"79, Cruise Park Drive, Tyrrelstown",Dublin,224264.31,Yes,Tyrrelstown,Dublin 15,q3,70%
