date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
03/03/2010,"Apartment No. 8, Mellowes Quay, Ushers Quay",Dublin,185000.0,Yes,Ushers Quay,Dublin 8,q3,60%
25/03/2010,"32 Traders Wharf, Ushers Quay, Dublin 8",Dublin,106000.0,No,Ushers Quay,Dublin 8,q1,20%
16/07/2010,"Apartment 148, Viking Harbour, Ushers Quay",Dublin,100000.0,No,Ushers Quay,Dublin 8,q1,10%
22/12/2010,"Apartment 7, 34 Ushers Quay, Dublin 8",Dublin,220000.0,Yes,Ushers Quay,Dublin 8,q3,80%
12/01/2011,"Apartment 5, 34 Ushers Quay",Dublin,230000.0,No,Ushers Quay,Dublin 8,q4,80%
31/01/2011,"Apartment 1, 34 Ushers Quay",Dublin,210000.0,No,Ushers Quay,Dublin 8,q3,70%
06/07/2011,"73 Mellowes Quay, Ushers Quay, Dublin",Dublin,193832.0,Yes,Ushers Quay,Dublin 8,q3,60%
22/12/2011,"Apt 3, 34 Ushers Quay, Dublin 8",Dublin,135000.0,No,Ushers Quay,Dublin 8,q1,30%
22/12/2011,"Apt 6, 34 Ushers Quay",Dublin,135000.0,No,Ushers Quay,Dublin 8,q2,30%
30/03/2012,"Apartment 4, 34 Ushers Quay, Dublin 2",Dublin,153000.0,No,Ushers Quay,Dublin 8,q2,40%
30/03/2012,"Apartment 8, 34 Ushers Quay",Dublin,167000.0,No,Ushers Quay,Dublin 8,q2,50%
25/03/2013,"Apt 73 Block A, Mellowes Qiay, Ushers Quay",Dublin,132000.0,No,Ushers Quay,Dublin 8,q1,30%
06/08/2013,"Apartment 11, 6 Ushers Quay",Dublin,95000.0,No,Ushers Quay,Dublin 8,q1,10%
24/09/2013,"Apartment 19 Traders Wharf, Ushers Quay, Dublin 8",Dublin,150000.0,No,Ushers Quay,Dublin 8,q2,30%
18/03/2014,"42 Traders Wharf, Ushers Quay, Dublin 8",Dublin,110000.0,No,Ushers Quay,Dublin 8,q1,20%
28/04/2014,"13 Ushers Quay, Mellowes Quay, Dublin 8",Dublin,130000.0,No,Ushers Quay,Dublin 8,q1,20%
18/07/2014,"2, 34 Ushers Quay, Dublin",Dublin,180000.0,No,Ushers Quay,Dublin 8,q2,50%
22/08/2014,"Apt 30, Traders Wharf, Ushers Quay Dublin 8",Dublin,91000.0,No,Ushers Quay,Dublin 8,q1,10%
09/09/2014,"Apt 6, 6 Ushers Quay, Dublin 8",Dublin,137000.0,No,Ushers Quay,Dublin 8,q2,30%
22/12/2014,"26 Viking Harbour, Ushers Quay",Dublin,160299.0,No,Ushers Quay,Dublin 8,q2,40%
02/02/2015,"Apt 5, 6 Ushers Quay, Dublin 8",Dublin,105000.0,No,Ushers Quay,Dublin 8,q1,10%
08/07/2015,"76 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,215000.0,No,Ushers Quay,Dublin 8,q3,80%
24/09/2015,"6 Ushers Quay, Apt 21, Dublin 8",Dublin,127500.0,No,Ushers Quay,Dublin 8,q1,20%
08/10/2015,"12 Emmet Place, Ushers Quay, Dublin 8",Dublin,180000.0,No,Ushers Quay,Dublin 8,q2,50%
07/12/2015,"113 Viking Harbour Apts, Ushers Quay, Dublin 8",Dublin,128000.0,No,Ushers Quay,Dublin 8,q1,20%
24/08/2016,"Apartment 2, 6 Ushers Quay, Dublin 8",Dublin,155500.0,No,Ushers Quay,Dublin 8,q2,40%
03/10/2016,"Apt 82 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,278000.0,No,Ushers Quay,Dublin 8,q4,100%
20/04/2017,"113 Viking Harbour Apts, Ushers Quay, Dublin 8",Dublin,182000.0,No,Ushers Quay,Dublin 8,q2,50%
26/04/2017,"Apt 25, 6 Ushers Quay, Dublin 8",Dublin,195000.0,No,Ushers Quay,Dublin 8,q3,60%
04/05/2017,"Apt 69 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,186000.0,No,Ushers Quay,Dublin 8,q3,60%
27/10/2017,"Apt 20, Six Ushers Quay, Dublin 8",Dublin,206000.0,No,Ushers Quay,Dublin 8,q3,70%
31/10/2017,"4 Viking Harbour Apts, Ushers Quay, Dublin 8",Dublin,163000.0,No,Ushers Quay,Dublin 8,q2,40%
09/11/2017,"Apt 4, 6 Ushers Quay, Dublin 8",Dublin,180000.0,No,Ushers Quay,Dublin 8,q2,50%
22/12/2017,"68  Mellows Quay, Ushers Quay, Dublin 8",Dublin,248458.15,Yes,Ushers Quay,Dublin 8,q4,90%
19/01/2018,"19 Traders Wharf, Ushers Quay, Dublin 8",Dublin,309000.0,No,Ushers Quay,Dublin 8,q4,100%
19/01/2018,"66 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,235991.19,Yes,Ushers Quay,Dublin 8,q4,90%
20/03/2018,"83 Mellows Quay, Ushers Quay, Dublin 8",Dublin,193738.0,No,Ushers Quay,Dublin 8,q3,60%
10/08/2018,"30 Joyce House, Viking Harbour, Ushers Quay",Dublin,215000.0,No,Ushers Quay,Dublin 8,q3,80%
13/09/2018,"4 Viking Harbour Apts, Ushers Quay, Dublin 8",Dublin,212000.0,No,Ushers Quay,Dublin 8,q3,70%
26/10/2018,"Apt 3, 34 Ushers Quay, Dublin 8",Dublin,437500.0,No,Ushers Quay,Dublin 8,q4,100%
06/12/2018,"16 Traders Wharf, Ushers Quay, Dublin 8",Dublin,231000.0,No,Ushers Quay,Dublin 8,q4,80%
11/12/2018,"8 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,250000.0,No,Ushers Quay,Dublin 8,q4,90%
13/12/2018,"13 Ushers Quay, Mellowes Quay, Dublin 8",Dublin,265000.0,No,Ushers Quay,Dublin 8,q4,90%
15/02/2019,"Apt 26, 6 Ushers Quay, Dublin 8",Dublin,195000.0,No,Ushers Quay,Dublin 8,q3,70%
12/04/2019,"24 Mellowes Quay, Ushers Quay, Dublin 8",Dublin,480000.0,No,Ushers Quay,Dublin 8,q4,100%
11/06/2019,"122 Viking Harbour Apts, Ushers Quay, Dublin 8",Dublin,96667.0,No,Ushers Quay,Dublin 8,q1,10%
11/06/2019,"Apt 1, 34 Ushers Quay, Dublin 8",Dublin,425000.0,No,Ushers Quay,Dublin 8,q4,100%
06/09/2019,"Apartment 64, Mellowes Quay Block F, 35-39 Ushers Quay",Dublin,265000.0,No,Ushers Quay,Dublin 8,q4,90%
