date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/01/2010,"9 Temple Manor Drive, Walkinstown, Dublin 12",Dublin,300000.0,No,Walkinstown,Dublin 12,q3,60%
08/01/2010,"109 Dowland Road, Walkinstown",Dublin,251000.0,No,Walkinstown,Dublin 12,q2,50%
18/01/2010,"8 Kilmashogue Grove, Greenpark, Walkinstown",Dublin,310000.0,No,Walkinstown,Dublin 12,q3,70%
28/01/2010,"5  Walkinstown Crescent, Walkinstown, Dublin 12",Dublin,220000.0,No,Walkinstown,Dublin 12,q2,40%
29/01/2010,"120 Walkinstown Road, Walkinstown, Dublin 12",Dublin,305000.0,No,Walkinstown,Dublin 12,q3,70%
01/02/2010,"46 Thomas Moore Road, Walkinstown, Dublin 12",Dublin,215000.0,No,Walkinstown,Dublin 12,q2,30%
10/02/2010,"85 Walkinstown Avenue, Walkinstown",Dublin,192500.0,No,Walkinstown,Dublin 12,q1,30%
15/02/2010,"4 Stanford Green, Walkinstown",Dublin,270000.0,No,Walkinstown,Dublin 12,q2,50%
16/02/2010,"33A, Walkinstown Green, Walkinstown",Dublin,250000.0,No,Walkinstown,Dublin 12,q2,50%
26/02/2010,"35 St Mary'S Park, Walkinstown, Dublin 12",Dublin,265000.0,No,Walkinstown,Dublin 12,q2,50%
26/02/2010,"53 O'Brien Road, Walkinstown",Dublin,167000.0,No,Walkinstown,Dublin 12,q1,20%
02/03/2010,"83 Beechfield Road, Walkinstown, Dublin 12",Dublin,295000.0,No,Walkinstown,Dublin 12,q3,60%
30/03/2010,"16 Limekiln Avenue, Walkinstown",Dublin,246000.0,No,Walkinstown,Dublin 12,q2,40%
30/03/2010,"20 Cherryfield Drive, Walkinstown",Dublin,300000.0,No,Walkinstown,Dublin 12,q3,60%
31/03/2010,"61 Limekiln Road, Walkinstown",Dublin,268000.0,No,Walkinstown,Dublin 12,q2,50%
09/04/2010,"5 Cherry Grove, Walkinstown, .",Dublin,310000.0,No,Walkinstown,Dublin 12,q3,70%
16/04/2010,"4B Keadeen Avenue, Greenpark, Walkinstown",Dublin,350000.0,No,Walkinstown,Dublin 12,q4,80%
19/04/2010,"6 Tonduff Close, Greenpark, Walkinstown",Dublin,340000.0,No,Walkinstown,Dublin 12,q3,80%
29/04/2010,"14 Wallace Road, Walkinstown",Dublin,245000.0,No,Walkinstown,Dublin 12,q2,40%
05/05/2010,"60 Walkinstown Road, Walkinstown",Dublin,330000.0,No,Walkinstown,Dublin 12,q3,80%
13/05/2010,"2 Percy French Road, Walkinstown, Dublin 12",Dublin,255000.0,No,Walkinstown,Dublin 12,q2,50%
18/05/2010,"46 Beechfield Road, Walkinstown, Dublin 12",Dublin,322500.0,No,Walkinstown,Dublin 12,q3,70%
19/05/2010,"58  Beechfield Road, Walkinstown, Dublin 12",Dublin,300000.0,No,Walkinstown,Dublin 12,q3,60%
21/05/2010,"1 St Conleth'S Road, Walkinstown, Dublin 12",Dublin,270000.0,No,Walkinstown,Dublin 12,q2,50%
21/05/2010,"139 Limekiln Road, Walkinstown",Dublin,238500.0,No,Walkinstown,Dublin 12,q2,40%
02/06/2010,"149 Walkinstown Avenue, Walkinstown",Dublin,210000.0,No,Walkinstown,Dublin 12,q2,30%
04/06/2010,"105 Thomas Moore Road, Walkinstown",Dublin,172500.0,No,Walkinstown,Dublin 12,q1,20%
09/06/2010,"41 Cromwellsfort  Road, Walkinstown, Dublin",Dublin,300000.0,No,Walkinstown,Dublin 12,q3,60%
11/06/2010,"24 Hardebeck Avenue, Walkinstown, Dublin 12",Dublin,230000.0,No,Walkinstown,Dublin 12,q2,40%
