date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
05/02/2010,"180 Collins Avenue, Whitehall, Dublin 9",Dublin,330000.0,No,Whitehall,Dublin 9,q3,60%
09/02/2010,"61 Thatch Road, Whitehall, Dublin 9",Dublin,295000.0,No,Whitehall,Dublin 9,q2,50%
26/02/2010,"22 Iveleary Road, Whitehall, Dublin 9",Dublin,305000.0,No,Whitehall,Dublin 9,q2,50%
05/03/2010,"135 Iceragh Road, Whitehall",Dublin,397125.0,No,Whitehall,Dublin 9,q3,80%
10/03/2010,"653 Collins Avenue, Whitehall, Dublin 9",Dublin,10000.0,No,Whitehall,Dublin 9,q1,10%
24/03/2010,"12  Glenshesk Road, Whitehall, Dublin",Dublin,230000.0,No,Whitehall,Dublin 9,q1,30%
01/04/2010,"34 Crestfield Avenue, Whitehall, Dublin 9",Dublin,330000.0,No,Whitehall,Dublin 9,q3,60%
14/04/2010,"17 Iveleary Road, Whitehall",Dublin,310000.0,No,Whitehall,Dublin 9,q2,50%
19/04/2010,"74 Glenshesk Road, Whitehall",Dublin,150000.0,No,Whitehall,Dublin 9,q1,10%
28/04/2010,"31 Celtic Park Road, Whitehall, Dublin 9",Dublin,335000.0,No,Whitehall,Dublin 9,q3,60%
13/05/2010,"31 Crestfield Avenue, Whitehall",Dublin,275000.0,No,Whitehall,Dublin 9,q2,40%
01/06/2010,"27 Celtic Park Road, Off Collins Avenue, Whitehall",Dublin,305000.0,No,Whitehall,Dublin 9,q2,50%
09/06/2010,"83 Annadale Drive, Whitehall, Dublin 9",Dublin,315000.0,No,Whitehall,Dublin 9,q3,60%
24/06/2010,"98  Iveragh Road, Whitehall, Dublin 9",Dublin,363000.0,No,Whitehall,Dublin 9,q3,70%
28/06/2010,"80 Collins West, Whitehall",Dublin,275000.0,No,Whitehall,Dublin 9,q2,40%
01/07/2010,"122 Larkhill Road, Whitehall, Dublin 9",Dublin,220000.0,No,Whitehall,Dublin 9,q1,30%
26/07/2010,"41 Glencloy Road, Whitehall",Dublin,194000.0,No,Whitehall,Dublin 9,q1,20%
27/07/2010,"8 Ellenfield Road, Whitehall",Dublin,250000.0,No,Whitehall,Dublin 9,q2,30%
30/07/2010,"228 Collins Avenue, West, Whitehall",Dublin,497500.0,No,Whitehall,Dublin 9,q4,90%
30/07/2010,"580 Collins Avenue, Whitehall, Dublin 9",Dublin,358000.0,No,Whitehall,Dublin 9,q3,70%
04/08/2010,"120 Collins Park, Whitehall",Dublin,357000.0,No,Whitehall,Dublin 9,q3,70%
09/08/2010,"481 Collins Avenue, Whitehall, Dublin 9",Dublin,267500.0,No,Whitehall,Dublin 9,q2,40%
31/08/2010,"83 Thatch Road, Whitehall, Dublin",Dublin,240000.0,No,Whitehall,Dublin 9,q2,30%
06/09/2010,"103 Collins Park, Whitehall",Dublin,275000.0,No,Whitehall,Dublin 9,q2,40%
20/09/2010,"87 Thatch Road, Whitehall",Dublin,200000.0,No,Whitehall,Dublin 9,q1,20%
21/09/2010,"31 Yellow Road, Whitehall, Dublin 9",Dublin,259000.0,No,Whitehall,Dublin 9,q2,40%
22/09/2010,"17 Shanboley Road, Whitehall",Dublin,228000.0,No,Whitehall,Dublin 9,q1,30%
22/09/2010,"222 Larkhill Road, Whitehall",Dublin,210000.0,No,Whitehall,Dublin 9,q1,20%
05/10/2010,"43 Yellow Road, Whitehall",Dublin,195000.0,No,Whitehall,Dublin 9,q1,20%
10/11/2010,"19 Crestfield Avenue, Whitehall",Dublin,272000.0,No,Whitehall,Dublin 9,q2,40%
10/11/2010,"71 Donnycarney Road, Whitehall, Dubin 9",Dublin,210000.0,No,Whitehall,Dublin 9,q1,20%
12/11/2010,"114 Larkhill Road, Whitehall",Dublin,221500.0,No,Whitehall,Dublin 9,q1,30%
19/11/2010,"51 Glentow Road, Whitehall, Dublin 9",Dublin,180000.0,No,Whitehall,Dublin 9,q1,20%
26/11/2010,"2 The Cova, Whitehall Road",Dublin,330000.0,No,Whitehall,Dublin 9,q3,60%
01/12/2010,"248 Collins Avenue West, Whitehall",Dublin,345000.0,No,Whitehall,Dublin 9,q3,70%
03/12/2010,"4 Crestfield Drive, Whitehall",Dublin,275604.0,No,Whitehall,Dublin 9,q2,40%
09/12/2010,"34 Glenaan Road, Whitehall, Dublin 9",Dublin,187000.0,No,Whitehall,Dublin 9,q1,20%
16/12/2010,"31 Glencloy Road, Whitehall",Dublin,195000.0,No,Whitehall,Dublin 9,q1,20%
16/12/2010,"53 Annadale Drive, Whitehall, Dublin 9",Dublin,260000.0,No,Whitehall,Dublin 9,q2,40%
20/12/2010,"63 Glenshesk, Whitehall",Dublin,200000.0,No,Whitehall,Dublin 9,q1,20%
21/12/2010,"19 Glentow Road, Whitehall",Dublin,230000.0,No,Whitehall,Dublin 9,q1,30%
21/12/2010,"209 Larkhill Road, Whitehall, Dublin 9",Dublin,190000.0,No,Whitehall,Dublin 9,q1,20%
17/01/2011,"26 Whitehall Park, Terenure",Dublin,280000.0,No,Whitehall,Dublin 9,q2,40%
21/02/2011,"35 Thatch Road, Whitehall",Dublin,176000.0,No,Whitehall,Dublin 9,q1,20%
22/02/2011,"85 Glencloy Road, Whitehall",Dublin,150000.0,No,Whitehall,Dublin 9,q1,10%
01/03/2011,"43 Priory Way, Whitehall Road, Kimmage",Dublin,372000.0,No,Whitehall,Dublin 9,q3,70%
16/03/2011,"151 Beaumont Road, Whitehall, Dublin 9",Dublin,215000.0,No,Whitehall,Dublin 9,q1,30%
26/04/2011,"242 Collins Avenue West, Whitehall",Dublin,365000.0,No,Whitehall,Dublin 9,q3,70%
20/05/2011,"451 Collins Avenue, Whitehall",Dublin,300000.0,No,Whitehall,Dublin 9,q2,50%
01/06/2011,"133 Collins Park, Whitehall, Dublin 9",Dublin,260000.0,No,Whitehall,Dublin 9,q2,40%
16/06/2011,"45 Glencloy Road, Whitehall, Dublin 9",Dublin,155000.0,No,Whitehall,Dublin 9,q1,10%
17/06/2011,"47 Glenshesk Road, Whitehall, Dublin 9",Dublin,269000.0,No,Whitehall,Dublin 9,q2,40%
21/06/2011,"78 Yellow Road, Whitehall",Dublin,150000.0,No,Whitehall,Dublin 9,q1,10%
05/07/2011,"175 Collins Avenue West, Whitehall",Dublin,360000.0,No,Whitehall,Dublin 9,q3,70%
08/07/2011,"90 Iveragh Gardens, Whitehall",Dublin,316000.0,No,Whitehall,Dublin 9,q3,60%
05/08/2011,"22 Larkhill Road, Whitehall, Dublin 9",Dublin,180000.0,No,Whitehall,Dublin 9,q1,20%
11/08/2011,"54 The Thatch Road, Whitehall",Dublin,168000.0,No,Whitehall,Dublin 9,q1,20%
12/08/2011,"94A, Iveragh Road, Whitehall Dublin 9",Dublin,420000.0,No,Whitehall,Dublin 9,q4,80%
22/08/2011,"77 Collins Avenue West, Whitehall, Dublin 9",Dublin,295000.0,No,Whitehall,Dublin 9,q2,50%
06/09/2011,"7 Whitehall Square, Quarry Drive",Dublin,120000.0,No,Whitehall,Dublin 9,q1,10%
15/09/2011,"252 Larkhill Road, Whitehall",Dublin,77500.0,No,Whitehall,Dublin 9,q1,10%
27/09/2011,"30 Crestfield Avenue, Whitehall",Dublin,118000.0,No,Whitehall,Dublin 9,q1,10%
29/09/2011,"484 Collins Ave, Whitehall, Dublin",Dublin,200000.0,No,Whitehall,Dublin 9,q1,20%
21/10/2011,"536 Collins Avenue, Whitehall",Dublin,210000.0,No,Whitehall,Dublin 9,q1,20%
11/11/2011,"82 Thatch Road, Whitehall",Dublin,130000.0,No,Whitehall,Dublin 9,q1,10%
12/12/2011,"78 Thatch Road, Whitehall, Dublin 9",Dublin,185000.0,No,Whitehall,Dublin 9,q1,20%
13/12/2011,"109 Collins Avenue West, Whitehall",Dublin,199000.0,No,Whitehall,Dublin 9,q1,20%
03/02/2012,"275 Collins Avenue, Whitehall",Dublin,285500.0,No,Whitehall,Dublin 9,q2,50%
14/02/2012,"35 Glendun Road, Whitehall",Dublin,147000.0,No,Whitehall,Dublin 9,q1,10%
24/02/2012,"56 Glencloy Road, Whitehall, Dublin 9",Dublin,138000.0,No,Whitehall,Dublin 9,q1,10%
29/02/2012,"45 Shanglass Road, Whitehall, Dublin9",Dublin,212000.0,No,Whitehall,Dublin 9,q1,30%
14/03/2012,"147 Iveragh, Whitehall, Dublin 7",Dublin,250000.0,No,Whitehall,Dublin 9,q2,30%
16/03/2012,"266 Collins Ave, Whitehall",Dublin,291000.0,No,Whitehall,Dublin 9,q2,50%
30/03/2012,"91 Iveragh Road, Whitehall, Dublin 9",Dublin,200000.0,No,Whitehall,Dublin 9,q1,20%
19/04/2012,"43 Glenaan Road, Whitehall, Dublin 9",Dublin,137000.0,No,Whitehall,Dublin 9,q1,10%
20/04/2012,"44 Glentow Road, Whitehall, Dublin 9",Dublin,125000.0,No,Whitehall,Dublin 9,q1,10%
03/05/2012,"47 Glenaan Rd, Whitehall, Dublin 9",Dublin,132000.0,No,Whitehall,Dublin 9,q1,10%
08/05/2012,"74 Thatch Road, Whitehall",Dublin,145000.0,No,Whitehall,Dublin 9,q1,10%
08/06/2012,"3A Wellington Court, Off Whitehall Road",Dublin,85000.0,No,Whitehall,Dublin 9,q1,10%
