date_of_sale,address,county,price,vat_exclusive,town,area_code,quartile_bins,decile_bins
22/03/2013,"2 Farrenboley Cottages, Windy Arbour, Milltown",Dublin,278000.0,No,Windy Arbour,Dublin 14,q1,20%
30/05/2014,"3 Olivemount, Windy Arbour, Dublin 14",Dublin,100000.0,No,Windy Arbour,Dublin 14,q1,10%
02/12/2014,"7 St Gall Gardens North, Windy Arbour, Milltown Dublin 14",Dublin,342500.0,No,Windy Arbour,Dublin 14,q2,40%
05/02/2015,"2 Millmount Grove, Windy Arbour, Dublin 14",Dublin,295000.0,No,Windy Arbour,Dublin 14,q1,30%
08/05/2015,"59 St Columbanus Rd, Windy Arbour, Dublin 14",Dublin,367500.0,No,Windy Arbour,Dublin 14,q2,50%
13/07/2015,"1 Farrenboley Cottages, Windy Arbour, Dublin 14",Dublin,485000.0,No,Windy Arbour,Dublin 14,q3,80%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,324585.0,No,Windy Arbour,Dublin 14,q2,30%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,474340.0,No,Windy Arbour,Dublin 14,q3,60%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,512810.0,No,Windy Arbour,Dublin 14,q4,90%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,1123265.0,No,Windy Arbour,Dublin 14,q4,100%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,367450.0,No,Windy Arbour,Dublin 14,q2,50%
02/09/2015,"7 Millmount Court, Dundrum Rd, Windy Arbour Dublin 14",Dublin,804950.0,No,Windy Arbour,Dublin 14,q4,100%
25/02/2016,"22 Carmichael Hall, Windy Arbour, Dublin 14",Dublin,218000.0,No,Windy Arbour,Dublin 14,q1,20%
13/03/2017,"36 Farrenboley Park, Windy Arbour, Milltown",Dublin,475000.0,No,Windy Arbour,Dublin 14,q3,70%
26/06/2017,"Apartment 1 Redgrey Court, Windy Arbour, Dublin 14",Dublin,150000.0,No,Windy Arbour,Dublin 14,q1,10%
02/08/2017,"24 Farrenboley Park, Windy Arbour, Dublin 14",Dublin,550000.0,No,Windy Arbour,Dublin 14,q4,90%
22/12/2017,"1 Farrenboley Cottages, Windy Arbour, Dublin 14",Dublin,500000.0,No,Windy Arbour,Dublin 14,q4,80%
17/07/2019,"145 St Columbanus Rd, Windy Arbour, Dublin 14",Dublin,455000.0,No,Windy Arbour,Dublin 14,q3,60%
