date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
04/01/2010,"13 The Drive, Chapelstown Gate, Tullow Road",Carlow,177500.0,No,Second-Hand Dwelling house /Apartment,,ChIJz7CgOmtdXUgRvLARKwNbNRE,"https://maps.googleapis.com/maps/api/geocode/json?address=13+The+Drive,+Chapelstown+Gate,+Tullow+Road,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.824999700000006,-6.895761100000001,"13 Chapelstown Gate, Tullow Road, Carlow, R93 T2F4, Ireland",R93 T2F4,ROOFTOP,South-East (IE),1019,Carlow Rural,1.2546134456197444,2.496330942783351
06/01/2010,"67 Pearse Road, Graiguecullen, Carlow",Carlow,120000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ8_JsDKlCXUgRedhVMzpUaLE,"https://maps.googleapis.com/maps/api/geocode/json?address=67+Pearse+Road,+Graiguecullen,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.840125300000004,-6.9410570000000025,"67 Pearse Rd, Graiguecullen, Carlow, R93 FX03, Ireland",R93 FX03,ROOFTOP,South-East (IE),1002,Graigue Urban,0.7762923113665614,1.2157521218561782
12/01/2010,"Haymarket, Carlow",Carlow,266000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ-fSFvaxCXUgRJ1uwO9dDc7s,"https://maps.googleapis.com/maps/api/geocode/json?address=Haymarket,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.837452299999995,-6.933377000000001,"Hay Market, Graigue, Carlow, Ireland",,GEOMETRIC_CENTER,South-East (IE),1001,Carlow Urban,0.18197899163478828,0.7878514368380861
13/01/2010,"4 Bramble Court, Tollowhill, Tullow",Carlow,158590.3,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJDYfGjnJfXUgRw5g8-RxkYes,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Bramble+Court,+Tollowhill,+Tullow,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.802800100000006,-6.7243138999999985,"4 Bramble Court, Tullowphelim, Tullow, Co. Carlow, R93 CX36, Ireland",R93 CX36,ROOFTOP,South-East (IE),1048,Tullow Urban,0.7503456349067217,13.957627590303767
14/01/2010,"Slate Row, Hacketstown",Carlow,165000.0,No,Second-Hand Dwelling house /Apartment,,ChIJzdR7IzHzZ0gRnQ5qE2HnJpk,"https://maps.googleapis.com/maps/api/geocode/json?address=Slate+Row,+Hacketstown,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.857239899999996,-6.5663597000000005,"Slate Row, Co. Carlow, Ireland",,GEOMETRIC_CENTER,South-East (IE),1004,Hacketstown,1.0363432300391155,23.97664815060883
15/01/2010,"5 John Street, Tullow",Carlow,45000.0,No,Second-Hand Dwelling house /Apartment,,ChIJo5zx3g1fXUgRNtuEUoy4nC0,"https://maps.googleapis.com/maps/api/geocode/json?address=5+John+Street,+Tullow,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.8028911,-6.7339810999999985,"5 John St, Tullowphelim, Tullow, Co. Carlow, R93 NP29, Ireland",R93 NP29,ROOFTOP,South-East (IE),1048,Tullow Urban,0.1428689305072028,13.336490033195345
20/01/2010,"465 Pollerton Big, Carlow",Carlow,116250.0,No,Second-Hand Dwelling house /Apartment,,ChIJcU3psWFdXUgRfMTnPoaifFc,"https://maps.googleapis.com/maps/api/geocode/json?address=465+Pollerton+Big,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.84360039999999,-6.9008746,"465, Pollerton Big, Carlow, R93 RY79, Ireland",R93 RY79,ROOFTOP,South-East (IE),1019,Carlow Rural,1.0606032934264742,1.4707525564452426
25/01/2010,"2 Mount Arron Wood, Ardattin Road, Tullow",Carlow,286343.61,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ6WRogRRfXUgRPySrOhME2YM,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Mount+Arron+Wood,+Ardattin+Road,+Tullow,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.7960206,-6.728734700000001,"2 Mount Aaron Wood, Mountwolseley, Tullow, Co. Carlow, R93 HT22, Ireland",R93 HT22,ROOFTOP,South-East (IE),1047,Tullow Rural,0.9137514408644416,13.926839900377505
25/01/2010,"37 The Fairways, Pollerton, Carlow",Carlow,195000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ13jXtolnXUgRRv2g2iqvv4Y,"https://maps.googleapis.com/maps/api/geocode/json?address=37+The+Fairways,+Pollerton,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.84748399999999,-6.896018400000001,"37 The Fairways, Pollerton Little, Carlow, R93 X9C9, Ireland",R93 X9C9,ROOFTOP,South-East (IE),1019,Carlow Rural,1.4979332652945794,1.9150894945804688
26/01/2010,"5 Wolseley Court, Tullow",Carlow,127000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJk9ooeBRfXUgRUdhTqgJcDmc,"https://maps.googleapis.com/maps/api/geocode/json?address=5+Wolseley+Court,+Tullow,+Carlow,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",52.79605950000001,-6.7299678,"5 Wolseley Ct, Mountwolseley, Tullow, Co. Carlow, R93 XF70, Ireland",R93 XF70,ROOFTOP,South-East (IE),1047,Tullow Rural,0.8651314273623931,13.847890205050176
