date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,electoral_district,region,electoral_district_id,bus_distance
04/01/2010,"48 Killians Court, Mullagh",Cavan,122000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJN25xHvZVZ0gRNqXuRvkSDcE,"https://maps.googleapis.com/maps/api/geocode/json?address=48+Killians+Court,+Mullagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.8117207,-6.9514321999999975,"48 Killians Ct, Rantavan, Mullagh, Co. Cavan, A82 X4Y9, Ireland",A82 X4Y9,ROOFTOP,Mullagh,Border,32010,0.21744556099296186
05/01/2010,"2. Tulach Ard, Rahardrum, Virginia",Cavan,145000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ8f19QdX9XUgRNwaQgsh1rGk,"https://maps.googleapis.com/maps/api/geocode/json?address=2.+Tulach+Ard,+Rahardrum,+Virginia,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.83403759999999,-7.0743382000000015,"Tulach Árd, Rahardrum, Dublin Road, Virginia, Co. Cavan, Ireland",,ROOFTOP,Virginia,Border,32034,0.2496024151649212
05/01/2010,"62 Ardkill Place, Ballinagh",Cavan,120000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJu0ojRGoLXkgRQeDjRcQ1vGo,"https://maps.googleapis.com/maps/api/geocode/json?address=62+Ardkill+Place,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92519660000001,-7.415033999999999,"62 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 VH63, Ireland",H12 VH63,ROOFTOP,Bellananagh,Border,32041,0.7354042709134595
07/01/2010,"40 Ardkill Place, Garrymore, Ballinagh",Cavan,114537.44,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJST15NGoLXkgRLD1yYo0iojc,"https://maps.googleapis.com/maps/api/geocode/json?address=40+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.92595679999999,-7.4142734999999975,"40 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 WC92, Ireland",H12 WC92,ROOFTOP,Bellananagh,Border,32041,0.6372674207142106
08/01/2010,"11 Shrewsbury, Kilconny, Belturbet",Cavan,135000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJCRNCeHETXkgR4HYxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Shrewsbury,+Kilconny,+Belturbet,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.10190559999999,-7.449667899999999,"Kilconny, Belturbet, Co. Cavan, Ireland",,APPROXIMATE,Belturbet Urban,Border,32042,0.005848956715348603
13/01/2010,"41 Ardkill Place, Garrymore, Ballinagh",Cavan,100000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ9U-UM2oLXkgRvFJVdQGu-TU,"https://maps.googleapis.com/maps/api/geocode/json?address=41+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9260378,-7.414358599999999,"41 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 CF89, Ireland",H12 CF89,ROOFTOP,Bellananagh,Border,32041,0.6323811370850924
15/01/2010,"35 Ardkill Place, Garrymore, Ballinagh",Cavan,120000.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJazAwSGoLXkgRXmLJhEKmgqA,"https://maps.googleapis.com/maps/api/geocode/json?address=35+Ardkill+Place,+Garrymore,+Ballinagh,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.9255909,-7.4142964,"35 Ardkill Pl, Garrymore, Ballinagh, Co. Cavan, H12 NT35, Ireland",H12 NT35,ROOFTOP,Bellananagh,Border,32041,0.6734165504530006
19/01/2010,"Kilnavara, Cavan",Cavan,190000.0,No,Second-Hand Dwelling house /Apartment,,ChIJbwxWsTkMXkgRMj_HGajHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Kilnavara,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",53.97998759999999,-7.371897300000001,"Kilnavara, Cavan, Ireland",,APPROXIMATE,Cavan Rural,Border,32048,0.8260122676056562
19/01/2010,"Lisnaclea, Cootehill",Cavan,135000.0,No,Second-Hand Dwelling house /Apartment,,ChIJKwQ9SuAcXkgRcBUyl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Lisnaclea,+Cootehill,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.0725034,-7.0823541,"Drumaveil North, Cootehill, Co. Cavan, Ireland",,APPROXIMATE,Cootehill Urban,Border,32051,0.028217699792706108
21/01/2010,"33 Castleforde, Ballyconnell",Cavan,205000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJWd14iI5rXkgREdkPYWKT_O4,"https://maps.googleapis.com/maps/api/geocode/json?address=33+Castleforde,+Ballyconnell,+Cavan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",54.11631060000001,-7.5795802,"33 Castleforde, Doon, Ballyconnell, Co. Cavan, H14 YW90, Ireland",H14 YW90,ROOFTOP,Ballyconnell,Border,32015,0.21357235573737732
