date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
04/01/2010,"11 Melville Heights, Kilkenny",Kilkenny,160000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ51te4LowXUgRbHl77j-uYDI,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Melville+Heights,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.641393799999996,-7.2336525,"11 Melville Heights, Archersgrove, Kilkenny, R95 VCP0, Ireland",R95 VCP0,ROOFTOP,South-East (IE),7050.0,Kilkenny Rural,0.4339904402861625,1.5849431567874104
12/01/2010,"41 Newtown Terrace, Thomastown, Kilkenny",Kilkenny,120000.0,No,Second-Hand Dwelling house /Apartment,,ChIJKbUrk_g0XUgRk3G2Brn-I9A,"https://maps.googleapis.com/maps/api/geocode/json?address=41+Newtown+Terrace,+Thomastown,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.5290792,-7.140668700000001,"41 Newtown Terrace, Thomastown, Co. Kilkenny, R95 H7P4, Ireland",R95 H7P4,ROOFTOP,South-East (IE),7084.0,Thomastown,0.4315810424150359,0.855366954521672
13/01/2010,"1 Bridgeview Gardens, Kilkenny",Kilkenny,250000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ93erc3U6XUgRBszHjRzGIt8,"https://maps.googleapis.com/maps/api/geocode/json?address=1+Bridgeview+Gardens,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.653702,-7.2504351,"8 John's Quay, Gardens, Kilkenny, Ireland",,ROOFTOP,South-East (IE),7002.0,Kilkenny No. 2 Urban,0.06202284478278273,0.4290304379662289
13/01/2010,"Carraigmourne, Thomastown",Kilkenny,217000.0,No,Second-Hand Dwelling house /Apartment,,ChIJSZu6NJa2QkgRSTDsCUlH2iY,"https://maps.googleapis.com/maps/api/geocode/json?address=Carraigmourne,+Thomastown,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.51112999999999,-7.107943,"Carrickmourne House,, Carrickmourne,, New Ross Road,, Thomastown, Co. Kilkenny, Ireland",,GEOMETRIC_CENTER,South-East (IE),7084.0,Thomastown,2.5685970540397207,3.082633584472688
14/01/2010,"Polerone, Mooncoin",Kilkenny,300000.0,No,Second-Hand Dwelling house /Apartment,,ChIJx11oOqjaQkgR8HLfN6nHABg,"https://maps.googleapis.com/maps/api/geocode/json?address=Polerone,+Mooncoin,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.2951134,-7.2571128,"Mooncoin, Co. Kilkenny, Ireland",,APPROXIMATE,South-East (IE),7109.0,Pollrone,0.1935441839334518,26.393488307459016
15/01/2010,"127 Ashfield East, Old Golf Links Road, Kilkenny",Kilkenny,168000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ1Z0Udxw6XUgRKneqtxEPosQ,"https://maps.googleapis.com/maps/api/geocode/json?address=127+Ashfield+East,+Old+Golf+Links+Road,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.6679872,-7.230079799999999,"127 Ashfield E, Charterschool Land, Kilkenny, R95 W8K3, Ireland",R95 W8K3,ROOFTOP,South-East (IE),7050.0,Kilkenny Rural,0.4788188972444383,1.7483549713660649
15/01/2010,"7 Westfield Drive, Outrath Road, Kilkenny",Kilkenny,153000.0,No,Second-Hand Dwelling house /Apartment,,ChIJVy8DB5YwXUgR_Rqm6PnbMGk,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Westfield+Drive,+Outrath+Road,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.63699370000001,-7.243780399999999,"7 Westfield, Loughboy, Kilkenny, R95 E3VT, Ireland",R95 E3VT,ROOFTOP,South-East (IE),7050.0,Kilkenny Rural,0.3747708976290944,1.9315179753734708
18/01/2010,"17 Whitehall, Paulstown",Kilkenny,185023.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJR8_ZJhZGXUgRENcxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Whitehall,+Paulstown,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.6813185,-7.021122099999999,"Ballytarsna, Paulstown, Co. Kilkenny, Ireland",,APPROXIMATE,South-East (IE),7058.0,Shankill,0.05191960736333257,15.286113086962516
18/01/2010,"Dreelingstown, Rathmoyce",Kilkenny,156000.0,No,Second-Hand Dwelling house /Apartment,,ChIJm_pvnG8lXUgR8oNSu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Dreelingstown,+Rathmoyce,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.6643674,-7.373451200000001,"Dreelingstown, Co. Kilkenny, Ireland",,APPROXIMATE,South-East (IE),7040.0,Ballinamara,6.11306533496189,8.792850462352671
22/01/2010,"68 Rosewood, Johnswell Road, Kilkenny",Kilkenny,200000.0,No,Second-Hand Dwelling house /Apartment,,ChIJZzDktRo6XUgRqzJQRd9qzJc,"https://maps.googleapis.com/maps/api/geocode/json?address=68+Rosewood,+Johnswell+Road,+Kilkenny,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.66458589999999,-7.234702799999999,"68 Rosewood, Newpark Upper, Kilkenny, R95 F7D1, Ireland",R95 F7D1,ROOFTOP,South-East (IE),7050.0,Kilkenny Rural,0.25696783377189064,1.2651221388533525
