date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
03/01/2010,"134 Ashewood Walk, Summerhill Lane, Portlaoise",Laois,185000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJVWFOc68NXUgRykgewEfrSgk,"https://maps.googleapis.com/maps/api/geocode/json?address=134+Ashewood+Walk,+Summerhill+Lane,+Portlaoise,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0295704,-7.272656499999999,"134 Summerhill Ln, Ashewood Walk, Summerhill, Portlaoise, Co. Laois, R32 C52X, Ireland",R32 C52X,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.5249748725584478,2.051625928055017
06/01/2010,"19 Rahin Road, Ballylinan",Laois,130000.0,No,Second-Hand Dwelling house /Apartment,,ChIJiTzfMOtuXUgRP9PUHHGl7y4,"https://maps.googleapis.com/maps/api/geocode/json?address=19+Rahin+Road,+Ballylinan,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",52.9485998,-7.043141299999999,"Gemini's, 19 Rahin Rd, Ballylynan, Co. Laois, R14 EV77, Ireland",R14 EV77,ROOFTOP,Midland,08029,Ballylynan,0.5191810460717091,19.845020707744734
06/01/2010,"No 3 Walnut Close, Foxburrow, Portlaoise",Laois,120000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJs4bCvKsNXUgRSFngrBMwNKg,"https://maps.googleapis.com/maps/api/geocode/json?address=No+3+Walnut+Close,+Foxburrow,+Portlaoise,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0357999,-7.269223599999999,"Walnut Close, Ballymooney, Portlaoise, Co. Laois, Ireland",,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.36667852411519697,2.1322998238975743
11/01/2010,"22 Bruach Na Habhann, Maganey, Killeen",Laois,140000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,EjQyMiBCcnVhY2ggTmEgaEFiaGFubiwgUG9ydGxhb2lzZSwgQ28uIExhb2lzLCBJcmVsYW5kIhoSGAoUChIJ92v9QjIMXUgRjCh0_ykUXp8QFg,"https://maps.googleapis.com/maps/api/geocode/json?address=22+Bruach+Na+Habhann,+Maganey,+Killeen,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0405075,-7.3059717000000015,"22 Bruach Na hAbhann, Borris Little, Portlaoise, Co. Laois, Ireland",,RANGE_INTERPOLATED,Midland,08071,Portlaoighise (Maryborough) Rural,0.1800683406991009,0.4877800005325713
12/01/2010,"2 Arlington Estate, Portarlington",Laois,105000.0,No,Second-Hand Dwelling house /Apartment,,ChIJWxX_mXF1XUgRYJAxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Arlington+Estate,+Portarlington,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.16121099999999,-7.187757299999999,"Portarlington, Co. Laois, Ireland",,APPROXIMATE,Midland,08070,Portarlington South,0.1197574977711084,1.699566177841051
14/01/2010,"Glosna House, Ballylehane Lower, Ballylinan Via Athy",Laois,330000.0,No,Second-Hand Dwelling house /Apartment,,ChIJbS06Pu1rXUgRl5e6aet4ses,"https://maps.googleapis.com/maps/api/geocode/json?address=Glosna+House,+Ballylehane+Lower,+Ballylinan+Via+Athy,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",52.9083657,-7.088023100000001,"Glosna House, Kilcruise, Glosna, Co. Laois, Ireland",,ROOFTOP,Midland,08091,Ballylehane,2.398074253995294,20.16911211653016
15/01/2010,"13 Ashley Gardens, Borris Road, Portlaoise",Laois,247000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ94sR3FAMXUgRRLk8v-Y3SRI,"https://maps.googleapis.com/maps/api/geocode/json?address=13+Ashley+Gardens,+Borris+Road,+Portlaoise,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0473613,-7.2757466000000015,"13 Ashley Gardens, Ballyroan, Portlaoise, Co. Laois, R32 FYH9, Ireland",R32 FYH9,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.29338728087020904,2.063820623192812
15/01/2010,"1, The Hermitage, Portloaise",Laois,186000.0,No,Second-Hand Dwelling house /Apartment,,ChIJh6-UA1oMXUgRFI5Zc4UZkM4,"https://maps.googleapis.com/maps/api/geocode/json?address=1,+The+Hermitage,+Portloaise,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.05010619999999,-7.2754407999999975,"1 The Hermitage, Ratheven, Portlaoise, Co. Laois, R32 NWY1, Ireland",R32 NWY1,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.008994162057046468,2.263111221616648
18/01/2010,"39 The Hermitage, Borris Little, Portlaois",Laois,180000.0,No,Second-Hand Dwelling house /Apartment,,ChIJAyvs0lsMXUgR4PnZTOfUXsg,"https://maps.googleapis.com/maps/api/geocode/json?address=39+The+Hermitage,+Borris+Little,+Portlaois,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0524363,-7.276451400000001,"39 The Hermitage, Ratheven, Portlaoise, Co. Laois, R32 P79E, Ireland",R32 P79E,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.2734184814467375,2.389487198903683
20/01/2010,"Clonanny, Portarlington",Laois,330000.0,No,Second-Hand Dwelling house /Apartment,,ChIJlwPb1GR2XUgR9pa03ySzRcQ,"https://maps.googleapis.com/maps/api/geocode/json?address=Clonanny,+Portarlington,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.14366310000001,-7.1099590999999975,"Clonanny, Coole, Co. Laois, Ireland",,APPROXIMATE,Midland,08060,Kilmullen,2.8016769082893287,4.745834154226001
21/01/2010,"19 Quigley Park, Rathdowney",Laois,140000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ94Aj2zAeXUgRVuOZ9ntnQGQ,"https://maps.googleapis.com/maps/api/geocode/json?address=19+Quigley+Park,+Rathdowney,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",52.855071,-7.5916485,"19 Quigley Park, Rathdowney, Co. Laois, R32 F8C3, Ireland",R32 F8C3,ROOFTOP,Midland,08026,Rathdowney,0.5480357611264381,5.051860003727778
21/01/2010,"9 Patrick Street, Mountmellick",Laois,225000.0,No,Second-Hand Dwelling house /Apartment,,ChIJYUeaddILXUgRvw2c-NJ6rSw,"https://maps.googleapis.com/maps/api/geocode/json?address=9+Patrick+Street,+Mountmellick,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.11823339999999,-7.328799900000001,"9 Patrick St, Townparks, Mountmellick, Co. Laois, R32 K066, Ireland",R32 K066,ROOFTOP,Midland,08066,Mountmellick Urban,0.034970068640423034,9.210559881983055
21/01/2010,"Main Street, Abbeyleix",Laois,115000.0,No,Second-Hand Dwelling house /Apartment,,ChIJERrH49YQXUgRlX-4O-D11nA,"https://maps.googleapis.com/maps/api/geocode/json?address=Main+Street,+Abbeyleix,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",52.9126662,-7.349406300000001,"Main St, Knocknamoe, Abbeyleix, Co. Laois, Ireland",,GEOMETRIC_CENTER,Midland,08001,Abbeyleix,0.16089693778042752,14.148979218490874
22/01/2010,"133 Ashewood Walk, Summerhill Lane, Portlaoise",Laois,185000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJr1qndK8NXUgR645B8q1_cwM,"https://maps.googleapis.com/maps/api/geocode/json?address=133+Ashewood+Walk,+Summerhill+Lane,+Portlaoise,+Laois,+Ireland&key=AIzaSyDRZ-wdfFwQPJfje5ImWN_78508dkyk8H4",53.0295318,-7.2727201,"133 Summerhill Ln, Ashewood Walk, Summerhill, Portlaoise, Co. Laois, R32 E28H, Ireland",R32 E28H,ROOFTOP,Midland,08071,Portlaoighise (Maryborough) Rural,0.5283273031191817,2.04930424299607
