date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
14/01/2010,"No.4 Cnoc Bofin, Dromod",Leitrim,248000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJZUB-i2iAXkgR-V4e1Fa0oao,"https://maps.googleapis.com/maps/api/geocode/json?address=No.4+Cnoc+Bofin,+Dromod,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.8550154,-7.9213321,"4 Cnoc Bofin, Drumod More, Drumod, Co. Leitrim, N41 X650, Ireland",N41 X650,ROOFTOP,Border,28069,Drumod,0.2986406241143535,0.5432372767191783
15/01/2010,"12 Cois Abhainn, Leitrim Village",Leitrim,140969.16,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJBQE3IviFXkgRPca05XmFuzs,"https://maps.googleapis.com/maps/api/geocode/json?address=12+Cois+Abhainn,+Leitrim+Village,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9872244,-8.0672325,"12 Cois Abhainne, Tullylannan, Leitrim Village, Ireland",,ROOFTOP,Border,28024,Leitrim,0.3203167123731416,17.32341306968092
25/01/2010,"10  Croi Na Carraige, Keshcarrigan",Leitrim,92500.0,No,Second-Hand Dwelling house /Apartment,,ChIJhRlPAyOJXkgRtDs_Jqpsgj0,"https://maps.googleapis.com/maps/api/geocode/json?address=10+Croi+Na+Carraige,+Keshcarrigan,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.04381410000001,-8.0456778,"Carrick Rd, Co. Leitrim, Ireland",,GEOMETRIC_CENTER,Border,28018,Drumshanbo,0.4934086759687951,22.2030072883693
29/01/2010,"Beaghmore, Carrigallen",Leitrim,120000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ5b_lwOpwXkgRcq1Ru6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Beaghmore,+Carrigallen,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9446088,-7.659403699999999,"Beagh More, Co. Leitrim, Ireland",,APPROXIMATE,Border,28071,Gortermone,2.152757480993801,19.341689598040727
10/02/2010,"24 The Acres, Dromahair",Leitrim,185000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJUxYGoNbtXkgRlpCYkG70dLQ,"https://maps.googleapis.com/maps/api/geocode/json?address=24+The+Acres,+Dromahair,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.2321378,-8.298334599999999,"24 The Acres, Drumahaire, Dromahair, Co. Leitrim, F91 X8H4, Ireland",F91 X8H4,ROOFTOP,Border,28039,Drumahaire,0.31796360439479976,48.39557701484392
12/02/2010,"Rossmore House, Townsfield, Manorhamilton",Leitrim,230000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ8xO50MPwXkgRwHYxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Rossmore+House,+Townsfield,+Manorhamilton,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.3048735,-8.176695500000001,"Manorhamilton, Co. Leitrim, Ireland",,APPROXIMATE,Border,28052,Manorhamilton,0.032579806557361965,52.394689189156935
15/02/2010,"Convent Avenue, Drumshanbo",Leitrim,65000.0,No,Second-Hand Dwelling house /Apartment,,EiFDb252ZW50IEF2ZSwgQ28uIExlaXRyaW0sIElyZWxhbmQiLiosChQKEgn7etvzFoleSBED7wdQnKamKhIUChIJtS_OwBeJXkgRoLgxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Convent+Avenue,+Drumshanbo,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.0502116,-8.035944500000001,"Convent Ave, Co. Leitrim, Ireland",,GEOMETRIC_CENTER,Border,28018,Drumshanbo,0.4255296087166098,22.634625952196078
15/02/2010,"High Street, Ballinamore",Leitrim,100000.0,No,Second-Hand Dwelling house /Apartment,,ChIJNSjv115kXkgRO2b1zAsyI1o,"https://maps.googleapis.com/maps/api/geocode/json?address=High+Street,+Ballinamore,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.05193440000001,-7.803898200000001,"High St, Cannaboe, Ballinamore, Co. Leitrim, Ireland",,GEOMETRIC_CENTER,Border,28001,Ballinamore,0.03711328213582119,22.66698826541855
16/02/2010,"Beagh, Dromahair",Leitrim,70000.0,No,Second-Hand Dwelling house /Apartment,,ChIJIRyikmntXkgRQqlPu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Beagh,+Dromahair,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.1757369,-8.242009699999999,"Beagh, Co. Leitrim, Ireland",,APPROXIMATE,Border,28041/28034,Garvagh/Arigna,4.228056713890771,41.13124602060492
25/02/2010,"17 Pairc Beag, Lis Cara, Carrick-On-Shannon",Leitrim,125704.07,Yes,New Dwelling house /Apartment,less than 38 sq metres,ChIJwezxcrCFXkgR2tkrMplmW2g,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Pairc+Beag,+Lis+Cara,+Carrick-On-Shannon,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.95408639999999,-8.085505800000002,"17 Páirc Beag, Lisnabrack, Carrick-On-Shannon, Co. Leitrim, N41 C928, Ireland",N41 C928,ROOFTOP,Border,28015,Carrick-on-Shannon,0.4519933294685223,15.293512276570823
25/02/2010,"No.7 Lough Meen, Drumkeerin",Leitrim,99000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJy1iCajfzXkgRl0LpkUyiL8g,"https://maps.googleapis.com/maps/api/geocode/json?address=No.7+Lough+Meen,+Drumkeerin,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.1688328,-8.142657999999999,"7 Lough Meen, Lugmeen, Drumkeeran, Co. Leitrim, N41 FE00, Ireland",N41 FE00,ROOFTOP,Border,28040,Drumkeeran,0.06417425446430894,37.473946953033746
01/03/2010,"3 Kingston Terrace, Carrick.On.Shannon",Leitrim,125000.0,No,Second-Hand Dwelling house /Apartment,,ChIJme8oKq-FXkgRECzhzyxwbqw,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Kingston+Terrace,+Carrick.On.Shannon,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9514965,-8.093772699999999,"3 Kingston Terrace, Townparks, Carrick-On-Shannon, Co. Leitrim, N41 TY44, Ireland",N41 TY44,ROOFTOP,Border,28015,Carrick-on-Shannon,0.5262094612017834,15.49812442777506
04/03/2010,"Aughadruminshin, Carrigallen",Leitrim,158591.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJRQEB61ZwXkgRkOgxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Aughadruminshin,+Carrigallen,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9769348,-7.644325899999999,"Clooncorick, Carrigallen, Co. Leitrim, Ireland",,APPROXIMATE,Border,28060,Carrigallen East,0.017219032598558812,22.122540751767893
05/03/2010,"16 Mill Race, Manorhamilton",Leitrim,138000.0,No,Second-Hand Dwelling house /Apartment,,ChIJrcQbAurwXkgRQsr8aZmL8oY,"https://maps.googleapis.com/maps/api/geocode/json?address=16+Mill+Race,+Manorhamilton,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.3050461,-8.178754999999999,"16 Mill Race, Manorhamilton, Co. Leitrim, F91 H9F7, Ireland",F91 H9F7,ROOFTOP,Border,28052,Manorhamilton,0.1115646510931306,52.45651550870142
22/03/2010,"Carrowallen, Mullaboy, Carrigallen",Leitrim,117500.0,No,Second-Hand Dwelling house /Apartment,,ChIJ-xpDKVtlXkgRZinP8hE_ZBI,"https://maps.googleapis.com/maps/api/geocode/json?address=Carrowallen,+Mullaboy,+Carrigallen,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.024708,-7.7248774,"Mullaghboy, Co. Leitrim, Ireland",,APPROXIMATE,Border,28004,Drumreilly North,3.743789662352016,22.27668504155784
25/03/2010,"Fivepoundland, Manorhamilton",Leitrim,80000.0,No,Second-Hand Dwelling house /Apartment,,ChIJd3X1-RHwXkgRk-adg8HCLHk,"https://maps.googleapis.com/maps/api/geocode/json?address=Fivepoundland,+Manorhamilton,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.31708,-8.2492602,"Fivepoundland, Co. Leitrim, Ireland",,APPROXIMATE,Border,28050,Lurganboy,1.6743281591304509,55.359449348654486
26/03/2010,"7 Drowes Close, Tullaghan",Leitrim,134000.0,No,Second-Hand Dwelling house /Apartment,,ChIJg5ZhXcviXkgR_I8fRG1vCvI,"https://maps.googleapis.com/maps/api/geocode/json?address=7+Drowes+Close,+Tullaghan,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.4719667,-8.3215348,"7 Drowes Cl, Tullaghan, Co. Leitrim, F91 K2T4, Ireland",F91 K2T4,ROOFTOP,Border,28033,Tullaghan,0.6456152530112106,73.07875162992738
01/04/2010,"Gortyclery, Mohill, Leitrim",Leitrim,45000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ8-HCLYZ9XkgRws1Qu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Gortyclery,+Mohill,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.94785890000001,-7.918530900000001,"Gortyclery, Eslin, Co. Leitrim, Ireland",,APPROXIMATE,Border,28059,Bunnybeg,4.089064558214472,9.859014461648837
06/04/2010,"Carrigeen, Mooncoin",Leitrim,102500.0,No,Second-Hand Dwelling house /Apartment,,ChIJx11oOqjaQkgR8HLfN6nHABg,"https://maps.googleapis.com/maps/api/geocode/json?address=Carrigeen,+Mooncoin,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",52.2951134,-7.2571128,"Mooncoin, Co. Kilkenny, Ireland",,APPROXIMATE,South-East (IE),07109,Pollrone,175.46280360179546,179.44754834421002
07/04/2010,"No 4 Cluain Ard, Carrick-On-Shannon",Leitrim,175000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJf4IHv6WFXkgRAr-IiTgclxw,"https://maps.googleapis.com/maps/api/geocode/json?address=No+4+Cluain+Ard,+Carrick-On-Shannon,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9556562,-8.093344799999999,"4 Cluain Ard, Grove, Carrick-On-Shannon, Co. Leitrim, N41 C5D8, Ireland",N41 C5D8,ROOFTOP,Border,28015,Carrick-on-Shannon,0.8027412119297135,15.787301678296403
12/04/2010,"No 1. St. Ciallian'S View, Fenagh",Leitrim,180000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJaZzk_FpjXkgRkqO6GajHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=No+1.+St.+Ciallian'S+View,+Fenagh,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.02020169999999,-7.834616100000001,"Knockmullin, Fenagh, Co. Leitrim, Ireland",,APPROXIMATE,Border,28070,Fenagh,0.018094762120325108,18.691135469604895
13/04/2010,"6 An Grianan, Drumshanbo",Leitrim,140000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJtw21TRyJXkgRUM573EtI0SQ,"https://maps.googleapis.com/maps/api/geocode/json?address=6+An+Grianan,+Drumshanbo,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.03814999999999,-8.0285277,"6 An Grianán, Aghnagollop, Drumshanbo, Co. Leitrim, N41 R791, Ireland",N41 R791,ROOFTOP,Border,28018,Drumshanbo,1.2325618934328912,21.208284573567763
13/04/2010,"Lugalustran, Leckaun",Leitrim,220000.0,No,Second-Hand Dwelling house /Apartment,,ChIJR9SgKDjuXkgR0ohPu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Lugalustran,+Leckaun,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.27028019999999,-8.291309700000001,"Lugalustran, Co. Leitrim, Ireland",,APPROXIMATE,Border,28054,Sramore,0.5625154933417971,51.85424097201521
16/04/2010,"4  Hollypark, Leitrim Village",Leitrim,132158.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJMU8viviFXkgRm1R4xF-Shhk,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Hollypark,+Leitrim+Village,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.9878915,-8.0641135,"4 Holly Park, Tullylannan, Leitrim Village, Ireland",,ROOFTOP,Border,28024,Leitrim,0.21210001043308216,17.269234325290256
19/04/2010,"2  Dartry View, Kinlough",Leitrim,229074.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJeQidXcT8XkgRP5BYisp8JCY,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Dartry+View,+Kinlough,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.44274029999999,-8.2899522,"2 Dartry View, Kinlough, Co. Leitrim, F91 X6V0, Ireland",F91 X6V0,ROOFTOP,Border,28031,Kinlough,0.5250453862290531,69.31185728453815
19/04/2010,"31  Dartry View, Kinlough",Leitrim,158590.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJ1acShMP8XkgR4L-5XYtoQVQ,"https://maps.googleapis.com/maps/api/geocode/json?address=31+Dartry+View,+Kinlough,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.44303000000001,-8.2874974,"31 Dartry View, Kinlough, Co. Leitrim, F91 R5H2, Ireland",F91 R5H2,ROOFTOP,Border,28031,Kinlough,0.4234370878498359,69.2860730907444
21/04/2010,"Tawley, Castlegal",Leitrim,142500.0,No,Second-Hand Dwelling house /Apartment,,ChIJxQvm8UviXkgRIqq6GajHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Tawley,+Castlegal,+Leitrim,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.4553811,-8.410428399999999,"Castlegal, Co. Sligo, Ireland",,APPROXIMATE,Border,31044,Cliffony North,5.411869346499647,73.69983949048729
