date_of_sale,address,county,price,vat_exclusive,property_description,property_size,eircode,geocoding_url,longitude,latitude,formatted_address,place_id,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
07/01/2010,"19 Ard Michael, Ballinalee Road",Longford,151876.65,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,N39 N8X7,"https://maps.googleapis.com/maps/api/geocode/json?address=19+Ard+Michael,+Ballinalee+Road,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.782591800000001,53.7290201,"19 Ard Michael, Ardnacassagh, Longford, N39 N8X7, Ireland",ChIJkf5mKpHTXUgRde2xHUqzhv8,ROOFTOP,Midland,09051,Longford Rural,0.4470542113413688,1.016516778473774
08/01/2010,"Aughine, Moydow",Longford,80000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Aughine,+Moydow,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7916605,53.66460079999999,"Aughine, Co. Longford, Ireland",ChIJMWb1W4TSXUgRylShcc5Wxi0,APPROXIMATE,Midland,09053,Moydow,0.2369676946457384,6.636006010116555
15/01/2010,"49 St. Michael'S Road, Longford",Longford,87000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=49+St.+Michael'S+Road,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.806016499999999,53.7264686,"49 St Michael's Rd, Townparks, Longford, Ireland",ChIJfw8bF3TTXUgRQ-0sSqlq2IQ,ROOFTOP,Midland,09001,Longford No. 1 Urban,0.3838478563225178,0.6907815202533334
26/01/2010,"24 Abhainn Glass, Tinnynar, Edgeworthstown",Longford,70485.0,Yes,New Dwelling house /Apartment,less than 38 sq metres,N39 ET62,"https://maps.googleapis.com/maps/api/geocode/json?address=24+Abhainn+Glass,+Tinnynar,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.6160206000000015,53.7003181,"24 Abhainn Glas, Keelogenasause, Edgeworthstown, Co. Longford, N39 ET62, Ireland",ChIJLwS6QJ3aXUgRl5uWuKogudM,ROOFTOP,Midland,09030,Meathas Truim,0.4596008232240556,1.5161469843016058
26/01/2010,"Old Road, Barneygole, Edgeworthstown",Longford,149779.73,Yes,New Dwelling house /Apartment,greater than 125 sq metres,,"https://maps.googleapis.com/maps/api/geocode/json?address=Old+Road,+Barneygole,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.6521633,53.677986800000006,"Barneygole, Co. Longford, Ireland",ChIJ9RCf3jzQXUgRsswyu6fHACY,APPROXIMATE,Midland,09038,Ardagh East,2.74989409992296,3.420407553169148
04/02/2010,"Ash Cottage, Listraghee  Ballinalee, Listraghee, Ballinalee",Longford,230000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Ash+Cottage,+Listraghee+Ballinalee,+Listraghee,+Ballinalee,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.630838999999999,53.76640210000001,"Listraghee, Co. Longford, Ireland",ChIJJZxUyPzZXUgRAQA935xBi7A,APPROXIMATE,Midland,09014,Ballinalee,2.041491909600832,8.806555748775535
05/02/2010,"3 Park Close, Off Park Road, Longford",Longford,155000.0,No,Second-Hand Dwelling house /Apartment,,N39 X2R6,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Park+Close,+Off+Park+Road,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.795427599999999,53.723376699999996,"3 Park Rd, Glack, Longford, N39 X2R6, Ireland",ChIJz2UCd5_TXUgRrIWDyU4-CjY,ROOFTOP,Midland,09001,Longford No. 1 Urban,0.11818552791124765,0.09605936152999388
12/02/2010,"31 Oakvale, Longford",Longford,127000.0,No,Second-Hand Dwelling house /Apartment,,N39 R2K6,"https://maps.googleapis.com/maps/api/geocode/json?address=31+Oakvale,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.790437099999999,53.727677899999996,"31 Oakvale, Deanscurragh, Longford, N39 R2K6, Ireland",ChIJJeO8epnTXUgROGvsfiZaN8E,ROOFTOP,Midland,09001,Longford No. 1 Urban,0.3161348603228824,0.5126451866946447
12/02/2010,"House And Lands, Loughn, Kenagh",Longford,315000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=House+And+Lands,+Loughn,+Kenagh,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.8147205999999985,53.622006999999996,"Keenagh, Co. Longford, Ireland",ChIJEaS9wzrNXUgR8Ocxl6nHAAo,APPROXIMATE,Midland,09010,Kilcommock,0.11133147817078357,11.43618890670599
18/02/2010,"Corrycorky, Legan, Ardagh",Longford,250000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=Corrycorky,+Legan,+Ardagh,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.6308386,53.6212481,"Smithfield, Legan, Co. Longford, Ireland",ChIJ76K5qwvPXUgRAHYxl6nHAAo,APPROXIMATE,Midland,09009,Foxhall,0.054107588088660466,7.723197089202343
19/02/2010,"11 Granard Street, Edgeworthstown",Longford,73000.0,No,Second-Hand Dwelling house /Apartment,,,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Granard+Street,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.6076488,53.6950745,"11 Granard St, Edgeworthstown, Co. Longford, Ireland",EiQxMSBHcmFuYXJkIFN0LCBDby4gTG9uZ2ZvcmQsIElyZWxhbmQiGhIYChQKEgkDzCxAmdpdSBGUre6ocbyZbBAL,RANGE_INTERPOLATED,Midland,09030,Meathas Truim,0.285714725968006,0.7402205011812708
19/02/2010,"Derawley, Drumlish, Longford",Longford,162000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,,"https://maps.googleapis.com/maps/api/geocode/json?address=Derawley,+Drumlish,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7482422999999985,53.8269015,"Derawley, Co. Longford, Ireland",ChIJ1fUiphnWXUgRgl_HGajHACY,APPROXIMATE,Midland,09048,Drumlish,1.1060339763999385,11.823322963152807
26/02/2010,"2 Battery Court, Demense Lane, Longford",Longford,110000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,N39 V2K6,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Battery+Court,+Demense+Lane,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.806242299999999,53.73399509999999,"2 Battery Ct, Demesne, Longford, N39 V2K6, Ireland",ChIJ3cvzynnTXUgRa88HlDZsmzw,ROOFTOP,Midland,09002,Longford No. 2 Urban,0.6871847029321151,1.2587614983956197
26/02/2010,"20 Abhainn Glas, Edgeworthstown, Longford",Longford,88106.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,N39 HK73,"https://maps.googleapis.com/maps/api/geocode/json?address=20+Abhainn+Glas,+Edgeworthstown,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.615884800000001,53.700072,"20 Abhainn Glas, Keelogenasause, Edgeworthstown, Co. Longford, N39 HK73, Ireland",ChIJfykGQJ3aXUgRKFk8pOdZLyE,ROOFTOP,Midland,09030,Meathas Truim,0.43222609015132396,1.4883581380058744
05/03/2010,"Fardromin, Ballinamuck",Longford,230000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,,"https://maps.googleapis.com/maps/api/geocode/json?address=Fardromin,+Ballinamuck,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7172342,53.8648897,"Shanmullagh, Ballinamuck, Co. Longford, Ireland",ChIJ4223TVl4XkgRoOQxl6nHAAo,APPROXIMATE,Midland,09041,Ballinamuck West,0.10380852727218216,16.45886370925544
08/03/2010,"39 Ard Michael, Longford",Longford,165136.56,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,N39 K0F4,"https://maps.googleapis.com/maps/api/geocode/json?address=39+Ard+Michael,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.7830437,53.7298505,"39 Ard Michael, Ardnacassagh, Longford, N39 K0F4, Ireland",ChIJi1g535DTXUgRWHI-VkiCE44,ROOFTOP,Midland,09051,Longford Rural,0.5141168797633834,1.0417621186911463
08/03/2010,"5  Hill Crescent, Ballymahon",Longford,175000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,N39 NT66,"https://maps.googleapis.com/maps/api/geocode/json?address=5+Hill+Crescent,+Ballymahon,+Longford,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII",-7.762620599999999,53.5587002,"5 Hill Cres, Creevagh Beg, Ballymahon, Co. Longford, N39 NT66, Ireland",ChIJ8fg8_HDLXUgR5u7ynbDikzA,ROOFTOP,Midland,09004,Ballymahon,0.2765114295264424,17.873161283109386
